"y","x","cluster_id"
16,122,92
17,122,92
17,123,92
17,124,92
18,122,92
18,123,92
19,122,92
19,123,92
20,124,92
21,127,92
39,153,92
39,156,92
39,157,92
40,153,92
40,154,92
40,155,92
40,156,92
40,157,92
40,158,92
40,159,92
41,154,92
41,155,92
41,156,92
41,157,92
41,158,92
41,159,92
41,160,92
41,161,92
42,155,92
42,156,92
42,157,92
42,158,92
42,159,92
42,160,92
42,161,92
42,162,92
43,155,92
43,156,92
43,157,92
43,158,92
43,159,92
43,160,92
43,161,92
43,162,92
44,155,92
44,156,92
44,157,92
44,158,92
44,159,92
44,160,92
44,161,92
44,162,92
45,155,92
45,156,92
45,157,92
45,158,92
45,159,92
45,160,92
45,161,92
45,162,92
45,163,92
46,155,92
46,156,92
46,157,92
46,158,92
46,159,92
46,160,92
46,161,92
46,162,92
46,163,92
47,156,92
47,157,92
47,158,92
47,159,92
47,160,92
47,161,92
47,162,92
47,163,92
48,157,92
48,158,92
48,159,92
48,160,92
48,161,92
48,162,92
48,163,92
49,158,92
49,159,92
49,160,92
49,161,92
49,162,92
49,163,92
50,159,92
50,160,92
50,161,92
50,162,92
50,163,92
70,152,92
70,155,92
77,156,92
77,157,92
77,158,92
93,232,92
93,233,92
93,235,92
93,236,92
93,237,92
93,238,92
95,196,92
96,198,92
97,109,92
97,110,92
98,202,92
99,203,92
114,130,92
139,222,167
139,225,167
140,223,167
151,234,167
151,235,167
152,167,167
152,235,167
153,236,167
153,237,167
155,239,167
161,166,167
182,166,167
183,165,167
184,47,92
184,183,167
184,185,167
185,183,167
185,184,167
186,183,167
186,184,167
193,273,167
193,279,167
203,278,167
204,189,167
204,277,167
204,278,167
205,185,167
205,186,167
205,187,167
205,268,167
205,277,167
205,278,167
206,184,167
206,185,167
206,186,167
206,223,167
206,224,167
206,225,167
206,276,167
206,277,167
206,278,167
206,279,167
207,185,167
207,186,167
207,187,167
207,189,167
207,224,167
207,278,167
207,279,167
208,186,167
208,187,167
208,188,167
208,222,167
210,59,315
211,57,315
225,247,167
226,241,167
227,227,167
227,240,167
227,241,167
228,224,167
228,227,167
228,228,167
229,225,167
229,227,167
229,228,167
229,239,167
230,231,167
231,231,167
231,244,167
232,227,167
232,230,167
232,231,167
232,232,167
233,231,167
233,232,167
233,233,167
233,243,167
234,232,167
234,233,167
239,249,167
243,273,167
245,224,167
246,223,167
248,42,315
248,228,167
249,227,167
253,190,167
254,189,167
256,187,167
256,188,167
256,189,167
256,190,167
257,189,167
258,187,167
259,188,167
260,189,167
276,118,315
278,63,315
279,63,315
280,226,268
292,270,268
301,255,268
302,255,268
303,255,268
304,254,268
305,253,268
306,253,268
307,253,268
308,187,315
308,253,268
309,253,268
309,259,268
309,260,268
309,262,268
310,254,268
310,259,268
310,260,268
310,262,268
310,263,268
311,254,268
311,255,268
311,256,268
311,257,268
311,258,268
311,259,268
311,260,268
311,261,268
311,262,268
311,263,268
312,255,268
312,256,268
312,257,268
312,258,268
312,259,268
312,260,268
312,261,268
312,262,268
313,255,268
313,256,268
313,257,268
313,258,268
313,259,268
313,260,268
313,261,268
313,263,268
314,258,268
314,259,268
314,260,268
314,261,268
315,259,268
315,262,268
316,257,268
317,257,268
319,248,268
324,272,268
325,253,268
325,272,268
325,273,268
326,137,315
326,213,268
326,273,268
327,136,315
327,137,315
327,138,315
327,205,268
327,213,268
327,273,268
328,135,315
328,136,315
328,137,315
329,134,315
329,135,315
329,136,315
329,137,315
330,133,315
330,134,315
330,135,315
330,136,315
330,137,315
330,202,268
331,132,315
331,133,315
331,134,315
331,135,315
331,136,315
331,137,315
331,138,315
331,139,315
331,276,268
331,277,268
331,278,268
331,279,268
332,133,315
332,134,315
332,135,315
332,136,315
332,137,315
332,138,315
332,139,315
332,140,315
332,276,268
332,277,268
332,278,268
332,279,268
333,133,315
333,134,315
333,135,315
333,136,315
333,137,315
333,138,315
333,139,315
333,140,315
333,275,268
333,276,268
333,277,268
333,278,268
333,279,268
334,133,315
334,134,315
334,135,315
334,136,315
334,137,315
334,138,315
334,139,315
334,276,268
334,277,268
334,278,268
334,279,268
335,135,315
335,136,315
335,137,315
335,138,315
335,204,268
335,276,268
335,277,268
335,278,268
335,279,268
336,204,268
336,275,268
336,278,268
336,279,268
337,204,268
337,205,268
337,275,268
337,276,268
337,278,268
337,279,268
338,273,268
338,274,268
338,275,268
338,276,268
338,277,268
338,278,268
338,279,268
339,274,268
339,275,268
339,276,268
339,277,268
339,278,268
339,279,268
340,275,268
340,276,268
340,277,268
340,278,268
340,279,268
341,277,268
341,278,268
341,279,268
342,279,268
343,279,268
344,206,268
348,183,315
351,193,315
351,194,315
357,188,315
358,188,315
358,189,315
358,190,315
358,191,315
359,192,315
360,193,315
360,194,315
360,195,315
368,199,315
373,197,315
