"y","x","cluster_id"
34,285,43
52,337,43
55,354,43
59,348,43
69,293,43
77,260,43
77,293,43
78,261,43
78,284,43
83,302,43
83,307,43
86,287,43
90,155,126
91,155,126
91,156,126
91,157,126
91,158,126
92,158,126
92,261,43
92,268,43
93,213,43
95,303,43
96,162,126
96,163,126
100,222,43
102,363,147
105,304,43
106,300,43
107,225,43
108,231,43
112,226,43
113,237,43
114,225,43
114,240,43
115,225,43
115,233,43
116,224,43
116,228,43
116,230,43
116,263,43
116,344,147
117,223,43
117,239,43
118,235,43
118,354,147
119,234,43
121,225,43
121,227,43
122,182,126
122,224,43
122,292,43
123,215,43
123,216,43
124,211,43
126,202,43
127,193,126
129,183,126
129,193,126
130,169,126
130,201,43
132,215,43
132,245,43
133,165,126
133,170,126
134,173,126
134,232,43
134,303,147
134,305,147
135,173,126
135,219,43
135,306,147
138,233,43
139,186,126
139,191,126
139,223,43
139,259,43
140,110,126
140,361,147
141,109,126
142,242,43
142,306,147
144,171,126
144,188,126
144,223,43
144,224,43
144,225,43
144,227,43
145,182,126
145,191,126
145,216,43
147,196,126
148,226,43
148,273,147
149,119,126
149,216,43
149,225,43
149,250,43
150,222,43
152,172,126
153,282,147
154,244,43
154,329,147
154,354,147
155,76,276
156,282,147
157,250,43
157,268,147
158,179,126
158,270,147
159,169,126
160,169,126
160,218,126
161,93,276
161,94,276
161,179,126
162,95,276
162,217,126
162,353,147
163,210,126
164,118,126
165,172,126
165,186,126
166,163,126
168,215,126
170,163,126
170,181,126
170,335,147
171,172,126
171,183,126
172,204,126
172,259,147
173,172,126
173,291,147
174,171,126
174,182,126
174,187,126
174,323,147
175,55,276
175,160,126
175,282,147
176,53,276
176,54,276
176,183,126
177,53,276
177,54,276
177,289,147
177,303,147
178,53,276
178,54,276
178,162,126
178,171,126
178,175,126
178,183,126
179,54,276
179,55,276
179,186,126
180,171,126
181,79,276
181,179,126
181,180,126
181,213,126
182,169,126
182,170,126
182,217,126
183,167,126
183,170,126
183,171,126
183,207,126
184,166,126
184,174,126
184,272,147
185,184,126
185,197,126
185,342,147
186,174,126
186,192,126
187,174,126
187,214,126
188,172,126
188,189,126
188,239,126
188,317,147
189,147,126
189,163,126
189,164,126
189,173,126
190,165,126
190,214,126
191,176,126
191,191,126
191,212,126
192,170,126
192,191,126
192,199,126
192,217,126
192,304,147
193,183,126
194,172,126
196,151,126
198,210,126
199,141,126
202,332,147
203,194,126
203,374,147
204,254,147
205,147,126
206,177,126
206,191,126
208,90,276
209,235,126
210,127,276
210,128,276
211,99,276
212,98,276
212,99,276
212,101,276
213,98,276
213,100,276
213,101,276
213,102,276
214,100,276
214,102,276
214,183,126
214,193,126
215,276,147
215,295,147
216,145,276
217,146,276
218,140,276
218,299,147
219,143,276
219,304,147
220,309,147
221,149,276
221,199,126
221,269,147
222,157,276
222,212,126
222,281,147
222,299,147
223,166,276
223,167,126
224,135,276
224,145,276
224,191,126
224,193,126
224,206,126
225,145,276
225,310,147
226,144,276
226,181,126
226,307,147
227,184,126
227,307,147
228,166,276
228,183,126
229,132,276
229,166,276
230,145,276
233,104,276
233,163,276
234,147,276
234,355,356
235,114,276
235,148,276
235,154,276
235,180,126
237,142,276
237,207,126
238,89,276
238,91,276
239,115,276
240,103,276
241,148,276
242,113,276
242,115,276
243,153,276
244,90,276
244,96,276
244,112,276
244,153,276
244,168,276
245,384,356
246,88,276
246,126,276
246,161,276
248,113,276
252,137,276
252,166,276
252,358,356
253,113,276
253,166,276
254,350,356
254,379,356
255,130,276
255,131,276
256,130,276
256,150,276
257,173,276
257,373,356
257,375,356
258,352,356
258,388,356
259,160,276
259,164,276
261,368,356
262,368,356
262,378,356
263,383,356
264,363,356
264,369,356
265,371,356
265,381,356
266,367,356
267,369,356
267,370,356
268,383,356
269,136,276
270,356,356
270,385,356
271,87,276
272,93,276
272,115,276
273,125,276
273,378,356
273,384,356
274,121,276
274,378,356
274,387,356
275,126,276
276,381,356
276,392,356
277,121,276
277,382,356
278,122,276
279,114,276
280,102,276
280,368,356
280,387,356
282,363,356
284,364,356
284,365,356
285,77,276
285,363,356
285,387,356
287,78,276
288,372,356
288,374,356
288,375,356
289,374,356
289,375,356
290,376,356
291,391,356
292,113,276
292,295,475
292,362,356
293,86,276
293,106,276
293,373,356
293,376,356
293,377,356
294,361,356
295,87,276
296,336,356
297,89,276
298,88,276
298,354,356
301,85,276
301,86,276
301,90,276
301,271,475
301,272,475
302,84,276
302,85,276
302,86,276
302,89,276
302,341,356
302,346,356
303,85,276
304,261,475
304,343,356
305,346,356
306,127,465
306,132,465
306,229,475
307,126,465
307,222,475
