"y","x","cluster_id"
25,109,315
26,68,315
26,71,315
26,83,315
27,43,315
27,44,315
27,45,315
27,64,315
27,65,315
27,66,315
27,67,315
27,68,315
27,71,315
27,72,315
27,73,315
27,86,315
27,87,315
27,113,315
28,30,315
28,44,315
28,46,315
28,64,315
28,65,315
28,66,315
28,73,315
28,74,315
28,75,315
29,28,315
29,29,315
29,30,315
29,31,315
29,116,315
30,25,315
30,26,315
30,27,315
30,28,315
30,29,315
30,30,315
30,81,315
30,83,315
30,116,315
31,23,315
31,24,315
31,25,315
31,26,315
31,27,315
31,28,315
31,85,315
32,22,315
32,23,315
32,24,315
32,25,315
32,26,315
32,147,315
32,162,748
33,19,315
33,21,315
33,22,315
33,23,315
33,24,315
33,214,748
34,18,315
34,19,315
34,20,315
34,21,315
34,22,315
34,214,748
34,512,576
35,52,315
35,130,315
35,500,576
35,512,576
36,18,315
36,118,315
36,496,576
36,497,576
36,498,576
37,13,315
37,15,315
37,16,315
37,18,315
37,118,315
37,119,315
37,493,576
37,494,576
37,495,576
37,496,576
37,497,576
37,533,576
37,536,576
37,537,576
37,538,576
37,540,576
38,16,315
38,490,576
38,491,576
38,492,576
38,493,576
38,494,576
38,495,576
38,496,576
38,497,576
38,533,576
38,534,576
38,535,576
38,536,576
38,537,576
38,540,576
38,541,576
39,13,315
39,14,315
39,488,576
39,489,576
39,490,576
39,491,576
39,492,576
39,493,576
39,494,576
39,496,576
39,497,576
39,541,576
39,542,576
39,556,576
39,557,576
40,13,315
40,488,576
40,489,576
40,490,576
40,491,576
40,492,576
40,496,576
40,543,576
40,550,576
41,49,315
41,50,315
41,551,576
42,10,315
42,542,576
42,550,576
43,26,315
43,486,576
45,69,315
45,186,748
45,479,576
45,481,576
46,184,748
46,479,576
46,481,576
47,186,748
48,101,315
48,537,576
49,194,748
50,88,315
50,221,748
50,615,576
51,629,576
51,630,576
52,50,315
52,56,315
52,114,315
52,568,576
52,629,576
52,670,998
53,114,315
53,116,315
53,199,748
53,239,748
53,587,576
53,670,998
54,27,315
54,590,576
55,14,315
55,15,315
55,28,315
56,14,315
56,28,315
56,61,315
56,512,576
56,550,576
57,98,315
57,216,748
57,217,748
57,681,998
58,103,315
58,143,315
58,682,998
58,687,998
59,594,576
60,16,315
60,53,315
60,122,315
60,208,748
60,219,748
60,594,576
61,91,315
61,122,315
61,123,315
61,494,576
62,16,315
62,38,315
62,92,315
62,171,748
62,586,576
62,690,998
63,92,315
63,564,576
63,587,576
64,62,315
64,91,315
64,225,748
65,65,315
65,91,315
65,95,315
65,127,315
65,225,748
65,250,748
66,46,315
66,91,315
66,92,315
66,127,315
66,482,576
66,651,998
67,91,315
67,92,315
67,95,315
67,104,315
67,482,576
67,519,576
67,580,576
68,104,315
68,106,315
68,114,315
68,126,315
68,656,998
69,92,315
69,103,315
69,125,315
69,126,315
69,230,748
69,577,576
70,93,315
70,94,315
70,102,315
70,103,315
70,122,315
70,123,315
70,124,315
70,518,576
70,577,576
71,24,315
71,90,315
71,93,315
71,101,315
71,102,315
71,103,315
71,104,315
71,108,315
71,117,315
71,178,748
71,208,748
71,500,576
71,564,576
72,100,315
72,101,315
72,102,315
72,103,315
72,172,748
72,494,576
72,557,576
73,90,315
73,96,315
73,105,315
73,117,315
73,198,748
73,564,576
73,590,576
73,650,998
74,59,315
74,85,315
74,89,315
74,103,315
74,109,315
74,150,748
74,205,748
74,206,748
74,207,748
74,663,998
74,694,998
75,19,315
75,34,315
75,44,315
75,77,315
75,107,315
75,150,748
75,151,748
75,157,748
76,67,315
76,68,315
76,91,315
76,101,315
76,107,315
76,490,576
76,558,576
76,559,576
76,668,998
