"y","x","cluster_id"
48,307,15
65,313,15
66,306,15
66,307,15
72,328,15
73,326,15
86,75,22
87,75,22
94,183,22
94,184,22
95,182,22
95,183,22
95,184,22
96,182,22
124,319,15
128,348,15
128,349,15
138,360,15
139,362,15
146,325,15
146,328,15
149,168,22
163,168,22
163,170,22
165,219,22
167,166,22
167,167,22
171,225,22
173,172,22
174,221,22
176,174,22
177,171,22
186,118,50
195,149,50
198,147,50
203,153,50
213,171,50
217,171,50
225,153,50
226,143,50
226,144,50
226,145,50
227,143,50
227,144,50
227,152,50
230,155,50
230,156,50
231,156,50
231,157,50
231,158,50
232,156,50
232,157,50
233,156,50
233,157,50
236,155,50
237,155,50
237,156,50
238,155,50
238,156,50
246,193,50
253,191,50
253,192,50
257,182,50
257,183,50
262,178,50
