"y","x","cluster_id"
60,151,211
69,161,211
76,159,211
78,168,211
80,148,211
82,146,211
83,146,211
83,168,211
84,146,211
84,150,211
85,147,211
85,149,211
86,172,211
87,173,211
88,175,211
88,176,211
89,176,211
89,181,211
90,111,291
90,122,291
90,123,291
90,182,211
92,182,211
92,183,211
93,111,291
93,113,291
93,182,211
93,183,211
94,133,291
94,134,291
94,172,211
94,173,211
94,174,211
94,183,211
95,121,291
95,122,291
95,123,291
95,172,211
95,173,211
95,174,211
95,175,211
95,176,211
96,116,291
96,122,291
96,123,291
96,124,291
96,125,291
96,126,291
96,127,291
96,128,291
96,129,291
96,162,211
96,172,211
96,173,211
96,174,211
96,175,211
96,176,211
96,177,211
97,113,291
97,115,291
97,116,291
97,125,291
97,126,291
97,127,291
97,128,291
97,129,291
97,173,211
97,174,211
97,175,211
97,176,211
97,177,211
97,178,211
98,114,291
98,115,291
98,116,291
98,117,291
98,118,291
98,129,291
98,130,291
98,132,291
98,173,211
98,174,211
98,175,211
98,176,211
98,177,211
98,178,211
98,179,211
99,111,291
99,112,291
99,115,291
99,116,291
99,117,291
99,133,291
99,135,291
99,175,211
99,176,211
99,177,211
99,178,211
99,179,211
99,180,211
99,181,211
100,112,291
100,113,291
100,114,291
100,115,291
100,116,291
100,135,291
100,138,291
100,176,211
100,177,211
100,178,211
100,179,211
100,180,211
100,181,211
101,112,291
101,113,291
101,125,291
101,129,291
101,132,291
101,133,291
101,134,291
101,137,291
101,138,291
101,163,211
101,174,211
101,175,211
101,177,211
101,178,211
101,179,211
101,180,211
101,181,211
102,111,291
102,112,291
102,129,291
102,130,291
102,131,291
102,132,291
102,133,291
102,159,211
102,160,211
102,161,211
102,162,211
102,163,211
102,175,211
102,176,211
102,177,211
102,178,211
102,179,211
102,180,211
102,181,211
102,182,211
103,111,291
103,129,291
103,130,291
103,131,291
103,161,211
103,165,211
103,177,211
103,178,211
103,179,211
103,180,211
103,181,211
104,112,291
104,125,291
104,126,291
104,127,291
104,128,291
104,129,291
104,130,291
104,131,291
104,132,291
104,177,211
104,178,211
104,179,211
104,180,211
105,126,291
105,127,291
105,128,291
105,129,291
105,130,291
105,131,291
105,132,291
105,133,291
105,134,291
105,147,211
105,180,211
106,124,291
106,126,291
106,127,291
106,128,291
106,129,291
106,130,291
106,131,291
106,132,291
106,133,291
106,134,291
106,135,291
106,147,211
106,148,211
107,125,291
107,126,291
107,127,291
107,128,291
107,129,291
107,130,291
107,131,291
107,135,291
107,147,211
107,148,211
107,170,211
107,171,211
107,172,211
108,125,291
108,127,291
108,128,291
108,129,291
108,130,291
108,131,291
108,139,291
108,169,211
108,170,211
108,171,211
109,127,291
109,128,291
109,129,291
109,130,291
109,138,291
109,139,291
109,164,211
