"y","x","cluster_id"
16,483,19
19,444,19
19,445,19
19,447,19
19,448,19
19,481,19
19,482,19
19,483,19
19,491,19
20,444,19
20,445,19
20,446,19
20,447,19
21,492,19
22,439,19
23,439,19
25,438,19
32,458,19
32,459,19
37,479,19
40,457,19
40,458,19
40,460,19
40,462,19
41,458,19
41,459,19
41,460,19
41,461,19
41,462,19
41,463,19
42,458,19
42,459,19
42,460,19
42,461,19
42,462,19
42,463,19
43,458,19
43,459,19
43,460,19
43,463,19
43,467,19
43,469,19
44,459,19
44,460,19
44,469,19
45,359,168
46,372,168
51,348,168
52,348,168
53,363,168
54,363,168
54,364,168
55,362,168
55,363,168
55,364,168
56,363,168
56,364,168
57,333,168
57,334,168
57,362,168
57,363,168
58,361,168
58,362,168
58,363,168
59,348,168
59,361,168
59,362,168
59,363,168
60,348,168
60,362,168
60,363,168
61,355,168
61,356,168
62,326,168
62,327,168
62,328,168
62,352,168
62,353,168
63,325,168
63,326,168
63,327,168
63,328,168
63,352,168
63,353,168
64,324,168
64,325,168
64,326,168
64,327,168
64,328,168
64,329,168
64,352,168
64,353,168
64,355,168
64,415,19
65,324,168
65,325,168
65,326,168
65,327,168
65,328,168
65,339,168
65,352,168
65,353,168
65,358,168
65,359,168
66,325,168
66,339,168
66,340,168
66,341,168
66,356,168
66,359,168
67,337,168
67,339,168
67,340,168
67,341,168
67,357,168
68,349,168
68,357,168
68,358,168
69,319,168
69,333,168
69,335,168
69,344,168
69,345,168
69,358,168
70,339,168
70,344,168
70,345,168
70,349,168
70,350,168
71,339,168
71,343,168
71,344,168
71,371,168
72,337,168
72,342,168
72,344,168
72,346,168
72,366,168
72,368,168
72,371,168
73,339,168
73,341,168
73,342,168
73,343,168
73,344,168
73,366,168
73,367,168
73,368,168
73,371,168
74,301,168
74,342,168
74,343,168
74,344,168
75,300,168
75,301,168
75,339,168
75,342,168
75,365,168
75,368,168
76,334,168
76,339,168
76,340,168
77,24,305
77,25,305
77,335,168
77,340,168
77,347,168
77,349,168
78,23,305
78,24,305
78,25,305
78,344,168
78,346,168
78,347,168
78,348,168
79,22,305
79,23,305
79,24,305
79,299,168
79,319,168
79,344,168
79,345,168
79,346,168
79,347,168
79,348,168
80,319,168
80,342,168
80,343,168
80,345,168
80,346,168
80,347,168
80,348,168
81,309,168
81,310,168
81,347,168
82,309,168
82,310,168
83,373,168
83,374,168
84,336,168
84,339,168
84,340,168
84,372,168
84,373,168
84,374,168
85,337,168
85,340,168
85,373,168
86,335,168
86,336,168
86,337,168
86,338,168
86,341,168
86,344,168
87,334,168
87,335,168
87,336,168
87,345,168
89,343,168
90,289,168
90,342,168
90,343,168
92,349,168
92,350,168
92,404,168
93,343,168
93,350,168
93,403,168
94,342,168
94,343,168
95,24,305
95,343,168
96,24,305
96,255,168
97,24,305
97,25,305
97,344,168
97,345,168
98,421,168
99,25,305
99,420,168
100,398,168
100,399,168
101,24,305
101,25,305
101,396,168
101,397,168
101,398,168
101,399,168
102,25,305
102,396,168
102,397,168
102,398,168
103,396,168
110,37,305
111,196,659
112,36,305
112,37,305
113,36,305
113,37,305
116,348,168
117,349,168
119,356,168
120,35,305
121,48,305
122,363,168
122,364,168
123,40,305
123,269,430
123,287,430
123,364,168
124,271,430
124,272,430
124,362,168
124,363,168
124,364,168
125,44,305
125,272,430
125,363,168
125,364,168
125,365,168
125,370,168
126,56,305
126,57,305
126,272,430
126,364,430
126,365,168
126,368,168
