"y","x","cluster_id"
26,336,63
39,380,63
40,380,63
41,209,63
41,212,63
41,381,63
41,382,63
42,214,63
43,383,63
46,259,63
46,260,63
48,323,63
48,324,63
48,382,63
49,323,63
49,382,63
50,379,63
50,380,63
53,387,63
54,395,63
56,299,63
58,317,63
58,516,324
61,325,63
61,356,63
62,355,63
63,320,63
65,325,63
68,511,324
70,321,63
72,317,63
73,314,63
74,277,63
74,312,63
74,313,63
75,313,63
76,310,63
77,306,63
77,308,63
77,311,63
78,305,63
78,306,63
78,307,63
78,308,63
78,309,63
79,306,63
79,307,63
81,305,63
82,305,63
82,306,63
84,542,324
85,295,63
86,258,63
86,295,63
86,301,63
86,302,63
87,258,63
87,259,63
87,294,63
88,258,63
89,299,63
92,291,63
92,296,63
94,32,244
95,292,63
96,292,63
97,245,63
99,269,63
99,272,63
99,275,63
103,274,63
107,88,244
108,87,244
109,89,244
109,91,244
109,269,63
110,85,244
110,86,244
110,87,244
110,89,244
111,87,244
111,276,63
111,288,63
111,289,63
112,86,244
112,257,63
112,289,63
113,85,244
113,86,244
113,277,63
113,288,63
113,289,63
114,85,244
114,278,63
115,83,244
115,85,244
115,86,244
115,265,63
115,276,63
115,278,63
115,289,63
116,84,244
116,279,63
116,280,63
117,81,244
117,278,63
117,281,63
118,276,63
118,277,63
119,278,63
119,279,63
119,280,63
120,274,63
120,275,63
120,279,63
120,280,63
121,273,63
121,275,63
121,279,63
121,601,324
122,272,63
122,274,63
122,277,63
122,279,63
122,280,63
123,72,244
124,273,63
124,276,63
126,68,244
126,278,63
126,279,63
126,280,63
127,274,63
127,278,63
127,279,63
128,274,63
128,275,63
128,277,63
128,278,63
128,279,63
128,280,63
129,274,63
129,275,63
129,277,63
130,273,63
130,274,63
130,275,63
131,273,63
131,274,63
131,275,63
134,273,63
134,605,324
135,273,63
136,280,63
139,270,222
140,275,222
143,274,222
146,272,222
152,271,222
152,434,444
156,435,444
157,439,444
160,249,222
160,250,222
160,268,222
161,247,222
161,249,222
161,250,222
162,247,222
162,248,222
162,249,222
162,250,222
162,251,222
162,268,222
163,248,222
163,249,222
163,250,222
163,251,222
163,268,222
163,436,444
164,248,222
164,249,222
164,250,222
165,248,222
165,267,222
165,269,222
166,248,222
166,267,222
167,234,222
167,428,444
168,234,222
168,236,222
169,233,222
169,234,222
169,235,222
169,236,222
170,233,222
170,234,222
170,235,222
170,236,222
171,231,222
171,232,222
171,233,222
171,234,222
171,235,222
171,236,222
171,237,222
172,231,222
172,232,222
172,233,222
172,234,222
172,235,222
172,236,222
172,348,63
172,619,324
172,620,324
173,231,222
173,232,222
173,233,222
173,234,222
173,235,222
173,237,222
173,621,324
174,234,222
174,346,63
174,622,324
175,102,244
175,103,244
175,225,222
176,103,244
176,420,444
177,103,244
177,249,222
177,250,222
177,422,444
177,625,324
178,104,244
178,249,222
178,250,222
178,260,222
179,621,324
179,624,324
180,415,444
181,90,244
181,624,324
181,625,324
182,86,244
182,91,244
182,414,444
183,233,222
184,87,244
184,406,444
184,411,444
184,619,324
185,406,444
185,407,444
185,408,444
185,409,444
186,89,244
187,226,222
187,261,222
187,408,444
188,218,222
188,224,222
188,225,222
188,228,222
188,229,222
188,230,222
188,231,222
188,238,222
189,92,244
189,229,222
189,230,222
189,231,222
189,232,222
190,90,244
190,229,222
190,230,222
190,231,222
191,91,244
191,219,222
191,230,222
191,231,222
191,236,222
192,91,244
192,216,222
192,232,222
192,237,222
192,335,222
193,92,244
193,220,222
193,233,222
193,402,444
194,219,222
194,402,444
194,562,324
194,566,324
194,573,324
194,615,324
195,196,222
195,197,222
195,198,222
195,199,222
195,200,222
195,402,444
195,573,324
196,197,222
196,198,222
196,199,222
196,200,222
196,575,324
197,197,222
197,198,222
197,199,222
197,200,222
198,564,324
198,566,324
199,563,324
199,564,324
199,566,324
199,574,324
199,576,324
199,577,324
199,578,324
199,587,324
199,588,324
200,555,324
200,562,324
200,564,324
200,590,324
200,592,324
201,400,444
201,401,444
201,566,324
202,400,444
202,562,324
202,563,324
202,564,324
203,400,444
204,400,444
205,200,222
205,325,222
205,399,444
205,559,324
205,593,324
206,399,444
206,550,324
206,592,324
206,593,324
206,594,324
207,322,222
207,549,324
207,592,324
207,593,324
207,594,324
208,398,444
208,549,324
208,593,324
208,594,324
208,630,324
209,548,324
209,549,324
209,595,324
209,630,324
210,546,324
210,547,324
211,546,324
212,395,444
212,545,324
214,244,222
214,543,324
215,542,324
215,641,324
216,399,444
216,473,444
216,542,324
216,641,324
217,541,324
218,473,444
219,320,222
220,471,444
221,319,222
221,471,444
221,600,324
221,601,324
222,471,444
222,600,324
222,601,324
223,470,444
223,601,324
224,465,444
225,465,444
227,313,518
227,469,444
230,468,444
231,468,444
233,467,444
234,466,444
235,309,518
235,466,444
236,88,244
237,471,444
238,619,324
239,466,444
239,467,444
240,240,518
240,464,444
241,243,518
241,307,518
241,464,444
241,615,324
242,242,518
242,243,518
242,244,518
242,254,518
242,306,518
242,327,700
242,463,444
243,240,518
243,242,518
243,243,518
243,244,518
243,245,518
243,462,444
243,464,444
244,242,518
244,243,518
244,244,518
244,245,518
244,246,518
244,305,518
244,462,444
244,464,444
245,244,518
245,245,518
245,304,518
245,346,700
245,464,444
247,255,518
248,102,244
248,104,244
248,136,244
248,201,518
248,460,444
249,102,244
249,202,518
249,203,518
249,304,518
249,361,700
249,464,444
250,105,244
251,144,518
251,204,518
252,204,518
254,257,518
254,466,444
254,468,444
255,466,444
256,107,244
256,121,244
256,466,444
257,111,244
257,112,244
257,120,244
257,267,518
258,122,244
258,257,518
258,388,700
258,465,444
259,388,700
259,465,444
259,466,444
260,246,518
260,261,518
260,268,518
260,386,700
260,387,700
260,388,700
260,464,444
260,466,444
260,467,444
261,218,518
261,245,518
261,247,518
261,268,518
261,273,518
261,387,700
261,388,700
261,463,444
261,466,444
262,217,518
262,218,518
262,225,518
262,229,518
262,241,518
263,219,518
263,220,518
263,221,518
263,229,518
263,240,518
263,246,518
263,249,518
263,250,518
263,378,700
263,464,444
264,182,518
264,219,518
264,220,518
264,227,518
264,233,518
264,236,518
264,238,518
264,249,518
264,463,444
264,465,444
265,217,518
265,227,518
265,228,518
265,240,518
265,273,518
265,396,700
266,241,518
266,242,518
266,243,518
266,253,518
266,463,444
267,193,518
267,194,518
267,214,518
267,215,518
267,244,518
267,251,518
267,256,518
267,399,700
268,195,518
268,196,518
268,197,518
268,198,518
268,199,518
268,200,518
268,201,518
268,216,518
268,220,518
268,237,518
268,241,518
268,246,518
268,399,700
268,464,444
268,465,444
269,198,518
269,199,518
269,200,518
269,201,518
269,215,518
269,239,518
269,240,518
269,246,518
269,402,700
269,465,444
270,195,518
270,216,518
270,237,518
270,246,518
270,256,518
270,257,518
