"y","x","cluster_id"
24,375,768
25,375,768
26,369,768
26,370,768
27,370,768
28,370,768
29,151,201
29,152,201
29,153,201
29,160,201
29,162,201
29,163,201
29,164,201
29,165,201
29,166,201
29,167,201
29,168,201
29,217,165
29,224,165
29,226,165
30,161,201
30,165,201
30,166,201
30,167,201
30,168,201
30,169,201
30,170,201
30,171,201
30,193,165
30,225,165
30,226,165
30,227,165
30,228,165
30,229,165
30,230,165
30,232,165
30,233,165
30,234,165
31,161,201
31,165,201
31,166,201
31,167,201
31,168,201
31,169,201
31,170,201
31,171,201
31,181,165
31,182,165
31,184,165
31,185,165
31,186,165
31,187,165
31,188,165
31,189,165
31,227,165
31,228,165
31,229,165
31,230,165
31,231,165
31,232,165
31,233,165
32,164,201
32,166,201
32,167,201
32,168,201
32,169,201
32,170,201
32,171,201
32,172,201
32,181,165
32,182,165
32,183,165
32,184,165
32,185,165
32,186,165
32,187,165
32,188,165
32,189,165
32,223,165
32,227,165
32,228,165
32,229,165
32,230,165
32,231,165
32,232,165
32,233,165
33,149,201
33,150,201
33,168,201
33,169,201
33,170,201
33,171,201
33,172,201
33,173,201
33,183,165
33,184,165
33,185,165
33,186,165
33,188,165
33,189,165
33,226,165
33,227,165
33,228,165
33,229,165
33,230,165
33,231,165
33,232,165
34,166,201
34,172,201
34,173,201
34,174,201
34,184,165
34,185,165
34,186,165
34,187,165
34,188,165
34,223,165
34,225,165
34,226,165
34,227,165
34,228,165
34,229,165
34,230,165
34,231,165
35,174,201
35,186,165
35,224,165
35,225,165
35,226,165
35,227,165
36,159,201
36,224,165
36,225,165
36,226,165
36,227,165
36,228,165
36,229,165
37,221,165
37,223,165
37,226,165
37,227,165
37,228,165
38,223,165
38,224,165
38,226,165
38,227,165
38,228,165
39,223,165
39,224,165
39,228,165
39,229,165
40,223,165
40,224,165
40,226,165
40,228,165
41,222,165
41,223,165
41,224,165
41,226,165
41,229,165
42,131,201
42,163,201
42,222,165
42,223,165
42,224,165
44,218,165
44,243,165
45,237,165
45,244,165
45,250,165
46,134,201
46,135,201
46,219,165
46,242,165
46,243,165
47,134,201
47,136,201
47,137,201
47,138,201
47,140,201
47,141,201
47,236,165
47,237,165
47,238,165
47,239,165
47,240,165
47,241,165
47,242,165
47,261,165
48,138,201
48,141,201
48,206,165
48,236,165
48,237,165
48,238,165
48,239,165
48,240,165
48,241,165
48,242,165
48,314,1020
49,136,201
49,138,201
49,212,165
49,236,165
49,237,165
49,238,165
49,239,165
49,240,165
49,241,165
49,242,165
49,243,165
49,245,165
50,199,165
50,201,165
50,211,165
50,213,165
50,236,165
50,237,165
50,238,165
50,239,165
50,240,165
50,241,165
50,242,165
50,243,165
50,244,165
50,245,165
51,201,165
51,202,165
51,203,165
51,205,165
51,212,165
51,236,165
51,237,165
51,238,165
51,239,165
51,240,165
51,241,165
51,242,165
51,243,165
51,244,165
51,245,165
51,246,165
51,251,165
52,201,165
52,202,165
52,203,165
52,211,165
52,212,165
52,236,165
52,237,165
52,238,165
52,239,165
52,240,165
52,241,165
52,242,165
52,243,165
52,244,165
52,245,165
53,205,165
53,206,165
53,211,165
53,236,165
53,237,165
53,238,165
53,239,165
53,240,165
53,241,165
53,242,165
53,243,165
53,244,165
53,245,165
53,246,165
53,261,165
53,442,768
54,210,165
54,211,165
54,212,165
54,236,165
54,237,165
54,238,165
54,239,165
54,240,165
54,241,165
54,242,165
54,243,165
54,244,165
54,245,165
54,246,165
54,441,768
54,442,768
55,206,165
55,211,165
55,212,165
55,213,165
55,236,165
55,237,165
55,238,165
55,239,165
55,240,165
55,241,165
55,242,165
55,243,165
55,244,165
55,245,165
55,441,768
55,442,768
55,443,768
55,446,768
56,211,165
56,212,165
56,213,165
56,237,165
56,238,165
56,239,165
56,240,165
56,241,165
56,242,165
56,243,165
56,244,165
56,245,165
56,442,768
56,444,768
56,445,768
57,212,165
57,214,165
57,215,165
57,235,165
57,238,165
57,239,165
57,240,165
57,241,165
57,242,165
57,243,165
57,244,165
57,245,165
57,553,768
58,212,165
58,213,165
58,216,165
58,239,165
58,240,165
58,241,165
58,242,165
58,243,165
58,250,165
59,217,165
59,239,165
59,240,165
59,241,165
59,242,165
59,243,165
60,242,165
61,242,165
62,112,201
62,115,201
62,116,201
62,535,768
62,536,768
63,111,201
63,112,201
63,113,201
63,114,201
63,115,201
63,116,201
64,108,201
64,111,201
64,112,201
64,113,201
64,114,201
64,115,201
64,116,201
