"y","x","cluster_id"
27,293,37
84,97,19
89,182,37
90,186,37
92,134,37
93,169,37
98,28,19
103,48,19
103,172,37
104,48,19
105,48,19
106,44,19
106,49,19
107,44,19
109,46,19
109,47,19
109,48,19
109,299,37
111,44,19
111,198,37
112,46,19
114,142,37
115,142,37
116,309,37
116,310,37
117,309,37
120,156,37
125,178,37
126,177,37
129,177,37
130,177,37
130,305,37
131,231,37
131,232,37
132,25,19
133,25,19
134,184,37
139,151,37
139,152,37
141,29,19
144,227,37
150,176,37
150,233,37
151,120,37
152,205,37
156,171,37
156,172,37
157,172,37
158,171,37
158,172,37
159,170,37
159,171,37
159,172,37
160,170,37
160,171,37
160,172,37
161,170,37
161,172,37
162,171,37
164,179,37
165,179,37
165,202,37
168,180,37
169,180,37
170,181,37
176,305,37
198,203,93
200,170,93
201,218,93
202,207,93
205,212,93
207,202,93
207,203,93
208,201,93
208,202,93
208,205,93
209,201,93
210,202,93
211,202,93
213,200,93
214,200,93
215,197,93
215,198,93
215,199,93
215,200,93
216,198,93
216,199,93
217,199,93
228,188,93
228,189,93
229,133,93
229,134,93
229,187,93
230,133,93
230,134,93
230,187,93
230,188,93
231,134,93
231,186,93
231,187,93
231,188,93
232,132,93
232,133,93
232,134,93
232,186,93
232,187,93
233,132,93
233,133,93
233,134,93
234,189,93
235,59,149
235,225,93
238,226,93
238,227,93
239,226,93
239,227,93
240,206,93
240,227,93
240,300,187
241,206,93
241,207,93
241,227,93
241,300,187
248,27,149
253,136,93
256,135,93
258,135,93
258,136,93
258,289,187
259,136,93
259,289,187
259,291,187
259,292,187
259,293,187
259,294,187
260,290,187
260,291,187
260,292,187
260,293,187
261,290,187
261,291,187
261,292,187
262,286,187
262,289,187
262,291,187
269,18,149
269,19,149
270,20,149
271,21,149
283,349,187
286,348,187
286,350,187
286,351,187
286,352,187
287,346,187
287,347,187
287,348,187
287,349,187
287,350,187
287,351,187
287,352,187
288,346,187
288,347,187
288,348,187
288,349,187
288,350,187
288,351,187
289,347,187
289,348,187
289,349,187
289,350,187
290,347,187
290,348,187
290,349,187
291,347,187
291,348,187
291,349,187
295,266,187
298,243,187
298,244,187
299,243,187
299,244,187
299,245,187
300,242,187
300,244,187
302,32,149
307,319,187
307,320,187
308,318,187
308,319,187
308,320,187
308,321,187
308,322,187
309,321,187
309,322,187
311,29,149
312,28,149
323,264,187
330,207,93
342,163,93
