"y","x","cluster_id"
43,68,404
43,69,404
43,70,404
43,168,197
43,176,197
43,177,197
43,178,197
43,179,197
44,70,404
44,71,404
44,166,197
44,167,197
44,174,197
44,176,197
44,177,197
44,178,197
44,179,197
44,180,197
45,66,404
45,71,404
45,120,404
45,163,197
45,174,197
45,176,197
45,177,197
45,179,197
46,64,404
46,67,404
46,70,404
46,74,404
46,121,404
46,134,404
46,167,197
46,177,197
46,178,197
46,179,197
46,180,197
46,181,197
47,56,404
47,69,404
47,82,404
47,89,404
47,90,404
47,92,404
47,93,404
47,121,404
47,122,404
47,138,197
47,167,197
47,168,197
47,169,197
47,170,197
47,171,197
47,173,197
47,178,197
47,179,197
47,180,197
47,181,197
47,182,197
48,63,404
48,67,404
48,73,404
48,84,404
48,85,404
48,86,404
48,88,404
48,89,404
48,90,404
48,91,404
48,93,404
48,94,404
48,95,404
48,168,197
48,170,197
48,172,197
48,173,197
48,174,197
48,178,197
48,179,197
48,180,197
48,181,197
49,83,404
49,87,404
49,88,404
49,140,197
49,141,197
49,167,197
49,169,197
49,172,197
49,173,197
49,174,197
49,177,197
49,178,197
49,179,197
49,180,197
49,181,197
49,182,197
50,69,404
50,71,404
50,77,404
50,88,404
50,89,404
50,90,404
50,91,404
50,96,404
50,103,404
50,162,197
50,170,197
50,172,197
50,173,197
50,179,197
50,180,197
50,182,197
51,67,404
51,89,404
51,98,404
51,104,404
51,106,404
51,107,404
51,114,404
51,115,404
51,172,197
51,173,197
51,174,197
51,175,197
51,178,197
51,179,197
51,180,197
51,181,197
52,83,404
52,88,404
52,89,404
52,91,404
52,93,404
52,95,404
52,96,404
52,97,404
52,109,404
52,143,197
52,144,197
52,145,197
52,173,197
52,174,197
52,175,197
52,176,197
52,177,197
52,178,197
52,179,197
52,180,197
52,181,197
52,182,197
53,85,404
53,94,404
53,100,404
53,102,404
53,105,404
53,106,404
53,108,404
53,109,404
53,110,404
53,111,404
53,112,404
53,114,404
53,144,197
53,145,197
53,173,197
53,174,197
53,175,197
53,176,197
53,177,197
53,178,197
53,179,197
53,180,197
53,181,197
53,182,197
53,183,197
54,77,404
54,78,404
54,89,404
54,94,404
54,100,404
54,101,404
54,102,404
54,103,404
54,104,404
54,105,404
54,106,404
54,107,404
54,109,404
54,111,404
54,112,404
54,113,404
54,114,404
54,115,404
54,116,404
54,146,197
54,173,197
54,174,197
54,175,197
54,177,197
54,179,197
54,180,197
54,181,197
54,182,197
54,183,197
55,85,404
55,86,404
55,91,404
55,92,404
55,94,404
55,95,404
55,96,404
55,98,404
55,99,404
55,100,404
55,101,404
55,102,404
55,103,404
55,104,404
55,105,404
55,106,404
55,107,404
55,108,404
55,111,404
55,112,404
55,113,404
55,114,404
55,115,404
55,116,404
55,117,404
55,119,404
55,175,197
55,178,197
55,179,197
55,180,197
55,181,197
55,182,197
55,183,197
56,82,404
56,89,404
56,91,404
56,94,404
56,95,404
56,98,404
56,99,404
56,100,404
56,101,404
56,102,404
56,103,404
56,104,404
56,105,404
56,106,404
56,107,404
56,108,404
56,109,404
56,113,404
56,114,404
56,117,404
56,120,404
56,122,404
56,123,404
56,124,404
56,182,197
56,183,197
57,86,404
57,88,404
57,89,404
57,90,404
57,97,404
57,99,404
57,101,404
57,102,404
57,105,404
57,106,404
57,107,404
57,108,404
57,109,404
57,110,404
57,111,404
57,116,404
57,117,404
57,118,404
57,119,404
57,121,404
57,123,404
57,124,404
57,125,404
57,126,404
57,127,404
57,175,197
58,88,404
58,89,404
58,90,404
58,100,404
58,105,404
58,116,404
58,117,404
58,118,404
58,119,404
58,121,404
58,128,404
58,129,404
58,175,197
58,176,197
59,83,404
59,85,404
59,86,404
59,88,404
59,89,404
59,90,404
59,92,404
59,100,404
59,101,404
59,106,404
59,107,404
59,108,404
59,109,404
59,115,404
59,121,404
59,122,404
59,123,404
59,182,197
60,86,404
60,87,404
60,89,404
60,90,404
60,94,404
60,96,404
60,99,404
60,100,404
60,101,404
60,107,404
60,108,404
60,109,404
60,110,404
60,118,404
60,182,197
60,183,197
61,85,404
61,86,404
61,87,404
61,88,404
61,89,404
61,91,404
61,92,404
61,100,404
61,105,404
61,107,404
61,108,404
61,114,404
61,117,404
61,118,404
61,119,404
61,121,404
61,122,404
61,123,404
61,125,404
62,91,404
62,95,404
62,96,404
62,104,404
62,105,404
62,114,404
62,115,404
62,117,404
62,118,404
62,120,404
62,121,404
62,122,404
62,123,404
62,124,404
62,125,404
62,126,404
63,104,404
63,105,404
63,117,404
63,119,404
63,123,404
63,124,404
63,127,404
63,162,197
63,167,197
63,168,197
63,188,197
64,88,404
64,92,404
64,98,404
64,99,404
64,100,404
64,106,404
64,107,404
64,147,197
64,150,197
64,151,197
64,161,197
64,162,197
64,168,197
64,170,197
65,84,404
65,97,404
65,98,404
65,99,404
65,100,404
65,101,404
65,105,404
65,106,404
65,107,404
65,108,404
65,150,197
65,161,197
65,167,197
65,169,197
65,170,197
65,171,197
65,172,197
65,185,764
65,187,764
66,97,404
66,98,404
66,99,404
66,102,404
66,105,404
66,106,404
66,107,404
66,109,404
66,127,404
66,128,404
66,129,404
66,130,404
66,162,197
66,163,197
66,166,197
66,169,197
66,170,197
66,171,197
66,172,197
66,173,197
66,174,197
66,185,764
66,186,764
66,187,764
66,188,764
66,190,764
67,92,404
67,98,404
67,100,404
67,103,404
67,104,404
67,107,404
67,108,404
67,109,404
67,110,404
67,161,197
67,163,197
67,164,197
67,165,197
67,168,197
67,169,197
67,170,197
67,171,197
67,172,197
67,173,197
67,174,197
67,175,197
67,184,764
68,89,404
68,95,404
68,99,404
68,100,404
68,101,404
68,108,404
68,109,404
68,110,404
68,111,404
68,113,404
68,120,404
68,122,404
68,162,197
68,171,197
68,172,197
68,173,764
68,175,764
68,177,764
68,179,764
68,185,764
69,50,1017
69,99,404
69,101,404
69,105,404
69,108,404
69,109,404
69,110,404
69,111,404
69,112,404
69,113,404
69,166,197
69,171,764
69,172,764
69,173,764
69,174,764
69,179,764
69,180,764
69,181,764
69,184,764
69,185,764
69,186,764
69,190,764
69,192,764
70,46,1017
70,47,1017
70,53,1017
70,87,404
70,88,404
70,95,404
70,96,404
70,97,404
70,105,404
70,107,404
70,108,404
70,110,404
70,111,404
70,112,404
70,113,404
70,114,404
70,116,404
70,118,404
70,172,764
70,173,764
70,174,764
70,177,764
70,180,764
70,181,764
70,182,764
70,183,764
70,184,764
70,186,764
70,188,764
70,191,764
70,192,764
71,56,1017
71,86,404
71,91,404
71,92,404
71,98,404
71,102,404
71,106,404
71,107,404
71,108,404
71,109,404
71,113,404
71,114,404
71,117,404
71,163,764
71,169,764
71,170,764
71,171,764
71,172,764
71,173,764
71,176,764
71,179,764
71,181,764
71,182,764
71,183,764
71,184,764
71,185,764
71,186,764
71,188,764
71,190,764
71,191,764
71,193,764
72,57,1017
72,88,404
72,89,404
72,91,404
72,102,404
72,103,404
72,105,404
72,107,404
72,108,404
72,109,404
72,110,404
72,111,404
72,112,404
72,170,764
72,174,764
72,175,764
72,176,764
72,178,764
72,181,764
72,182,764
72,183,764
72,184,764
72,185,764
72,186,764
72,187,764
72,188,764
72,190,764
72,192,764
72,193,764
73,57,1017
73,62,1017
73,67,1017
73,89,404
73,98,404
73,103,404
73,106,404
73,107,404
73,108,404
73,109,404
73,110,404
73,175,764
73,180,764
73,181,764
73,183,764
73,184,764
73,185,764
73,186,764
73,190,764
73,192,764
73,193,764
74,58,1017
74,67,1017
74,71,1017
74,72,1017
74,84,404
74,85,404
74,99,404
74,100,404
74,101,404
74,102,404
74,103,404
74,107,404
74,174,764
74,175,764
74,176,764
74,177,764
74,180,764
74,181,764
74,182,764
74,183,764
74,184,764
74,185,764
74,186,764
74,187,764
74,188,764
74,189,764
74,191,764
74,193,764
75,57,1017
75,58,1017
75,70,1017
75,71,1017
75,74,404
75,86,404
75,97,404
75,98,404
75,99,404
75,100,404
75,101,404
75,104,404
75,174,764
75,175,764
75,176,764
75,178,764
75,179,764
75,182,764
75,185,764
75,186,764
75,188,764
75,189,764
75,191,764
75,193,764
75,194,764
76,56,1017
76,57,1017
76,58,1017
76,59,1017
76,69,1017
76,77,404
76,80,404
76,91,404
76,92,404
76,97,404
76,98,404
76,99,404
76,100,404
76,101,404
76,102,404
76,103,404
76,181,764
76,183,764
76,185,764
76,186,764
76,190,764
76,191,764
76,194,764
77,55,1017
77,56,1017
77,57,1017
77,87,404
77,88,404
77,89,404
77,90,404
77,94,404
77,100,404
77,101,404
77,102,404
77,103,404
77,172,764
77,175,764
77,178,764
77,179,764
77,180,764
77,182,764
77,183,764
77,184,764
77,185,764
77,186,764
77,193,764
77,195,764
77,196,764
78,96,404
78,98,404
78,99,404
78,100,404
78,101,404
78,102,404
78,105,404
78,176,764
78,179,764
78,182,764
78,183,764
78,184,764
78,185,764
78,186,764
78,188,764
78,191,764
78,192,764
78,193,764
78,194,764
79,58,1017
79,81,404
79,89,404
79,94,404
79,96,404
79,98,404
79,103,404
79,104,404
79,174,764
79,178,764
79,179,764
79,193,764
79,194,764
79,195,764
80,56,1017
80,57,1017
80,62,1017
80,89,404
80,98,404
80,171,764
80,173,764
80,174,764
80,179,764
80,180,764
80,191,764
80,194,764
80,195,764
80,196,764
81,64,1017
81,79,404
81,84,404
81,89,404
81,90,404
81,95,404
81,96,404
81,98,404
81,100,404
81,166,764
81,171,764
81,173,764
81,179,764
82,80,404
82,97,404
82,99,404
82,100,404
82,166,764
82,170,764
82,171,764
82,172,764
82,173,764
82,180,764
82,182,764
82,184,764
82,185,764
82,198,764
82,199,764
83,98,404
83,99,404
83,101,404
83,102,404
83,103,404
83,105,404
83,167,764
83,168,764
83,169,764
83,170,764
83,172,764
83,173,764
83,181,764
83,185,764
83,200,764
84,55,1017
84,90,404
84,93,404
84,98,404
84,99,404
84,100,404
84,102,404
84,103,404
84,104,404
84,105,404
84,106,404
84,107,404
84,108,404
84,169,764
84,170,764
84,171,764
84,173,764
84,178,764
85,26,1017
85,53,1017
85,55,1017
85,101,404
85,102,404
85,103,404
85,104,404
85,105,404
85,106,404
85,107,404
85,170,764
85,171,764
85,175,764
85,180,764
85,184,764
85,185,764
85,186,764
86,23,1017
86,101,404
86,102,404
86,104,404
86,105,404
86,106,404
86,175,764
86,177,764
86,184,764
86,186,764
87,100,404
87,105,404
87,176,764
87,180,764
87,182,764
87,184,764
88,51,1017
88,56,1017
88,57,1017
88,104,404
88,105,404
88,175,764
88,176,764
88,177,764
88,178,764
88,179,764
88,181,764
88,182,764
88,183,764
88,184,764
88,186,764
88,188,764
89,94,404
89,103,404
89,104,1177
89,105,1177
89,179,764
89,182,764
89,183,764
89,184,764
89,185,764
89,186,764
90,18,1017
90,56,1017
90,57,1017
90,59,1017
90,60,1017
90,63,1017
90,64,1017
90,104,1177
90,183,764
90,185,764
90,186,764
91,20,1017
91,59,1017
91,60,1017
91,63,1017
91,66,1017
91,74,1017
91,169,764
91,170,764
91,173,764
91,182,764
91,183,764
91,184,764
91,198,764
92,55,1017
92,59,1017
92,60,1017
92,64,1017
92,68,1017
92,97,1177
92,98,1177
92,102,1177
92,167,764
92,169,764
92,170,764
92,184,764
93,59,1017
93,60,1017
93,65,1017
93,66,1017
93,165,764
93,166,764
93,167,764
93,172,764
93,173,764
93,174,764
94,60,1017
94,67,1017
94,83,1017
94,100,1177
94,163,764
94,166,764
94,169,764
94,170,764
95,67,1017
95,101,1177
95,158,764
95,159,764
95,160,764
95,168,764
96,21,1017
96,22,1017
96,102,1177
96,103,1177
96,156,764
96,157,764
96,158,764
96,160,764
96,169,764
97,20,1017
97,22,1017
97,56,1017
97,57,1017
97,59,1017
97,60,1017
97,61,1017
97,62,1017
97,64,1017
97,65,1017
97,66,1017
97,102,1177
97,104,1177
97,108,1177
97,157,764
97,163,764
97,169,764
97,174,764
97,175,764
97,176,764
98,56,1017
98,58,1017
98,59,1017
98,60,1017
98,61,1017
98,62,1017
98,63,1017
98,64,1017
98,65,1017
98,66,1017
98,67,1017
98,102,1177
98,164,764
98,165,764
98,175,764
99,19,1017
99,20,1017
99,58,1017
99,59,1017
99,60,1017
99,61,1017
99,62,1017
99,63,1017
99,64,1017
99,65,1017
99,66,1017
99,67,1017
99,68,1017
99,69,1017
99,71,1017
99,72,1017
99,77,1017
99,101,1177
99,102,1177
99,174,764
99,175,764
99,176,764
100,21,1017
100,54,1017
100,59,1017
100,61,1017
100,62,1017
100,63,1017
100,64,1017
100,65,1017
100,71,1017
100,73,1017
100,79,1017
100,161,764
100,173,764
100,174,764
100,176,764
101,21,1017
101,56,1017
101,57,1017
101,63,1017
101,65,1017
101,81,1017
101,108,1177
101,172,764
101,173,764
101,181,1198
102,24,1017
102,56,1017
102,57,1017
102,58,1017
102,62,1017
102,101,1177
102,173,1198
102,174,1198
102,189,1198
103,24,1017
103,57,1017
