"y","x","cluster_id"
19,90,7
20,90,7
20,91,7
21,90,7
21,91,7
25,80,7
35,98,7
41,106,7
42,58,7
52,59,7
52,64,7
53,62,7
53,64,7
60,160,7
67,168,7
76,97,7
86,165,45
90,61,7
96,182,45
98,181,45
99,162,45
111,159,45
112,216,45
116,128,45
129,173,45
130,174,45
132,181,45
134,16,73
134,199,45
135,16,73
135,17,73
135,136,45
136,17,73
138,20,73
139,23,73
141,29,73
143,29,73
144,29,73
145,33,73
145,39,73
146,32,73
146,184,45
147,34,73
148,89,73
149,182,45
149,184,45
149,199,45
150,84,73
152,73,73
154,119,45
156,50,73
157,54,73
158,55,73
159,125,45
159,165,45
159,166,45
159,175,45
160,163,45
161,169,45
163,163,45
164,164,45
164,169,45
165,165,45
165,167,45
165,168,45
171,26,73
171,47,73
173,27,73
173,28,73
173,29,73
173,50,73
174,27,73
176,47,73
177,47,73
177,48,73
178,69,73
182,51,73
182,221,45
183,224,45
185,19,73
185,20,73
185,21,73
186,20,73
186,21,73
187,19,73
188,22,73
188,23,73
189,22,73
189,23,73
190,20,73
190,21,73
192,24,73
192,62,73
192,215,45
193,24,73
193,25,73
194,27,73
194,65,73
195,62,73
195,65,73
197,65,73
198,212,45
199,66,73
199,68,73
200,42,73
200,65,73
200,66,73
201,67,73
202,45,73
203,46,73
203,47,73
203,64,73
203,65,73
203,66,73
203,71,73
204,46,73
208,46,73
212,49,220
212,51,220
213,52,220
213,77,242
214,54,220
214,80,242
214,104,242
216,100,242
216,105,242
216,106,242
217,54,220
217,58,220
217,67,220
217,101,242
218,60,220
218,99,242
219,89,242
219,99,242
220,63,220
220,71,242
220,75,242
220,79,242
221,65,220
221,75,242
221,110,242
222,63,220
222,81,242
223,81,242
224,87,242
224,88,242
224,89,242
225,67,220
225,70,242
225,113,242
226,69,242
226,75,242
227,64,220
227,70,242
228,39,220
228,63,220
228,83,242
228,104,242
228,105,242
228,119,242
229,82,242
229,100,242
230,29,220
230,75,242
230,105,242
231,28,220
231,29,220
231,30,220
231,53,220
231,70,242
231,71,242
231,99,242
232,51,220
232,58,220
232,59,220
232,72,242
232,85,242
232,86,242
233,39,220
233,49,220
233,51,220
233,55,220
233,59,220
233,86,242
233,92,242
234,47,220
234,49,220
234,56,220
234,58,220
234,75,242
235,31,220
235,49,220
235,51,220
235,75,242
235,77,242
235,110,242
235,113,242
236,31,220
236,32,220
236,78,242
236,82,242
236,83,242
236,102,242
236,103,242
237,32,220
237,59,220
237,99,242
237,102,242
237,103,242
237,104,242
237,107,242
238,41,220
238,56,220
238,60,220
238,99,242
238,100,242
239,56,220
240,34,220
240,52,220
240,74,242
240,103,242
240,104,242
240,106,242
241,34,220
241,35,220
241,39,220
241,97,242
241,102,242
241,105,242
242,34,220
242,35,220
242,37,220
242,38,220
242,39,220
242,40,220
242,41,220
242,42,220
242,57,220
242,70,242
242,72,242
242,82,242
242,100,242
242,110,242
243,34,220
243,37,220
243,38,220
243,39,220
243,40,220
243,41,220
243,42,220
243,43,220
243,50,220
243,57,220
243,78,242
243,99,242
243,102,242
243,111,242
244,36,220
244,39,220
244,40,220
244,42,220
244,43,220
244,50,220
244,51,220
244,63,220
244,64,220
244,102,242
245,37,220
245,39,220
245,40,220
245,41,220
245,42,220
245,43,220
245,57,220
245,58,220
245,66,220
245,74,242
245,112,242
246,37,220
246,40,220
246,42,220
246,43,220
246,44,220
246,70,242
246,74,242
247,38,220
247,39,220
247,41,220
247,44,220
247,52,220
247,108,242
248,42,220
248,43,220
248,52,220
248,54,220
248,56,220
248,80,242
249,52,220
249,55,220
249,88,242
249,106,242
250,54,220
250,55,220
250,61,220
250,75,242
251,68,242
251,71,242
251,79,242
251,81,242
252,52,220
252,60,220
252,62,220
252,63,220
252,64,220
252,65,220
252,66,220
252,67,242
252,77,242
252,82,242
253,72,242
253,102,242
254,65,220
254,66,220
254,81,242
254,106,242
255,71,242
255,77,242
255,163,370
255,164,370
256,57,220
256,58,220
256,65,220
256,78,242
257,81,242
257,152,370
257,153,370
257,163,370
257,164,370
258,84,242
258,154,370
258,155,370
258,156,370
258,159,370
258,160,370
258,162,370
258,163,370
258,164,370
258,165,370
258,166,370
258,194,370
258,195,370
259,81,242
259,152,370
259,153,370
259,154,370
259,156,370
259,158,370
259,159,370
259,160,370
259,162,370
259,163,370
259,164,370
260,82,242
260,152,370
260,155,370
260,156,370
260,157,370
260,158,370
260,159,370
260,160,370
260,161,370
260,162,370
260,163,370
260,164,370
260,165,370
260,166,370
260,167,370
260,168,370
260,171,370
261,105,242
261,160,370
261,161,370
261,162,370
261,163,370
261,164,370
261,165,370
261,166,370
261,167,370
261,168,370
262,72,242
262,73,242
262,74,242
262,152,370
262,169,370
262,170,370
263,74,242
263,105,242
263,152,370
264,142,370
265,82,242
265,139,370
265,142,370
265,149,370
265,150,370
266,80,242
266,83,242
266,84,242
266,141,370
266,142,370
266,147,370
266,148,370
266,149,370
266,150,370
266,151,370
266,152,370
267,82,242
267,85,242
267,147,370
267,151,370
267,153,370
267,168,370
268,81,242
268,82,242
268,86,242
268,152,370
268,153,370
269,82,242
279,50,220
280,50,220
283,60,220
284,52,220
