"y","x","cluster_id"
56,305,61
57,305,61
57,310,61
58,297,61
58,306,61
58,307,61
58,308,61
58,309,61
58,310,61
58,311,61
58,314,61
59,279,61
59,280,61
59,297,61
59,307,61
59,308,61
59,312,61
59,313,61
59,314,61
59,315,61
59,318,61
60,295,61
60,296,61
60,299,61
60,306,61
60,311,61
60,314,61
60,315,61
60,316,61
60,317,61
60,319,61
60,320,61
61,295,61
61,296,61
61,297,61
61,298,61
61,299,61
61,305,61
61,316,61
61,317,61
61,320,61
61,321,61
61,322,61
62,299,61
62,300,61
62,301,61
62,302,61
62,303,61
62,304,61
62,321,61
62,322,61
62,323,61
62,324,61
63,287,61
63,295,61
63,322,61
63,326,61
64,287,61
64,290,61
64,291,61
64,321,61
64,322,61
64,324,61
64,327,61
65,287,61
65,322,61
65,323,61
65,327,61
65,328,61
65,329,61
66,268,61
66,326,61
66,328,61
66,331,61
67,268,61
67,280,61
67,281,61
67,282,61
67,326,61
67,327,61
67,332,61
68,273,61
68,279,61
68,325,61
68,327,61
68,328,61
68,332,61
68,333,61
68,334,61
69,277,61
69,325,61
69,327,61
69,329,61
69,332,61
69,333,61
69,334,61
70,326,61
70,327,61
70,328,61
70,334,61
70,335,61
71,327,61
71,328,61
71,329,61
71,335,61
72,326,61
72,332,61
72,333,61
72,336,61
72,337,61
72,338,61
72,339,61
73,333,61
73,336,61
73,338,61
73,339,61
73,340,61
74,329,61
74,330,61
74,336,61
74,338,61
75,336,61
75,339,61
75,340,61
76,337,61
76,338,61
76,340,61
77,337,61
77,340,61
77,341,61
78,336,61
78,339,61
78,340,61
78,341,61
78,342,61
79,336,61
79,337,61
79,339,61
81,341,61
81,342,61
82,339,61
82,342,61
82,343,61
83,339,61
84,341,61
101,357,190
103,360,190
106,361,190
107,361,190
107,362,190
108,361,190
110,361,190
110,362,190
110,391,190
111,361,190
111,362,190
112,361,190
112,362,190
113,363,190
114,68,419
114,362,190
114,363,190
115,362,190
115,363,190
116,362,190
116,363,190
117,362,190
117,363,190
118,362,190
123,359,190
124,196,350
124,358,190
124,359,190
125,357,190
125,358,190
126,356,190
126,357,190
127,356,190
128,354,190
129,353,190
135,196,350
136,323,190
137,352,190
137,353,190
137,354,190
138,351,190
138,352,190
138,353,190
138,354,190
138,355,190
139,352,190
139,353,190
139,354,190
139,355,190
140,354,190
140,355,190
141,92,419
141,352,190
141,353,190
141,354,190
141,355,190
141,356,190
141,359,190
142,352,190
142,353,190
143,361,190
146,159,350
147,97,419
152,356,190
153,355,190
158,72,419
159,71,419
160,371,190
161,69,419
161,355,190
161,383,190
163,69,419
163,357,190
164,69,419
165,53,419
165,67,419
166,68,419
166,357,190
167,157,350
167,356,190
167,357,190
167,358,190
168,354,190
168,356,190
169,159,350
169,356,190
171,159,350
172,68,419
172,161,350
173,68,419
173,69,419
174,68,419
174,70,419
175,159,350
175,166,350
176,165,350
176,166,350
176,167,350
177,166,350
177,353,190
178,165,350
178,166,350
179,166,350
184,29,419
184,31,419
184,164,350
185,29,419
185,164,350
185,192,350
185,353,445
186,164,350
186,354,445
187,27,419
187,165,350
187,166,350
187,191,350
188,165,350
188,166,350
189,165,350
189,166,350
189,353,445
190,190,350
190,353,445
191,189,350
192,189,350
193,153,350
193,165,350
194,165,350
194,188,350
194,353,445
195,165,350
195,352,445
195,353,445
196,172,350
198,351,445
199,173,350
200,173,350
203,185,350
205,184,350
206,151,350
206,184,350
206,185,350
206,187,350
207,184,350
207,188,350
207,189,350
208,186,350
208,188,350
208,189,350
209,188,350
209,189,350
209,190,350
210,149,350
210,183,350
210,185,350
210,189,350
210,190,350
211,150,350
211,182,350
211,183,350
211,184,350
211,186,350
211,187,350
211,188,350
211,189,350
211,190,350
211,261,445
211,348,445
211,349,445
212,181,350
212,182,350
212,183,350
212,184,350
212,185,350
212,187,350
212,188,350
212,347,445
212,348,445
212,349,445
213,149,350
213,150,350
213,182,350
213,184,350
213,185,350
213,187,350
213,188,350
213,347,445
213,349,445
214,148,350
214,149,350
214,185,350
214,187,350
214,188,350
214,190,350
214,347,445
214,348,445
214,349,445
215,150,350
215,151,350
215,185,350
215,186,350
215,187,350
215,189,350
216,150,350
216,181,350
216,186,350
216,346,445
216,347,445
216,348,445
217,148,350
217,149,350
217,150,350
217,181,350
217,345,445
217,346,445
217,348,445
218,149,350
218,346,445
218,347,445
219,148,350
219,149,350
219,346,445
219,348,445
220,148,350
220,149,350
220,345,445
220,346,445
220,347,445
220,348,445
220,350,445
221,148,350
221,156,350
221,345,445
221,346,445
221,347,445
221,348,445
221,350,445
222,147,350
222,148,350
222,149,350
222,345,445
222,347,445
222,349,445
222,350,445
223,146,350
223,147,350
223,201,350
223,202,350
223,344,445
223,345,445
223,346,445
223,347,445
223,348,445
224,146,350
224,147,350
224,201,350
224,202,350
224,204,350
224,344,445
224,345,445
224,347,445
224,348,445
224,349,445
225,146,350
225,202,350
225,203,350
225,205,350
225,344,445
225,345,445
225,346,445
225,347,445
225,348,445
225,349,445
226,82,419
226,160,350
226,201,350
226,202,350
226,203,350
226,245,642
226,341,445
226,342,445
226,343,445
226,344,445
226,345,445
227,160,350
227,202,350
227,203,350
227,244,642
227,245,642
227,340,445
227,341,445
227,342,445
228,160,350
228,217,350
228,339,445
228,342,445
228,343,445
229,87,419
229,338,445
229,339,445
230,88,419
230,336,445
230,338,445
230,339,445
231,87,419
231,89,419
231,90,419
231,91,419
231,144,350
231,159,350
231,214,350
231,215,350
231,336,445
232,73,419
232,75,419
232,84,419
232,86,419
232,87,419
232,88,419
232,89,419
232,90,419
232,91,419
232,92,419
