"y","x","cluster_id"
23,109,43
24,111,43
24,112,43
24,113,43
25,103,43
25,108,43
25,109,43
25,110,43
25,111,43
25,112,43
25,113,43
25,114,43
26,107,43
26,109,43
26,112,43
26,113,43
26,114,43
26,115,43
26,119,43
27,107,43
27,109,43
27,113,43
27,114,43
27,116,43
27,117,43
27,118,43
28,117,43
28,118,43
28,119,43
29,105,43
29,119,43
31,108,43
32,103,43
33,100,43
33,101,43
33,103,43
34,100,43
35,98,43
35,101,43
35,119,43
36,92,43
36,97,43
36,116,43
36,117,43
36,119,43
37,97,43
38,100,43
38,101,43
39,96,43
41,93,43
41,95,43
41,114,43
42,95,43
42,114,43
43,95,43
43,119,43
43,120,43
43,121,43
43,122,43
44,92,136
44,94,43
44,121,43
44,123,43
45,92,136
45,94,43
45,123,43
46,112,43
46,119,43
47,94,136
47,122,43
48,90,136
48,105,43
49,92,136
49,106,43
49,112,43
50,124,43
51,89,136
51,111,43
51,125,43
52,90,136
53,87,136
54,87,136
54,111,43
55,41,160
55,45,160
55,87,136
55,88,136
56,41,160
56,44,160
56,45,160
56,47,160
56,80,136
56,84,136
56,87,136
56,88,136
56,132,43
57,46,160
57,47,160
57,48,160
57,49,160
57,83,136
57,84,136
57,85,136
58,83,136
58,84,136
59,41,160
59,80,136
59,84,136
59,86,136
59,87,136
60,40,160
60,83,136
60,87,136
60,88,136
61,47,160
61,88,136
61,134,43
61,135,43
62,46,160
62,47,160
62,135,43
63,42,160
63,48,160
63,76,136
63,95,136
64,42,160
64,49,160
64,76,136
65,56,160
65,75,136
66,42,160
66,46,160
66,55,160
66,57,160
66,75,136
66,80,136
67,57,160
67,58,160
67,59,160
67,65,160
67,66,160
67,67,136
67,77,136
68,57,160
68,58,160
68,59,160
68,64,160
68,65,160
68,66,160
68,67,136
69,58,160
69,59,160
69,63,160
69,64,160
69,66,160
69,67,160
69,68,136
69,71,136
70,44,160
70,54,160
70,59,160
70,62,160
70,63,160
70,64,160
70,72,136
70,125,307
71,59,160
71,60,160
71,76,136
71,78,136
71,92,136
71,112,307
72,46,160
72,47,160
72,58,160
72,85,136
72,125,307
73,42,160
73,47,160
73,56,160
73,85,136
73,105,307
73,123,307
73,126,307
74,68,136
74,69,136
74,88,136
74,123,307
75,43,160
75,48,160
75,49,160
75,59,160
75,66,160
75,68,160
75,92,136
75,124,307
76,50,160
76,52,160
76,66,160
76,124,307
77,45,160
77,75,136
78,42,160
78,47,160
78,48,160
78,89,136
78,92,136
79,45,160
79,46,160
79,89,136
79,93,136
80,45,160
80,50,160
80,77,136
80,90,136
81,44,160
81,46,160
81,47,160
81,48,160
81,50,160
81,51,160
81,89,136
81,90,136
82,43,160
82,46,160
82,47,160
82,48,160
82,61,160
82,77,136
82,94,307
82,95,307
83,57,314
83,59,314
83,85,136
83,88,136
83,98,307
84,48,314
84,52,314
84,56,314
84,59,314
84,81,136
84,82,136
85,55,314
85,56,314
85,59,314
85,79,136
85,97,307
85,124,307
86,57,314
86,78,136
86,106,307
87,53,314
87,65,314
87,69,314
87,75,136
87,104,307
88,64,314
88,104,307
89,50,314
89,61,314
89,62,314
89,73,314
89,104,307
90,49,314
90,52,314
90,55,314
90,62,314
90,69,314
90,71,314
90,72,314
91,49,314
91,52,314
91,56,314
91,61,314
91,62,314
91,71,314
92,50,314
92,61,314
92,95,307
92,105,307
93,47,314
93,48,314
93,49,314
93,56,314
93,61,314
93,62,314
93,102,307
93,103,307
94,47,314
94,48,314
94,53,314
94,55,314
94,67,314
94,101,307
94,102,307
94,103,307
94,104,307
94,105,307
95,47,314
95,48,314
95,53,314
95,54,314
95,55,314
95,101,307
95,102,307
95,103,307
95,104,307
95,105,307
95,106,307
96,47,314
96,48,314
96,53,314
96,54,314
96,55,314
96,60,314
96,101,307
96,102,307
96,103,307
96,104,307
96,105,307
96,106,307
96,107,307
97,47,314
97,49,314
97,50,314
97,52,314
97,53,314
97,54,314
97,61,314
97,98,307
97,101,307
97,102,307
97,103,307
97,104,307
97,105,307
97,106,307
98,48,314
98,49,314
98,50,314
98,51,314
98,102,307
98,103,307
98,104,307
98,105,307
98,106,307
98,107,307
99,48,314
99,49,314
99,50,314
99,51,314
99,53,314
99,54,314
99,80,307
99,81,307
99,103,307
99,104,307
99,105,307
99,106,307
99,107,307
100,51,314
100,62,314
100,73,314
100,94,307
100,95,307
100,97,307
100,106,307
100,107,307
101,50,314
101,51,314
101,68,314
101,90,307
101,91,307
101,94,307
102,62,314
102,64,314
103,64,314
103,65,314
104,51,314
104,56,314
104,60,314
104,64,314
104,86,307
105,51,314
105,83,307
106,51,314
106,54,314
106,55,314
106,58,314
106,83,461
107,54,314
107,56,314
107,82,461
107,106,307
108,51,314
108,52,314
108,54,314
109,51,314
109,52,314
109,54,314
110,52,314
110,56,314
111,53,314
111,55,314
111,56,314
112,62,461
112,82,461
