"y","x","cluster_id"
47,134,76
59,103,76
59,106,76
59,113,76
92,176,76
93,152,76
93,175,76
93,177,76
94,177,76
95,178,76
95,179,76
96,179,76
96,180,76
96,181,76
96,182,76
96,183,76
96,184,76
96,185,76
96,186,76
97,179,76
97,182,76
97,183,76
97,184,76
97,185,76
97,186,76
97,187,76
97,188,76
97,189,76
97,190,76
97,191,76
98,183,76
98,184,76
98,185,76
98,186,76
98,187,76
98,188,76
98,189,76
98,190,76
98,191,76
98,192,76
98,193,76
98,194,76
98,195,76
99,183,76
99,184,76
99,185,76
99,186,76
99,187,76
99,188,76
99,189,76
99,190,76
99,191,76
99,192,76
99,193,76
99,194,76
99,195,76
99,196,76
100,186,76
100,187,76
100,188,76
100,189,76
100,190,76
100,191,76
100,192,76
100,193,76
100,194,76
100,195,76
101,187,76
101,188,76
101,189,76
101,190,76
101,191,76
101,192,76
104,202,76
104,203,76
105,202,76
106,231,76
112,169,76
118,209,76
122,232,76
122,237,76
128,233,76
134,197,76
134,217,76
135,218,76
135,220,76
135,234,76
135,235,76
137,213,76
137,226,76
139,216,76
140,216,76
141,217,76
143,189,76
144,194,76
145,190,76
146,189,76
147,218,76
149,197,76
149,208,76
149,222,76
150,211,76
150,238,76
151,211,76
151,239,76
151,245,76
152,210,76
152,245,76
153,245,76
156,218,76
156,337,148
157,297,148
157,337,148
158,335,148
158,336,148
158,337,148
159,212,76
159,313,148
159,335,148
160,334,148
161,215,76
161,309,148
161,313,148
162,217,76
164,309,148
164,310,148
165,310,148
169,337,148
169,346,148
170,345,148
170,346,148
171,344,148
171,346,148
172,347,148
173,347,148
174,347,148
174,348,148
175,347,148
183,307,148
184,306,148
184,308,148
185,307,148
185,308,148
186,308,148
186,309,148
187,309,148
188,309,148
189,310,148
193,368,148
195,357,148
195,503,167
197,504,167
197,519,167
198,503,167
199,501,167
204,353,148
205,353,148
205,510,167
205,511,167
205,512,167
206,494,167
207,486,167
209,336,148
210,277,148
210,336,148
210,472,167
210,501,167
212,319,148
213,272,148
216,271,148
216,307,148
217,271,148
217,299,148
217,308,148
218,273,148
220,283,148
220,471,167
221,321,148
221,336,148
222,328,148
223,254,256
224,255,256
224,256,256
225,257,256
226,268,256
228,269,256
229,338,148
230,339,148
231,298,256
231,338,148
234,284,256
236,269,256
237,279,256
238,339,256
239,326,256
240,329,256
242,342,256
243,298,256
251,301,256
251,309,256
256,279,256
256,305,256
257,220,256
257,229,256
257,303,256
257,304,256
257,305,256
258,220,256
258,221,256
258,235,256
258,279,256
258,281,256
258,302,256
258,303,256
258,304,256
258,305,256
259,204,364
259,303,256
259,305,256
260,282,256
261,302,256
261,345,256
261,346,256
261,347,256
261,348,256
262,345,256
262,346,256
262,347,256
262,348,256
263,215,256
263,267,256
263,284,256
263,298,256
263,345,256
263,346,256
263,347,256
263,348,256
264,223,256
264,224,256
264,293,256
264,297,256
264,298,256
264,300,256
264,346,256
264,347,256
265,224,256
265,298,256
265,299,256
265,345,256
265,346,256
265,347,256
265,506,167
266,223,256
266,285,256
266,291,256
266,293,256
266,299,256
266,301,256
266,304,256
266,333,256
266,334,256
266,347,256
267,333,256
268,286,256
268,334,256
269,204,364
269,288,256
270,202,364
270,203,364
270,287,256
270,334,256
271,202,364
271,289,256
272,224,256
272,335,256
273,336,256
275,126,364
275,197,364
275,222,256
275,533,167
276,125,364
276,126,364
278,125,364
280,224,256
280,292,256
281,125,364
281,218,256
281,273,256
282,125,364
282,218,256
282,239,256
282,273,256
283,221,256
283,266,256
283,268,256
283,269,256
283,273,256
283,292,256
284,267,256
284,269,256
284,292,256
285,267,256
285,269,256
285,291,256
286,290,256
286,291,256
287,222,256
287,290,256
287,291,256
288,290,256
290,289,256
293,291,256
294,211,364
294,286,256
295,119,364
295,121,364
296,174,364
296,175,364
297,102,364
297,175,364
298,100,364
298,103,364
298,175,364
298,209,364
298,291,256
299,139,364
299,173,364
299,208,364
299,290,256
299,291,256
300,104,364
300,179,364
300,208,364
300,289,256
300,290,256
301,100,364
301,101,364
301,102,364
301,213,364
301,288,256
301,289,256
302,101,364
302,169,364
302,179,364
302,289,256
303,102,364
303,167,364
303,179,364
304,102,364
304,135,364
304,285,256
305,177,364
305,178,364
306,170,364
307,176,364
308,100,364
308,174,364
309,174,364
309,175,364
310,172,364
312,172,364
313,68,364
313,135,364
313,147,364
313,171,364
314,67,364
314,68,364
316,177,364
316,178,364
317,176,364
317,177,364
318,175,364
319,72,364
320,70,364
324,170,364
333,393,256
335,380,256
347,280,256
351,160,364
352,276,256
395,174,364
397,172,364
397,176,364
398,173,364
398,176,364
399,173,364
399,176,364
399,177,364
402,173,364
