"y","x","cluster_id"
30,127,54
56,185,54
79,487,11
80,488,11
80,489,11
80,490,11
81,487,11
81,488,11
82,486,11
82,487,11
82,488,11
83,486,11
129,41,54
133,517,11
133,519,11
133,520,11
134,519,11
164,167,54
166,166,54
167,166,54
167,167,54
168,166,54
169,166,54
169,167,54
169,168,54
170,163,54
170,166,54
170,167,54
171,166,54
171,167,54
186,234,54
186,241,54
187,235,54
187,245,54
188,118,54
188,235,54
188,397,99
188,404,99
190,121,54
191,239,54
193,237,54
193,239,54
193,240,54
194,237,54
195,241,54
195,242,54
196,128,54
197,265,54
198,53,54
199,250,54
234,218,54
234,360,99
235,219,54
236,162,54
236,222,54
246,364,99
253,413,99
253,427,99
254,219,54
254,413,99
254,414,99
254,416,99
254,426,99
254,427,99
254,428,99
255,218,54
255,219,54
255,357,99
255,358,99
255,359,99
255,426,99
255,427,99
255,428,99
256,218,54
256,355,99
256,357,99
256,358,99
256,359,99
257,356,99
257,357,99
257,358,99
257,359,99
257,360,99
257,413,99
257,414,99
259,223,54
273,174,54
275,176,54
275,177,54
275,178,54
276,175,54
276,176,54
276,177,54
276,178,54
277,175,54
277,176,54
277,177,54
277,178,54
277,390,99
278,178,54
278,180,54
278,389,99
278,390,99
278,391,99
279,177,54
279,179,54
279,180,54
279,181,54
279,389,99
279,390,99
279,391,99
280,179,54
280,180,54
280,181,54
280,390,99
280,391,99
280,392,99
281,178,54
281,179,54
281,180,54
281,181,54
281,182,54
281,390,99
281,391,99
281,392,99
282,178,54
282,180,54
282,181,54
282,391,99
282,392,99
283,180,54
283,181,54
286,267,54
290,310,99
314,108,54
327,127,54
338,205,54
386,142,54
388,166,54
