"y","x","cluster_id"
37,309,69
37,310,69
38,303,69
38,309,69
38,310,69
39,303,69
41,266,69
41,267,69
41,270,69
41,324,69
42,266,69
42,267,69
42,268,69
42,269,69
42,306,69
43,265,69
43,266,69
43,267,69
43,268,69
43,269,69
43,299,69
43,300,69
43,301,69
43,302,69
43,321,69
44,266,69
44,267,69
44,268,69
44,294,69
44,295,69
44,296,69
44,297,69
44,298,69
44,299,69
44,300,69
44,301,69
44,302,69
45,266,69
45,267,69
45,270,69
45,293,69
45,294,69
45,295,69
45,296,69
45,298,69
46,293,69
46,294,69
46,295,69
46,296,69
47,93,466
47,230,244
47,294,69
47,295,69
47,296,69
48,262,69
48,263,69
48,295,69
49,96,466
49,262,69
49,294,69
49,295,69
50,261,69
50,290,69
51,104,466
51,235,244
51,290,69
52,104,466
52,286,69
52,288,69
53,104,466
54,287,69
55,177,244
55,268,69
55,331,69
56,330,69
56,331,69
57,229,244
58,229,244
58,325,69
59,228,244
59,230,244
59,231,244
59,325,69
60,231,244
60,276,69
60,323,69
61,229,244
61,236,244
61,266,69
61,328,69
62,86,466
62,228,244
62,265,69
62,266,69
62,267,69
63,234,244
63,260,69
63,261,69
63,265,69
63,266,69
64,259,244
64,261,69
64,263,69
64,264,69
64,265,69
64,266,69
65,232,244
65,242,244
65,261,69
65,264,69
65,265,69
66,80,466
66,226,244
66,231,244
66,232,244
66,241,244
66,257,244
67,226,244
67,232,244
68,79,466
68,230,244
68,246,244
69,82,466
69,224,244
70,81,466
70,230,244
70,232,244
70,248,244
70,254,244
70,255,244
71,247,244
71,248,244
71,249,244
71,250,244
71,252,244
72,81,466
72,82,466
72,223,244
72,248,244
72,249,244
72,250,244
72,251,244
72,252,244
72,253,244
73,81,466
73,82,466
73,220,244
73,224,244
73,225,244
73,226,244
73,227,244
73,247,244
73,248,244
73,249,244
73,250,244
73,251,244
73,341,69
74,81,466
74,82,466
74,83,466
74,220,244
74,221,244
74,222,244
74,223,244
74,224,244
74,225,244
74,226,244
74,227,244
74,247,244
74,248,244
74,249,244
74,250,244
74,251,244
74,340,69
75,81,466
75,82,466
75,83,466
75,220,244
75,221,244
75,222,244
75,223,244
75,224,244
75,225,244
75,226,244
75,227,244
75,245,244
75,246,244
75,247,244
75,248,244
75,249,244
75,250,244
75,251,244
76,80,466
76,81,466
76,82,466
76,83,466
76,109,466
76,220,244
76,221,244
76,222,244
76,223,244
76,224,244
76,225,244
76,226,244
76,246,244
76,247,244
76,248,244
76,249,244
76,250,244
76,251,244
76,318,69
77,79,466
77,80,466
77,81,466
77,82,466
77,83,466
77,217,244
77,218,244
77,219,244
77,220,244
77,221,244
77,222,244
77,223,244
77,224,244
77,225,244
77,246,244
77,247,244
77,248,244
77,249,244
77,250,244
77,251,244
77,252,244
77,318,69
78,79,466
78,80,466
78,81,466
78,82,466
78,218,244
78,219,244
78,222,244
78,223,244
78,224,244
78,225,244
78,231,244
78,246,244
78,247,244
78,248,244
78,249,244
78,250,244
78,251,244
79,79,466
79,80,466
79,81,466
79,82,466
79,98,466
79,218,244
79,222,244
79,240,244
79,247,244
79,248,244
79,249,244
79,250,244
79,251,244
79,252,244
80,80,466
80,81,466
80,82,466
80,98,466
80,218,244
80,221,244
80,227,244
80,228,244
80,230,244
80,246,244
80,247,244
80,248,244
80,249,244
80,250,244
80,251,244
81,80,466
81,81,466
81,217,244
81,218,244
81,219,244
81,220,244
81,221,244
81,247,244
81,248,244
81,249,244
82,99,466
82,100,466
82,218,244
82,219,244
82,221,244
83,99,466
83,100,466
83,220,244
84,99,466
84,100,466
84,101,466
85,96,466
85,99,466
85,100,466
85,101,466
85,212,244
85,213,244
85,215,244
85,216,244
86,81,466
86,82,466
86,96,466
86,97,466
86,99,466
86,100,466
86,101,466
86,103,466
86,215,244
86,216,244
86,263,244
87,81,466
87,82,466
87,97,466
87,99,466
87,100,466
87,101,466
87,214,244
87,215,244
87,216,244
88,100,466
88,101,466
88,102,466
89,100,466
89,101,466
89,237,244
90,52,466
90,100,466
90,101,466
91,100,466
91,101,466
91,211,244
91,212,244
91,213,244
91,214,244
92,93,466
92,95,466
92,100,466
92,101,466
92,102,466
92,209,244
92,212,244
92,213,244
92,214,244
92,270,244
92,356,69
93,95,466
93,96,466
93,100,466
93,101,466
93,209,244
93,210,244
93,211,244
93,212,244
93,213,244
93,214,244
94,95,466
94,96,466
94,100,466
94,101,466
94,210,244
94,212,244
94,213,244
94,214,244
94,246,244
94,356,69
95,85,466
95,95,466
95,96,466
95,97,466
95,212,244
95,213,244
95,246,244
95,247,244
96,80,466
96,95,466
96,96,466
96,97,466
96,246,244
96,247,244
