"y","x","cluster_id"
25,386,6
29,388,6
31,394,6
32,389,6
41,404,6
51,415,6
52,416,6
53,416,6
53,417,6
54,417,6
66,434,6
67,435,6
68,436,6
69,437,6
72,437,6
109,148,195
110,148,195
116,172,195
117,170,195
118,170,195
119,153,195
119,169,195
121,150,195
122,185,195
125,162,195
125,163,195
125,164,195
125,165,195
125,166,195
125,167,195
125,184,195
126,162,195
126,163,195
126,164,195
126,165,195
126,166,195
126,167,195
126,184,195
127,164,195
127,165,195
127,166,195
127,179,195
127,183,195
127,184,195
128,163,195
128,165,195
128,166,195
128,167,195
129,166,195
130,159,195
130,182,195
131,158,195
131,159,195
131,160,195
131,161,195
131,165,195
131,166,195
132,124,306
132,157,195
132,158,195
132,159,195
132,160,195
132,161,195
132,162,195
132,163,195
132,164,195
132,165,195
132,166,195
132,167,195
132,168,195
133,124,306
133,125,306
133,156,195
133,157,195
133,158,195
133,159,195
133,160,195
133,161,195
133,162,195
133,163,195
133,164,195
133,165,195
133,166,195
133,167,195
133,185,195
134,123,306
134,124,306
134,156,195
134,157,195
134,158,195
134,159,195
134,160,195
134,161,195
134,162,195
134,163,195
134,164,195
134,165,195
134,166,195
134,167,195
134,187,195
135,121,306
135,123,306
135,124,306
135,155,195
135,156,195
135,157,195
135,158,195
135,159,195
135,160,195
135,161,195
135,162,195
135,163,195
135,164,195
135,165,195
135,166,195
135,170,195
136,112,306
136,117,306
136,121,306
136,122,306
136,124,306
136,155,195
136,156,195
136,157,195
136,158,195
136,159,195
136,160,195
136,161,195
136,162,195
136,163,195
136,164,195
136,165,195
136,166,195
136,170,195
136,187,195
137,122,306
137,123,306
137,124,306
137,125,306
137,156,195
137,157,195
137,158,195
137,159,195
137,160,195
137,161,195
137,162,195
137,163,195
137,164,195
137,165,195
137,166,195
137,169,195
138,83,306
138,93,306
138,102,306
138,104,306
138,114,306
138,116,306
138,117,306
138,125,306
138,158,195
138,159,195
138,160,195
138,161,195
138,162,195
138,163,195
138,164,195
138,165,195
138,166,195
138,169,195
138,187,195
139,82,306
139,86,306
139,87,306
139,95,306
139,97,306
139,98,306
139,101,306
139,103,306
139,104,306
139,106,306
139,108,306
139,115,306
139,116,306
139,117,306
139,122,306
139,125,306
139,157,195
139,158,195
139,159,195
139,160,195
139,161,195
139,162,195
139,163,195
139,164,195
139,165,195
139,187,195
139,188,195
139,191,195
140,83,306
140,85,306
140,86,306
140,87,306
140,88,306
140,94,306
140,97,306
140,98,306
140,99,306
140,100,306
140,103,306
140,106,306
140,112,306
140,117,306
140,118,306
140,158,195
140,159,195
140,160,195
140,161,195
140,162,195
140,163,195
140,164,195
141,85,306
141,86,306
141,89,306
141,94,306
141,98,306
141,99,306
141,113,306
141,117,306
141,118,306
141,119,306
141,121,306
141,161,195
141,162,195
141,163,195
141,164,195
141,165,195
142,94,306
142,95,306
142,96,306
142,99,306
142,104,306
142,112,306
142,113,306
142,117,306
142,118,306
142,120,306
142,121,306
142,125,306
142,161,195
142,162,195
142,164,195
142,165,195
142,166,195
142,169,195
142,176,195
143,85,306
143,100,306
143,101,306
143,105,306
143,113,306
143,114,306
143,116,306
143,120,306
143,123,306
143,163,195
143,164,195
143,165,195
143,175,195
143,177,195
143,187,195
144,97,306
144,112,306
144,113,306
144,114,306
144,115,306
144,121,306
144,164,195
144,170,195
144,175,195
144,176,195
144,177,195
145,88,306
145,95,306
145,97,306
145,98,306
145,113,306
145,114,306
145,115,306
145,116,306
145,119,306
145,122,306
145,176,195
146,103,306
146,104,306
146,113,306
146,114,306
146,116,306
146,120,306
146,121,306
146,167,195
146,169,195
146,179,195
146,185,195
147,98,306
147,101,306
147,114,306
147,115,306
147,121,306
147,124,306
148,124,306
148,140,306
148,174,195
148,175,195
149,83,306
149,102,306
149,119,306
149,125,306
149,138,306
149,188,195
150,137,306
150,138,306
150,187,195
151,140,306
151,143,195
151,176,195
152,137,306
152,138,306
152,168,195
152,169,195
152,170,195
152,172,195
152,173,195
153,138,306
153,139,306
153,140,306
153,142,195
153,144,195
153,173,195
154,137,306
154,139,306
154,163,195
155,135,306
155,137,306
155,139,306
155,142,195
156,78,679
156,136,306
156,166,195
156,168,195
157,72,679
157,86,679
157,96,306
157,118,306
157,161,195
157,166,195
157,167,195
157,169,195
158,130,306
158,138,306
158,161,195
158,166,195
158,175,195
159,57,679
159,134,306
159,162,195
159,166,195
159,167,195
159,168,195
159,169,195
159,182,195
160,56,679
160,60,679
160,61,679
160,63,679
160,66,679
160,68,679
160,77,679
160,78,679
160,134,306
160,144,195
160,168,195
160,169,195
161,60,679
161,61,679
161,64,679
161,65,679
161,66,679
161,67,679
161,69,679
161,70,679
161,78,679
161,82,679
161,170,195
162,57,679
162,63,679
162,64,679
162,69,679
162,70,679
162,71,679
162,82,679
162,83,679
162,109,306
163,55,679
163,64,679
163,72,679
163,85,679
164,55,679
164,56,679
164,57,679
164,58,679
164,59,679
164,62,679
164,67,679
164,72,679
164,73,679
164,85,679
164,86,679
164,87,679
164,88,679
164,94,306
164,137,306
