"y","x","cluster_id"
16,64,277
16,75,277
17,75,277
17,76,277
17,77,277
18,75,277
18,76,277
18,77,277
19,75,277
19,76,277
19,77,277
20,76,277
20,77,277
20,111,143
21,76,277
21,77,277
22,74,277
22,75,277
22,76,277
22,127,143
22,131,143
23,74,277
23,75,277
23,76,277
23,106,143
23,126,143
23,131,143
23,132,143
23,133,143
23,138,143
24,75,277
24,76,277
24,125,143
24,126,143
24,127,143
24,128,143
24,129,143
24,130,143
24,131,143
24,132,143
24,133,143
24,134,143
24,138,143
24,139,143
24,141,143
25,74,277
25,75,277
25,125,143
25,126,143
25,127,143
25,128,143
25,129,143
25,130,143
25,131,143
25,132,143
25,133,143
25,134,143
25,135,143
25,138,143
25,139,143
25,140,143
26,74,277
26,75,277
26,123,143
26,124,143
26,126,143
26,128,143
26,129,143
26,130,143
26,131,143
26,132,143
26,133,143
26,134,143
26,137,143
26,138,143
26,139,143
26,140,143
26,141,143
26,142,143
27,74,277
27,126,143
27,127,143
27,128,143
27,138,143
27,139,143
27,140,143
27,141,143
27,142,143
28,74,277
28,132,143
28,137,143
28,138,143
28,140,143
28,141,143
28,142,143
28,143,143
28,150,143
29,66,277
29,74,277
29,120,143
29,122,143
29,123,143
29,124,143
29,129,143
29,131,143
29,132,143
29,133,143
29,139,143
29,140,143
29,141,143
29,150,143
29,151,143
30,62,277
30,68,277
30,69,277
30,73,277
30,74,277
30,120,143
30,124,143
30,125,143
30,126,143
30,130,143
30,131,143
30,132,143
30,133,143
30,139,143
30,140,143
30,141,143
30,142,143
31,70,277
31,71,277
31,73,277
31,74,277
31,122,143
31,124,143
31,125,143
31,126,143
31,127,143
31,128,143
31,129,143
31,130,143
31,131,143
31,132,143
31,141,143
31,142,143
32,73,277
32,122,143
32,123,143
32,125,143
32,126,143
32,127,143
32,131,143
33,72,277
33,73,277
33,123,143
33,126,143
33,127,143
34,68,277
34,70,277
34,71,277
34,73,277
35,69,277
35,70,277
35,71,277
35,72,277
35,73,277
35,123,143
35,130,143
35,135,143
36,68,277
36,69,277
36,70,277
36,72,277
36,122,143
36,124,143
36,149,143
36,175,143
37,65,277
37,66,277
37,70,277
37,72,277
37,121,143
37,122,143
38,60,277
38,65,277
38,66,277
38,67,277
38,68,277
38,69,277
38,70,277
38,71,277
38,121,143
38,148,143
39,66,277
39,67,277
39,68,277
39,69,277
39,70,277
39,71,277
39,118,143
39,145,143
40,59,277
40,66,277
40,67,277
40,70,277
40,71,277
40,116,143
40,118,143
40,146,143
41,70,277
41,144,143
43,69,277
43,70,277
43,187,143
47,67,277
47,68,277
47,122,143
47,123,143
47,124,143
47,133,143
48,68,277
48,120,143
48,145,143
49,132,143
49,146,143
52,70,277
52,120,143
53,65,277
53,69,277
53,70,277
53,71,277
53,120,143
53,133,143
54,64,277
54,65,277
54,66,277
54,68,277
54,69,277
54,70,277
54,71,277
54,72,277
54,73,277
54,74,277
54,88,277
54,133,143
55,61,277
55,62,277
55,63,277
55,64,277
55,65,277
55,67,277
55,68,277
55,69,277
55,70,277
55,71,277
55,72,277
55,73,277
55,76,277
55,77,277
56,61,277
56,62,277
56,63,277
56,64,277
56,65,277
56,69,277
56,70,277
56,72,277
56,74,277
56,77,277
57,63,277
57,64,277
57,65,277
57,69,277
57,70,277
57,71,277
57,72,277
57,73,277
58,66,277
58,68,277
58,69,277
58,71,277
58,76,277
58,146,143
59,67,277
59,68,277
59,74,277
59,77,277
59,78,277
59,80,277
60,59,277
60,65,277
60,66,277
60,67,277
60,68,277
60,69,277
60,70,277
60,71,277
60,77,277
60,78,277
61,64,277
61,65,277
61,66,277
61,67,277
61,68,277
61,74,277
61,76,277
62,64,277
62,69,277
62,74,277
63,64,277
63,69,277
63,71,277
63,72,277
63,73,277
63,75,277
63,76,277
63,292,572
64,60,277
64,61,277
64,62,277
64,63,277
64,64,277
64,72,277
64,73,277
64,76,277
64,222,572
65,63,277
65,66,277
65,72,277
65,73,277
65,75,277
65,76,277
65,82,277
66,59,277
66,61,277
66,64,277
66,66,277
66,73,277
66,76,277
66,81,277
66,82,277
66,83,277
67,60,277
67,63,277
67,66,277
67,67,277
67,68,277
67,72,277
67,74,277
67,76,277
67,82,277
67,83,277
67,84,277
67,85,277
67,204,572
67,205,572
67,210,572
68,67,277
68,68,277
68,69,277
68,70,277
68,73,277
68,76,277
68,77,277
68,81,277
68,82,277
68,83,277
68,84,277
68,147,143
68,209,572
69,61,277
69,62,277
69,63,277
69,64,277
69,65,277
69,66,277
69,68,277
69,69,277
69,72,277
69,73,277
69,75,277
69,77,277
69,79,277
69,80,277
69,81,277
69,82,277
69,83,277
69,84,277
69,85,277
69,88,277
69,202,572
70,66,277
70,68,277
70,71,277
70,72,277
70,73,277
70,74,277
70,78,277
70,79,277
70,80,277
70,81,277
70,82,277
70,83,277
70,87,277
71,66,277
71,68,277
71,69,277
71,71,277
71,73,277
71,74,277
71,78,277
71,80,277
71,81,277
71,83,277
71,88,277
72,72,277
72,75,277
72,78,277
72,80,277
72,81,277
72,84,277
72,85,277
73,69,277
73,81,277
73,85,277
73,86,277
73,87,277
73,119,143
73,246,572
73,441,1149
74,80,277
74,81,277
74,151,143
75,82,277
75,86,277
75,149,143
75,151,143
75,442,1149
76,81,277
76,82,277
77,85,277
77,86,277
77,87,277
77,270,572
77,438,1149
77,441,1149
78,86,277
78,305,572
79,84,277
79,85,277
79,86,277
79,87,277
79,153,143
79,282,572
80,71,277
80,84,277
80,85,277
80,86,277
80,89,277
80,220,572
80,249,572
80,357,1149
81,85,277
81,86,277
81,220,572
82,86,277
82,215,572
82,224,572
82,300,572
83,80,277
83,84,277
83,88,277
83,248,572
83,256,572
83,257,572
84,219,572
84,247,572
84,249,572
84,251,572
84,254,572
84,255,572
84,256,572
84,258,572
85,90,277
85,92,277
85,246,572
85,247,572
85,248,572
85,249,572
85,250,572
85,251,572
85,254,572
85,255,572
85,256,572
85,257,572
85,258,572
85,348,1149
86,194,572
86,213,572
86,219,572
86,239,572
86,247,572
86,248,572
86,249,572
86,252,572
86,253,572
86,254,572
86,255,572
86,257,572
86,258,572
87,194,572
87,195,572
87,196,572
87,219,572
87,247,572
87,248,572
87,250,572
87,251,572
87,252,572
87,253,572
87,254,572
87,255,572
87,256,572
87,257,572
88,80,277
88,194,572
88,195,572
88,196,572
88,219,572
88,236,572
88,248,572
88,249,572
88,250,572
88,251,572
88,252,572
88,253,572
88,254,572
88,256,572
88,257,572
88,329,572
88,330,572
89,81,277
89,195,572
89,196,572
89,202,572
89,236,572
89,237,572
89,238,572
89,239,572
89,246,572
89,247,572
89,248,572
89,249,572
89,250,572
89,251,572
89,252,572
89,253,572
89,254,572
89,255,572
89,256,572
90,81,277
90,195,572
90,196,572
90,235,572
90,237,572
90,238,572
90,239,572
90,246,572
90,247,572
90,250,572
90,251,572
90,252,572
90,253,572
90,254,572
90,255,572
90,326,572
91,84,277
91,87,277
91,237,572
91,238,572
91,239,572
91,241,572
91,250,572
91,251,572
91,252,572
91,253,572
91,322,572
92,236,572
92,237,572
92,238,572
92,242,572
92,243,572
92,249,572
92,250,572
92,251,572
92,252,572
92,253,572
92,254,572
92,266,572
92,267,572
92,313,572
92,320,572
92,321,572
93,238,572
93,239,572
93,240,572
93,241,572
93,242,572
93,243,572
93,249,572
93,250,572
93,251,572
93,252,572
93,253,572
93,266,572
93,267,572
93,331,1149
94,238,572
94,239,572
94,240,572
94,241,572
94,242,572
94,243,572
94,244,572
94,251,572
94,252,572
94,253,572
94,265,572
94,267,572
94,268,572
94,317,572
94,319,572
95,238,572
95,239,572
95,240,572
95,241,572
95,242,572
95,251,572
95,267,572
95,269,572
95,273,572
95,320,572
95,387,1149
96,239,572
96,240,572
96,241,572
96,242,572
96,243,572
96,265,572
96,266,572
96,267,572
96,268,572
96,275,572
96,386,1149
96,388,1149
96,457,1149
97,141,1121
97,239,572
97,241,572
97,242,572
97,265,572
97,266,572
97,271,572
97,272,572
97,275,572
98,43,1025
98,266,572
98,268,572
98,269,572
98,271,572
98,272,572
98,388,1149
99,43,1025
99,44,1025
99,249,572
99,265,572
99,269,572
99,271,572
99,310,572
100,44,1025
100,254,572
100,267,572
100,272,572
100,314,572
100,315,572
100,316,572
100,327,1149
100,387,1149
100,389,1149
101,70,1025
102,67,1025
102,68,1025
103,41,1025
103,42,1025
103,67,1025
103,68,1025
103,69,1025
103,96,1121
104,250,572
106,42,1025
106,94,1121
106,96,1121
106,366,1149
107,41,1025
107,42,1025
107,46,1025
107,64,1025
107,65,1025
108,41,1025
108,42,1025
108,43,1025
108,44,1025
108,66,1025
108,69,1025
108,70,1025
108,104,1121
108,125,1121
108,274,572
109,41,1025
109,42,1025
109,43,1025
109,44,1025
109,45,1025
109,51,1025
109,68,1025
109,107,1121
109,122,1121
110,41,1025
110,42,1025
110,43,1025
110,44,1025
110,45,1025
110,50,1025
110,51,1025
110,52,1025
110,54,1025
110,60,1025
110,61,1025
110,105,1121
110,106,1121
110,107,1121
110,144,1121
110,146,1121
110,364,1149
111,40,1025
111,41,1025
111,42,1025
111,43,1025
111,44,1025
111,45,1025
111,46,1025
111,47,1025
111,49,1025
111,50,1025
111,51,1025
111,52,1025
111,53,1025
111,54,1025
111,55,1025
111,56,1025
111,57,1025
111,105,1121
111,107,1121
111,109,1121
111,111,1121
111,115,1121
111,116,1121
111,118,1121
111,123,1121
111,146,2233
112,41,1025
112,42,1025
112,45,1025
112,46,1025
112,47,1025
112,48,1025
112,49,1025
112,50,1025
112,51,1025
112,52,1025
112,61,1025
112,69,1025
112,108,1121
112,110,1121
112,111,1121
112,112,1121
112,113,1121
112,115,1121
112,116,1121
112,117,1121
112,118,1121
112,119,1121
112,146,2233
112,147,2233
112,264,572
113,45,1025
113,46,1025
113,47,1025
113,48,1025
113,49,1025
113,50,1025
113,51,1025
113,52,1025
113,60,1025
113,61,1025
113,67,1025
113,68,1025
113,69,1025
113,70,1025
113,71,1025
113,72,1025
113,99,1121
113,111,1121
113,112,1121
113,113,1121
113,114,1121
113,115,1121
113,116,1121
113,117,1121
113,118,1121
113,119,1121
113,135,1121
113,147,2233
114,46,1025
114,47,1025
114,48,1025
114,49,1025
114,50,1025
114,51,1025
114,54,1025
114,67,1025
114,68,1025
114,69,1025
114,70,1025
114,71,1025
114,73,1025
114,110,1121
114,117,1121
114,118,1121
114,119,1121
114,146,2233
114,147,2233
114,313,572
115,42,1025
115,47,1025
115,48,1025
115,49,1025
115,50,1025
115,51,1025
115,52,1025
115,117,1121
115,125,1121
115,314,572
116,47,1025
116,48,1025
116,49,1025
116,50,1025
116,51,1025
116,52,1025
116,58,1025
116,59,1025
116,60,1025
116,105,1121
116,112,1121
116,126,1121
117,51,1025
117,52,1025
117,56,1025
117,59,1025
117,60,1025
117,100,1121
117,106,1121
117,107,1121
117,108,1121
117,109,1121
117,110,1121
117,111,1121
117,112,1121
117,113,1121
117,114,1121
117,125,1121
117,131,1121
118,48,1025
118,49,1025
118,51,1025
118,52,1025
118,53,1025
118,54,1025
118,55,1025
118,56,1025
118,58,1025
118,59,1025
118,60,1025
118,61,1025
118,106,1121
118,107,1121
118,108,1121
118,109,1121
118,110,1121
118,112,1121
118,113,1121
118,114,1121
118,121,1121
118,122,1121
118,131,1121
119,48,1025
119,49,1025
119,52,1025
119,53,1025
119,54,1025
119,55,1025
119,56,1025
119,58,1025
119,59,1025
119,60,1025
119,108,1121
119,109,1121
119,110,1121
119,112,1121
119,113,1121
119,114,1121
119,130,1121
119,131,1121
120,47,1025
120,48,1025
120,55,1025
120,75,1025
120,109,1121
120,111,1121
120,113,1121
120,115,1121
120,116,1121
121,45,1025
121,50,1025
121,56,1025
121,71,1025
121,107,1121
121,108,1121
121,111,1121
121,112,1121
121,114,1121
121,115,1121
121,116,1121
121,150,2233
122,45,1025
122,46,1025
122,48,1025
122,57,1025
122,59,1025
122,107,1121
122,109,1121
122,110,1121
122,111,1121
122,112,1121
122,115,1121
122,123,1121
122,149,2233
122,150,2233
123,43,1025
123,44,1025
123,45,1025
123,57,1025
123,111,1121
123,112,1121
123,113,1121
123,114,1121
123,118,1121
123,122,1121
123,123,1121
123,149,2233
123,376,1149
123,377,1149
124,42,1025
124,43,1025
124,44,1025
124,45,1025
124,46,1025
124,81,1025
124,115,1121
124,120,1121
124,123,1121
124,124,1121
124,377,1149
125,37,1025
125,38,1025
125,41,1025
125,43,1025
125,44,1025
125,45,1025
125,82,1025
125,124,1121
125,125,1121
125,134,1121
125,377,1149
125,378,1149
126,37,1025
126,43,1025
126,44,1025
126,47,1025
126,49,1025
126,60,1025
126,83,1121
126,123,1121
126,124,1121
126,125,1121
126,378,1149
126,379,1149
126,383,1149
127,47,1025
127,48,1025
127,83,1121
127,124,1121
128,42,1025
128,43,1025
128,81,1025
128,86,1121
129,41,1025
129,42,1025
129,85,1121
129,86,1121
129,87,1121
129,384,1149
129,385,1149
130,47,1025
130,64,1025
130,66,1025
130,78,1025
130,86,1121
130,87,1121
130,88,1121
130,109,1121
130,111,1121
130,384,1149
130,386,1149
130,387,1149
130,454,1149
131,38,1025
131,79,1025
131,81,1025
131,85,1121
131,87,1121
131,88,1121
131,89,1121
131,102,1121
131,103,1121
131,107,1121
131,115,1121
131,385,1149
131,386,1149
131,453,1149
131,454,1149
132,36,1025
132,38,1025
132,52,1025
132,85,1121
132,86,1121
132,87,1121
132,88,1121
132,89,1121
132,90,1121
132,114,1121
132,115,1121
132,116,1121
132,385,1149
132,386,1149
132,453,1149
133,37,1025
133,84,1121
133,85,1121
133,86,1121
133,87,1121
133,88,1121
133,89,1121
133,90,1121
133,114,1121
133,115,1121
133,116,1121
133,117,1121
133,385,1149
133,452,1149
134,38,1025
134,47,1025
134,83,1121
134,84,1121
134,85,1121
134,86,1121
134,87,1121
134,88,1121
134,89,1121
134,90,1121
134,114,1121
134,115,1121
134,384,1149
134,386,1149
134,420,1149
134,452,1149
135,38,1025
135,39,1025
135,46,1025
135,82,1121
135,83,1121
135,84,1121
135,85,1121
135,86,1121
135,87,1121
135,88,1121
135,386,1149
135,387,1149
136,47,1025
136,49,1025
136,74,1025
136,76,1025
136,81,1121
136,82,1121
136,83,1121
136,84,1121
136,85,1121
136,86,1121
136,87,1121
136,91,1121
136,98,1121
136,116,1121
136,381,1149
136,385,1149
136,387,1149
136,388,1149
136,389,1149
137,38,1025
137,45,1025
137,46,1025
137,80,1025
137,82,1121
137,83,1121
137,84,1121
137,86,1121
137,88,1121
137,91,1121
137,92,1121
137,93,1121
137,94,1121
137,95,1121
137,112,1121
137,116,1121
137,121,1121
137,282,2962
137,379,1149
137,381,1149
137,382,1149
137,391,1149
137,450,1149
138,39,1025
138,44,1025
138,45,1025
138,52,1025
138,77,1025
138,79,1025
138,80,1025
138,81,1121
138,82,1121
138,83,1121
138,84,1121
138,85,1121
138,86,1121
138,87,1121
138,88,1121
138,89,1121
138,90,1121
138,91,1121
138,92,1121
138,93,1121
138,94,1121
138,95,1121
138,96,1121
138,97,1121
138,98,1121
138,116,1121
138,117,1121
138,209,572
138,301,2962
138,302,2962
138,303,2962
138,380,1149
138,381,1149
138,382,1149
138,449,1149
139,38,1025
139,40,1025
139,46,1025
139,79,1025
139,80,1121
139,81,1121
139,82,1121
139,83,1121
139,84,1121
139,85,1121
139,86,1121
139,87,1121
139,88,1121
139,89,1121
139,90,1121
139,91,1121
139,92,1121
139,93,1121
139,94,1121
139,95,1121
139,96,1121
139,97,1121
139,98,1121
139,99,1121
139,302,2962
139,303,2962
139,382,1149
140,35,1025
140,45,1025
140,78,1025
140,79,1025
140,80,1121
140,81,1121
140,82,1121
140,83,1121
140,84,1121
140,85,1121
140,86,1121
140,87,1121
140,88,1121
140,89,1121
140,90,1121
140,91,1121
140,92,1121
140,93,1121
140,94,1121
140,95,1121
140,96,1121
140,97,1121
140,98,1121
140,99,1121
140,100,1121
140,109,1121
140,302,2962
140,382,1149
140,383,1149
140,385,1149
141,46,1025
141,48,1025
141,77,1025
141,78,1025
141,79,1025
141,80,1121
141,82,1121
141,83,1121
141,84,1121
141,85,1121
141,86,1121
141,87,1121
141,88,1121
141,89,1121
141,90,1121
141,91,1121
141,92,1121
141,93,1121
141,94,1121
141,95,1121
141,96,1121
141,97,1121
141,98,1121
141,99,1121
141,100,1121
