"y","x","cluster_id"
6,431,183
7,446,183
7,447,183
8,433,183
8,450,183
9,430,183
9,431,183
9,432,183
9,433,183
10,427,183
10,428,183
10,429,183
10,430,183
10,431,183
11,417,183
11,427,183
11,429,183
11,431,183
11,432,183
11,435,183
11,447,183
12,427,183
12,432,183
12,433,183
12,434,183
12,435,183
12,446,183
12,449,183
12,450,183
12,452,183
13,417,183
13,426,183
13,432,183
13,433,183
13,438,183
13,445,183
13,446,183
13,453,183
14,427,183
14,428,183
14,431,183
14,433,183
14,435,183
14,437,183
14,438,183
15,427,183
15,428,183
15,429,183
15,430,183
15,435,183
15,437,183
15,474,183
15,475,183
15,476,183
15,477,183
16,427,183
16,429,183
16,430,183
16,467,183
16,471,183
16,472,183
16,473,183
16,474,183
16,475,183
16,476,183
16,477,183
17,428,183
17,470,183
17,472,183
17,473,183
17,475,183
17,478,183
18,413,183
18,422,183
18,423,183
18,424,183
18,425,183
18,430,183
18,431,183
18,449,183
18,473,183
19,418,183
19,419,183
19,423,183
19,431,183
19,465,183
19,473,183
20,411,183
20,412,183
20,415,183
20,416,183
20,417,183
20,418,183
20,448,183
21,416,183
21,417,183
21,418,183
22,413,183
22,414,183
22,415,183
22,416,183
22,417,183
22,418,183
22,441,183
22,466,183
23,410,183
23,411,183
23,414,183
23,415,183
23,416,183
23,417,183
23,440,183
23,441,183
23,442,183
23,456,183
23,464,183
23,479,183
23,482,183
24,410,183
24,411,183
24,413,183
24,414,183
24,415,183
24,440,183
24,456,183
24,458,183
25,410,183
25,411,183
25,413,183
25,414,183
25,454,183
25,455,183
25,458,183
25,460,183
26,370,183
26,410,183
26,413,183
26,414,183
26,451,183
26,453,183
26,454,183
26,455,183
26,456,183
26,458,183
26,459,183
27,409,183
27,410,183
27,411,183
27,430,183
27,477,183
28,427,183
28,431,183
28,450,183
28,455,183
28,459,183
28,469,183
28,477,183
29,412,183
29,414,183
29,425,183
29,454,183
29,455,183
29,461,183
29,466,183
29,468,183
29,472,183
29,473,183
30,418,183
30,460,183
30,473,183
30,482,549
30,483,549
30,485,549
31,418,183
31,484,549
32,432,183
32,443,183
32,444,183
33,460,183
33,498,549
33,500,549
34,434,183
34,439,183
34,440,183
34,450,183
34,451,183
34,497,549
34,499,549
35,442,183
35,449,183
35,451,183
35,452,183
35,453,183
35,489,549
35,507,549
35,508,549
36,409,183
36,421,183
36,448,183
36,454,183
36,489,549
37,432,183
37,444,183
37,465,183
37,488,549
37,506,549
38,434,183
38,470,183
38,471,183
38,494,549
38,505,549
38,506,549
39,409,183
39,412,183
39,413,183
39,512,549
39,513,549
40,408,183
40,409,183
40,410,183
40,411,183
40,412,183
40,413,183
40,414,183
40,447,183
40,509,549
40,510,549
41,412,183
41,413,183
41,441,183
41,494,549
41,510,549
42,415,183
42,460,183
42,498,549
42,508,549
42,510,549
43,410,183
43,415,183
43,446,183
43,458,183
43,498,549
44,412,183
44,444,183
44,499,549
45,414,183
45,418,183
45,426,183
45,427,183
45,442,183
45,443,183
45,488,549
45,489,549
46,364,183
46,386,183
46,406,183
46,422,183
46,441,183
46,456,183
46,457,183
46,487,549
46,489,549
46,490,549
46,491,549
46,502,549
47,426,183
47,441,183
47,447,183
47,449,183
47,456,183
47,487,549
47,490,549
47,491,549
47,506,549
48,372,183
48,378,183
48,431,183
48,439,183
48,440,183
48,442,183
48,449,183
48,450,183
48,481,549
48,482,549
48,488,549
49,416,183
49,426,183
49,427,183
49,428,183
49,440,183
49,441,183
49,442,183
49,463,183
50,426,183
50,427,183
50,442,183
50,443,183
50,464,183
51,414,183
51,423,183
51,442,183
51,461,183
51,463,183
52,434,183
52,442,183
52,445,183
52,451,183
52,463,183
52,470,549
52,477,549
52,513,549
53,412,183
53,442,183
53,464,183
53,465,183
53,472,549
54,187,1008
54,413,183
54,491,549
54,498,549
54,501,549
54,512,549
55,412,183
55,444,183
55,460,183
55,461,183
55,462,183
55,478,549
55,490,549
55,498,549
55,499,549
56,191,1008
56,421,183
56,423,183
56,430,183
56,442,183
56,443,183
56,444,183
56,456,183
56,459,183
56,461,183
56,462,183
56,493,549
56,499,549
57,367,1114
57,409,183
57,421,183
57,422,183
57,424,183
57,437,183
57,438,183
57,439,183
57,440,183
57,442,183
57,443,183
57,474,549
57,475,549
57,486,549
57,489,549
57,490,549
57,497,549
57,498,549
57,501,549
57,519,549
58,185,1008
58,186,1008
58,188,1008
58,418,183
58,423,183
58,424,183
58,436,183
58,437,183
58,439,183
58,441,183
58,442,183
58,443,183
58,470,549
58,475,549
58,487,549
58,492,549
58,500,549
58,502,549
58,503,549
58,514,549
59,425,183
59,426,183
59,434,183
59,438,183
59,439,183
59,474,549
59,476,549
59,478,549
59,479,549
59,484,549
59,487,549
59,501,549
59,510,549
60,425,1114
60,432,183
60,435,183
60,438,183
60,439,183
60,440,183
60,441,183
60,443,183
60,480,549
60,509,549
60,516,549
60,517,549
60,524,549
61,140,1008
61,141,1008
61,426,1114
61,427,1114
61,437,183
61,440,183
61,441,183
61,442,183
61,443,183
61,447,183
61,475,549
61,476,549
61,517,549
62,140,1008
62,141,1008
62,425,1114
62,429,1114
62,430,1114
62,439,1114
62,440,1114
62,441,1114
62,442,1114
62,462,549
62,476,549
62,477,549
62,478,549
62,517,549
62,518,549
63,439,1114
63,440,1114
63,476,549
63,477,549
63,511,549
64,191,1008
64,422,1114
64,425,1114
64,428,1114
64,437,1114
64,439,1114
64,441,1114
64,442,1114
64,479,549
64,480,549
65,190,1008
65,191,1008
65,192,1008
65,194,1008
65,416,1114
65,417,1114
65,423,1114
65,427,1114
65,428,1114
65,439,1114
65,440,1114
65,441,1114
65,442,1114
65,484,549
65,519,549
66,133,1008
66,190,1008
66,191,1008
66,192,1008
66,193,1008
66,195,1008
66,198,1008
66,247,1676
66,416,1114
66,417,1114
66,428,1114
66,439,1114
66,441,1114
66,442,1114
66,485,549
66,486,549
66,490,549
66,498,549
66,499,549
66,501,549
67,189,1008
67,191,1008
67,192,1008
67,197,1008
67,210,1008
67,247,1676
67,262,1676
67,263,1676
67,416,1114
67,417,1114
67,433,1114
67,486,549
67,487,549
67,488,549
67,489,549
67,490,549
67,498,549
67,499,549
67,500,549
68,190,1008
68,191,1008
68,416,1114
68,417,1114
68,435,1114
68,436,1114
68,439,1114
68,440,1114
68,484,549
68,488,549
68,489,549
68,490,549
68,498,549
68,499,549
68,512,549
69,132,1008
69,135,1008
69,417,1114
69,429,1114
69,437,1114
69,438,1114
69,439,1114
69,440,1114
69,484,549
69,489,549
69,490,549
69,491,549
69,497,549
69,498,549
69,499,549
70,264,1676
70,416,1114
70,417,1114
70,418,1114
70,420,1114
70,441,1114
70,483,549
70,489,549
70,491,549
70,492,549
70,493,549
70,494,549
71,133,1008
71,203,1008
71,421,1114
71,430,1114
71,442,1114
71,463,549
71,494,549
72,192,1008
72,202,1008
72,203,1008
72,423,1114
72,424,1114
72,432,1114
72,442,1114
72,445,1114
72,494,549
72,495,549
72,496,549
72,497,549
72,506,549
73,131,1008
73,198,1008
73,201,1008
73,202,1008
73,203,1008
73,204,1008
73,293,1823
73,294,1823
73,421,1114
73,422,1114
73,423,1114
73,424,1114
73,425,1114
73,429,1114
73,430,1114
73,442,1114
73,445,1114
73,446,1114
73,449,1114
73,496,549
73,497,549
73,499,549
73,500,549
73,501,549
73,502,549
73,503,549
73,504,549
73,505,549
73,506,549
74,189,1008
74,190,1008
74,200,1008
74,201,1008
74,203,1008
74,204,1008
74,205,1008
74,206,1008
74,207,1008
74,293,1823
74,307,1823
74,418,1114
74,424,1114
74,425,1114
74,434,1114
74,442,1114
74,443,1114
74,445,1114
74,446,1114
74,475,549
74,499,549
74,500,549
74,501,549
74,502,549
74,503,549
74,504,549
74,505,549
74,506,549
74,511,549
74,513,549
75,129,2084
75,131,1008
75,189,1008
75,190,1008
75,195,1008
75,197,1008
75,198,1008
75,200,1008
75,201,1008
75,202,1008
75,203,1008
75,204,1008
75,307,1823
75,418,1114
75,423,1114
75,424,1114
75,425,1114
75,433,1114
75,444,1114
75,461,1114
75,462,1114
75,499,549
75,500,549
75,501,549
75,502,549
75,503,549
75,504,549
76,130,2084
76,134,1008
76,135,1008
76,159,1008
76,173,1008
76,187,1008
76,188,1008
76,189,1008
76,190,1008
76,191,1008
76,192,1008
76,195,1008
76,196,1008
76,198,1008
76,199,1008
76,200,1008
76,201,1008
76,202,1008
76,203,1008
76,204,1008
76,424,1114
76,433,1114
76,443,1114
76,444,1114
76,447,1114
76,448,1114
76,449,1114
76,450,1114
76,462,1114
76,477,549
76,478,549
76,479,549
76,491,549
76,510,549
77,130,2084
77,160,1008
77,172,1008
77,173,1008
77,174,1008
77,189,1008
77,190,1008
77,191,1008
77,192,1008
77,193,1008
77,197,1008
77,198,1008
77,199,1008
77,200,1008
77,201,1008
77,202,1008
77,203,1008
77,429,1114
77,440,1114
77,441,1114
77,445,1114
77,448,1114
77,449,1114
77,478,549
77,488,549
77,494,549
78,171,1008
78,174,1008
78,175,1008
78,176,1008
78,177,1008
78,188,1008
78,189,1008
78,190,1008
78,191,1008
78,192,1008
78,193,1008
78,198,1008
78,199,1008
78,200,1008
78,201,1008
78,203,1008
78,430,1114
78,441,1114
78,442,1114
78,446,1114
78,447,1114
78,448,1114
78,453,1114
79,120,2084
79,175,1008
79,176,1008
79,195,1008
79,196,1008
79,197,1008
79,198,1008
79,199,1008
79,200,1008
79,201,1008
79,301,1823
79,302,1823
79,303,1823
79,304,1823
79,420,1114
79,429,1114
79,440,1114
79,443,1114
79,451,1114
79,511,549
80,114,2084
80,164,1008
80,165,1008
80,167,1008
80,168,1008
80,187,1008
80,188,1008
80,191,1008
80,192,1008
80,194,1008
80,195,1008
80,196,1008
80,197,1008
80,198,1008
80,199,1008
80,200,1008
80,292,1823
80,293,1823
80,299,1823
80,300,1823
80,301,1823
80,302,1823
80,303,1823
80,413,1114
80,430,1114
80,445,1114
80,448,1114
80,451,1114
80,495,549
81,164,1008
81,165,1008
81,166,1008
81,167,1008
81,168,1008
81,169,1008
81,182,1008
81,183,1008
81,184,1008
81,187,1008
81,189,1008
81,193,1008
81,194,1008
81,195,1008
81,198,1008
81,199,1008
81,250,1676
81,260,1676
81,292,1823
81,293,1823
81,294,1823
81,295,1823
81,297,1823
81,298,1823
81,299,1823
81,300,1823
81,302,1823
81,303,1823
81,316,1823
81,447,1114
81,448,1114
81,458,1114
81,460,1114
81,461,1114
81,462,1114
81,515,549
82,163,1008
82,164,1008
82,165,1008
82,166,1008
82,167,1008
82,168,1008
82,169,1008
82,170,1008
82,173,1008
82,180,1008
82,181,1008
82,182,1008
82,184,1008
82,191,1008
82,192,1008
82,193,1008
82,194,1008
82,195,1008
82,198,1008
82,199,1008
82,255,1676
82,257,1676
82,258,1676
82,259,1676
82,291,1823
82,292,1823
82,293,1823
82,294,1823
82,295,1823
82,298,1823
82,299,1823
82,300,1823
82,301,1823
82,302,1823
82,303,1823
82,386,1114
82,410,1114
82,446,1114
82,458,1114
82,459,1114
82,461,1114
82,462,1114
82,471,549
82,472,549
83,162,1008
83,163,1008
83,164,1008
83,165,1008
83,167,1008
83,168,1008
83,169,1008
83,170,1008
83,179,1008
83,183,1008
83,184,1008
83,189,1008
83,191,1008
83,192,1008
83,193,1008
83,194,1008
83,195,1008
83,198,1008
83,199,1008
83,250,1676
83,251,1676
83,254,1676
83,255,1676
83,256,1676
83,258,1676
83,259,1676
83,285,1676
83,291,1823
83,293,1823
83,294,1823
83,295,1823
83,296,1823
83,297,1823
83,298,1823
83,299,1823
83,300,1823
83,387,1114
83,406,1114
83,407,1114
83,424,1114
83,457,1114
83,458,1114
83,470,549
83,471,549
84,114,2084
84,160,1008
84,161,1008
84,162,1008
84,164,1008
84,165,1008
84,166,1008
84,167,1008
84,168,1008
84,169,1008
84,181,1008
84,182,1008
84,183,1008
84,187,1008
84,188,1008
84,189,1008
84,190,1008
84,191,1008
84,192,1008
84,196,1008
84,199,1008
84,253,1676
84,258,1676
84,284,1676
84,285,1676
84,287,1676
84,288,1676
84,289,1823
84,290,1823
84,291,1823
84,292,1823
84,295,1823
84,296,1823
84,297,1823
84,298,1823
84,301,1823
84,450,1114
84,453,1114
85,160,1008
85,161,1008
85,162,1008
85,163,1008
85,164,1008
85,165,1008
85,166,1008
85,167,1008
85,168,1008
85,177,1008
85,178,1008
85,179,1008
85,180,1008
85,181,1008
85,182,1008
85,185,1008
85,188,1008
85,189,1008
85,194,1008
