"y","x","cluster_id"
20,266,50
27,329,50
28,250,294
28,326,50
29,303,50
29,304,50
29,313,50
29,336,50
29,337,50
29,338,50
30,304,50
30,305,50
30,306,50
30,309,50
30,327,50
30,335,50
31,305,50
31,306,50
31,319,50
31,320,50
31,321,50
31,324,50
32,248,294
32,261,294
32,306,50
32,324,50
33,336,50
33,339,50
35,301,50
35,340,50
40,344,50
40,348,50
40,353,50
41,332,50
41,344,50
41,347,50
41,348,50
42,242,294
42,314,50
42,338,50
42,340,50
42,343,50
43,250,294
43,297,50
43,326,50
43,329,50
43,337,50
43,338,50
43,340,50
43,342,50
43,350,50
43,353,50
44,320,50
44,321,50
44,322,50
44,323,50
44,324,50
44,354,50
45,320,50
45,322,50
45,356,50
46,356,50
46,357,50
47,313,50
47,356,50
47,358,50
48,278,294
48,311,50
48,355,50
48,356,50
48,357,50
50,232,294
50,268,294
51,315,50
51,417,217
52,149,309
52,407,217
52,410,217
52,413,217
52,420,217
53,253,294
53,389,217
53,410,217
53,418,217
53,420,217
53,421,217
53,422,217
54,399,217
54,410,217
54,411,217
54,414,217
54,417,217
54,418,217
54,419,217
54,421,217
54,422,217
54,425,217
55,75,309
55,327,50
55,383,217
55,398,217
55,406,217
55,409,217
55,411,217
55,412,217
55,413,217
55,424,217
55,425,217
55,427,217
56,141,309
56,231,294
56,328,50
56,387,217
56,388,217
56,397,217
56,399,217
56,406,217
56,423,217
57,81,309
57,247,294
57,382,217
57,386,217
57,390,217
57,394,217
58,244,294
58,354,50
58,355,50
58,356,50
58,404,217
58,405,217
59,175,309
59,354,50
59,355,50
59,356,50
59,357,50
59,404,217
60,160,309
60,180,309
60,237,294
60,240,294
60,352,50
60,354,50
60,357,50
60,358,50
60,379,217
60,406,217
61,352,50
61,353,50
61,354,50
61,355,50
61,368,50
61,376,217
61,395,217
62,255,294
62,284,294
62,351,50
62,356,50
62,367,50
62,368,50
62,377,217
62,392,217
62,393,217
62,394,217
62,395,217
63,255,294
63,282,294
63,364,50
63,367,50
63,393,217
63,394,217
63,395,217
63,396,217
64,234,294
64,350,50
64,359,50
64,361,50
64,394,217
64,395,217
64,396,217
65,231,294
65,349,50
65,350,50
65,360,50
65,365,50
65,369,50
65,394,217
65,395,217
66,91,309
66,358,50
66,361,50
66,362,50
66,371,217
67,358,50
67,359,50
67,360,50
67,361,50
67,362,50
68,247,294
68,359,50
68,360,50
68,361,50
69,249,294
69,346,50
69,351,50
69,356,50
69,357,50
