"y","x","cluster_id"
6,49,682
7,33,682
7,46,682
12,16,682
13,16,682
14,16,682
15,14,682
15,16,682
15,20,682
15,21,682
16,14,682
16,15,682
16,23,682
17,14,682
17,15,682
17,25,682
17,28,682
17,29,682
17,32,682
18,25,682
18,28,682
18,464,887
19,22,682
19,23,682
19,27,682
19,628,796
20,26,682
20,27,682
20,590,796
20,591,796
21,434,887
21,435,887
22,447,887
22,448,887
23,431,887
24,432,887
24,437,887
24,438,887
24,619,796
25,438,887
25,439,887
25,444,887
25,445,887
25,623,796
26,429,887
26,438,887
26,444,887
26,445,887
26,446,887
26,607,796
26,623,796
26,625,796
27,436,887
27,440,887
27,444,887
27,445,887
27,446,887
27,619,796
27,620,796
27,621,796
27,623,796
27,624,796
27,626,796
27,627,796
27,628,796
27,638,796
27,643,796
28,440,887
28,443,887
28,444,887
28,445,887
28,446,887
28,579,796
28,584,796
28,620,796
28,621,796
28,625,796
28,626,796
28,627,796
28,642,796
29,439,887
29,441,887
29,443,887
29,444,887
29,446,887
29,577,796
29,595,796
29,621,796
29,626,796
29,628,796
29,629,796
29,646,796
30,441,887
30,621,796
30,622,796
30,623,796
30,624,796
30,625,796
30,627,796
30,628,796
31,613,796
31,621,796
31,625,796
31,626,796
31,627,796
31,676,796
31,677,796
32,167,1749
32,614,796
32,615,796
32,677,796
33,612,796
33,613,796
33,614,796
33,615,796
33,616,796
33,643,796
33,644,796
33,648,796
34,612,796
34,614,796
34,615,796
34,616,796
34,636,796
34,645,796
34,651,796
35,197,1749
35,214,1749
35,602,796
35,611,796
35,615,796
35,616,796
35,637,796
35,647,796
35,650,796
35,651,796
35,652,796
35,673,796
35,677,796
36,446,887
36,619,796
36,636,796
36,637,796
36,638,796
36,650,796
36,652,796
36,673,796
37,619,796
37,620,796
37,637,796
37,638,796
37,639,796
38,167,1749
38,576,3328
38,578,796
38,623,796
38,638,796
38,639,796
38,645,796
38,689,796
39,160,3575
39,194,1749
39,209,1749
39,576,3328
39,577,3328
39,578,796
39,602,796
39,618,796
39,620,796
39,639,796
39,640,796
39,646,796
39,688,796
40,158,3575
40,160,3575
40,167,1749
40,205,1749
40,206,1749
40,602,796
40,617,796
40,618,796
40,622,796
40,627,796
40,640,796
40,688,796
41,159,3575
41,205,1749
41,602,796
41,603,796
41,608,796
41,609,796
41,611,796
41,615,796
41,616,796
41,617,796
41,618,796
41,619,796
41,620,796
41,621,796
41,622,796
41,623,796
41,626,796
41,627,796
41,628,796
41,629,796
41,631,796
41,632,796
42,177,1749
42,206,1749
42,608,796
42,609,796
42,614,796
42,615,796
42,616,796
42,617,796
42,618,796
42,619,796
42,620,796
42,621,796
42,622,796
42,623,796
42,624,796
42,626,796
42,628,796
42,629,796
42,630,796
42,631,796
42,633,796
42,641,796
42,642,796
42,650,796
43,206,1749
43,207,1749
43,225,1749
43,428,887
43,602,796
43,603,796
43,608,796
43,609,796
43,611,796
43,612,796
43,613,796
43,614,796
43,615,796
43,616,796
43,617,796
43,618,796
43,619,796
43,620,796
43,622,796
43,623,796
43,625,796
43,626,796
43,627,796
43,628,796
43,630,796
43,631,796
43,632,796
43,633,796
43,640,796
43,641,796
44,206,1749
44,207,1749
44,229,1749
44,602,796
44,603,796
44,608,796
44,609,796
44,610,796
44,611,796
44,612,796
44,613,796
44,614,796
44,615,796
44,616,796
44,619,796
44,620,796
44,621,796
44,622,796
44,632,796
45,186,1749
45,199,1749
45,200,1749
45,209,1749
45,592,796
45,609,796
45,610,796
45,611,796
45,612,796
45,613,796
45,614,796
45,615,796
45,616,796
45,619,796
45,620,796
45,621,796
45,622,796
45,632,796
45,633,796
45,642,796
46,181,1749
46,182,1749
46,183,1749
46,186,1749
46,198,1749
46,199,1749
46,200,1749
46,201,1749
46,608,796
46,609,796
46,610,796
46,611,796
46,612,796
46,613,796
46,614,796
46,615,796
46,616,796
46,620,796
46,622,796
46,623,796
46,630,796
46,637,796
46,642,796
46,643,796
47,181,1749
47,182,1749
47,185,1749
47,186,1749
47,199,1749
47,200,1749
47,201,1749
47,609,796
47,610,796
47,611,796
47,612,796
47,613,796
47,614,796
47,616,796
47,617,796
47,618,796
47,619,796
47,622,796
47,623,796
47,624,796
47,630,796
47,641,796
47,642,796
47,643,796
47,675,796
48,198,1749
48,200,1749
48,201,1749
48,609,796
48,610,796
48,611,796
48,617,796
48,618,796
48,619,796
48,620,796
48,621,796
48,622,796
48,623,796
48,624,796
48,625,796
48,638,796
48,639,796
48,640,796
48,641,796
48,644,796
49,162,3575
49,165,3575
49,184,1749
49,198,1749
49,199,1749
49,208,1749
49,214,1749
49,609,796
49,610,796
49,611,796
49,612,796
49,618,796
49,619,796
49,620,796
49,621,796
49,622,796
49,623,796
49,624,796
49,626,796
49,629,796
49,631,796
49,634,796
49,636,796
49,637,796
49,638,796
49,639,796
49,640,796
49,641,796
49,642,796
49,643,796
50,160,3575
50,161,3575
50,163,3575
50,164,3575
50,184,1749
50,185,1749
50,209,1749
50,221,1749
50,222,1749
50,230,1749
50,604,796
50,609,796
50,610,796
50,611,796
50,612,796
50,619,796
50,620,796
50,621,796
50,622,796
50,623,796
50,629,796
50,631,796
50,637,796
50,638,796
50,639,796
50,640,796
50,641,796
50,642,796
50,643,796
51,160,3575
51,161,3575
51,162,3575
51,179,1749
51,204,1749
51,207,1749
51,221,1749
51,222,1749
51,489,887
51,603,796
51,604,796
51,608,796
51,609,796
51,610,796
51,611,796
51,612,796
51,620,796
51,621,796
51,622,796
51,632,796
51,636,796
51,637,796
51,638,796
51,639,796
51,640,796
51,641,796
51,642,796
51,644,796
51,645,796
52,56,682
52,58,682
52,63,682
52,67,682
52,161,3575
52,167,3575
52,179,1749
52,186,1749
52,206,1749
52,207,1749
52,221,1749
52,482,887
52,486,887
52,502,887
52,611,796
52,612,796
52,613,796
52,617,796
52,618,796
52,620,796
52,621,796
52,622,796
52,632,796
52,633,796
52,635,796
52,636,796
52,637,796
52,642,796
52,644,796
52,645,796
53,54,682
53,55,682
53,56,682
53,62,682
53,63,682
53,172,1749
53,180,1749
53,186,1749
53,187,1749
53,192,1749
53,193,1749
53,194,1749
53,195,1749
53,201,1749
53,221,1749
53,237,1749
53,238,1749
53,481,887
53,484,887
53,487,887
53,488,887
53,583,3328
53,584,3328
53,608,796
53,611,796
53,612,796
53,617,796
53,618,796
53,621,796
53,622,796
53,625,796
53,632,796
53,636,796
53,637,796
53,638,796
53,641,796
53,642,796
53,643,796
53,644,796
54,52,682
54,54,682
54,55,682
54,56,682
54,68,682
54,192,1749
54,193,1749
54,194,1749
54,197,1749
54,198,1749
54,200,1749
54,201,1749
54,202,1749
54,205,1749
54,223,1749
54,236,1749
54,237,1749
54,238,1749
54,272,1749
54,273,1749
54,479,887
54,480,887
54,481,887
54,582,3328
54,583,3328
54,584,3328
54,585,3328
54,598,796
54,610,796
54,611,796
54,612,796
54,620,796
54,621,796
54,622,796
54,623,796
54,634,796
54,636,796
54,638,796
54,640,796
54,642,796
54,646,796
54,647,796
55,50,682
55,51,682
55,52,682
55,192,1749
55,196,1749
55,197,1749
55,198,1749
55,199,1749
55,200,1749
55,201,1749
55,202,1749
55,203,1749
55,204,1749
55,205,1749
55,206,1749
55,207,1749
55,210,1749
55,211,1749
55,215,1749
55,217,1749
55,223,1749
55,238,1749
55,272,1749
55,273,1749
55,478,887
55,479,887
55,582,3328
55,583,3328
55,584,3328
55,585,3328
55,593,796
55,595,796
55,596,796
55,597,796
55,598,796
55,599,796
55,607,796
55,609,796
55,610,796
55,611,796
55,612,796
55,613,796
55,614,796
55,618,796
55,620,796
55,621,796
55,623,796
55,626,796
55,636,796
55,637,796
55,639,796
55,644,796
55,646,796
55,647,796
55,648,796
56,54,682
56,62,682
56,187,1749
56,193,1749
56,194,1749
56,195,1749
56,196,1749
56,197,1749
56,198,1749
56,199,1749
56,200,1749
56,201,1749
56,202,1749
56,203,1749
56,204,1749
56,205,1749
56,206,1749
56,207,1749
56,208,1749
56,209,1749
56,211,1749
56,212,1749
56,213,1749
56,224,1749
56,231,1749
56,285,1749
56,286,1749
56,481,887
56,482,887
56,487,887
56,489,887
56,493,887
56,505,887
56,580,3328
56,581,3328
56,582,3328
56,583,3328
56,588,3328
56,592,796
56,593,796
56,594,796
56,595,796
56,596,796
56,597,796
56,603,796
56,607,796
56,608,796
56,609,796
56,610,796
56,611,796
56,614,796
56,616,796
56,617,796
56,618,796
56,620,796
56,646,796
56,647,796
56,648,796
57,50,682
57,53,682
57,55,682
57,66,682
57,192,1749
57,193,1749
57,194,1749
57,195,1749
57,196,1749
57,197,1749
57,198,1749
57,199,1749
57,200,1749
57,201,1749
57,202,1749
57,203,1749
57,204,1749
57,205,1749
57,206,1749
57,207,1749
57,210,1749
57,211,1749
57,212,1749
57,213,1749
57,214,1749
57,215,1749
57,225,1749
57,285,1749
57,286,1749
57,479,887
57,481,887
57,485,887
57,496,887
57,579,3328
57,580,3328
57,581,3328
57,588,3328
57,589,3328
57,590,796
57,591,796
57,592,796
57,593,796
57,594,796
57,596,796
57,602,796
57,603,796
57,608,796
57,609,796
57,610,796
57,611,796
57,616,796
57,617,796
57,618,796
57,627,796
57,640,796
57,644,796
57,645,796
57,647,796
57,648,796
57,651,796
58,49,682
58,52,682
58,53,682
58,56,682
58,71,682
58,192,1749
58,193,1749
58,194,1749
58,195,1749
58,196,1749
58,197,1749
58,198,1749
58,199,1749
58,201,1749
58,202,1749
58,203,1749
58,204,1749
58,205,1749
58,206,1749
58,210,1749
58,211,1749
58,212,1749
58,214,1749
58,224,1749
58,226,1749
58,286,1749
58,481,887
58,488,887
58,494,887
58,497,887
58,505,887
58,506,887
58,578,3328
58,579,3328
58,580,3328
58,588,3328
58,589,3328
58,590,3328
58,591,796
58,592,796
58,593,796
58,594,796
58,595,796
58,599,796
58,603,796
58,606,796
58,607,796
58,608,796
58,609,796
58,610,796
58,611,796
58,619,796
58,621,796
58,622,796
58,624,796
58,626,796
58,641,796
58,645,796
58,649,796
58,650,796
59,49,682
59,68,682
59,192,1749
59,193,1749
59,194,1749
59,195,1749
59,196,1749
59,197,1749
59,198,1749
59,199,1749
59,200,1749
59,202,1749
59,203,1749
59,204,1749
59,205,1749
