"y","x","cluster_id"
9,331,1735
10,332,1735
10,333,1735
10,334,1735
11,332,1735
11,333,1735
12,332,1735
12,333,1735
13,333,1735
23,147,508
23,199,1026
24,143,508
24,144,508
24,264,1026
25,196,1026
25,263,1026
26,110,508
26,144,508
26,145,508
26,146,508
26,147,508
26,198,1026
27,143,508
27,144,508
27,145,508
27,147,508
27,168,1026
27,262,1026
28,95,508
28,144,508
28,196,1026
28,197,1026
28,280,1735
29,98,508
29,99,508
29,197,1026
30,85,508
30,86,508
30,88,508
30,89,508
30,90,508
30,91,508
30,94,508
30,103,508
30,145,508
30,195,1026
30,196,1026
30,197,1026
31,82,508
31,83,508
31,84,508
31,85,508
31,86,508
31,87,508
31,88,508
31,89,508
31,91,508
31,92,508
31,94,508
31,96,508
31,102,508
31,103,508
31,105,508
31,106,508
31,144,508
31,197,1026
31,302,1735
32,76,508
32,82,508
32,83,508
32,85,508
32,86,508
32,87,508
32,88,508
32,89,508
32,90,508
32,92,508
32,93,508
32,94,508
32,95,508
32,102,508
32,355,1735
33,71,827
33,72,508
33,73,508
33,74,508
33,75,508
33,76,508
33,81,508
33,83,508
33,84,508
33,85,508
33,86,508
33,87,508
33,88,508
33,89,508
33,90,508
33,91,508
33,93,508
33,94,508
33,95,508
33,97,508
33,98,508
33,100,508
33,101,508
33,103,508
33,121,508
33,122,508
33,155,508
34,61,827
34,68,827
34,69,827
34,70,827
34,71,827
34,72,827
34,73,508
34,74,508
34,75,508
34,76,508
34,77,508
34,78,508
34,79,508
34,81,508
34,82,508
34,83,508
34,84,508
34,85,508
34,86,508
34,87,508
34,88,508
34,91,508
34,94,508
34,95,508
34,96,508
34,98,508
34,99,508
34,100,508
34,102,508
34,143,508
35,56,827
35,57,827
35,58,827
35,59,827
35,60,827
35,62,827
35,64,827
35,65,827
35,66,827
35,67,827
35,68,827
35,69,827
35,70,827
35,71,827
35,72,827
35,73,508
35,74,508
35,75,508
35,76,508
35,77,508
35,78,508
35,79,508
35,80,508
35,83,508
35,84,508
35,85,508
35,86,508
35,87,508
35,88,508
35,89,508
35,90,508
35,91,508
35,92,508
35,93,508
35,94,508
35,95,508
35,97,508
35,98,508
35,103,508
35,115,508
35,120,508
35,143,508
36,50,827
36,54,827
36,55,827
36,56,827
36,57,827
36,60,827
36,61,827
36,62,827
36,63,827
36,64,827
36,65,827
36,66,827
36,67,827
36,68,827
36,69,827
36,70,827
36,71,827
36,72,827
36,73,508
36,74,508
36,75,508
36,76,508
36,77,508
36,78,508
36,79,508
36,80,508
36,81,508
36,82,508
36,83,508
36,84,508
36,85,508
36,86,508
36,87,508
36,88,508
36,89,508
36,90,508
36,91,508
36,92,508
36,93,508
36,94,508
36,95,508
36,96,508
36,197,1026
36,278,1735
37,45,827
37,48,827
37,49,827
37,59,827
37,60,827
37,61,827
37,62,827
37,63,827
37,64,827
37,65,827
37,70,827
37,71,827
37,72,827
37,73,508
37,74,508
37,75,508
37,76,508
37,77,508
37,78,508
37,79,508
37,82,508
37,83,508
37,84,508
37,85,508
37,86,508
37,87,508
37,88,508
37,89,508
37,90,508
37,91,508
37,92,508
37,93,508
37,264,1026
38,45,827
38,51,827
38,58,827
38,59,827
38,60,827
38,61,827
38,62,827
38,63,827
38,64,827
38,65,827
38,66,827
38,67,827
38,68,827
38,73,827
38,74,508
38,75,508
38,76,508
38,77,508
38,78,508
38,79,508
38,80,508
38,82,508
38,83,508
38,84,508
38,85,508
38,86,508
38,87,508
38,88,508
38,89,508
38,90,508
38,91,508
38,92,508
38,93,508
38,94,508
38,95,508
38,97,508
38,102,508
38,166,1026
38,232,1026
39,45,827
39,47,827
39,48,827
39,58,827
39,59,827
39,60,827
39,62,827
39,63,827
39,64,827
39,65,827
39,66,827
39,67,827
39,68,827
39,73,827
39,74,508
39,75,508
39,77,508
39,78,508
39,79,508
39,80,508
39,82,508
39,83,508
39,84,508
39,85,508
39,86,508
39,87,508
39,88,508
39,89,508
39,91,508
39,92,508
39,93,508
39,94,508
39,196,1026
39,197,1026
39,233,1026
39,308,1735
40,47,827
40,48,827
40,49,827
40,51,827
40,52,827
40,53,827
40,55,827
40,56,827
40,57,827
40,59,827
40,60,827
40,61,827
40,62,827
40,63,827
40,64,827
40,65,827
40,66,827
40,67,827
40,72,827
40,73,827
40,74,508
40,75,508
40,76,508
40,77,508
40,78,508
40,79,508
40,80,508
40,81,508
40,82,508
40,83,508
40,84,508
40,85,508
40,86,508
40,87,508
40,88,508
40,89,508
40,91,508
40,93,508
40,145,508
40,150,508
40,166,1026
40,196,1026
41,39,827
41,42,827
41,46,827
41,47,827
41,48,827
41,49,827
41,50,827
41,52,827
41,53,827
41,54,827
41,55,827
41,56,827
41,57,827
41,58,827
41,59,827
41,60,827
41,61,827
41,62,827
41,63,827
41,64,827
41,65,827
41,66,827
41,67,827
41,72,827
41,73,827
41,74,508
41,75,508
41,76,508
41,77,508
41,78,508
41,79,508
41,80,508
41,81,508
41,82,508
41,83,508
41,84,508
41,85,508
41,86,508
41,87,508
41,88,508
41,89,508
41,91,508
41,92,508
41,93,508
41,94,508
41,95,508
41,142,508
41,144,508
41,145,508
42,20,827
42,44,827
42,45,827
42,46,827
42,51,827
42,52,827
42,53,827
42,54,827
42,55,827
42,56,827
42,57,827
42,58,827
42,59,827
42,60,827
42,61,827
42,62,827
42,63,827
42,64,827
42,65,827
42,66,827
42,67,827
42,72,827
42,73,827
42,75,508
42,76,508
42,77,508
42,78,508
42,79,508
42,80,508
42,81,508
42,82,508
42,83,508
42,84,508
42,85,508
42,86,508
42,88,508
42,90,508
42,91,508
42,92,508
42,93,508
42,95,508
42,97,508
42,98,508
42,101,508
42,105,508
42,142,508
42,143,508
42,144,508
42,145,508
43,40,827
43,45,827
43,49,827
43,51,827
43,52,827
43,53,827
43,54,827
43,55,827
43,56,827
43,57,827
43,58,827
43,59,827
43,60,827
43,61,827
43,62,827
43,63,827
43,65,827
43,66,827
43,67,827
43,72,827
43,73,827
43,76,508
43,77,508
43,78,508
43,80,508
43,81,508
43,82,508
43,83,508
43,84,508
43,85,508
43,87,508
43,88,508
43,89,508
43,90,508
43,91,508
43,92,508
43,93,508
43,95,508
43,143,508
43,144,508
43,145,508
43,172,1026
44,28,827
44,43,827
44,45,827
44,51,827
44,52,827
44,53,827
44,54,827
44,55,827
44,56,827
44,57,827
44,58,827
44,59,827
44,60,827
44,61,827
44,62,827
44,63,827
44,64,827
44,65,827
44,66,827
44,72,827
44,73,827
44,74,827
44,75,508
44,76,508
44,77,508
44,78,508
44,79,508
44,80,508
44,81,508
44,82,508
44,83,508
44,84,508
44,86,508
44,87,508
44,88,508
44,89,508
44,90,508
44,91,508
44,92,508
44,100,508
44,101,508
44,103,508
44,123,508
44,143,508
44,144,508
44,145,508
45,42,827
45,44,827
45,45,827
45,46,827
45,47,827
45,50,827
45,51,827
45,52,827
45,53,827
45,54,827
45,55,827
45,56,827
45,57,827
45,58,827
45,59,827
45,60,827
45,62,827
45,63,827
45,64,827
45,65,827
45,66,827
45,72,827
45,73,827
45,74,827
45,75,508
45,76,508
45,77,508
45,78,508
45,79,508
45,80,508
45,81,508
45,82,508
45,83,508
45,84,508
45,85,508
45,86,508
45,87,508
45,88,508
45,89,508
45,90,508
45,94,508
45,95,508
45,96,508
45,97,508
45,99,508
45,102,508
45,103,508
45,190,1026
45,243,1026
46,38,827
46,39,827
46,40,827
46,43,827
46,44,827
46,45,827
46,46,827
46,50,827
46,52,827
46,53,827
46,54,827
46,55,827
46,56,827
46,57,827
46,58,827
46,59,827
46,60,827
46,63,827
46,66,827
46,72,827
46,73,827
46,74,827
46,76,508
46,77,508
46,78,508
46,79,508
46,80,508
46,81,508
46,82,508
46,83,508
46,84,508
46,85,508
46,86,508
46,88,508
46,89,508
46,90,508
46,91,508
46,92,508
46,93,508
46,94,508
46,95,508
46,96,508
46,97,508
46,99,508
46,100,508
46,103,508
46,117,508
46,120,508
47,38,827
47,39,827
47,42,827
47,50,827
47,51,827
47,52,827
47,53,827
47,54,827
47,55,827
47,56,827
47,59,827
47,60,827
47,65,827
47,66,827
47,71,827
47,72,827
47,75,827
47,76,508
47,77,508
47,78,508
47,79,508
47,80,508
47,81,508
47,82,508
47,83,508
47,84,508
47,85,508
47,86,508
47,88,508
47,90,508
47,91,508
47,92,508
47,93,508
47,94,508
47,95,508
47,97,508
47,99,508
47,100,508
47,333,1735
48,33,827
48,40,827
48,48,827
48,49,827
48,50,827
48,51,827
48,52,827
48,53,827
48,54,827
48,55,827
48,56,827
48,57,827
48,59,827
48,60,827
48,61,827
48,62,827
48,66,827
48,71,827
48,73,827
48,74,827
48,75,827
48,76,508
48,77,508
48,78,508
48,79,508
48,80,508
48,81,508
48,82,508
48,83,508
48,84,508
