"y","x","cluster_id"
29,489,395
33,485,395
33,500,395
33,503,395
34,482,395
35,475,395
35,477,395
35,478,395
35,483,395
36,499,395
37,456,395
38,454,395
38,455,395
38,457,395
38,499,395
38,500,395
39,454,395
39,456,395
39,480,395
39,499,395
40,454,395
40,497,395
40,498,395
41,465,395
42,493,395
42,497,395
43,494,395
43,495,395
43,513,784
44,450,395
44,489,395
45,501,395
46,458,395
46,486,395
46,501,395
46,502,395
46,509,784
47,489,395
48,458,395
48,488,395
48,501,395
49,466,395
49,483,395
49,511,784
50,464,395
50,483,395
51,465,395
51,483,395
51,509,784
52,452,395
52,465,395
52,476,395
52,497,395
53,461,395
53,471,395
53,476,395
53,478,395
53,496,395
53,497,395
54,461,395
54,465,395
54,470,395
54,477,395
54,497,395
55,460,395
55,461,395
55,497,395
55,536,784
56,460,395
56,477,395
56,478,395
56,496,395
56,497,395
56,498,395
56,500,395
56,506,784
57,478,395
57,479,395
57,492,395
57,493,395
57,494,395
57,506,784
57,512,784
57,537,784
58,468,395
58,470,395
58,490,395
58,492,395
58,493,395
58,494,395
58,509,784
58,511,784
58,531,784
58,545,784
59,467,395
59,492,395
59,493,395
59,494,395
59,510,784
59,523,784
59,530,784
60,467,395
60,509,784
60,519,784
60,523,784
60,524,784
60,534,784
60,535,784
61,468,395
61,507,784
61,508,784
61,519,784
61,522,784
61,535,784
61,536,784
62,458,395
62,467,395
62,468,395
62,469,395
62,470,395
62,471,395
62,521,784
62,535,784
62,537,784
63,468,395
63,469,395
63,470,395
63,471,395
63,472,395
63,474,395
63,475,395
63,489,395
63,513,784
63,519,784
63,538,784
64,458,395
64,468,395
64,469,395
64,470,395
64,471,395
64,474,395
64,483,395
64,484,395
64,489,395
64,520,784
64,537,784
65,467,395
65,468,395
65,483,395
65,484,395
65,485,395
65,486,395
65,487,395
65,488,395
65,489,395
65,490,395
65,493,395
65,523,784
66,451,395
66,454,395
66,460,395
66,466,395
66,467,395
66,468,395
66,483,395
66,484,395
66,485,395
66,486,395
66,487,395
66,488,395
66,489,395
66,490,395
66,491,395
66,492,395
66,515,784
66,522,784
67,460,395
67,464,395
67,465,395
67,466,395
67,467,395
67,483,395
67,484,395
67,485,395
67,486,395
67,487,395
67,488,395
67,489,395
