"y","x","cluster_id"
1,369,506
1,381,506
1,426,794
1,427,794
1,428,794
1,429,794
1,451,794
1,452,794
1,453,794
1,454,794
1,455,794
1,456,794
1,457,794
2,366,506
2,391,506
2,392,506
2,393,506
2,394,506
2,395,506
2,396,506
2,397,506
2,398,506
2,399,506
2,424,506
2,425,506
2,426,794
2,427,794
2,428,794
2,429,794
2,441,794
2,443,794
2,451,794
2,452,794
2,453,794
2,454,794
2,455,794
2,456,794
2,457,794
2,459,794
3,367,506
3,384,506
3,387,506
3,388,506
3,389,506
3,391,506
3,392,506
3,393,506
3,395,506
3,396,506
3,397,506
3,398,506
3,399,506
3,424,506
3,425,506
3,426,794
3,427,794
3,428,794
3,441,794
3,442,794
3,443,794
3,444,794
3,445,794
3,446,794
3,448,794
3,451,794
3,452,794
3,453,794
3,454,794
3,455,794
3,456,794
3,457,794
3,458,794
3,459,794
3,460,794
3,461,794
3,464,794
4,383,506
4,384,506
4,386,506
4,387,506
4,388,506
4,389,506
4,393,506
4,394,506
4,395,506
4,396,506
4,397,506
4,398,506
4,399,506
4,400,506
4,404,506
4,406,506
4,423,506
4,424,506
4,425,506
4,426,794
4,427,794
4,441,794
4,442,794
4,443,794
4,444,794
4,445,794
4,446,794
4,447,794
4,451,794
4,452,794
4,453,794
4,454,794
4,455,794
4,456,794
4,457,794
4,458,794
4,459,794
4,461,794
4,462,794
4,463,794
4,464,794
4,465,794
4,466,794
4,467,794
5,289,1626
5,292,1626
5,384,506
5,385,506
5,386,506
5,387,506
5,392,506
5,394,506
5,395,506
5,397,506
5,398,506
5,399,506
5,400,506
5,410,506
5,422,506
5,423,506
5,424,506
5,425,506
5,426,794
5,441,794
5,442,794
5,443,794
5,445,794
5,446,794
5,447,794
5,448,794
5,449,794
5,450,794
5,451,794
5,452,794
5,454,794
5,455,794
5,456,794
5,457,794
5,458,794
5,459,794
5,460,794
5,461,794
5,462,794
5,463,794
5,464,794
5,465,794
5,466,794
5,467,794
5,469,794
6,290,1626
6,294,1626
6,296,1626
6,342,506
6,347,506
6,348,506
6,350,506
6,378,506
6,379,506
6,384,506
6,385,506
6,386,506
6,388,506
6,389,506
6,390,506
6,392,506
6,393,506
6,394,506
6,395,506
6,396,506
6,398,506
6,399,506
6,400,506
6,401,506
6,402,506
6,403,506
6,404,506
6,409,506
6,410,506
6,411,506
6,422,506
6,423,506
6,424,506
6,425,506
6,426,794
6,427,794
6,442,794
6,444,794
6,445,794
6,447,794
6,448,794
6,449,794
6,452,794
6,453,794
6,454,794
6,455,794
6,456,794
6,457,794
6,458,794
6,459,794
6,460,794
6,461,794
6,462,794
6,463,794
6,465,794
6,467,794
6,468,794
7,279,1626
7,282,1626
7,285,1626
7,286,1626
7,288,1626
7,289,1626
7,290,1626
7,294,1626
7,296,1626
7,297,1626
7,342,506
7,343,506
7,348,506
7,349,506
7,375,506
7,376,506
7,377,506
7,378,506
7,382,506
7,385,506
7,386,506
7,394,506
7,398,506
7,400,506
7,401,506
7,402,506
7,403,506
7,404,506
7,407,506
7,410,506
7,411,506
7,412,506
7,423,506
7,424,506
7,425,506
7,440,794
7,441,794
7,442,794
7,443,794
7,444,794
7,445,794
7,447,794
7,448,794
7,449,794
7,450,794
7,451,794
7,452,794
7,453,794
7,455,794
7,456,794
7,457,794
7,458,794
7,459,794
7,460,794
7,461,794
7,462,794
7,463,794
7,464,794
7,467,794
7,468,794
7,469,794
7,470,794
7,472,794
8,268,1626
8,275,1626
8,276,1626
8,282,1626
8,283,1626
8,284,1626
8,285,1626
8,286,1626
8,288,1626
8,290,1626
8,295,1626
8,296,1626
8,297,1626
8,367,506
8,370,506
8,372,506
8,373,506
8,374,506
8,376,506
8,377,506
8,378,506
8,379,506
8,384,506
8,385,506
8,394,506
8,398,506
8,399,506
8,403,506
8,406,506
8,407,506
8,408,506
8,409,506
8,410,506
8,411,506
8,412,506
8,422,506
8,423,506
8,424,506
8,425,506
8,439,794
8,441,794
8,442,794
8,443,794
8,444,794
8,445,794
8,447,794
8,448,794
8,449,794
8,450,794
8,451,794
8,453,794
8,454,794
8,455,794
8,456,794
8,457,794
8,458,794
8,459,794
8,460,794
8,461,794
8,462,794
8,464,794
8,465,794
8,467,794
8,468,794
8,469,794
8,470,794
8,471,794
8,472,794
8,473,794
8,474,794
9,256,1626
9,257,1626
9,262,1626
9,263,1626
9,267,1626
9,268,1626
9,269,1626
9,276,1626
9,277,1626
9,278,1626
9,280,1626
9,281,1626
9,282,1626
9,283,1626
9,285,1626
9,295,1626
9,297,1626
9,298,1626
9,334,506
9,374,506
9,375,506
9,379,506
9,380,506
9,382,506
9,387,506
9,388,506
9,394,506
9,395,506
9,396,506
9,397,506
9,398,506
9,399,506
9,402,506
9,403,506
9,404,506
9,405,506
9,409,506
9,410,506
9,411,506
9,412,506
9,413,506
9,414,506
9,423,506
9,424,506
9,436,794
9,437,794
9,438,794
9,439,794
9,444,794
9,445,794
9,448,794
9,450,794
9,452,794
9,453,794
9,454,794
9,455,794
9,457,794
9,458,794
9,459,794
9,460,794
9,462,794
9,466,794
9,467,794
9,468,794
9,469,794
9,470,794
9,474,794
9,475,794
9,481,794
9,482,794
10,255,1626
10,256,1626
10,257,1626
10,260,1626
10,261,1626
10,267,1626
10,269,1626
10,270,1626
10,271,1626
10,273,1626
10,275,1626
10,279,1626
10,280,1626
10,298,1626
10,299,1626
10,301,1626
10,370,506
10,379,506
10,387,506
10,390,506
10,395,506
10,398,506
10,401,506
10,403,506
10,404,506
10,412,506
10,413,506
10,414,506
10,422,506
10,425,506
10,438,794
10,439,794
10,440,794
10,441,794
10,442,794
10,450,794
10,452,794
10,453,794
10,454,794
10,455,794
10,457,794
10,458,794
10,459,794
10,460,794
10,463,794
10,465,794
10,467,794
10,468,794
10,469,794
10,470,794
10,471,794
10,472,794
10,473,794
10,474,794
10,481,794
10,482,794
11,250,1626
11,255,1626
11,256,1626
11,263,1626
11,265,1626
11,266,1626
11,267,1626
11,268,1626
11,269,1626
11,290,1626
11,298,1626
11,303,1626
11,304,1626
11,358,506
11,361,506
11,363,506
11,364,506
11,365,506
11,368,506
11,370,506
11,371,506
11,373,506
11,380,506
11,383,506
11,388,506
11,393,506
11,401,506
11,402,506
11,403,506
11,404,506
11,414,506
11,416,506
11,417,506
11,418,506
11,420,506
11,421,506
11,422,506
11,439,794
11,440,794
11,441,794
11,442,794
11,446,794
11,451,794
11,452,794
11,454,794
11,455,794
11,456,794
11,457,794
11,458,794
11,459,794
11,460,794
11,466,794
11,467,794
11,468,794
11,469,794
11,470,794
11,471,794
11,472,794
11,473,794
11,474,794
11,479,794
11,480,794
11,481,794
11,482,794
11,483,794
11,484,794
12,248,1626
12,249,1626
12,250,1626
12,251,1626
12,254,1626
12,255,1626
12,256,1626
12,257,1626
12,266,1626
12,268,1626
12,287,1626
12,288,1626
12,289,1626
12,291,1626
12,292,1626
12,293,1626
12,296,1626
12,302,1626
12,309,1626
12,330,506
12,353,506
12,359,506
12,360,506
12,361,506
12,362,506
12,363,506
12,364,506
12,365,506
12,370,506
12,381,506
12,384,506
12,385,506
12,394,506
12,396,506
12,399,506
12,400,506
12,401,506
12,402,506
12,415,506
12,416,506
12,417,506
12,418,506
12,419,506
12,420,506
12,421,506
12,422,506
12,441,794
12,442,794
12,449,794
12,450,794
12,451,794
12,452,794
12,453,794
12,454,794
12,455,794
12,456,794
12,457,794
12,458,794
12,459,794
12,460,794
12,461,794
12,465,794
12,466,794
12,469,794
12,470,794
12,471,794
12,472,794
12,479,794
12,480,794
12,481,794
12,482,794
12,483,794
12,484,794
13,244,1626
13,249,1626
13,252,1626
13,254,1626
13,255,1626
13,263,1626
13,264,1626
13,286,1626
13,289,1626
13,296,1626
13,298,1626
13,301,1626
13,311,1626
13,312,1626
13,313,1626
13,314,1626
13,315,1626
13,316,1626
13,330,506
13,342,506
13,344,506
13,353,506
13,354,506
13,355,506
13,356,506
13,357,506
13,358,506
13,359,506
13,360,506
13,361,506
13,362,506
13,363,506
13,370,506
13,371,506
13,382,506
13,384,506
13,385,506
13,386,506
13,397,506
13,414,506
13,416,506
13,417,506
13,419,506
13,440,794
13,449,794
13,450,794
13,452,794
13,453,794
13,454,794
13,455,794
13,456,794
13,457,794
13,458,794
13,459,794
13,462,794
13,463,794
13,464,794
13,465,794
13,466,794
13,467,794
13,468,794
13,469,794
13,470,794
13,471,794
13,472,794
13,473,794
13,474,794
13,475,794
13,476,794
13,477,794
13,478,794
13,479,794
13,482,794
13,483,794
13,484,794
13,486,794
13,487,1647
14,248,1626
14,250,1626
14,251,1626
14,259,1626
14,263,1626
14,291,1626
14,297,1626
14,306,1626
14,310,1626
14,311,1626
14,313,1626
14,314,1626
14,315,1626
14,318,1626
14,325,1626
14,326,1626
14,328,1626
14,329,506
14,330,506
14,331,506
14,344,506
14,347,506
14,355,506
14,356,506
14,357,506
14,365,506
14,373,506
14,383,506
14,388,506
14,391,506
14,392,506
14,394,506
14,398,506
14,443,794
14,444,794
14,450,794
14,452,794
14,453,794
14,454,794
14,455,794
14,456,794
14,457,794
14,458,794
14,459,794
14,460,794
14,461,794
14,462,794
14,463,794
14,464,794
14,465,794
14,466,794
14,467,794
14,468,794
14,469,794
14,470,794
14,471,794
14,473,794
14,474,794
14,475,794
14,476,794
14,477,794
14,479,794
14,480,794
14,483,794
14,484,794
15,245,1626
15,250,1626
15,257,1626
15,258,1626
15,262,1626
15,276,1626
15,289,1626
15,296,1626
15,307,1626
15,310,1626
15,315,1626
15,322,1626
15,324,1626
15,344,506
15,345,506
15,356,506
15,357,506
15,371,506
15,372,506
15,374,506
15,386,506
15,387,506
15,449,794
15,450,794
15,451,794
15,452,794
15,453,794
15,454,794
15,456,794
15,460,794
15,461,794
15,462,794
15,465,794
15,466,794
15,467,794
15,468,794
15,470,794
15,475,794
15,476,794
15,477,794
15,483,794
15,484,794
15,493,1647
15,496,1647
15,497,1647
15,503,1647
15,504,1647
15,506,1647
15,507,1647
15,508,1647
16,236,1626
16,250,1626
16,276,1626
16,296,1626
16,297,1626
16,299,1626
16,313,1626
16,345,506
16,371,506
16,372,506
16,373,506
16,382,506
16,389,506
16,392,506
16,450,794
16,451,794
16,452,794
16,453,794
16,460,794
16,461,794
16,462,794
16,463,794
16,464,794
16,465,794
16,466,794
16,467,794
16,471,794
16,474,794
16,475,794
16,478,794
16,479,794
16,484,794
16,485,1647
16,488,1647
16,496,1647
16,497,1647
16,498,1647
16,499,1647
16,503,1647
16,504,1647
16,505,1647
16,506,1647
16,507,1647
16,508,1647
16,509,1647
17,297,1626
17,302,1626
17,311,1626
17,314,1626
17,346,506
17,347,506
17,380,506
17,383,506
17,388,506
17,440,794
17,447,794
17,452,794
17,453,794
17,457,794
17,458,794
17,460,794
17,461,794
17,462,794
17,463,794
17,464,794
17,465,794
17,466,794
17,467,794
17,469,794
17,471,794
17,472,794
17,474,794
17,479,794
17,485,1647
17,494,1647
17,495,1647
17,497,1647
17,498,1647
17,499,1647
17,500,1647
17,502,1647
17,503,1647
17,504,1647
17,505,1647
17,506,1647
17,507,1647
17,508,1647
17,509,1647
18,209,1626
18,210,1626
18,211,1626
18,212,1626
18,213,1626
18,229,1626
18,307,1626
18,317,1626
18,372,506
18,382,506
18,383,506
18,388,506
18,445,794
18,456,794
18,457,794
18,459,794
18,461,794
18,462,794
18,463,794
18,464,794
18,465,794
18,466,794
18,467,794
18,468,794
18,469,794
18,472,794
18,473,794
18,474,794
18,475,794
18,476,794
18,477,794
18,478,794
18,485,1647
18,486,1647
18,494,1647
18,495,1647
18,496,1647
18,497,1647
18,498,1647
18,499,1647
18,500,1647
18,501,1647
18,502,1647
18,503,1647
18,504,1647
18,505,1647
18,506,1647
18,509,1647
18,510,1647
18,512,1647
18,513,1647
19,204,1626
19,205,1626
19,212,1626
19,382,506
19,383,506
19,457,794
19,459,794
19,462,794
19,463,794
19,464,794
19,465,794
19,466,794
19,468,794
19,469,794
19,470,794
19,471,794
19,472,794
19,473,794
19,474,794
19,477,794
19,478,794
19,485,1647
19,486,1647
19,495,1647
19,496,1647
19,498,1647
19,499,1647
19,500,1647
19,501,1647
19,503,1647
19,504,1647
19,508,1647
19,509,1647
19,510,1647
19,512,1647
19,514,1647
19,519,1647
20,204,1626
20,206,1626
20,211,1626
20,278,1626
20,294,1626
20,311,1626
20,377,506
20,378,506
20,379,506
20,381,506
20,383,506
20,387,506
20,388,506
20,394,506
20,457,794
20,462,794
20,463,794
20,464,794
20,465,794
20,466,794
20,468,794
20,469,794
20,470,794
20,471,794
20,472,794
20,473,794
20,477,794
20,478,794
20,485,1647
20,486,1647
20,487,1647
20,488,1647
20,495,1647
20,497,1647
20,498,1647
20,499,1647
20,500,1647
20,501,1647
20,502,1647
20,504,1647
20,506,1647
20,508,1647
20,509,1647
20,511,1647
20,512,1647
20,513,1647
20,514,1647
20,515,1647
20,516,1647
20,519,1647
20,520,1647
21,211,1626
21,357,506
21,358,506
21,378,506
21,379,506
21,381,506
21,463,794
21,464,794
21,465,794
21,466,794
21,467,794
21,469,794
21,470,794
21,471,794
21,472,794
21,473,794
21,474,794
21,475,794
21,476,794
21,477,794
21,478,794
21,479,794
21,486,1647
21,487,1647
21,488,1647
21,489,1647
21,490,1647
21,497,1647
21,498,1647
21,499,1647
21,501,1647
21,502,1647
21,503,1647
21,504,1647
21,505,1647
21,509,1647
21,510,1647
21,511,1647
21,512,1647
21,513,1647
21,514,1647
21,515,1647
21,518,1647
21,519,1647
21,520,1647
21,521,1647
21,522,1647
22,210,1626
22,211,1626
22,360,506
22,378,506
22,379,506
22,380,506
22,381,506
22,383,506
22,458,794
22,464,794
22,465,794
22,466,794
22,467,794
22,468,794
22,472,794
22,473,794
22,474,794
22,475,794
22,476,794
22,477,794
22,478,794
22,479,794
22,480,794
22,485,1647
22,486,1647
22,487,1647
22,488,1647
22,489,1647
22,490,1647
22,493,1647
22,494,1647
22,498,1647
22,499,1647
22,500,1647
22,501,1647
22,502,1647
22,503,1647
22,504,1647
22,506,1647
22,508,1647
22,509,1647
22,511,1647
22,513,1647
22,514,1647
22,515,1647
22,516,1647
22,517,1647
22,518,1647
22,519,1647
22,520,1647
22,521,1647
22,522,1647
23,256,1626
23,379,506
23,380,506
23,381,506
23,384,506
23,464,794
23,465,794
23,466,794
23,467,794
23,468,794
23,469,794
23,473,794
23,474,794
23,477,794
23,484,1647
23,485,1647
23,486,1647
23,487,1647
23,491,1647
23,492,1647
23,493,1647
23,494,1647
23,495,1647
23,496,1647
23,498,1647
23,499,1647
23,500,1647
23,501,1647
23,502,1647
23,503,1647
23,504,1647
23,505,1647
23,508,1647
23,509,1647
23,510,1647
23,511,1647
23,513,1647
23,514,1647
23,515,1647
23,516,1647
23,517,1647
23,518,1647
23,519,1647
23,520,1647
23,521,1647
23,523,1647
23,524,1647
23,525,1647
23,526,1647
24,188,3078
24,377,506
24,379,506
24,380,506
24,381,506
24,457,794
24,462,794
24,463,794
24,464,794
24,465,794
24,466,794
24,467,794
24,468,794
24,469,794
24,470,794
24,473,794
24,477,794
24,478,794
24,479,794
24,483,1647
24,484,1647
24,485,1647
24,486,1647
24,487,1647
24,488,1647
24,489,1647
24,490,1647
24,491,1647
24,492,1647
24,493,1647
24,495,1647
24,498,1647
24,499,1647
24,500,1647
24,501,1647
24,502,1647
24,503,1647
24,504,1647
24,505,1647
24,506,1647
24,507,1647
24,509,1647
24,510,1647
24,511,1647
24,514,1647
24,515,1647
24,516,1647
24,517,1647
24,518,1647
24,519,1647
24,520,1647
24,521,1647
24,522,1647
24,524,1647
24,525,1647
24,526,1647
24,527,1647
25,250,1626
25,379,506
25,380,506
25,381,506
25,382,506
25,458,794
25,460,794
25,462,794
25,463,794
25,464,794
25,465,794
25,466,794
25,467,794
25,468,794
25,469,794
25,470,794
25,471,794
25,473,794
25,474,794
25,475,794
25,477,794
25,478,794
25,479,794
25,480,794
25,481,1647
25,482,1647
25,483,1647
25,484,1647
25,485,1647
25,486,1647
25,488,1647
25,490,1647
25,491,1647
25,492,1647
25,493,1647
25,494,1647
25,496,1647
25,497,1647
25,498,1647
25,499,1647
25,500,1647
25,501,1647
25,502,1647
25,503,1647
25,504,1647
25,506,1647
25,511,1647
25,512,1647
25,513,1647
25,514,1647
25,515,1647
25,516,1647
25,517,1647
25,518,1647
25,519,1647
25,520,1647
25,521,1647
25,522,1647
25,523,1647
25,524,1647
25,525,1647
25,526,1647
25,527,1647
25,528,1647
26,222,1626
26,246,1626
26,249,1626
26,378,506
26,379,506
26,380,506
26,381,506
26,460,794
26,461,794
26,462,794
26,465,794
26,466,794
26,467,794
26,468,794
26,469,794
26,470,794
26,471,794
26,474,794
26,478,794
26,481,1647
26,482,1647
26,483,1647
26,484,1647
26,486,1647
26,493,1647
26,494,1647
26,495,1647
26,496,1647
26,497,1647
26,498,1647
26,499,1647
26,500,1647
26,501,1647
26,502,1647
26,504,1647
26,506,1647
26,509,1647
26,512,1647
26,513,1647
26,514,1647
26,515,1647
26,517,1647
26,518,1647
26,519,1647
26,520,1647
26,521,1647
26,522,1647
26,523,1647
26,524,1647
26,525,1647
26,526,1647
26,527,1647
27,182,3078
27,378,506
27,379,506
27,380,506
27,458,794
27,461,794
27,463,794
27,464,794
27,466,794
27,467,794
27,468,794
27,469,794
27,470,794
27,471,794
27,472,794
27,473,794
27,474,794
27,477,794
27,478,794
27,479,794
27,484,1647
27,485,1647
27,489,1647
27,490,1647
27,492,1647
27,493,1647
27,494,1647
27,495,1647
27,496,1647
27,497,1647
27,498,1647
27,499,1647
27,501,1647
27,505,1647
27,506,1647
27,508,1647
27,510,1647
27,511,1647
27,512,1647
27,513,1647
27,514,1647
27,515,1647
27,516,1647
27,517,1647
27,518,1647
27,519,1647
27,520,1647
27,522,1647
27,523,1647
28,181,3078
28,250,1626
28,380,506
28,381,506
28,459,794
28,463,794
28,464,794
28,465,794
28,466,794
28,467,794
28,468,794
28,469,794
28,470,794
28,471,794
28,472,794
28,476,794
28,477,794
28,478,794
28,479,794
28,480,1647
28,481,1647
28,489,1647
28,490,1647
28,491,1647
28,492,1647
28,493,1647
28,494,1647
28,497,1647
28,498,1647
28,499,1647
28,500,1647
28,501,1647
28,502,1647
28,503,1647
28,504,1647
28,505,1647
28,506,1647
28,507,1647
28,510,1647
28,511,1647
28,512,1647
28,516,1647
28,517,1647
28,518,1647
28,519,1647
28,520,1647
28,521,1647
28,522,1647
28,523,1647
29,313,1626
29,458,794
29,464,794
29,466,794
29,467,794
29,468,794
29,469,794
29,470,794
29,471,794
29,477,794
29,478,794
29,479,1647
29,480,1647
29,481,1647
29,482,1647
29,486,1647
29,493,1647
29,494,1647
29,497,1647
29,499,1647
29,500,1647
29,501,1647
29,502,1647
29,503,1647
29,504,1647
29,505,1647
29,506,1647
29,507,1647
29,508,1647
29,509,1647
29,510,1647
29,511,1647
29,512,1647
29,514,1647
29,516,1647
29,517,1647
29,518,1647
29,521,1647
29,524,1647
29,533,1647
30,171,3078
30,172,3078
30,173,3078
30,254,1626
30,466,794
30,467,794
30,468,794
30,470,794
30,471,794
30,472,794
