"y","x","cluster_id"
43,164,40
48,157,40
68,92,40
69,112,40
70,108,40
74,77,40
76,188,510
80,73,40
80,75,40
81,78,40
82,93,40
82,94,40
84,73,40
84,83,40
84,85,40
84,86,40
85,106,40
86,53,40
88,50,40
91,56,40
92,53,40
94,87,40
98,57,40
98,61,40
99,80,40
100,56,40
102,52,40
102,53,40
102,54,40
106,174,625
107,103,40
108,415,448
109,411,448
110,139,40
111,68,40
111,69,40
111,340,448
111,400,448
112,69,40
112,73,40
112,153,625
112,397,448
113,66,40
113,69,40
113,212,510
114,197,510
114,456,448
116,66,40
116,67,40
116,68,40
116,395,448
116,396,448
116,419,448
117,396,448
118,123,40
118,124,40
118,393,448
118,395,448
119,300,510
119,393,448
119,444,448
123,66,40
123,93,40
125,146,625
125,162,625
125,513,845
126,401,448
128,72,40
129,152,625
129,489,845
129,516,845
130,73,40
130,171,625
130,515,845
130,516,845
131,58,40
131,251,510
131,291,510
131,405,448
132,520,845
133,191,510
133,217,510
134,207,510
134,246,510
135,132,625
135,133,625
135,143,625
135,151,625
135,157,625
135,208,510
135,229,510
136,157,625
136,209,510
136,404,448
137,143,625
138,170,625
138,182,625
138,225,510
139,78,40
139,261,510
140,97,40
140,106,40
140,218,510
141,88,40
141,219,510
143,197,510
143,216,510
144,153,625
144,154,625
144,216,510
144,237,510
144,352,448
145,169,625
146,132,625
146,164,625
146,212,510
146,223,510
147,152,625
147,156,625
147,157,625
147,158,625
147,191,625
147,212,510
147,228,510
147,241,510
147,242,510
147,355,448
148,136,625
148,146,625
148,151,625
148,152,625
148,153,625
148,154,625
148,155,625
148,156,625
148,161,625
149,144,625
149,150,625
149,151,625
149,152,625
149,153,625
149,154,625
149,163,625
149,211,510
149,247,510
150,151,625
150,152,625
150,153,625
150,154,625
150,163,625
150,210,510
150,227,510
151,72,40
151,76,40
151,126,625
151,138,625
151,152,625
151,153,625
151,162,625
151,209,510
151,210,510
151,219,510
152,125,625
152,134,625
152,136,625
152,143,625
152,144,625
152,145,625
152,153,625
152,161,625
152,162,625
152,163,625
152,181,625
152,205,510
152,207,510
152,208,510
152,209,510
152,210,510
152,274,510
152,275,510
152,276,510
152,277,510
152,278,510
152,282,510
152,475,845
153,134,625
153,136,625
153,143,625
153,144,625
153,153,625
153,160,625
153,162,625
153,170,625
153,176,625
153,208,510
153,210,510
153,279,510
154,136,625
154,137,625
154,138,625
154,143,625
154,155,625
154,160,625
154,161,625
154,171,625
154,181,625
154,182,625
154,185,625
154,208,510
154,210,510
154,211,510
154,273,510
154,274,510
155,54,40
155,73,40
155,138,625
155,139,625
155,141,625
155,153,625
155,158,625
155,159,625
155,160,625
155,161,625
155,181,625
155,182,625
155,183,625
155,211,510
155,235,510
155,272,510
155,273,510
155,506,845
156,55,40
156,97,40
156,123,625
156,139,625
156,140,625
156,155,625
156,156,625
156,166,625
156,168,625
156,172,625
156,183,625
156,184,625
156,209,510
156,212,510
156,214,510
156,222,510
156,231,510
156,232,510
156,272,510
156,273,510
156,288,510
157,57,40
157,123,625
157,154,625
157,155,625
157,156,625
157,157,625
157,158,625
157,159,625
157,160,625
157,161,625
157,166,625
157,168,625
157,170,625
157,171,625
157,213,510
157,214,510
157,215,510
157,216,510
157,223,510
157,226,510
157,232,510
157,258,510
157,271,510
157,272,510
158,107,625
158,121,625
158,122,625
158,123,625
158,157,625
158,158,625
158,159,625
158,160,625
158,163,625
158,164,625
158,165,625
158,214,510
158,215,510
158,250,510
159,164,625
159,165,625
159,166,625
159,209,510
159,226,510
160,46,40
160,88,40
160,157,625
160,164,625
160,165,625
160,166,625
160,167,625
160,177,625
160,232,510
160,271,510
160,293,510
161,125,625
161,128,625
161,148,625
161,164,625
161,165,625
161,166,625
161,167,625
161,242,510
161,271,510
161,349,448
161,546,845
162,72,40
162,128,625
162,164,625
162,165,625
162,166,625
162,167,625
162,172,625
162,173,625
162,174,625
162,175,625
162,176,625
162,178,625
162,179,625
162,180,625
162,216,510
162,245,510
162,295,510
162,296,510
162,297,510
162,299,510
162,448,448
163,126,625
163,172,625
163,173,625
163,174,625
163,175,625
163,176,625
163,267,510
163,271,510
163,272,510
164,69,40
164,97,625
164,130,625
164,164,625
164,173,625
164,174,625
164,175,625
164,215,510
164,221,510
164,222,510
164,223,510
164,237,510
164,239,510
164,240,510
164,271,510
165,74,40
165,126,625
165,164,625
165,236,510
165,237,510
165,238,510
165,239,510
165,240,510
165,241,510
165,308,510
166,72,1429
166,220,510
166,228,510
166,231,510
166,233,510
166,236,510
166,237,510
166,238,510
166,239,510
166,240,510
166,241,510
166,268,510
166,271,510
166,272,510
166,306,510
166,307,510
166,308,510
166,318,510
167,76,1429
167,163,625
167,214,510
167,216,510
167,217,510
167,219,510
167,220,510
167,225,510
167,226,510
167,232,510
167,236,510
167,237,510
167,238,510
167,239,510
167,240,510
167,241,510
167,242,510
167,272,510
167,310,510
168,70,1429
168,76,1429
168,126,625
168,163,625
168,171,625
168,215,510
168,217,510
168,226,510
168,227,510
168,234,510
168,237,510
168,238,510
168,239,510
168,240,510
168,241,510
168,242,510
168,243,510
168,244,510
168,272,510
168,273,510
168,314,510
168,424,448
169,70,1429
169,111,625
169,215,510
169,226,510
169,227,510
169,237,510
169,239,510
169,240,510
169,241,510
169,272,510
169,315,510
169,326,510
169,333,448
169,334,448
169,335,448
169,338,448
169,412,448
170,60,1429
170,90,1429
170,148,625
170,215,510
170,216,510
170,237,510
170,239,510
170,240,510
170,241,510
170,244,510
170,245,510
170,269,510
170,273,510
170,329,448
170,333,448
170,334,448
170,335,448
170,336,448
170,339,448
170,340,448
170,341,448
171,81,1429
171,162,625
171,238,510
171,240,510
171,244,510
171,338,448
171,339,448
171,341,448
171,343,448
171,509,845
172,82,1429
172,87,1429
172,101,625
172,161,625
