"y","x","cluster_id"
1,130,109
2,129,109
3,129,109
3,130,109
4,120,109
4,121,109
4,122,109
4,129,109
4,130,109
4,131,109
4,132,109
5,121,109
5,122,109
5,123,109
5,129,109
5,130,109
5,131,109
5,134,109
5,135,109
5,136,109
5,137,109
5,138,109
5,139,109
5,140,109
6,122,109
6,123,109
6,124,109
6,131,109
6,132,109
6,133,109
6,134,109
6,135,109
6,136,109
6,137,109
6,138,109
6,139,109
6,140,109
7,122,109
7,123,109
7,124,109
7,125,109
7,130,109
7,131,109
7,132,109
7,134,109
7,135,109
7,136,109
7,137,109
7,138,109
7,139,109
7,140,109
8,122,109
8,125,109
8,133,109
8,134,109
8,136,109
8,137,109
8,138,109
8,139,109
8,141,109
9,122,109
9,123,109
9,124,109
9,127,109
9,133,109
9,134,109
9,135,109
9,139,109
10,121,109
10,122,109
10,123,109
10,124,109
10,127,109
10,136,109
10,139,109
11,123,109
11,125,109
11,127,109
11,139,109
11,140,109
12,118,109
12,120,109
12,123,109
12,124,109
12,126,109
12,128,109
12,138,109
12,139,109
12,141,109
12,142,109
13,119,109
13,138,109
13,139,109
13,140,109
13,141,109
14,132,109
14,139,109
15,115,109
15,130,109
16,133,109
16,143,109
16,144,109
16,145,109
17,132,109
17,133,109
17,143,109
17,144,109
18,129,109
18,132,109
18,143,109
18,144,109
18,145,109
19,145,109
20,145,109
22,106,109
22,126,109
22,127,109
23,127,109
24,103,109
24,105,109
24,107,109
24,120,109
24,127,109
24,137,109
24,139,109
24,145,109
25,107,109
25,139,109
26,140,109
27,140,109
27,145,109
29,95,109
29,103,109
29,143,109
31,137,109
31,138,109
32,138,109
33,136,109
34,116,109
34,117,109
34,138,109
35,117,109
35,138,109
36,130,109
36,138,109
36,139,109
37,73,273
37,75,273
37,139,109
37,140,109
39,79,273
39,84,273
39,122,109
39,123,109
40,79,273
40,133,109
40,134,109
41,72,273
41,134,109
41,135,109
41,138,109
41,139,109
42,122,109
42,134,109
42,137,109
42,138,109
42,139,109
43,101,273
43,103,273
43,135,109
43,136,109
43,138,109
43,139,109
44,103,273
44,135,109
44,136,109
44,137,109
44,138,109
44,139,109
44,140,109
44,141,109
47,88,273
47,117,109
49,90,273
49,143,109
50,110,273
51,98,273
51,107,273
51,112,273
52,108,273
52,144,109
52,146,109
53,94,273
53,95,273
54,93,273
54,94,273
54,95,273
55,55,488
55,92,273
55,94,273
55,109,273
55,147,109
56,108,273
57,88,273
57,89,273
57,140,109
59,84,273
59,86,273
59,87,273
60,67,273
60,79,273
60,85,273
61,84,273
61,87,273
61,89,273
61,112,273
61,121,273
61,128,273
62,85,273
62,86,273
62,87,273
62,111,273
63,69,273
63,85,273
63,126,273
65,81,273
66,70,273
66,93,273
66,94,273
66,103,273
66,110,273
67,62,488
67,84,273
67,94,273
67,110,273
68,72,273
68,103,273
69,101,273
69,113,273
70,101,273
70,114,273
71,65,488
71,66,488
71,146,273
72,63,488
72,65,488
72,93,273
73,62,488
74,90,273
74,100,273
75,62,488
75,80,273
75,87,273
75,93,273
76,88,273
78,62,488
78,69,488
79,70,488
79,71,488
79,72,488
79,81,273
79,93,273
79,94,273
79,118,273
80,68,488
80,71,488
80,72,488
80,81,273
80,88,273
80,93,273
80,94,273
80,99,273
80,100,273
81,93,273
81,98,273
81,100,273
81,108,273
82,61,488
82,62,488
82,63,488
82,67,488
82,71,488
82,94,273
82,98,273
82,99,273
82,103,273
82,106,273
82,107,273
82,108,273
82,109,273
83,62,488
83,63,488
83,71,488
83,75,488
83,108,273
83,109,273
83,110,273
84,65,488
84,75,488
84,76,488
84,103,273
85,64,488
85,65,488
85,122,273
85,123,273
86,62,488
86,65,488
86,122,273
87,62,488
87,68,488
87,72,488
87,73,488
87,81,273
87,92,273
87,95,273
87,104,273
87,122,273
88,63,488
88,68,488
88,78,488
88,81,273
88,94,273
88,95,273
89,62,488
89,116,273
89,117,273
90,63,488
90,80,488
90,91,273
90,116,273
90,117,273
90,118,273
90,119,273
90,120,273
90,121,273
90,122,273
91,57,488
91,67,488
91,68,488
91,72,488
91,73,488
91,75,488
91,76,488
91,90,273
91,92,273
91,113,273
91,114,273
91,115,273
91,116,273
91,117,273
91,121,273
91,122,273
92,56,488
92,57,488
92,58,488
92,67,488
92,68,488
92,69,488
92,71,488
92,72,488
92,73,488
92,76,488
92,77,488
92,79,488
92,112,273
92,113,273
92,114,273
92,116,273
92,120,273
93,68,488
93,71,488
93,72,488
93,73,488
93,74,488
93,75,488
93,76,488
93,77,488
93,85,273
93,96,273
93,111,273
93,112,273
93,113,273
93,114,273
93,116,273
93,118,273
93,120,273
94,68,488
94,70,488
