"y","x","cluster_id"
7,110,81
8,110,81
8,111,81
9,109,81
9,110,81
10,109,81
10,110,81
11,112,81
12,111,81
12,112,81
13,106,81
13,107,81
13,108,81
13,112,81
14,106,81
14,108,81
14,118,81
15,113,81
15,114,81
16,113,81
16,115,81
16,116,81
17,69,159
17,111,81
17,112,81
17,113,81
17,115,81
18,66,159
18,73,159
18,74,159
18,75,159
18,108,81
18,109,81
19,108,81
19,109,81
19,115,81
20,74,159
20,75,159
20,76,159
21,78,159
21,114,81
22,61,159
22,75,159
22,76,159
22,77,159
22,103,81
22,106,81
22,115,81
23,107,81
24,61,159
24,64,159
24,70,159
24,80,159
24,105,81
24,106,81
25,63,159
25,64,159
25,79,159
25,103,81
25,104,81
25,116,81
25,117,81
26,64,159
26,66,159
26,68,159
26,69,159
26,103,81
26,104,81
26,105,81
26,114,81
26,115,81
26,116,81
26,117,81
27,61,159
27,64,159
27,69,159
27,70,159
27,73,159
27,81,159
27,102,81
27,116,81
27,117,81
27,120,81
27,121,81
28,61,159
28,62,159
28,69,159
28,70,159
28,82,159
28,103,81
28,104,81
29,61,159
29,63,159
29,66,159
29,67,159
29,70,159
29,71,159
29,116,81
29,117,81
29,118,81
30,60,159
30,64,159
30,66,159
30,67,159
30,68,159
30,70,159
30,75,159
30,104,81
30,118,81
30,119,81
30,122,81
30,125,81
30,126,81
30,127,81
30,128,81
30,129,81
31,62,159
31,64,159
31,66,159
31,111,81
31,116,81
31,119,81
31,120,81
31,125,81
31,127,81
32,62,159
32,65,159
32,66,159
32,110,81
32,115,81
32,118,81
32,127,81
32,129,81
33,61,159
33,62,159
33,64,159
33,114,81
33,116,81
33,121,81
33,126,81
33,128,81
33,130,81
33,131,81
34,63,159
34,115,81
34,116,81
34,117,81
34,120,81
34,121,81
34,123,81
34,124,81
34,126,81
34,127,81
34,128,81
35,37,291
35,51,159
35,61,159
35,62,159
35,74,159
35,104,81
35,110,81
35,113,81
35,114,81
35,115,81
35,117,81
35,119,81
35,120,81
35,123,81
35,124,81
35,126,81
35,127,81
36,37,291
36,38,291
36,63,159
36,89,159
36,113,81
36,114,81
36,115,81
36,118,81
36,121,81
36,122,81
36,124,81
36,125,81
36,126,81
