"y","x","cluster_id"
32,536,311
34,541,311
35,534,311
36,480,311
36,481,311
36,483,311
36,485,311
36,488,311
37,487,311
39,468,311
40,469,311
40,486,311
40,487,311
40,488,311
40,547,311
42,485,311
43,485,311
44,513,311
46,460,311
46,485,311
47,483,311
47,484,311
48,461,311
48,473,311
48,483,311
49,457,311
49,474,311
49,475,311
49,481,311
49,482,311
50,473,311
50,474,311
50,480,311
50,482,311
50,523,311
51,473,311
51,474,311
51,479,311
51,508,311
51,523,311
52,426,311
52,475,311
52,479,311
52,480,311
52,482,311
53,427,311
53,466,311
53,470,311
53,474,311
53,478,311
53,487,311
53,488,311
54,427,311
54,428,311
54,432,311
54,467,311
54,470,311
54,471,311
54,479,311
54,496,311
55,427,311
55,453,311
55,454,311
55,467,311
55,469,311
55,470,311
55,471,311
55,472,311
55,478,311
56,427,311
56,431,311
56,437,311
56,440,311
56,450,311
56,453,311
56,454,311
56,455,311
56,466,311
56,468,311
56,469,311
56,470,311
56,471,311
56,472,311
56,474,311
56,475,311
56,496,311
56,497,311
56,523,311
57,411,311
57,425,311
57,426,311
57,427,311
57,428,311
57,430,311
57,452,311
57,453,311
57,454,311
57,467,311
57,468,311
57,470,311
57,471,311
57,473,311
57,474,311
57,476,311
57,554,311
58,411,311
58,418,311
58,425,311
58,427,311
58,429,311
58,432,311
58,448,311
58,449,311
58,453,311
58,454,311
58,464,311
58,465,311
58,466,311
58,470,311
58,471,311
58,472,311
58,473,311
58,474,311
58,475,311
58,520,311
59,411,311
59,424,311
59,426,311
59,427,311
59,431,311
59,432,311
59,447,311
59,448,311
59,449,311
59,450,311
59,451,311
59,452,311
59,453,311
59,454,311
59,464,311
59,465,311
59,466,311
59,468,311
59,470,311
59,471,311
59,472,311
59,473,311
59,474,311
59,475,311
60,425,311
60,426,311
60,427,311
60,450,311
60,451,311
60,452,311
60,454,311
60,456,311
60,465,311
60,466,311
60,467,311
60,468,311
60,469,311
60,470,311
60,477,311
60,483,311
60,515,311
60,517,311
61,410,311
61,421,311
61,425,311
61,426,311
61,454,311
61,456,311
61,469,311
61,478,311
61,547,311
61,548,311
62,400,1084
62,422,311
62,423,311
62,427,311
62,456,311
62,459,311
62,460,311
62,462,311
62,463,311
62,469,311
62,478,311
62,479,311
62,546,311
62,550,311
62,553,311
63,418,311
63,423,311
63,435,311
63,436,311
63,460,311
63,467,311
63,468,311
63,469,311
63,479,311
63,549,311
64,90,1963
64,410,311
64,417,311
64,418,311
64,419,311
64,420,311
64,424,311
64,449,311
64,499,311
65,409,311
65,420,311
65,423,311
65,424,311
65,447,311
65,449,311
65,474,311
65,498,311
66,408,1084
66,411,311
66,417,311
66,423,311
66,436,311
66,465,311
66,498,311
67,410,311
67,418,311
67,444,311
68,408,1084
68,413,311
68,414,311
68,418,311
68,419,311
68,420,311
69,80,1963
69,404,1084
69,405,1084
69,407,1084
69,409,1084
69,413,311
69,414,311
70,79,1963
70,401,1084
70,420,311
70,433,311
71,397,1084
71,398,1084
72,398,1084
72,407,1084
72,408,1084
72,409,1084
72,414,311
72,431,311
72,479,311
73,82,1963
73,89,1963
73,103,1963
73,398,1084
73,399,1084
73,404,1084
73,406,1084
73,407,1084
73,408,1084
73,409,1084
73,410,1084
73,413,311
73,422,311
73,426,311
73,510,311
73,511,311
73,512,311
73,513,311
73,514,311
74,379,1084
74,404,1084
74,407,1084
74,410,1084
74,414,311
74,424,311
74,425,311
74,473,311
74,501,311
74,513,311
75,378,1084
75,379,1084
75,392,1084
75,395,1084
75,404,1084
75,408,1084
75,411,1469
75,423,311
75,425,311
75,500,311
75,501,311
75,515,311
76,378,1084
76,380,1084
76,424,311
76,425,311
76,427,311
77,377,1084
77,378,1084
77,387,1084
77,419,311
77,423,311
77,424,311
77,426,311
77,427,311
77,435,311
77,460,311
77,461,311
77,463,311
78,379,1084
78,387,1084
78,388,1084
78,393,1084
78,419,311
78,424,311
78,425,311
78,426,311
78,427,311
78,449,311
78,460,311
78,502,311
78,504,311
79,81,1963
79,375,1084
79,379,1084
79,380,1084
79,386,1084
79,387,1084
79,388,1084
79,390,1084
79,392,1084
79,403,1084
79,419,1469
79,423,311
79,425,311
79,449,311
79,450,311
79,451,311
79,459,311
80,80,1963
80,105,1963
80,306,1270
80,307,1270
80,308,1270
80,377,1084
80,378,1084
80,379,1084
80,386,1084
80,387,1084
80,388,1084
80,418,1469
80,421,311
80,450,311
80,451,311
80,453,311
80,456,311
80,458,311
80,507,311
80,508,311
81,305,1270
81,306,1270
81,307,1270
81,308,1270
81,309,1270
81,372,1084
81,373,1084
81,376,1084
81,377,1084
81,378,1084
81,386,1084
81,387,1084
81,390,1084
81,402,1084
81,421,1469
81,431,311
81,432,311
81,445,311
81,446,311
81,450,311
81,455,311
81,457,311
81,489,311
82,304,1270
82,305,1270
82,306,1270
82,307,1270
82,308,1270
82,370,1084
82,372,1084
82,373,1084
82,374,1084
82,375,1084
82,376,1084
82,377,1084
82,378,1084
82,379,1084
82,380,1084
82,386,1084
82,389,1084
82,420,1469
82,444,311
82,452,311
82,453,311
82,454,311
82,456,311
82,496,311
83,294,1270
83,301,1270
83,306,1270
83,307,1270
83,371,1084
83,373,1084
83,374,1084
83,375,1084
83,376,1084
83,377,1084
83,378,1084
83,380,1084
83,384,1084
83,387,1084
83,414,1469
83,433,311
83,435,311
83,436,311
83,437,311
83,448,311
83,460,311
83,464,311
83,490,311
83,495,311
84,304,1270
84,305,1270
84,306,1270
84,370,1084
84,372,1084
84,373,1084
84,374,1084
84,380,1084
84,381,1084
84,383,1084
