"y","x","cluster_id"
7,313,345
7,318,345
7,321,345
7,324,345
7,332,345
7,336,345
8,304,345
8,310,345
8,314,345
8,316,345
8,319,345
8,320,345
8,335,345
9,294,345
9,303,345
9,304,345
9,305,345
9,311,345
9,312,345
9,313,345
9,316,345
9,317,345
9,318,345
9,320,345
9,322,345
9,326,345
9,336,345
10,303,345
10,304,345
10,305,345
10,306,345
10,307,345
10,308,345
10,309,345
10,310,345
10,311,345
10,312,345
10,313,345
10,314,345
10,316,345
10,317,345
10,318,345
10,320,345
10,321,345
10,322,345
10,323,345
10,324,345
10,325,345
10,326,345
10,327,345
10,328,345
10,332,345
10,333,345
10,336,345
11,302,345
11,304,345
11,305,345
11,306,345
11,307,345
11,311,345
11,312,345
11,313,345
11,314,345
11,315,345
11,316,345
11,317,345
11,318,345
11,319,345
11,321,345
11,322,345
11,323,345
11,324,345
11,325,345
11,326,345
11,327,345
11,328,345
12,302,345
12,303,345
12,304,345
12,305,345
12,306,345
12,307,345
12,308,345
12,309,345
12,311,345
12,312,345
12,313,345
12,314,345
12,315,345
12,316,345
12,317,345
12,318,345
12,319,345
12,320,345
12,321,345
12,322,345
12,323,345
12,325,345
12,326,345
12,327,345
12,328,345
12,329,345
12,330,345
12,331,345
12,332,345
12,335,345
13,296,345
13,299,345
13,300,345
13,301,345
13,302,345
13,303,345
13,304,345
13,305,345
13,306,345
13,307,345
13,308,345
13,312,345
13,313,345
13,314,345
13,315,345
13,316,345
13,317,345
13,318,345
13,319,345
13,320,345
13,322,345
13,323,345
13,324,345
13,325,345
13,326,345
13,327,345
13,328,345
13,329,345
13,330,345
13,331,345
13,332,345
13,334,345
13,336,345
13,337,345
14,286,703
14,293,703
14,300,345
14,301,345
14,302,345
14,303,345
14,306,345
14,308,345
14,309,345
14,311,345
14,312,345
14,313,345
14,314,345
14,315,345
14,316,345
14,318,345
14,319,345
14,320,345
14,321,345
14,323,345
14,325,345
14,326,345
14,327,345
14,328,345
14,329,345
14,330,345
14,331,345
14,332,345
14,333,345
14,335,345
14,336,345
14,338,345
14,340,345
15,286,703
15,291,703
15,297,345
