"y","x","cluster_id"
68,101,167
70,87,167
71,86,93
71,87,167
73,85,93
73,110,167
73,111,167
76,114,167
78,114,167
79,114,167
80,80,93
80,115,167
81,82,93
85,116,167
85,118,167
86,80,93
86,81,93
86,120,167
87,79,93
88,116,167
89,90,167
89,91,167
93,69,93
93,87,167
94,86,167
94,184,167
95,39,93
95,74,93
96,69,93
97,39,93
98,37,93
98,43,93
98,105,167
98,107,167
98,117,167
99,34,93
99,108,167
99,114,167
101,32,93
101,35,93
101,118,167
101,185,167
102,31,93
102,32,93
102,34,93
102,35,93
102,36,93
103,31,93
103,33,93
103,34,93
103,35,93
103,36,93
103,66,93
103,187,167
103,188,167
104,27,93
104,31,93
104,32,93
104,33,93
104,34,93
104,35,93
104,36,93
104,37,93
104,74,93
104,187,167
104,188,167
104,194,167
105,30,93
105,31,93
105,32,93
105,33,93
105,34,93
105,35,93
105,37,93
105,38,93
105,39,93
106,29,93
106,33,93
106,34,93
106,36,93
106,37,93
106,38,93
106,39,93
107,29,93
107,34,93
107,35,93
108,35,93
109,25,93
109,26,93
109,35,93
109,36,93
110,36,93
110,37,93
110,38,93
111,28,93
111,71,93
112,30,93
112,168,167
113,24,93
113,32,93
114,19,93
114,20,93
114,21,93
114,22,93
114,23,93
114,24,93
115,19,93
115,20,93
115,21,93
115,22,93
115,23,93
115,24,93
115,29,93
116,19,93
116,20,93
116,21,93
116,22,93
116,24,93
116,25,93
116,26,93
116,31,93
116,32,93
116,33,93
117,19,93
117,22,93
117,25,93
117,27,93
117,120,167
118,18,93
118,25,93
118,27,93
118,33,93
118,112,167
118,119,167
118,120,167
119,24,93
119,25,93
119,26,93
119,27,93
120,24,93
120,25,93
120,26,93
120,27,93
120,62,93
120,165,167
121,23,93
121,24,93
121,25,93
121,26,93
121,60,93
121,164,167
121,165,167
122,23,93
122,24,93
122,25,93
122,26,93
123,18,93
123,23,93
123,170,167
124,166,167
125,17,93
125,111,167
126,18,93
126,108,167
126,109,167
126,115,167
126,117,167
127,107,167
127,108,167
127,114,167
127,115,167
127,117,167
128,105,167
128,106,167
128,107,167
129,59,93
129,110,167
130,60,93
130,61,93
130,79,167
130,107,167
130,110,167
130,112,167
130,113,167
131,102,167
131,107,167
132,104,167
132,106,167
132,107,167
132,108,167
132,110,167
132,112,167
133,57,93
133,109,167
134,111,167
135,59,93
135,60,93
135,104,167
136,65,93
136,106,167
136,107,167
137,104,167
137,105,167
137,106,167
137,109,167
137,115,167
138,17,93
138,103,167
138,104,167
138,105,167
138,109,167
138,110,167
138,111,167
139,18,93
139,54,93
139,79,330
139,102,167
139,105,167
139,106,167
139,109,167
139,110,167
140,105,167
140,106,167
141,103,167
141,104,167
141,105,167
141,106,167
141,107,167
141,108,167
142,101,167
142,103,167
142,104,167
142,107,167
142,108,167
142,113,167
143,52,93
143,103,167
143,104,167
143,107,167
143,108,167
144,107,167
144,108,167
145,107,167
146,110,167
147,25,93
147,107,167
147,108,167
147,109,167
148,103,330
148,104,330
148,105,330
148,107,167
149,111,167
149,113,167
150,87,330
150,104,330
150,105,330
150,110,167
150,443,539
151,106,330
151,107,330
151,108,330
151,172,167
152,32,93
152,34,93
152,109,330
153,159,167
153,160,167
153,234,493
153,236,493
153,237,493
153,240,493
153,443,539
154,102,330
154,103,330
154,104,330
154,106,330
154,182,167
154,239,493
155,50,330
155,103,330
155,159,167
156,39,93
156,104,330
156,106,330
156,107,330
157,100,330
157,103,330
157,104,330
157,105,330
157,106,330
158,105,330
158,106,330
158,107,330
158,109,330
158,157,167
159,103,330
159,105,330
159,107,330
159,175,167
159,442,539
160,100,330
160,101,330
160,103,330
160,104,330
161,101,330
162,93,330
162,100,330
162,101,330
162,102,330
162,104,330
163,93,330
163,105,330
164,50,330
164,94,330
164,100,330
165,50,330
165,93,330
165,94,330
165,95,330
165,381,493
165,457,539
166,49,330
166,91,330
166,92,330
166,95,330
166,96,330
166,98,330
166,247,493
167,90,330
167,91,330
167,92,330
167,94,330
167,95,330
167,98,330
167,99,330
167,100,330
168,66,330
168,74,330
168,90,330
168,91,330
168,92,330
168,93,330
168,98,330
168,230,493
168,270,493
169,69,330
169,73,330
169,87,330
169,88,330
169,92,330
169,93,330
169,94,330
169,97,330
169,98,330
169,253,493
170,61,330
170,71,330
170,72,330
170,73,330
170,74,330
170,77,330
170,87,330
170,88,330
170,89,330
170,90,330
170,91,330
170,92,330
170,93,330
170,94,330
170,95,330
170,97,330
170,98,330
170,165,167
170,166,167
170,264,493
170,449,539
171,70,330
171,72,330
171,73,330
171,77,330
171,80,330
171,81,330
171,84,330
171,85,330
171,86,330
171,87,330
171,88,330
171,89,330
171,90,330
171,91,330
171,92,330
171,449,539
171,457,539
172,70,330
172,71,330
172,75,330
172,78,330
