"y","x","cluster_id"
15,85,260
17,84,260
18,78,260
22,71,260
22,95,260
22,98,260
22,108,260
23,74,260
23,76,260
23,78,260
23,93,260
23,99,260
23,100,260
23,110,260
24,73,260
24,74,260
24,113,260
24,122,260
24,123,260
25,61,260
25,62,260
25,63,260
25,72,260
25,73,260
25,75,260
25,77,260
25,96,260
25,111,260
25,113,260
25,123,260
26,62,260
26,112,260
26,113,260
26,114,260
26,117,260
26,118,260
26,128,260
27,74,260
27,75,260
27,79,260
27,90,260
27,106,260
27,112,260
27,113,260
27,118,260
28,53,260
28,75,260
28,80,260
28,113,260
29,75,260
29,127,260
29,128,260
29,130,260
30,113,260
30,116,260
30,117,260
30,118,260
30,129,260
30,130,260
30,131,260
31,73,260
31,80,260
31,81,260
31,90,260
32,74,260
32,517,431
33,79,260
33,122,260
33,128,260
33,517,431
34,66,260
34,87,260
34,508,431
35,78,260
35,79,260
35,120,260
35,123,260
35,127,260
36,78,260
36,79,260
36,513,431
37,68,260
37,75,260
37,76,260
37,77,260
37,89,260
38,47,260
38,84,260
38,121,260
38,509,431
38,527,431
39,77,260
39,82,260
39,84,260
39,85,260
39,123,260
39,499,431
39,500,431
39,501,431
39,527,431
40,104,260
40,128,260
40,133,260
40,524,431
40,542,431
40,543,431
40,544,431
40,545,431
40,548,431
40,549,431
40,554,431
41,50,260
41,122,260
41,123,260
41,499,431
41,502,431
41,536,431
41,538,431
41,540,431
41,542,431
42,94,260
42,496,431
42,497,431
42,499,431
42,500,431
42,502,431
42,536,431
42,538,431
42,539,431
42,540,431
42,541,431
42,543,431
42,544,431
42,547,431
43,497,431
43,500,431
43,531,431
43,534,431
43,537,431
43,538,431
43,539,431
43,540,431
43,554,431
43,555,431
43,556,431
44,496,431
44,497,431
44,498,431
44,502,431
44,519,431
44,532,431
44,538,431
44,539,431
44,554,431
44,556,431
45,84,260
45,105,260
45,122,260
45,137,260
45,497,431
45,502,431
45,506,431
45,508,431
45,541,431
45,556,431
45,557,431
46,72,260
46,123,260
46,489,431
46,502,431
46,542,431
46,543,431
47,64,260
47,74,260
47,112,260
47,119,260
47,134,260
47,486,431
47,512,431
47,553,431
48,65,260
48,89,260
48,110,260
48,111,260
48,129,260
48,139,260
48,500,431
48,504,431
48,505,431
48,506,431
48,507,431
48,510,431
48,549,431
49,73,260
49,75,260
49,130,260
49,481,431
49,498,431
49,501,431
49,506,431
49,507,431
49,523,431
50,84,260
50,140,260
50,481,431
50,505,431
50,506,431
50,507,431
50,508,431
50,514,431
50,518,431
50,535,431
50,538,431
51,73,260
51,102,260
51,134,260
51,500,431
51,502,431
51,503,431
51,506,431
51,507,431
51,553,431
52,68,260
52,71,260
52,103,260
52,106,260
52,110,260
52,133,260
52,137,260
52,140,260
52,503,431
52,504,431
52,505,431
52,523,431
52,524,431
53,54,260
53,104,260
53,105,260
53,119,260
53,141,260
53,506,431
53,512,431
53,542,431
53,548,431
54,104,260
54,111,260
54,125,260
54,503,431
54,506,431
54,507,431
54,512,431
54,535,431
54,548,431
54,551,431
55,72,260
55,122,260
55,137,260
55,505,431
55,547,431
56,105,260
56,113,260
56,120,260
56,129,260
56,131,260
56,133,260
56,489,431
56,503,431
56,559,431
57,71,260
57,129,260
57,528,431
57,540,431
57,565,431
58,73,260
58,120,260
58,126,260
58,503,431
58,510,431
58,521,431
59,127,260
59,139,260
59,511,431
59,515,431
59,524,431
59,566,431
60,71,260
60,82,260
60,131,260
60,135,260
60,148,260
60,473,431
60,569,431
61,54,260
61,135,260
61,481,431
61,499,431
61,563,431
61,567,431
61,570,431
62,57,260
62,58,260
62,77,260
62,124,260
62,478,431
62,491,431
62,492,431
62,496,431
62,513,431
62,515,431
62,516,431
62,540,431
62,558,431
62,562,431
63,51,260
63,54,260
63,515,431
63,526,431
63,541,431
63,543,431
63,561,431
63,571,431
63,574,431
64,52,260
64,55,260
64,56,260
64,59,260
64,134,260
64,137,260
64,497,431
64,498,431
64,502,431
64,516,431
64,532,431
64,537,431
64,558,431
64,560,431
64,570,431
64,571,431
64,573,431
65,53,260
65,54,260
65,56,260
65,58,260
65,129,260
65,133,260
65,134,260
65,137,260
65,138,260
65,536,431
65,538,431
66,55,260
66,56,260
66,58,260
66,59,260
66,125,260
66,139,260
66,512,431
66,569,431
67,56,260
67,57,260
67,59,260
67,75,260
67,114,260
67,493,431
67,501,431
67,522,431
68,52,260
68,53,260
68,119,260
68,123,260
68,125,260
68,129,260
68,135,260
68,501,431
68,523,431
68,551,431
68,558,431
68,562,431
68,564,431
68,565,431
69,51,260
69,52,260
69,123,260
69,124,260
69,125,260
69,127,260
69,131,260
69,489,431
69,492,431
69,512,431
69,551,431
69,559,431
69,561,431
69,565,431
69,577,431
70,83,260
70,119,260
