"y","x","cluster_id"
24,165,72
26,159,72
29,193,72
30,167,72
30,187,72
32,188,72
34,133,72
35,133,72
36,188,72
36,191,72
36,193,72
36,201,72
37,183,72
37,187,72
37,200,72
37,206,72
38,135,72
38,167,72
38,203,72
38,213,72
39,220,72
39,225,72
40,188,72
40,195,72
40,210,72
41,152,72
41,190,72
41,208,72
42,187,72
42,223,72
43,201,72
43,202,72
43,204,72
44,170,72
44,224,72
45,171,72
45,181,72
45,208,72
45,220,72
45,224,72
45,232,72
45,235,72
45,236,72
45,238,72
46,218,72
47,212,72
47,219,72
47,229,72
47,230,72
47,231,72
48,228,72
49,225,72
50,208,72
50,215,72
51,201,72
51,208,72
51,222,72
52,221,72
53,156,72
53,170,72
53,214,72
53,254,159
54,214,72
54,253,159
54,254,159
55,202,72
55,256,159
55,257,159
58,172,72
58,257,159
58,263,159
59,186,72
59,222,72
59,223,72
59,251,159
60,253,159
60,267,159
60,268,159
60,273,159
61,231,72
61,232,159
61,248,159
61,249,159
62,129,72
62,140,72
62,237,159
62,242,159
62,247,159
63,147,72
63,239,159
63,246,159
63,257,159
64,247,159
64,259,159
65,222,72
65,238,159
65,251,159
65,253,159
65,254,159
65,267,159
65,278,159
66,241,159
66,252,159
67,136,72
67,243,159
68,197,72
68,252,159
68,261,159
70,224,72
70,253,159
70,269,159
71,159,72
72,216,72
72,225,72
72,257,159
73,197,72
73,200,72
74,221,72
74,227,159
74,247,159
76,244,159
76,268,159
79,311,159
79,315,159
81,189,72
82,285,159
83,238,159
83,296,159
84,236,159
84,282,159
84,287,159
84,297,159
85,147,72
85,239,159
85,240,159
85,282,159
85,295,159
86,245,159
86,252,159
86,278,159
86,282,159
86,296,159
87,241,159
87,249,159
87,269,159
87,271,159
87,277,159
87,283,159
89,150,72
89,158,72
89,282,159
90,272,159
90,282,159
91,276,159
91,283,159
92,267,159
92,268,159
92,281,159
93,265,159
93,273,159
94,269,159
94,280,159
95,274,159
95,279,159
95,280,159
96,280,159
97,225,159
97,233,159
98,150,72
99,255,159
99,277,159
99,279,159
100,264,159
101,229,159
101,269,159
102,261,159
103,260,159
104,143,72
105,244,159
105,257,159
105,258,159
107,408,908
107,409,908
108,251,159
108,407,908
108,412,1176
108,413,1176
109,247,159
109,252,159
109,413,1176
110,155,72
110,156,72
110,250,159
110,252,159
110,314,159
110,315,159
110,316,159
110,317,159
110,406,908
111,164,72
111,248,159
111,313,159
111,314,159
111,315,159
111,317,159
111,384,908
111,385,908
111,400,908
111,407,908
111,408,908
112,140,72
112,156,72
112,236,159
112,247,159
112,251,159
112,280,159
112,308,159
112,315,159
112,397,908
112,398,908
112,399,908
112,407,908
112,408,908
112,409,1176
112,413,1176
112,414,1176
113,249,159
113,297,159
113,305,159
113,312,159
113,315,159
113,319,159
113,363,908
113,396,908
113,397,908
113,398,908
113,399,908
113,408,908
113,409,1176
113,412,1176
113,413,1176
113,414,1176
113,415,1176
113,416,1176
114,155,72
114,234,159
114,247,159
114,272,159
114,280,159
114,282,159
114,283,159
114,284,159
114,293,159
114,304,159
114,341,908
114,394,908
114,395,908
114,397,908
114,398,908
114,399,908
114,409,1176
114,410,1176
114,411,1176
114,412,1176
114,413,1176
114,415,1176
114,417,1176
114,418,1176
115,241,159
115,246,159
115,247,159
115,259,159
115,260,159
115,266,159
115,267,159
115,271,159
115,273,159
115,280,159
115,281,159
115,372,908
115,394,908
115,396,908
115,397,908
115,398,908
115,399,908
115,408,1176
115,425,1176
115,427,1176
115,430,1176
115,435,1176
115,438,1176
115,440,1176
115,443,1176
115,444,1176
116,257,159
116,263,159
116,265,159
116,272,159
116,281,159
116,284,159
116,393,908
116,394,908
116,396,908
116,397,908
116,406,908
116,423,1176
116,426,1176
116,428,1176
116,432,1176
116,437,1176
117,254,159
117,279,159
117,280,159
117,390,908
117,392,908
117,393,908
117,394,908
117,395,908
117,396,908
117,397,908
117,401,908
117,404,908
117,405,908
117,406,908
117,428,1176
117,449,1176
118,250,159
118,260,159
118,394,908
118,395,908
118,396,908
118,407,908
118,413,1176
118,414,1176
