"y","x","cluster_id"
54,107,30
56,119,30
56,123,30
57,117,30
57,118,30
59,99,103
66,89,103
69,88,103
69,138,30
69,139,30
75,149,30
76,121,30
77,117,30
78,119,30
80,115,30
81,85,103
81,145,30
81,146,30
82,84,103
82,145,30
83,106,103
83,138,30
83,142,30
83,146,30
86,60,78
88,49,78
88,57,78
88,60,78
89,60,78
90,139,30
92,37,78
92,38,78
92,39,78
92,52,78
92,85,103
93,39,78
93,41,78
93,42,78
93,47,78
93,49,78
93,54,78
94,41,78
94,47,78
94,49,78
94,82,103
95,43,78
95,48,78
95,58,78
96,35,78
96,38,78
96,39,78
96,40,78
96,53,78
96,77,103
96,115,103
97,38,78
97,39,78
97,40,78
97,41,78
97,43,78
97,46,78
97,47,78
97,160,30
98,41,78
98,42,78
98,43,78
98,45,78
98,46,78
98,48,78
98,53,78
98,158,30
98,159,30
99,38,78
99,41,78
99,42,78
99,43,78
99,44,78
99,47,78
99,71,103
99,127,30
99,128,30
99,139,30
99,159,30
100,41,78
100,138,30
100,139,30
100,158,30
100,159,30
101,41,78
101,43,78
101,50,78
101,120,30
101,149,30
101,160,30
102,40,78
102,41,78
102,42,78
102,43,78
102,149,30
103,40,78
103,42,78
103,122,30
104,94,103
104,97,103
104,123,30
105,47,78
105,53,78
105,73,103
105,92,103
105,94,103
105,97,103
105,98,103
105,104,103
105,122,30
105,144,30
106,39,78
106,83,103
106,94,103
107,50,78
107,51,78
107,52,78
107,123,30
107,125,30
108,45,78
108,47,78
108,48,78
108,50,78
108,51,78
108,52,78
108,65,78
108,80,103
108,166,30
109,49,78
109,50,78
109,51,78
109,73,103
110,51,78
110,52,78
110,81,103
111,51,78
111,80,103
113,70,103
114,80,103
115,114,103
115,141,30
116,78,103
116,141,30
118,169,360
119,101,103
120,117,103
121,137,354
121,138,354
121,139,354
121,140,354
122,108,103
122,137,354
122,138,354
122,145,354
122,146,354
123,106,103
123,107,103
123,145,354
123,156,360
123,181,360
124,105,103
124,142,354
124,181,360
125,142,354
126,127,354
126,138,354
126,142,354
128,128,354
128,139,354
129,126,354
129,140,354
130,59,439
130,60,439
130,62,439
130,63,439
130,127,354
130,178,360
130,190,360
131,138,354
131,139,354
131,143,354
132,91,103
132,92,103
132,138,354
132,172,360
133,167,360
133,168,360
133,169,360
133,170,360
133,171,360
133,172,360
133,174,360
133,175,360
134,66,439
134,164,360
134,166,360
134,167,360
134,168,360
134,169,360
134,170,360
134,171,360
134,174,360
134,175,360
135,110,354
135,111,354
135,140,354
135,165,360
135,166,360
135,167,360
135,168,360
135,169,360
135,170,360
135,172,360
135,174,360
135,188,360
136,112,354
136,132,354
136,164,360
136,165,360
136,166,360
136,167,360
136,168,360
136,169,360
136,170,360
136,171,360
136,172,360
136,174,360
136,177,360
137,126,354
137,127,354
137,128,354
137,130,354
137,137,354
137,142,354
137,164,360
137,165,360
137,166,360
137,167,360
137,168,360
137,169,360
137,170,360
137,171,360
137,172,360
137,173,360
137,174,360
137,175,360
137,192,360
138,113,354
138,127,354
138,128,354
138,133,354
138,165,360
138,166,360
138,167,360
138,168,360
138,169,360
138,170,360
138,171,360
138,172,360
138,175,360
138,177,360
139,123,354
139,124,354
139,127,354
139,128,354
139,164,360
139,166,360
139,167,360
139,171,360
139,172,360
139,174,360
140,38,439
140,59,439
140,67,439
140,106,354
140,123,354
140,124,354
140,126,354
140,127,354
140,143,354
140,164,360
140,165,360
140,166,360
140,167,360
140,168,360
140,169,360
140,170,360
140,171,360
140,172,360
140,173,360
140,196,360
141,38,439
141,60,439
141,66,439
141,67,439
141,122,354
141,123,354
141,127,354
141,143,354
141,164,360
141,165,360
141,166,360
141,167,360
141,168,360
141,169,360
141,170,360
141,171,360
141,172,360
141,173,360
141,182,360
141,196,360
142,48,439
142,66,439
142,71,439
142,121,354
142,124,354
142,164,360
142,165,360
142,166,360
142,167,360
142,168,360
142,169,360
142,170,360
142,171,360
142,172,360
142,173,360
142,184,360
142,196,360
142,197,360
143,71,439
143,120,354
143,122,354
143,129,354
143,134,354
143,143,354
143,164,360
143,165,360
143,166,360
143,167,360
143,168,360
143,169,360
143,170,360
143,171,360
143,172,360
143,173,360
144,36,439
144,37,439
144,119,354
144,120,354
144,135,354
144,153,360
144,164,360
144,166,360
144,167,360
144,168,360
144,169,360
144,170,360
144,171,360
144,172,360
144,173,360
145,52,439
145,71,439
145,135,354
145,139,354
145,169,360
145,170,360
145,172,360
145,173,360
145,174,360
146,70,439
146,71,439
146,139,354
146,140,354
146,182,360
146,183,360
147,79,439
147,105,354
147,184,360
147,185,360
147,186,360
148,75,439
148,142,354
148,143,354
148,203,360
149,68,439
149,141,354
149,142,354
149,143,354
149,149,354
149,155,360
150,37,439
150,141,354
150,142,354
150,143,354
150,144,354
150,149,354
150,150,354
151,43,439
151,45,439
151,142,354
151,143,354
151,144,354
151,147,354
151,148,354
151,149,354
151,150,354
151,151,354
151,157,360
151,158,360
152,40,439
152,44,439
152,71,439
152,72,439
152,75,439
152,147,354
152,149,354
152,157,360
152,158,360
152,159,360
153,39,439
153,45,439
153,71,439
153,72,439
153,75,439
153,82,439
153,146,354
153,148,354
153,156,360
153,157,360
153,158,360
153,159,360
153,173,360
153,183,360
154,45,439
154,63,439
154,71,439
154,82,439
154,146,354
154,156,360
154,157,360
154,158,360
154,159,360
154,187,360
155,41,439
155,72,439
155,75,439
155,89,439
155,125,354
155,131,354
155,157,360
155,158,360
155,159,360
155,160,360
155,163,360
155,173,360
155,184,360
156,46,439
156,47,439
156,48,439
156,49,439
156,75,439
156,157,360
156,158,360
156,159,360
156,160,360
156,161,360
156,162,360
156,163,360
156,164,360
156,173,360
156,181,360
157,44,439
157,48,439
157,49,439
157,75,439
157,161,360
157,162,360
157,164,360
158,39,439
158,40,439
158,41,439
158,49,439
158,105,576
158,160,360
158,161,360
158,162,360
158,163,360
158,164,360
158,179,360
159,39,439
159,40,439
159,42,439
159,44,439
159,45,439
159,48,439
159,49,439
159,75,439
159,112,576
159,113,576
159,114,576
159,115,576
159,144,354
159,161,360
159,162,360
159,163,360
159,164,360
159,165,360
159,166,360
159,167,360
160,142,354
160,143,354
160,144,354
160,162,360
160,163,360
160,164,360
160,165,360
160,183,360
161,52,439
161,53,439
161,54,439
161,119,576
161,121,576
161,142,354
161,143,354
161,144,354
161,162,360
161,163,360
162,53,439
162,54,439
162,107,576
162,120,576
162,141,354
162,142,354
162,143,354
162,144,354
162,145,354
162,146,354
162,160,360
162,162,360
162,164,360
163,132,354
163,144,354
164,100,576
164,153,360
165,125,576
167,111,576
167,112,576
167,113,576
167,144,354
168,113,576
168,114,576
168,115,576
169,116,576
169,117,576
169,118,576
169,149,354
171,122,576
171,123,576
172,103,576
