"y","x","cluster_id"
9,162,153
9,165,153
9,166,153
10,159,153
10,161,153
10,162,153
10,164,153
10,165,153
10,166,153
10,168,153
10,169,153
10,170,153
11,156,153
11,157,153
11,159,153
11,160,153
11,162,153
11,165,153
11,166,153
12,153,153
12,154,153
12,155,153
12,156,153
12,157,153
12,158,153
12,159,153
12,160,153
12,161,153
12,162,153
12,163,153
13,151,153
13,152,153
13,154,153
13,157,153
13,168,153
14,149,153
14,150,153
14,151,153
14,152,153
14,153,153
14,154,153
14,156,153
14,160,153
14,161,153
14,163,153
14,165,153
14,167,153
14,168,153
14,169,153
14,173,153
14,174,153
15,149,153
15,150,153
15,151,153
15,152,153
15,156,153
15,159,153
15,160,153
15,161,153
15,162,153
15,163,153
15,164,153
15,167,153
15,168,153
15,169,153
15,170,153
16,151,153
16,153,153
16,154,153
16,157,153
16,160,153
16,161,153
16,162,153
16,163,153
16,165,153
16,169,153
16,170,153
16,174,153
16,175,153
17,146,153
17,151,153
17,152,153
17,157,153
17,158,153
17,159,153
17,161,153
17,162,153
17,167,153
17,168,153
17,169,153
17,170,153
17,171,153
17,177,153
18,146,153
18,147,153
18,150,153
18,151,153
18,152,153
18,153,153
18,158,153
18,159,153
18,161,153
18,162,153
18,164,153
18,165,153
18,166,153
18,167,153
18,168,153
18,169,153
18,170,153
18,173,153
18,174,153
19,142,153
19,143,153
19,151,153
19,152,153
19,157,153
19,158,153
19,159,153
19,161,153
19,165,153
19,167,153
19,168,153
19,169,153
19,172,153
19,173,153
20,142,153
20,151,153
20,152,153
20,153,153
20,157,153
20,158,153
20,163,153
20,165,153
20,167,153
20,168,153
20,171,153
20,172,153
20,178,153
21,142,153
21,155,153
21,158,153
21,159,153
21,166,153
21,171,153
21,173,153
21,178,153
22,143,153
22,145,153
22,156,153
22,158,153
22,160,153
22,161,153
22,162,153
22,163,153
22,166,153
22,167,153
22,173,153
22,175,153
22,176,153
23,142,153
23,147,153
23,163,153
23,165,153
23,173,153
24,139,153
24,141,153
24,143,153
24,144,153
24,155,153
24,156,153
24,158,153
24,159,153
24,161,153
24,162,153
24,163,153
24,166,153
24,172,153
24,173,153
25,139,153
25,142,153
25,143,153
25,144,153
25,147,153
25,148,153
25,151,153
25,155,153
25,157,153
25,158,153
25,159,153
25,161,153
25,162,153
25,167,153
25,178,153
26,141,153
26,142,153
26,156,153
26,157,153
26,158,153
26,159,153
26,161,153
26,162,153
26,163,153
26,167,153
26,168,153
26,174,153
26,175,153
26,177,153
26,178,153
27,135,609
27,137,609
27,141,153
27,142,153
27,155,153
27,156,153
27,157,153
27,158,153
27,159,153
27,160,153
27,163,153
27,165,153
27,172,153
27,174,153
27,175,153
28,139,609
28,140,609
28,144,153
28,145,153
28,155,153
28,156,153
28,157,153
28,158,153
28,160,153
28,167,153
28,174,153
28,175,153
29,133,609
29,137,609
29,139,609
29,140,609
29,155,153
29,156,153
29,167,153
29,173,153
29,174,153
29,175,153
29,176,153
30,127,609
30,140,609
30,157,153
30,173,153
30,174,153
30,175,153
30,176,153
31,131,609
31,136,609
31,139,609
31,140,609
31,150,153
31,151,153
31,172,153
31,173,153
31,174,153
31,175,153
31,176,153
31,177,153
31,179,153
32,133,609
32,134,609
32,138,609
32,149,609
32,150,153
32,151,153
32,152,153
32,154,153
32,156,153
32,171,153
32,172,153
32,173,153
32,174,153
32,175,153
33,136,609
33,137,609
33,138,609
33,139,609
33,147,609
33,149,609
33,150,609
33,152,153
33,153,153
33,154,153
33,155,153
33,157,153
33,158,153
33,159,153
33,160,153
33,170,153
33,171,153
33,172,153
33,173,153
33,174,153
33,177,153
34,137,609
34,139,609
34,145,609
34,146,609
34,147,609
34,148,609
34,151,609
34,152,609
34,153,609
34,156,153
34,157,153
34,158,153
34,159,153
34,160,153
34,170,153
34,171,153
34,172,153
34,173,153
34,175,153
35,139,609
35,141,609
35,144,609
35,145,609
35,146,609
35,147,609
35,148,609
35,149,609
35,150,609
35,151,609
35,152,609
35,153,609
35,156,609
35,157,153
35,160,153
35,161,153
35,162,153
35,169,153
35,170,153
36,139,609
36,141,609
36,142,609
36,143,609
36,144,609
36,145,609
36,147,609
36,148,609
36,149,609
36,150,609
36,151,609
36,152,609
36,153,609
36,154,609
36,166,153
36,167,153
36,168,153
36,169,153
36,170,153
37,125,609
37,137,609
37,138,609
37,139,609
37,140,609
37,141,609
37,142,609
37,143,609
37,144,609
37,145,609
37,146,609
37,147,609
37,148,609
37,149,609
37,150,609
37,151,609
37,152,609
37,153,609
37,154,609
37,164,153
37,165,153
38,136,609
38,137,609
38,138,609
38,139,609
38,140,609
38,141,609
38,142,609
38,143,609
38,144,609
38,145,609
38,146,609
38,147,609
38,148,609
38,149,609
38,150,609
38,151,609
38,152,609
38,153,609
38,154,609
38,155,609
38,165,153
38,166,153
39,136,609
39,137,609
39,138,609
39,139,609
39,140,609
39,141,609
39,142,609
39,143,609
39,144,609
39,145,609
39,146,609
39,147,609
39,148,609
39,149,609
39,150,609
39,151,609
39,152,609
39,153,609
39,154,609
39,155,609
39,159,609
40,133,609
40,134,609
40,135,609
40,136,609
40,137,609
40,138,609
40,139,609
40,140,609
40,141,609
40,142,609
40,143,609
40,144,609
40,145,609
40,146,609
40,147,609
40,148,609
40,149,609
40,150,609
40,151,609
40,152,609
40,153,609
40,154,609
40,155,609
41,131,609
41,132,609
41,133,609
41,134,609
41,135,609
41,136,609
41,137,609
41,138,609
41,140,609
41,143,609
41,144,609
41,145,609
41,146,609
41,147,609
41,148,609
41,149,609
41,150,609
41,151,609
41,152,609
41,153,609
41,154,609
41,155,609
41,158,609
42,131,609
42,132,609
42,133,609
42,134,609
42,137,609
42,138,609
42,139,609
42,140,609
42,141,609
42,143,609
42,145,609
42,146,609
42,147,609
42,148,609
42,149,609
42,150,609
42,151,609
42,152,609
42,153,609
42,154,609
42,155,609
42,156,609
42,157,609
42,158,609
43,132,609
43,134,609
43,135,609
43,136,609
43,139,609
43,140,609
43,143,609
43,144,609
43,145,609
43,146,609
43,147,609
43,148,609
43,150,609
43,151,609
43,152,609
43,153,609
43,154,609
43,155,609
43,156,609
43,157,609
43,158,609
43,159,609
44,130,609
44,132,609
44,133,609
44,134,609
44,135,609
44,136,609
44,137,609
44,138,609
44,139,609
44,140,609
44,141,609
44,143,609
44,144,609
44,145,609
44,146,609
44,147,609
44,148,609
44,149,609
44,150,609
