"y","x","cluster_id"
29,185,133
31,64,151
31,67,151
31,107,151
31,160,133
31,194,133
32,62,151
32,63,151
32,64,151
32,67,151
32,101,151
32,102,151
32,108,151
32,155,133
32,159,133
32,160,133
32,195,133
33,62,151
33,154,133
33,156,133
33,159,133
33,183,133
34,153,133
34,177,133
34,191,133
34,192,133
34,193,133
35,108,151
35,110,151
35,155,133
35,158,133
35,160,133
35,191,133
36,95,151
36,108,151
36,114,151
36,153,133
36,155,133
36,159,133
36,190,133
37,100,151
37,104,151
37,151,133
37,152,133
37,153,133
37,155,133
37,156,133
38,93,151
38,95,151
38,100,151
38,115,151
38,146,133
38,151,133
38,153,133
38,154,133
38,157,133
39,92,151
39,108,151
39,112,151
39,151,133
39,152,133
39,153,133
39,154,133
39,155,133
39,157,133
40,144,133
40,149,133
40,150,133
40,151,133
40,152,133
40,154,133
40,155,133
40,156,133
40,180,133
41,93,151
41,97,151
41,111,151
41,145,133
41,146,133
41,148,133
41,149,133
41,150,133
41,152,133
41,153,133
41,155,133
41,156,133
41,173,133
41,189,133
42,89,151
42,100,151
42,111,151
42,112,151
42,143,133
42,145,133
42,150,133
42,152,133
42,153,133
42,155,133
42,156,133
43,113,151
43,114,151
43,142,133
43,146,133
43,150,133
43,151,133
43,152,133
43,153,133
43,154,133
43,190,133
43,191,133
44,94,151
44,100,151
44,101,151
44,104,151
44,142,133
44,145,133
44,146,133
44,148,133
44,150,133
44,151,133
44,152,133
44,191,133
45,88,151
45,100,151
45,102,151
45,141,133
45,142,133
45,145,133
45,149,133
45,150,133
45,151,133
45,152,133
45,153,133
45,156,133
45,157,133
45,158,133
46,83,151
46,88,151
46,102,151
46,142,133
46,144,133
46,147,133
46,148,133
46,149,133
46,150,133
46,151,133
46,155,133
46,156,133
46,157,133
46,165,133
47,99,151
47,104,151
47,106,151
47,107,151
47,108,151
47,109,151
47,139,133
47,140,133
47,141,133
47,142,133
47,145,133
47,147,133
47,148,133
47,149,133
47,150,133
47,151,133
47,152,133
47,164,133
48,105,151
48,106,151
48,107,151
48,108,151
48,109,151
48,119,151
48,138,133
48,140,133
48,141,133
48,142,133
48,143,133
48,144,133
48,145,133
48,146,133
48,147,133
48,148,133
48,149,133
48,152,133
48,153,133
48,154,133
48,163,133
49,105,151
49,106,151
49,107,151
49,108,151
49,113,151
49,142,133
49,143,133
49,144,133
49,145,133
49,146,133
49,147,133
49,148,133
49,149,133
49,150,133
50,106,151
50,107,151
50,136,133
50,139,133
50,143,133
50,145,133
50,147,133
50,148,133
50,152,133
50,153,133
50,154,133
50,155,133
50,164,133
51,92,151
51,93,151
51,94,151
51,95,151
51,96,151
51,104,151
51,117,151
51,142,133
51,143,133
51,144,133
51,145,133
51,149,133
51,150,133
51,151,133
51,152,133
51,155,133
51,164,133
51,165,133
52,89,151
52,92,151
52,93,151
52,94,151
52,95,151
52,96,151
52,98,151
52,99,151
52,100,151
52,101,151
52,142,133
52,143,133
52,144,133
52,149,133
53,91,151
53,92,151
53,93,151
53,94,151
53,96,151
53,97,151
53,98,151
53,99,151
53,100,151
53,101,151
53,145,133
53,146,133
53,147,133
53,149,133
53,150,133
53,151,133
53,152,133
53,174,133
54,91,151
54,92,151
54,93,151
54,95,151
54,96,151
54,98,151
54,110,151
54,143,133
54,144,133
54,145,133
54,146,133
54,147,133
54,148,133
54,149,133
54,150,133
54,151,133
54,152,133
55,94,151
55,95,151
55,96,151
55,104,151
55,147,133
55,150,133
55,151,133
56,91,151
56,92,151
56,95,151
56,96,151
56,107,151
56,108,151
56,109,151
56,146,133
57,94,151
57,102,151
57,107,151
57,112,151
57,157,133
58,92,151
58,99,151
59,73,151
61,170,133
62,171,133
62,172,133
63,102,151
63,160,133
68,126,347
68,166,133
68,182,133
69,77,151
69,115,347
69,126,347
70,77,151
70,78,151
73,125,347
73,127,347
73,128,347
74,115,347
74,116,347
74,117,347
74,119,347
74,125,347
74,127,347
74,128,347
75,117,347
75,129,347
76,64,151
76,127,347
77,124,347
77,125,347
77,127,347
78,124,347
78,125,347
78,126,347
79,121,347
79,122,347
79,124,347
79,125,347
80,122,347
81,122,347
89,119,347
89,120,347
89,126,347
90,117,347
90,118,347
90,119,347
93,121,347
93,133,347
94,119,347
94,120,347
95,110,347
95,112,347
95,118,347
95,119,347
95,120,347
95,134,347
96,107,347
96,118,347
97,105,347
97,116,347
97,117,347
97,118,347
97,136,463
98,114,347
98,115,347
98,116,347
98,117,347
98,132,347
99,103,477
99,114,347
99,115,347
99,116,347
99,135,463
99,136,463
100,111,347
100,115,347
100,116,347
100,119,347
100,120,347
100,121,347
101,116,347
101,119,347
102,110,477
103,111,477
103,113,347
103,124,347
104,110,477
104,111,477
104,112,477
104,113,477
105,97,477
105,100,477
105,101,477
105,102,477
105,103,477
105,109,477
105,110,477
105,111,477
105,112,477
105,113,477
106,57,477
106,103,477
106,109,477
106,110,477
106,111,477
106,112,477
106,113,477
107,104,477
107,109,477
107,110,477
107,111,477
107,112,477
107,113,477
108,93,477
108,108,477
108,109,477
108,110,477
108,111,477
108,112,477
108,113,477
108,136,463
108,137,463
109,111,477
109,147,463
109,148,463
110,61,477
110,91,477
110,111,477
110,137,463
110,139,463
110,147,463
110,149,463
111,83,477
111,92,477
111,108,477
111,109,477
111,110,477
111,111,477
111,135,463
111,137,463
112,92,477
112,93,477
112,109,477
112,134,463
112,139,463
112,140,463
112,141,463
113,93,477
113,119,477
113,138,463
113,139,463
113,142,463
114,93,477
114,116,477
114,117,477
114,137,463
114,138,463
114,139,463
114,142,463
114,143,463
115,89,477
115,115,477
115,116,477
115,117,477
115,118,477
115,139,463
115,142,463
115,143,463
115,148,463
116,89,477
116,100,477
116,103,477
116,114,477
116,115,477
116,116,477
116,141,463
116,142,463
116,143,463
117,88,477
117,89,477
117,90,477
117,100,477
117,103,477
117,104,477
117,113,477
117,114,477
117,115,477
117,139,463
117,141,463
118,87,477
118,88,477
118,89,477
118,90,477
118,102,477
118,114,477
118,115,477
118,116,477
118,149,463
119,102,477
119,103,477
119,113,477
119,115,477
119,148,463
120,87,477
120,101,477
120,102,477
120,103,477
120,104,477
120,140,463
120,142,463
121,82,477
122,99,477
122,140,463
125,135,463
126,138,463
127,118,477
128,93,477
128,118,477
129,138,463
130,65,477
135,114,477
136,107,477
142,115,477
143,116,477
144,119,477
147,101,477
