"y","x","cluster_id"
4,140,182
6,145,182
7,150,182
12,64,182
12,65,182
13,65,182
15,62,182
16,52,182
16,62,182
16,67,182
17,53,182
17,62,182
17,63,182
17,64,182
18,66,182
19,58,182
19,64,182
19,66,182
19,160,1366
20,54,182
20,65,182
20,69,182
21,64,182
21,69,182
21,70,182
21,71,182
21,74,182
21,567,600
22,49,182
22,51,182
22,52,182
22,53,182
22,54,182
22,66,182
22,67,182
22,69,182
22,74,182
22,76,182
22,77,182
22,78,182
22,562,600
22,564,600
22,567,600
23,55,182
23,56,182
23,61,182
23,62,182
23,65,182
23,66,182
23,68,182
23,71,182
23,72,182
23,73,182
23,74,182
23,75,182
23,76,182
23,77,182
24,54,182
24,55,182
24,56,182
24,65,182
24,67,182
24,68,182
24,70,182
24,71,182
24,74,182
24,75,182
24,76,182
24,78,182
25,42,182
25,56,182
25,64,182
25,68,182
25,69,182
25,70,182
25,72,182
25,73,182
25,74,182
26,38,182
26,40,182
26,42,182
26,43,182
26,44,182
26,45,182
26,59,182
26,61,182
26,63,182
26,66,182
26,69,182
26,73,182
26,74,182
26,75,182
26,76,182
26,80,182
27,38,182
27,42,182
27,43,182
27,44,182
27,45,182
27,46,182
27,57,182
27,59,182
27,70,182
27,73,182
27,74,182
27,76,182
27,77,182
27,78,182
27,79,182
28,37,182
28,38,182
28,41,182
28,42,182
28,43,182
28,44,182
28,45,182
28,46,182
28,47,182
28,59,182
28,63,182
28,65,182
28,70,182
28,71,182
28,73,182
28,74,182
28,75,182
28,76,182
28,77,182
28,78,182
28,80,182
29,36,182
29,37,182
29,38,182
29,42,182
29,43,182
29,45,182
29,47,182
29,49,182
29,58,182
29,60,182
29,62,182
29,63,182
29,64,182
29,68,182
29,70,182
29,71,182
29,72,182
29,74,182
29,75,182
29,76,182
29,77,182
29,78,182
29,80,182
30,35,182
30,38,182
30,39,182
30,41,182
30,42,182
30,43,182
30,44,182
30,47,182
30,61,182
30,62,182
30,63,182
30,64,182
30,65,182
30,66,182
30,67,182
30,68,182
30,69,182
30,70,182
30,71,182
30,74,182
30,76,182
30,77,182
30,78,182
31,38,182
31,41,182
31,43,182
31,44,182
31,60,182
31,61,182
31,62,182
31,63,182
31,66,182
31,67,182
31,69,182
31,78,182
31,79,182
32,37,182
32,38,182
32,41,182
32,42,182
32,43,182
32,44,182
32,46,182
32,59,182
32,62,182
32,63,182
32,73,182
32,74,182
32,75,182
32,78,182
33,35,182
33,36,182
33,37,182
33,38,182
33,40,182
33,41,182
33,42,182
33,54,182
33,72,182
33,74,182
33,77,182
33,80,182
33,81,182
34,34,182
34,35,182
34,36,182
34,37,182
34,38,182
34,39,182
34,55,182
34,77,182
34,79,182
34,80,182
34,81,182
34,87,182
35,33,182
35,34,182
35,35,182
35,36,182
35,37,182
35,38,182
35,39,182
35,45,182
35,65,182
35,71,182
35,78,182
35,80,182
36,34,182
36,35,182
36,36,182
36,37,182
36,38,182
36,39,182
36,40,182
36,41,182
36,58,182
36,59,182
36,60,182
36,65,182
36,78,182
36,79,182
36,81,182
36,82,182
36,485,600
36,486,600
36,582,1475
37,37,182
37,38,182
37,39,182
37,40,182
37,41,182
37,42,182
37,43,182
37,46,182
37,50,182
37,51,182
37,58,182
37,74,182
37,78,182
37,486,600
38,37,182
38,38,182
38,39,182
38,42,182
38,44,182
38,45,182
38,78,182
38,476,600
38,487,600
39,37,182
39,38,182
39,40,182
39,41,182
39,43,182
39,80,182
39,91,182
39,486,600
40,73,182
40,74,182
40,90,182
40,486,600
41,45,182
41,79,182
41,80,182
41,484,600
41,485,600
41,487,600
42,45,182
42,486,600
42,489,600
42,492,600
42,493,600
42,494,600
42,495,600
42,497,600
43,480,600
43,486,600
43,491,600
43,493,600
43,495,600
43,496,600
43,497,600
43,498,600
43,499,600
44,86,182
44,135,1366
44,475,600
44,476,600
44,478,600
44,480,600
44,481,600
44,486,600
44,487,600
44,491,600
44,495,600
44,496,600
44,497,600
44,498,600
44,499,600
45,23,820
45,61,182
45,84,182
45,85,182
45,86,182
45,479,600
45,480,600
45,481,600
45,486,600
45,489,600
45,490,600
45,491,600
45,495,600
45,496,600
45,498,600
45,500,600
46,20,820
46,91,182
46,112,182
46,137,1366
46,478,600
46,480,600
46,481,600
46,483,600
46,485,600
46,487,600
46,488,600
46,489,600
46,490,600
46,491,600
46,492,600
46,494,600
46,495,600
46,496,600
46,497,600
46,498,600
46,500,600
46,502,600
47,21,820
47,40,820
47,480,600
47,485,600
47,487,600
47,489,600
47,491,600
47,496,600
47,497,600
47,498,600
47,499,600
47,502,600
47,503,600
48,19,820
48,40,820
48,466,600
48,467,600
48,468,600
48,486,600
48,488,600
48,493,600
48,494,600
48,497,600
48,498,600
48,499,600
48,500,600
48,501,600
48,502,600
49,40,820
49,41,820
49,73,182
49,462,600
49,463,600
49,466,600
49,467,600
49,468,600
49,469,600
49,470,600
49,486,600
49,490,600
49,494,600
49,495,600
49,496,600
49,497,600
49,498,600
49,501,600
49,505,600
50,23,820
50,32,820
50,462,600
50,463,600
50,466,600
50,467,600
50,468,600
50,469,600
50,470,600
50,471,600
50,486,600
50,487,600
50,488,600
50,491,600
50,492,600
50,493,600
50,494,600
50,495,600
50,496,600
50,497,600
50,500,600
50,501,600
50,506,600
51,33,820
51,40,820
51,462,600
51,463,600
51,464,600
51,465,600
51,466,600
51,467,600
51,468,600
51,470,600
51,471,600
51,472,600
51,483,600
51,485,600
51,486,600
51,487,600
51,488,600
51,490,600
51,491,600
51,492,600
51,493,600
51,494,600
51,495,600
51,498,600
51,499,600
51,502,600
51,503,600
52,36,820
52,40,820
52,41,820
52,43,820
52,44,820
52,45,820
52,91,182
52,461,600
52,462,600
52,463,600
52,464,600
52,467,600
52,468,600
52,469,600
52,470,600
52,471,600
52,473,600
52,485,600
52,486,600
52,487,600
52,488,600
52,490,600
52,491,600
52,497,600
52,498,600
52,499,600
52,500,600
52,502,600
52,503,600
52,507,600
53,12,820
53,15,820
53,36,820
53,37,820
53,41,820
53,42,820
53,96,182
53,460,600
53,461,600
53,462,600
53,463,600
53,464,600
53,466,600
53,468,600
53,469,600
53,482,600
53,487,600
53,490,600
53,491,600
53,494,600
53,495,600
53,497,600
53,498,600
53,499,600
53,504,600
53,506,600
53,507,600
54,34,820
54,37,820
54,42,820
54,65,182
54,66,182
54,459,600
54,460,600
54,461,600
54,462,600
54,463,600
54,466,600
54,467,600
54,468,600
54,472,600
54,475,600
54,479,600
54,488,600
54,499,600
54,504,600
54,507,600
55,37,820
55,39,820
55,40,820
55,61,182
55,66,182
55,67,182
55,459,600
55,460,600
55,461,600
55,462,600
55,463,600
55,465,600
55,466,600
55,478,600
55,479,600
55,489,600
55,500,600
55,501,600
55,502,600
55,503,600
55,504,600
55,510,600
56,13,820
56,31,820
56,40,820
56,61,182
56,66,182
56,68,182
56,71,182
56,459,600
56,460,600
56,461,600
56,462,600
56,463,600
56,464,600
56,465,600
56,466,600
56,501,600
56,502,600
56,503,600
56,504,600
57,12,820
57,35,820
57,36,820
57,60,182
57,61,182
57,67,182
57,68,182
57,459,600
57,460,600
57,461,600
57,462,600
57,463,600
57,464,600
57,471,600
57,485,600
57,503,600
58,59,182
58,63,182
58,458,600
58,459,600
58,460,600
58,461,600
58,462,600
58,463,600
58,464,600
58,465,600
58,466,600
58,474,600
58,477,600
58,483,600
58,484,600
58,498,600
58,500,600
58,501,600
58,503,600
59,12,820
59,28,820
59,36,820
59,49,820
59,136,1366
59,458,600
59,459,600
59,460,600
59,461,600
59,462,600
59,463,600
59,464,600
59,465,600
59,470,600
59,475,600
59,476,600
59,477,600
59,482,600
59,501,600
59,503,600
59,504,600
59,516,600
60,28,820
60,460,600
60,463,600
60,464,600
60,465,600
60,467,600
60,468,600
60,469,600
60,470,600
60,471,600
60,482,600
60,497,600
60,506,600
61,37,820
61,55,820
61,461,600
61,466,600
61,469,600
61,473,600
61,475,600
61,498,600
61,499,600
61,502,600
61,557,1475
61,559,1475
62,12,820
62,14,820
62,42,820
62,43,820
62,45,820
62,55,820
62,460,600
62,500,600
62,501,600
63,12,820
63,27,820
63,28,820
63,29,820
63,30,820
63,44,820
63,45,820
63,50,820
63,561,1475
64,29,820
64,49,820
64,50,820
64,51,820
64,64,820
64,148,1366
64,453,600
64,510,600
64,511,600
65,38,820
65,39,820
65,42,820
65,43,820
65,44,820
65,45,820
65,47,820
65,50,820
65,51,820
65,52,820
65,99,182
65,146,1366
65,148,1366
65,465,600
65,473,600
65,510,600
65,511,600
65,512,600
65,515,600
66,10,820
66,32,820
66,38,820
66,39,820
66,40,820
66,41,820
66,42,820
66,44,820
66,45,820
66,49,820
66,50,820
66,51,820
66,52,820
66,55,820
66,147,1366
66,497,600
66,510,600
67,9,820
67,10,820
67,27,820
67,30,820
67,33,820
67,35,820
67,39,820
67,40,820
67,41,820
67,42,820
67,43,820
67,44,820
67,45,820
67,46,820
67,48,820
67,49,820
67,50,820
67,61,820
67,146,1366
67,147,1366
68,9,820
68,22,820
68,31,820
68,32,820
68,33,820
68,34,820
68,41,820
68,43,820
68,45,820
68,47,820
68,48,820
68,62,820
68,466,600
68,499,600
68,505,600
69,26,820
69,30,820
69,31,820
69,32,820
69,33,820
69,37,820
69,38,820
69,39,820
69,41,820
69,47,820
69,48,820
69,49,820
69,153,1366
69,445,1268
69,465,600
70,19,820
70,24,820
70,25,820
70,26,820
70,30,820
70,31,820
70,32,820
70,33,820
70,37,820
70,39,820
70,41,820
70,157,1366
70,447,1268
70,454,1268
70,465,600
70,500,600
71,10,820
71,19,820
71,20,820
71,21,820
71,22,820
71,23,820
71,25,820
71,26,820
71,33,820
71,34,820
71,35,820
71,47,820
71,445,1268
71,465,600
71,466,600
71,500,600
71,503,600
72,11,820
72,21,820
72,22,820
72,23,820
72,24,820
72,29,820
72,35,820
72,444,1268
72,445,1268
72,465,600
72,466,600
73,16,820
73,19,820
73,21,820
73,22,820
73,23,820
73,24,820
73,26,820
73,29,820
73,458,1268
73,469,600
73,521,600
74,17,820
74,18,820
74,19,820
74,20,820
74,21,820
74,22,820
74,23,820
74,24,820
74,26,820
74,27,820
74,29,820
74,467,600
74,468,600
74,469,600
74,470,600
74,490,600
75,11,820
75,16,820
75,52,820
75,439,1268
75,440,1268
75,459,1268
75,460,1268
75,462,1268
75,467,1268
75,468,600
75,469,600
75,471,600
75,481,600
75,490,600
75,491,600
75,499,600
76,11,820
76,12,820
76,14,820
76,17,820
76,18,820
76,22,820
76,36,820
76,159,1366
76,459,1268
76,463,1268
76,468,1268
76,489,600
76,490,600
76,491,600
76,492,600
76,494,600
76,497,600
76,526,600
77,12,820
77,16,820
77,17,820
77,18,820
77,19,820
77,37,820
77,121,1366
77,122,1366
77,438,1268
77,458,1268
77,490,600
77,492,600
77,493,600
77,496,600
77,562,1475
78,14,820
78,15,820
78,16,820
78,20,820
78,22,820
78,23,820
78,37,820
78,38,820
78,40,820
78,161,1366
78,457,1268
78,458,1268
78,460,1268
78,464,1268
78,488,600
78,493,600
78,494,600
78,497,600
79,14,820
79,15,820
79,17,820
79,18,820
79,163,1366
79,462,1268
79,475,600
79,491,600
79,493,600
80,14,820
80,42,820
80,43,820
80,438,1268
80,460,1268
80,462,1268
80,475,1268
80,481,600
80,572,1475
81,35,820
81,42,820
81,164,1366
81,462,1268
81,478,1268
81,479,600
81,480,600
81,569,1475
81,572,1475
82,44,820
82,443,1268
82,457,1268
82,463,1268
82,474,1268
82,479,1268
82,570,1475
82,571,1475
82,572,1475
83,25,820
83,30,820
83,36,820
83,440,1268
83,455,1268
83,479,1268
84,455,1268
84,456,1268
84,463,1268
84,469,1268
84,470,1268
84,475,1268
84,571,1475
85,39,820
85,43,820
85,165,1366
85,438,1268
85,439,1268
85,464,1268
85,471,1268
85,475,1268
85,477,1268
85,478,1268
85,479,1268
86,20,820
86,38,820
86,39,820
86,44,820
86,164,1366
86,440,1268
86,453,1268
86,456,1268
86,464,1268
86,471,1268
86,478,1268
86,479,1268
86,491,600
86,577,1475
87,23,820
87,24,820
