"y","x","cluster_id"
17,91,120
17,97,120
17,107,120
17,108,120
17,109,120
17,110,120
17,111,120
17,112,120
18,84,120
18,89,120
18,97,120
18,101,120
18,105,120
18,106,120
18,107,120
18,108,120
18,109,120
18,110,120
18,111,120
18,114,120
19,84,120
19,85,120
19,87,120
19,89,120
19,90,120
19,105,120
19,109,120
19,110,120
19,111,120
20,83,120
20,84,120
20,85,120
20,86,120
20,87,120
20,88,120
20,111,120
20,126,120
21,85,120
21,86,120
21,87,120
21,111,120
21,124,120
21,125,120
21,126,120
21,127,120
21,128,120
21,129,120
21,130,120
21,131,120
21,133,120
21,134,120
21,135,120
21,149,120
22,86,120
22,99,120
22,100,120
22,110,120
22,114,120
22,115,120
22,116,120
22,124,120
22,125,120
22,126,120
22,129,120
22,130,120
22,131,120
22,132,120
22,133,120
22,134,120
22,135,120
23,85,120
23,87,120
23,92,120
23,100,120
23,107,120
23,108,120
23,109,120
23,110,120
23,111,120
23,112,120
23,113,120
23,116,120
23,125,120
23,130,120
23,131,120
23,134,120
23,141,120
23,143,120
24,88,120
24,90,120
24,91,120
24,94,120
24,95,120
24,101,120
24,105,120
24,106,120
24,107,120
24,108,120
24,109,120
24,110,120
24,111,120
24,112,120
24,116,120
24,123,120
24,125,120
24,142,120
25,78,120
25,86,120
25,87,120
25,92,120
25,93,120
25,101,120
25,104,120
25,105,120
25,107,120
25,108,120
25,109,120
25,110,120
25,111,120
25,112,120
25,114,120
25,124,120
25,141,120
25,142,120
26,90,120
26,91,120
26,97,120
26,100,120
26,101,120
26,102,120
26,111,120
26,112,120
27,87,120
27,88,120
27,89,120
27,105,120
27,117,120
28,87,120
28,88,120
28,100,120
28,101,120
28,102,120
28,105,120
28,108,120
28,109,120
28,122,120
29,100,120
29,101,120
29,122,120
29,123,120
29,124,120
29,125,120
29,133,120
29,134,120
30,112,120
30,122,120
30,123,120
30,125,120
30,133,120
30,136,120
30,137,120
30,140,120
30,141,120
31,108,120
31,128,120
31,129,120
31,141,120
31,143,120
32,146,120
32,147,120
32,150,711
34,76,120
34,126,120
37,100,120
37,125,120
37,176,523
38,125,120
41,173,523
42,172,711
42,173,523
42,177,523
42,178,523
43,125,120
43,131,120
43,172,711
43,177,523
43,178,523
43,180,523
44,125,120
44,171,711
44,178,523
44,179,523
44,180,523
45,177,523
45,179,523
45,180,523
46,98,588
46,179,523
47,107,588
47,171,711
47,178,523
47,184,523
48,171,711
48,176,523
48,177,523
48,179,523
48,180,523
48,181,523
48,182,523
48,183,523
49,96,588
49,97,588
49,101,588
49,102,588
49,122,120
49,123,120
49,179,523
49,182,523
49,183,523
49,188,523
50,96,588
50,97,588
50,98,588
50,100,588
50,118,588
50,138,711
50,181,523
50,183,523
50,187,523
51,94,588
51,95,588
51,96,588
51,97,588
51,98,588
51,99,588
51,100,588
51,115,588
51,116,588
51,119,588
51,121,588
51,179,523
51,180,523
51,181,523
51,182,523
51,183,523
51,187,523
52,74,588
52,85,588
52,95,588
52,98,588
52,113,588
52,114,588
52,115,588
52,116,588
52,117,588
52,118,588
52,119,588
52,180,523
52,181,523
52,182,523
53,114,588
53,117,588
53,118,588
53,120,588
53,136,711
53,137,711
53,138,711
53,180,523
53,181,523
53,182,523
54,62,946
54,81,588
54,82,588
54,93,588
54,94,588
54,96,588
54,114,588
54,116,588
54,117,588
54,118,588
54,120,588
54,121,588
54,136,711
54,137,711
54,183,523
54,189,523
55,78,588
55,82,588
55,92,588
55,93,588
55,107,588
55,108,588
55,114,588
55,115,588
55,116,588
55,117,588
55,118,588
55,119,588
55,165,711
55,174,711
55,175,523
55,177,523
55,183,523
55,184,523
55,185,523
55,186,523
56,73,946
56,75,588
56,77,588
56,82,588
56,84,588
56,108,588
56,109,588
56,114,588
56,115,588
56,116,588
56,129,588
56,138,711
56,174,711
56,175,523
56,176,523
56,183,523
56,184,523
56,185,523
56,186,523
56,188,523
56,189,523
56,201,523
57,82,588
57,87,588
57,107,588
57,108,588
57,109,588
57,113,588
57,114,588
57,115,588
57,126,588
57,128,588
57,170,711
57,175,523
57,176,523
57,177,523
57,178,523
57,181,523
57,182,523
57,183,523
57,184,523
57,185,523
57,186,523
57,187,523
57,190,523
57,191,523
57,195,523
57,196,523
57,199,523
58,72,946
58,106,588
58,108,588
58,109,588
58,110,588
58,111,588
58,112,588
58,113,588
58,114,588
58,163,711
58,164,711
58,167,711
58,168,711
58,169,711
58,176,523
58,177,523
58,178,523
58,179,523
58,180,523
58,181,523
58,182,523
58,183,523
58,184,523
58,186,523
58,190,523
58,195,523
58,196,523
58,197,523
58,198,523
58,199,523
58,200,523
59,81,588
59,82,588
59,87,588
59,109,588
59,110,588
59,111,588
59,112,588
59,113,588
59,114,588
59,133,711
59,134,711
59,159,711
59,160,711
59,162,711
59,164,711
59,165,711
59,176,523
59,177,523
59,178,523
59,179,523
59,180,523
59,181,523
59,182,523
59,183,523
59,184,523
59,185,523
59,190,523
59,191,523
59,193,523
59,194,523
59,195,523
59,196,523
59,197,523
59,198,523
59,199,523
59,200,523
59,201,523
60,81,588
60,82,588
60,108,588
60,109,588
60,110,588
60,111,588
60,112,588
60,113,588
60,114,588
60,132,711
60,157,711
60,164,711
60,165,711
60,169,711
60,177,523
60,178,523
60,179,523
60,180,523
60,183,523
60,184,523
60,190,523
60,191,523
60,193,523
60,195,523
60,199,523
60,200,523
60,201,523
60,202,523
61,108,588
61,109,588
61,110,588
61,112,588
61,113,588
61,126,588
61,131,711
61,157,711
61,180,523
61,181,523
61,182,523
61,186,523
61,188,523
61,189,523
61,191,523
61,192,523
61,193,523
61,194,523
61,195,523
61,196,523
61,197,523
61,199,523
61,200,523
61,201,523
61,202,523
61,203,523
62,78,588
62,79,588
62,98,588
62,109,588
62,112,588
62,169,711
62,174,711
62,179,523
62,184,523
62,185,523
62,186,523
62,187,523
62,188,523
62,189,523
62,190,523
62,192,523
62,193,523
62,194,523
62,195,523
62,196,523
62,197,523
62,199,523
62,200,523
62,201,523
62,202,523
62,203,523
62,206,523
62,207,523
63,79,588
63,82,588
63,98,588
63,108,588
63,109,588
63,111,588
63,153,711
63,154,711
63,156,711
63,172,711
63,175,711
63,182,523
63,187,523
63,188,523
63,189,523
63,190,523
63,191,523
63,192,523
63,193,523
63,194,523
63,195,523
63,196,523
63,197,523
63,198,523
63,199,523
63,202,523
63,203,523
63,204,523
63,205,523
63,206,523
63,207,523
64,64,946
64,66,946
64,79,588
64,80,588
64,81,588
64,107,588
64,109,588
64,125,588
64,127,588
64,128,588
64,130,711
64,152,711
64,154,711
64,162,711
64,167,711
64,172,711
64,174,711
64,175,711
64,179,523
64,182,523
64,185,523
64,186,523
64,187,523
64,188,523
64,189,523
64,190,523
64,191,523
64,192,523
64,193,523
64,194,523
64,195,523
64,196,523
64,197,523
64,199,523
64,202,523
64,203,523
64,204,523
64,205,523
64,206,523
64,208,523
64,211,523
64,215,523
65,64,946
65,65,946
65,66,946
65,67,946
65,79,588
65,80,588
65,81,588
65,97,588
65,98,588
65,99,588
65,105,588
65,107,588
65,108,588
65,109,588
65,124,588
65,146,711
65,147,711
65,148,711
65,150,711
65,151,711
65,152,711
65,154,711
65,155,711
65,159,711
65,161,711
65,164,711
65,168,711
65,170,711
65,171,711
65,172,711
65,174,711
65,184,523
65,185,523
65,186,523
65,187,523
65,188,523
65,189,523
65,190,523
65,191,523
65,192,523
65,193,523
65,194,523
65,195,523
65,196,523
65,202,523
65,203,523
65,204,523
65,205,523
65,206,523
65,207,523
65,208,523
66,65,946
66,66,946
66,79,588
66,82,588
66,147,711
66,148,711
66,153,711
66,154,711
66,155,711
66,156,711
66,159,711
66,160,711
66,161,711
66,166,711
66,170,711
66,171,711
66,172,711
66,173,711
66,185,523
66,186,523
66,191,523
66,193,523
66,194,523
66,195,523
66,196,523
66,197,523
66,200,523
66,201,523
66,202,523
66,203,523
66,204,523
66,205,523
66,206,523
66,207,523
66,208,523
67,53,946
67,56,946
67,70,946
67,71,946
67,78,588
67,154,711
67,155,711
67,156,711
67,157,711
67,158,711
67,159,711
67,170,711
67,171,711
67,172,711
67,182,523
67,183,523
67,184,523
67,186,523
67,195,523
67,196,523
67,197,523
67,198,523
67,199,523
67,200,523
67,201,523
67,202,523
67,203,523
67,204,523
67,205,523
67,206,523
67,207,523
67,208,523
68,56,946
68,57,946
68,62,946
68,63,946
68,71,946
68,72,946
68,73,946
68,74,946
68,81,588
68,105,588
68,106,588
68,154,711
68,156,711
68,157,711
68,160,711
68,163,711
68,169,711
68,181,523
68,182,523
68,183,523
68,184,523
68,192,523
68,193,523
68,195,523
68,196,523
68,197,523
68,198,523
68,199,523
68,200,523
68,203,523
68,206,523
68,211,523
69,52,946
69,56,946
69,57,946
69,58,946
69,59,946
69,60,946
69,61,946
69,73,946
69,74,946
69,75,946
69,101,588
69,104,588
69,140,711
69,142,711
69,156,711
69,157,711
69,158,711
69,159,711
69,160,711
69,164,711
69,165,711
69,166,711
69,167,711
69,168,711
69,176,711
69,177,523
69,181,523
69,182,523
69,183,523
69,190,523
69,191,523
69,192,523
69,193,523
69,196,523
69,197,523
69,198,523
69,199,523
69,200,523
70,52,946
70,53,946
70,58,946
70,59,946
70,60,946
70,61,946
70,67,946
70,68,946
70,72,946
70,101,588
70,102,588
70,103,588
70,104,588
70,139,711
70,140,711
70,158,711
70,159,711
70,161,711
70,162,711
70,165,711
70,166,711
70,167,711
70,168,711
70,169,711
70,172,711
70,176,711
70,182,523
70,183,523
70,184,523
70,185,523
70,187,523
70,192,523
70,194,523
70,195,523
70,196,523
70,197,523
70,198,523
70,199,523
70,202,523
70,205,523
71,48,946
71,49,946
71,50,946
71,51,946
71,52,946
71,53,946
71,54,946
71,55,946
71,56,946
71,57,946
71,58,946
71,59,946
71,60,946
71,63,946
71,64,946
71,65,946
71,66,946
71,67,946
71,68,946
71,71,946
71,85,588
71,94,588
71,99,588
71,100,588
71,101,588
71,102,588
71,129,1572
71,130,1572
71,139,711
71,140,711
71,159,711
71,161,711
71,162,711
71,163,711
71,166,711
71,168,711
71,169,711
71,170,711
71,171,711
71,172,711
71,173,711
71,176,711
71,179,523
71,187,523
71,195,523
71,196,523
71,197,523
71,198,523
71,199,523
72,47,946
72,49,946
72,50,946
72,51,946
72,52,946
72,53,946
72,54,946
72,55,946
72,56,946
72,57,946
72,58,946
72,59,946
72,63,946
72,64,946
72,65,946
72,66,946
72,86,588
72,94,588
72,95,588
72,96,588
72,97,588
72,99,588
72,100,588
72,101,588
72,102,588
72,103,588
72,104,588
72,137,711
72,138,711
72,159,711
72,166,711
72,167,711
72,168,711
72,169,711
72,171,711
72,173,711
72,174,711
72,178,523
72,179,523
72,183,523
72,184,523
72,185,523
72,199,523
72,203,523
72,207,523
73,49,946
73,50,946
73,51,946
73,52,946
73,53,946
73,54,946
73,55,946
73,56,946
73,57,946
73,58,946
73,59,946
73,62,946
73,63,946
73,67,946
73,96,588
73,97,588
73,98,588
73,100,588
73,101,588
73,102,588
73,103,588
73,136,1572
73,137,711
73,158,711
73,163,711
73,164,711
73,165,711
73,166,711
73,168,711
73,178,523
73,179,523
73,180,523
73,181,523
73,196,523
73,198,523
73,202,523
73,205,523
73,206,523
74,42,946
74,50,946
74,51,946
74,52,946
74,53,946
74,54,946
74,55,946
74,56,946
74,57,946
74,58,946
74,59,946
74,60,946
74,61,946
74,62,946
74,96,588
74,97,588
74,98,588
74,99,588
74,100,588
74,102,588
74,103,588
74,104,588
74,134,1572
74,135,1572
74,158,711
74,159,711
74,161,711
74,162,711
74,163,711
74,164,711
74,165,711
74,166,711
74,177,711
74,181,523
74,196,523
74,197,523
74,198,523
74,203,523
74,204,523
74,207,523
75,50,946
75,51,946
75,52,946
75,53,946
75,54,946
75,55,946
75,56,946
75,57,946
75,58,946
75,59,946
75,60,946
75,61,946
75,84,588
75,89,588
75,91,588
75,94,588
75,95,588
75,96,588
75,97,588
75,103,588
75,104,588
75,157,711
75,158,711
75,160,711
75,161,711
75,162,711
75,163,711
75,164,711
75,165,711
75,179,523
75,196,523
75,197,523
75,198,523
75,199,523
75,200,523
75,203,523
75,204,523
75,206,523
75,207,523
75,208,523
76,50,946
76,51,946
76,52,946
76,53,946
76,54,946
76,55,946
76,56,946
76,57,946
76,58,946
76,59,946
76,60,946
76,88,588
76,90,588
76,92,588
76,94,588
76,95,588
76,136,1572
76,144,711
76,152,711
76,159,711
76,160,711
76,161,711
76,162,711
76,163,711
76,164,711
76,199,523
76,200,523
76,202,523
76,203,523
76,206,523
77,49,946
77,50,946
77,51,946
77,52,946
77,53,946
77,54,946
77,55,946
77,56,946
77,57,946
77,58,946
77,59,946
77,87,588
77,88,588
77,89,588
77,90,588
77,91,588
77,93,588
77,94,588
77,106,588
77,122,1572
77,135,1572
77,136,1572
77,143,711
77,144,711
77,160,711
77,163,711
77,185,523
78,48,946
78,50,946
78,51,946
78,52,946
78,53,946
78,55,946
78,56,946
78,57,946
78,58,946
78,85,1459
78,89,588
78,90,588
78,91,588
78,92,588
78,93,588
78,94,588
78,97,588
78,122,1572
78,135,1572
78,141,1572
78,160,711
78,186,523
78,187,523
79,47,946
79,48,946
79,49,946
79,50,946
79,51,946
79,52,946
79,53,946
79,54,946
79,55,946
79,56,946
79,57,946
79,58,946
79,59,946
79,88,588
79,89,588
79,90,588
79,91,588
79,121,1572
79,122,1572
79,131,1572
79,132,1572
79,134,1572
79,137,1572
79,138,1572
79,141,1572
79,149,711
79,165,711
79,186,523
79,187,523
80,48,946
80,49,946
80,50,946
80,51,946
80,52,946
80,53,946
80,54,946
80,55,946
80,56,946
80,57,946
80,84,1459
80,88,588
80,89,588
80,90,588
80,91,588
80,111,588
80,120,1572
80,121,1572
80,123,1572
80,127,1572
80,129,1572
80,130,1572
80,132,1572
80,133,1572
80,138,1572
81,37,946
81,47,946
81,48,946
81,49,946
81,50,946
81,51,946
81,52,946
81,84,1459
81,86,1459
81,88,1459
81,89,588
81,118,1572
81,119,1572
81,123,1572
81,124,1572
81,125,1572
81,126,1572
81,128,1572
81,129,1572
81,130,1572
81,131,1572
81,132,1572
81,133,1572
81,138,1572
81,160,711
82,38,946
82,46,946
82,47,946
82,48,946
82,52,946
82,83,1459
