"y","x","cluster_id"
70,197,20
75,234,20
120,189,54
129,173,54
152,243,20
152,245,20
152,246,20
152,247,20
153,243,20
153,244,20
153,245,20
153,246,20
153,247,20
153,248,20
154,244,20
154,245,20
154,246,20
154,247,20
154,248,20
155,245,20
155,246,20
156,213,20
156,214,20
156,229,20
156,230,20
157,217,20
157,246,20
157,247,20
158,246,20
158,247,20
158,248,20
159,256,20
159,271,20
160,214,20
160,270,20
161,242,20
161,243,20
161,244,20
161,245,20
161,269,20
162,242,20
162,243,20
162,244,20
162,245,20
162,251,20
162,252,20
162,272,20
163,244,20
163,245,20
164,245,20
164,248,20
167,258,20
168,244,20
172,184,54
172,254,20
175,170,54
175,171,54
176,166,54
180,244,20
192,246,20
205,205,54
