"y","x","cluster_id"
45,144,96
45,145,96
45,149,96
45,150,96
45,154,96
46,136,96
46,143,96
46,144,96
46,145,96
46,153,96
46,154,96
46,155,96
47,133,96
47,134,96
47,135,96
47,142,96
47,143,96
47,144,96
47,145,96
47,146,96
47,147,96
47,148,96
48,120,223
48,141,96
48,142,96
48,143,96
48,144,96
48,145,96
48,146,96
48,149,96
48,150,96
49,146,96
49,147,96
51,155,96
51,161,96
52,114,223
52,160,96
53,150,96
54,108,223
54,113,223
54,116,223
54,138,96
54,147,96
54,164,96
54,166,96
54,167,96
55,108,223
55,109,223
55,112,223
55,120,223
55,158,96
55,166,96
56,131,96
56,137,96
56,157,96
56,158,96
56,161,96
56,163,96
57,108,223
57,155,96
57,156,96
57,157,96
57,158,96
57,165,96
58,108,223
58,109,223
58,145,96
58,146,96
58,157,96
58,164,96
58,168,96
58,169,96
59,101,223
59,102,223
59,109,223
59,110,223
59,145,96
59,158,96
59,159,96
59,161,96
59,171,96
60,98,223
60,102,223
60,122,223
60,123,223
60,128,223
60,137,96
60,154,96
60,164,96
61,97,223
61,100,223
61,101,223
61,128,223
61,137,96
61,145,96
61,154,96
61,155,96
61,156,96
61,157,96
61,168,96
62,102,223
62,117,223
62,141,96
62,144,96
62,156,96
62,157,96
62,161,96
62,169,96
62,170,96
62,171,96
63,96,223
63,119,223
63,120,223
63,121,223
63,122,223
63,136,96
63,145,96
63,146,96
63,169,96
63,170,96
63,176,96
63,178,96
64,111,223
64,130,223
64,138,96
64,165,96
64,169,96
64,176,96
64,177,96
64,178,96
65,94,223
65,96,223
65,109,223
65,114,223
65,126,223
65,138,96
65,143,96
65,150,96
65,166,96
66,97,223
66,98,223
66,126,223
66,150,96
66,151,96
66,152,96
66,153,96
66,157,96
66,169,96
66,176,96
66,177,96
67,98,223
67,99,223
67,101,223
67,105,223
67,126,223
67,146,96
67,152,96
67,165,96
67,166,96
68,96,223
68,97,223
68,98,223
68,99,223
68,100,223
68,101,223
68,104,223
68,105,223
68,122,223
68,126,223
68,130,223
68,145,96
68,146,96
68,147,96
68,159,96
68,165,96
69,96,223
69,97,223
69,103,223
69,109,223
69,122,223
69,128,223
69,131,223
69,134,96
69,136,96
69,139,96
69,140,96
69,142,96
69,147,96
69,168,96
69,174,96
70,96,223
70,97,223
70,98,223
70,104,223
70,105,223
70,106,223
70,112,223
70,119,223
70,120,223
70,121,223
70,127,223
70,128,223
70,140,96
70,141,96
70,149,96
71,95,223
71,97,223
71,98,223
71,119,223
71,120,223
71,121,223
71,123,223
71,126,223
71,133,223
71,135,96
71,142,96
71,146,96
71,147,96
71,166,96
72,90,424
72,92,424
72,97,223
72,111,223
72,120,223
72,121,223
72,123,223
72,125,223
72,126,223
72,134,96
72,139,96
72,143,96
72,146,96
72,148,96
72,151,96
72,165,96
73,89,424
73,120,223
73,121,223
73,122,223
73,125,223
73,126,223
73,143,96
73,147,96
73,148,96
73,159,96
73,160,96
73,164,96
73,168,96
74,88,424
74,89,424
74,90,424
74,91,424
74,100,223
74,108,223
74,125,223
74,129,223
74,130,223
74,144,96
74,149,96
74,172,96
74,173,96
74,175,96
74,178,96
75,87,424
75,89,424
75,90,424
75,91,424
75,93,424
75,94,424
75,97,223
75,107,223
75,109,223
75,110,223
75,113,223
75,152,96
75,174,96
75,177,96
76,87,424
76,88,424
76,89,424
76,92,424
76,106,223
76,109,223
76,110,223
76,111,223
76,112,223
76,114,223
76,118,223
76,119,223
76,120,223
76,128,223
76,153,96
77,84,424
77,89,424
77,108,223
77,109,223
77,110,223
77,111,223
77,112,223
77,113,223
77,114,223
77,117,223
77,118,223
77,119,223
77,120,223
77,128,223
77,176,96
78,83,424
78,86,424
78,91,424
78,98,424
78,104,223
78,108,223
78,112,223
78,113,223
78,115,223
78,117,223
78,118,223
78,119,223
78,128,223
79,83,424
79,84,424
79,85,424
79,86,424
79,90,424
79,103,223
79,107,223
79,116,223
79,117,223
79,118,223
79,126,223
79,128,223
79,132,223
79,151,96
80,84,424
80,85,424
80,89,424
80,101,223
80,102,223
80,106,223
80,113,223
80,124,223
80,126,223
80,140,96
80,151,96
80,152,96
80,162,588
81,86,424
81,125,223
81,143,588
81,158,588
82,83,424
82,84,424
82,96,424
82,97,424
82,102,223
82,138,588
82,144,588
82,159,588
83,81,424
83,82,424
83,83,424
83,84,424
83,85,424
83,86,424
83,127,223
83,137,588
83,138,588
84,81,424
84,83,424
84,86,424
84,95,424
84,120,223
84,163,588
85,85,424
85,162,588
85,163,588
85,164,588
85,165,588
85,166,588
86,73,424
86,80,424
86,93,424
86,98,424
86,115,223
86,132,223
86,161,588
86,162,588
86,163,588
86,164,588
86,165,588
86,166,588
86,167,588
86,168,588
86,178,588
86,179,588
87,73,424
87,74,424
87,79,424
87,83,424
87,84,424
87,90,424
87,114,223
87,133,588
87,151,588
87,160,588
87,161,588
87,162,588
87,163,588
87,165,588
87,166,588
88,73,424
88,79,424
88,82,424
88,159,588
88,160,588
88,161,588
88,162,588
88,163,588
88,165,588
89,72,424
89,78,424
89,82,424
89,90,424
89,104,424
89,105,424
89,113,223
89,134,588
89,138,588
89,139,588
89,155,588
89,159,588
89,160,588
89,161,588
89,162,588
89,163,588
89,164,588
90,72,424
90,73,424
90,77,424
90,80,424
90,81,424
90,90,424
90,93,424
90,121,223
90,136,588
90,156,588
90,157,588
90,158,588
90,163,588
91,73,424
91,76,424
91,77,424
91,78,424
91,79,424
91,80,424
91,90,424
91,92,424
91,108,424
91,112,223
91,132,588
91,143,588
91,155,588
91,156,588
91,157,588
91,158,588
91,159,588
91,164,588
92,36,677
92,39,677
92,40,677
92,74,424
92,90,424
92,91,424
92,104,424
92,109,424
92,110,223
92,134,588
92,142,588
92,143,588
92,144,588
92,155,588
92,157,588
92,158,588
93,74,424
93,86,424
93,104,424
93,135,588
93,141,588
93,149,588
93,154,588
93,157,588
93,159,588
94,32,677
94,40,677
94,86,424
94,88,424
94,97,424
94,104,424
94,121,223
94,128,873
94,129,873
94,133,588
94,137,588
94,154,588
94,156,588
94,157,588
94,158,588
94,159,588
94,169,588
94,172,588
95,75,424
95,76,424
95,78,424
95,87,424
95,88,424
95,96,424
95,108,424
95,120,873
95,121,873
95,127,873
95,128,873
95,129,873
95,132,873
95,137,588
95,153,588
95,167,588
96,29,677
96,30,677
96,35,677
96,40,677
96,41,677
96,42,677
96,74,424
96,120,873
96,130,873
96,132,873
96,137,588
96,150,588
96,167,588
97,31,677
97,32,677
97,41,677
97,42,677
97,88,424
97,90,424
97,101,424
97,104,424
97,105,424
97,119,873
97,120,873
97,133,873
97,134,588
97,136,588
97,150,588
98,28,677
98,29,677
98,35,677
98,39,677
98,41,677
98,42,677
98,85,424
98,104,424
98,105,424
98,119,873
98,120,873
98,133,873
98,134,873
98,139,588
98,143,588
98,144,588
99,32,677
99,33,677
99,72,424
99,73,424
99,81,424
99,84,424
99,87,424
99,88,424
99,89,424
99,96,424
99,120,873
99,137,588
99,143,588
99,144,588
99,149,588
99,155,588
99,156,588
99,164,588
100,25,677
100,34,677
100,44,677
100,81,424
100,114,873
100,143,588
100,144,588
100,145,588
100,152,588
100,155,588
100,156,588
100,157,588
100,170,588
101,25,677
101,34,677
101,35,677
101,37,677
101,81,424
101,88,424
101,89,424
101,104,424
101,112,873
101,143,588
101,154,588
101,155,588
101,156,588
101,157,588
102,29,677
102,34,677
102,35,677
102,36,677
102,37,677
102,38,677
102,80,424
102,81,424
102,87,424
102,129,873
102,133,873
102,154,588
102,155,588
102,156,588
102,160,588
102,161,588
102,163,588
102,165,588
103,27,677
103,28,677
103,33,677
103,34,677
103,35,677
103,36,677
103,37,677
103,38,677
103,39,677
103,86,424
103,115,873
103,126,873
103,127,873
103,128,873
103,129,873
103,130,873
103,133,873
103,160,588
103,165,588
103,172,588
104,29,677
104,34,677
104,36,677
104,38,677
104,87,424
104,98,424
104,104,424
104,126,873
104,127,873
104,128,873
104,129,873
104,130,873
104,131,873
104,132,873
104,133,873
104,134,873
104,161,588
104,162,588
105,27,677
105,28,677
105,33,677
105,34,677
105,35,677
105,52,677
105,80,914
105,91,424
105,98,424
105,108,873
105,109,873
105,111,873
105,112,873
105,127,873
105,128,873
105,129,873
105,130,873
105,131,873
105,132,873
105,134,873
105,135,873
105,143,588
105,144,588
105,149,588
105,169,588
105,170,588
106,33,677
106,80,914
106,95,424
106,98,424
106,119,873
106,134,873
106,136,873
106,143,588
106,148,588
106,162,588
106,163,588
106,164,588
106,165,588
106,167,588
106,168,588
107,27,677
107,44,677
107,58,677
107,76,914
107,81,914
107,82,914
107,95,424
107,121,873
107,123,873
107,136,873
107,139,873
107,149,588
107,162,588
107,163,588
107,170,588
108,29,677
108,32,677
108,34,677
108,41,677
108,58,677
108,81,914
108,83,914
108,86,914
108,89,914
108,120,873
108,121,873
108,123,873
108,151,588
108,170,588
108,171,588
109,25,677
109,32,677
109,33,677
109,40,677
109,57,677
109,58,677
109,81,914
109,82,914
109,110,873
109,170,588
110,27,677
110,28,677
110,32,677
110,33,677
110,39,677
110,64,914
110,111,873
110,124,873
110,141,873
110,170,588
111,25,677
111,28,677
111,33,677
111,46,677
111,55,677
111,56,677
111,57,677
111,63,914
111,64,914
111,69,914
111,75,914
111,85,914
111,109,873
111,123,873
111,132,873
112,26,677
112,29,677
112,30,677
112,32,677
112,47,677
112,62,914
112,63,914
112,68,914
112,70,914
112,81,914
112,85,914
112,87,914
112,88,914
112,113,873
112,124,873
113,24,677
113,32,677
113,62,914
113,63,914
113,64,914
113,65,914
113,78,914
113,85,914
113,113,873
113,116,873
113,125,873
113,155,588
113,161,588
114,24,677
114,31,677
114,33,677
114,63,914
114,64,914
114,68,914
114,79,914
114,85,914
114,92,914
114,98,914
114,99,914
114,108,873
114,109,873
114,110,873
114,116,873
114,156,588
114,159,588
114,160,588
115,25,677
115,33,677
115,47,677
115,63,914
115,69,914
115,70,914
115,71,914
115,77,914
115,79,914
115,80,914
115,81,914
115,91,914
115,92,914
115,93,914
115,95,914
115,98,914
115,107,873
115,115,873
115,117,873
115,130,873
115,145,873
115,168,588
116,55,1014
116,63,914
116,66,914
116,67,914
116,95,914
116,105,873
116,115,873
116,116,873
116,130,873
116,167,588
116,168,588
117,41,677
117,55,1014
117,56,1014
117,62,914
117,63,914
117,99,914
117,100,914
117,134,873
117,136,873
117,169,588
118,42,1014
118,55,1014
