"y","x","cluster_id"
18,115,43
18,116,43
18,120,43
18,121,43
19,115,43
19,121,43
19,122,43
20,116,43
22,125,43
23,124,43
23,125,43
23,126,43
24,125,43
26,65,75
28,64,75
28,68,75
28,69,75
29,65,75
29,68,75
29,69,75
29,77,75
29,78,75
29,108,43
30,68,75
30,69,75
30,77,75
31,101,43
31,102,43
34,84,75
34,86,75
34,87,75
35,64,75
35,76,75
35,86,75
35,98,43
35,105,43
36,74,75
36,75,75
36,89,75
36,90,75
36,98,43
36,105,43
36,108,43
37,61,75
37,69,75
37,72,75
37,73,75
37,74,75
37,78,75
37,79,75
37,81,75
37,86,75
37,89,75
37,90,75
37,97,43
37,98,43
37,103,43
37,112,43
38,60,75
38,62,75
38,63,75
38,73,75
38,74,75
38,75,75
38,77,75
38,78,75
38,79,75
38,81,75
38,85,75
38,88,75
38,94,43
38,95,43
39,62,75
39,63,75
39,73,75
39,74,75
39,78,75
39,81,75
39,87,75
39,88,75
39,91,43
39,92,43
39,95,43
39,96,43
39,103,43
39,124,43
40,63,75
40,69,75
40,71,75
40,72,75
40,73,75
40,75,75
40,78,75
40,79,75
40,81,75
40,102,43
40,107,43
41,58,75
41,59,75
41,60,75
41,70,75
41,71,75
41,74,75
41,75,75
41,77,75
41,78,75
41,89,75
41,90,75
42,59,75
42,60,75
42,63,75
42,65,75
42,75,75
42,89,75
42,101,43
42,110,43
43,59,75
43,64,75
43,69,75
43,85,75
43,107,43
43,115,43
44,55,75
44,56,75
44,57,75
44,58,75
44,59,75
44,70,75
44,90,75
44,107,43
45,58,75
45,59,75
45,72,75
45,79,75
45,87,75
45,129,43
46,59,75
46,80,75
46,129,43
47,62,75
47,88,75
47,89,75
47,126,43
48,88,75
48,125,43
49,45,194
49,52,194
49,98,43
51,48,194
51,55,194
51,56,194
52,46,194
53,42,194
53,43,194
53,45,194
53,46,194
54,38,194
54,40,194
54,46,194
54,49,194
54,53,194
54,95,43
55,35,194
55,36,194
55,38,194
55,88,75
55,94,43
56,60,194
57,36,194
57,45,194
57,46,194
57,84,75
58,33,194
58,36,194
58,44,194
58,45,194
58,49,194
58,86,75
59,52,194
59,130,233
60,29,194
60,53,194
60,54,194
61,34,194
61,42,194
61,47,194
61,55,194
61,87,233
62,49,194
62,101,233
63,48,194
63,106,233
64,26,194
64,43,194
64,106,233
65,47,194
65,105,233
65,110,233
66,42,194
66,85,233
66,111,233
67,26,194
67,53,194
67,111,233
68,31,194
68,108,233
68,111,233
68,112,233
68,126,233
69,24,194
69,34,194
69,35,194
69,36,194
69,108,233
70,26,194
70,35,194
70,36,194
70,42,194
71,84,233
71,111,233
71,123,233
72,25,194
72,32,194
72,41,194
72,45,194
72,49,194
73,15,194
73,35,194
73,40,194
73,42,194
73,67,391
73,107,233
73,110,233
73,113,233
74,17,194
74,37,194
74,44,194
74,47,194
74,84,233
75,27,194
75,28,194
75,38,194
75,39,194
75,40,194
75,44,194
75,45,194
75,105,233
76,26,194
76,27,194
76,28,194
76,38,194
77,27,194
77,56,194
77,57,194
78,55,194
78,83,391
78,96,233
78,97,233
78,100,233
79,53,194
79,54,194
79,55,194
79,60,391
79,106,233
