"y","x","cluster_id"
9,127,106
9,128,106
10,59,230
10,126,106
10,127,106
11,59,230
11,90,214
11,120,106
11,125,106
11,129,106
12,60,230
12,89,214
12,90,214
12,120,106
12,121,106
12,122,106
12,135,106
13,61,230
13,89,214
13,95,214
13,121,106
13,122,106
13,123,106
14,50,230
14,51,230
14,59,230
14,62,230
14,95,214
14,121,106
14,122,106
14,123,106
14,124,106
15,58,230
15,63,230
15,88,214
15,89,214
15,121,106
15,122,106
15,136,106
15,137,106
16,63,230
16,64,230
16,90,214
16,91,214
16,119,106
16,122,106
16,130,106
16,136,106
16,137,106
16,138,106
17,29,230
17,50,230
17,63,230
17,64,230
17,118,106
17,119,106
17,120,106
17,122,106
17,138,106
17,139,106
18,30,230
18,51,230
18,104,214
18,113,106
18,118,106
18,119,106
18,120,106
18,121,106
18,129,106
19,31,230
19,51,230
19,88,214
19,113,106
19,114,106
19,115,106
19,116,106
19,117,106
19,118,106
19,119,106
19,120,106
19,121,106
20,31,230
20,57,230
20,114,106
20,115,106
20,116,106
20,117,106
20,118,106
20,119,106
20,120,106
20,131,106
20,133,106
21,31,230
21,53,230
21,56,230
21,57,230
21,58,230
21,59,230
21,87,214
21,114,106
21,115,106
21,116,106
21,117,106
21,118,106
21,119,106
21,127,106
22,36,230
22,37,230
22,38,230
22,39,230
22,40,230
22,57,230
22,58,230
22,59,230
22,84,214
22,85,214
22,96,214
22,104,214
22,116,106
22,118,106
22,119,106
22,120,106
22,123,106
22,143,106
22,144,106
23,32,230
23,33,230
23,37,230
23,38,230
23,40,230
23,41,230
23,42,230
23,57,230
23,58,230
23,63,230
23,84,214
23,85,214
23,110,214
23,119,106
23,120,106
23,121,106
23,143,106
23,144,106
24,59,230
24,61,230
24,62,230
24,63,230
24,94,214
24,122,106
24,123,106
24,143,106
24,145,106
25,35,230
25,36,230
25,61,230
25,85,214
25,93,214
25,121,106
25,122,106
25,123,106
25,143,106
25,144,106
25,145,106
26,33,230
26,84,214
26,92,214
26,119,106
26,120,106
26,121,106
26,122,106
26,123,106
26,128,106
26,142,106
26,143,106
26,144,106
27,33,230
27,91,214
27,103,214
27,108,214
27,109,214
27,123,106
27,126,106
27,141,106
27,142,106
27,143,106
27,152,106
28,34,230
28,35,230
28,36,230
28,101,214
28,102,214
28,103,214
28,108,214
28,109,214
28,123,106
28,125,106
28,126,106
28,149,106
29,32,230
29,101,214
29,102,214
29,103,214
29,105,214
29,107,214
29,108,214
29,109,214
29,119,106
29,121,106
29,122,106
29,142,106
29,149,106
30,32,230
30,33,230
30,97,214
30,102,214
30,103,214
30,104,214
30,105,214
30,106,214
30,107,214
30,108,214
30,109,214
30,119,106
30,148,106
30,149,106
30,151,459
31,32,230
31,33,230
31,34,230
31,45,230
31,89,214
31,104,214
31,105,214
31,106,214
31,107,214
31,113,214
31,121,106
31,152,459
32,32,230
32,33,230
32,34,230
32,42,230
32,63,355
32,94,214
32,106,214
32,107,214
32,148,459
32,153,459
33,64,355
33,120,106
33,148,459
33,153,459
33,154,459
34,38,230
34,62,355
34,65,355
34,118,106
34,119,106
34,121,106
34,124,106
34,125,106
34,128,106
35,38,230
35,39,230
35,53,230
35,64,355
35,119,106
35,123,106
35,124,106
36,38,230
36,39,230
36,41,230
36,43,230
36,51,230
36,85,214
37,41,230
37,42,230
37,51,230
37,52,230
37,61,355
37,69,355
37,71,355
37,86,214
38,42,230
38,54,355
38,57,355
38,58,355
38,72,355
38,135,106
39,41,230
39,42,230
39,45,230
39,55,355
39,56,355
39,62,355
39,63,355
39,64,355
40,56,355
40,57,355
40,58,355
40,62,355
40,64,355
41,41,230
41,43,230
41,44,230
41,45,230
41,57,355
41,113,214
42,41,230
42,42,230
42,43,230
42,59,355
42,60,355
42,100,214
42,101,214
42,135,459
42,155,459
43,43,230
43,44,230
43,45,230
43,92,214
43,93,214
43,94,214
43,101,214
43,136,459
43,155,459
44,41,230
44,93,214
44,105,214
44,133,459
44,135,459
44,136,459
44,138,459
45,37,230
45,58,355
45,60,355
45,92,214
45,132,459
45,135,459
45,155,459
46,26,489
46,58,355
46,93,214
46,133,459
46,136,459
46,137,459
46,138,459
47,24,489
47,25,489
47,26,489
47,27,489
47,54,355
47,56,355
47,58,355
47,59,355
47,60,355
47,133,459
47,153,459
48,22,489
48,23,489
48,24,489
48,25,489
48,26,489
48,27,489
48,28,489
48,78,355
48,134,459
48,146,459
48,152,459
48,153,459
48,154,459
49,21,489
49,22,489
49,23,489
49,24,489
49,25,489
49,26,489
49,59,355
49,133,459
49,145,459
49,146,459
49,149,459
49,150,459
49,151,459
49,152,459
49,153,459
50,14,489
50,23,489
50,27,489
50,28,489
50,64,355
50,94,603
50,96,603
50,144,459
50,145,459
50,148,459
50,149,459
50,150,459
50,151,459
50,152,459
51,24,489
51,31,489
51,56,355
51,67,355
51,144,459
51,147,459
51,148,459
51,149,459
51,152,459
52,17,489
52,26,489
52,27,489
52,29,489
52,32,489
52,33,489
52,56,355
52,105,603
52,144,459
52,145,459
52,146,459
52,147,459
52,148,459
52,149,459
52,151,459
52,152,459
53,25,489
53,28,489
53,29,489
53,30,489
53,31,489
53,32,489
53,56,355
53,77,603
53,91,603
53,98,603
53,102,603
53,104,603
53,115,214
53,142,459
53,143,459
53,144,459
53,146,459
53,148,459
53,149,459
53,150,459
53,151,459
53,157,459
54,25,489
54,26,489
54,27,489
54,30,489
54,37,489
54,38,489
54,82,603
54,87,603
54,92,603
54,143,459
54,144,459
54,145,459
54,147,459
54,148,459
54,149,459
54,150,459
55,24,489
55,93,603
55,112,603
55,114,603
55,146,459
55,147,459
55,148,459
55,149,459
55,150,459
56,14,489
56,54,355
56,68,355
56,71,355
56,111,603
56,112,603
56,113,603
56,114,603
56,132,459
56,134,459
56,142,459
56,146,459
56,147,459
56,148,459
56,150,459
56,158,459
57,26,489
57,53,355
57,54,355
57,55,355
57,56,355
57,62,355
57,63,355
57,71,355
57,133,459
57,136,459
57,140,459
57,141,459
57,144,459
57,145,459
57,156,459
57,158,459
58,17,489
58,56,355
58,72,603
58,135,459
58,136,459
58,138,459
58,139,459
58,140,459
58,141,459
58,143,459
58,154,459
59,27,489
59,53,355
59,55,355
59,72,603
59,135,459
59,136,459
59,137,459
59,138,459
59,139,459
59,140,459
59,141,459
59,143,459
59,144,459
59,145,459
59,154,459
60,21,489
60,46,355
60,57,355
60,58,355
60,59,355
60,71,603
60,72,603
60,80,603
60,135,459
60,136,459
60,139,459
60,140,459
60,143,459
60,144,459
60,145,459
60,146,459
60,153,459
60,154,459
61,52,355
61,53,355
61,80,603
61,134,459
61,135,459
61,136,459
61,138,459
61,139,459
61,140,459
61,141,459
61,144,459
61,145,459
61,151,459
61,152,459
62,22,489
62,59,355
62,89,603
62,90,603
62,134,710
62,135,710
62,138,459
62,140,459
62,141,459
62,142,459
62,144,459
