"y","x","cluster_id"
11,151,192
12,151,192
12,152,192
13,143,192
13,152,192
14,132,266
14,137,192
14,138,192
14,141,192
14,142,192
14,158,192
15,99,266
15,101,266
15,102,266
15,103,266
15,112,266
15,113,266
15,117,266
15,124,266
15,125,266
15,126,266
15,129,266
15,131,266
15,132,266
15,159,192
16,99,266
16,100,266
16,101,266
16,102,266
16,103,266
16,104,266
16,110,266
16,113,266
16,115,266
16,126,266
16,142,192
16,155,192
16,158,192
16,159,192
16,160,192
17,99,266
17,102,266
17,103,266
17,104,266
17,105,266
17,113,266
17,114,266
17,117,266
17,118,266
17,156,192
17,157,192
17,158,192
18,102,266
18,105,266
18,112,266
18,113,266
18,132,266
18,157,192
18,158,192
18,161,192
20,97,266
20,98,266
20,112,266
20,126,266
20,127,266
20,131,266
20,132,266
20,162,192
21,102,266
21,125,266
21,126,266
21,156,192
21,162,192
22,51,279
22,108,266
22,109,266
22,110,266
22,111,266
22,112,266
22,113,266
22,114,266
22,125,266
22,130,266
22,156,192
22,157,192
23,101,266
23,102,266
23,108,266
23,110,266
23,111,266
23,112,266
23,113,266
23,114,266
23,122,266
23,130,266
23,161,192
23,162,192
23,163,192
23,164,192
24,48,279
24,52,279
24,53,279
24,101,266
24,105,266
24,107,266
24,108,266
24,109,266
24,110,266
24,111,266
24,112,266
24,113,266
24,114,266
24,122,266
24,125,266
24,130,266
24,154,192
24,155,192
24,156,192
24,162,192
24,163,192
24,164,192
24,165,192
25,42,279
25,43,279
25,47,279
25,50,279
25,51,279
25,52,279
25,53,279
25,54,279
25,57,279
25,97,266
25,108,266
25,109,266
25,110,266
25,111,266
25,113,266
25,125,266
25,126,266
25,129,266
25,133,266
25,154,192
25,155,192
25,156,192
25,161,192
25,162,192
25,163,192
25,164,192
25,165,192
26,42,279
26,43,279
26,47,279
26,48,279
26,50,279
26,51,279
26,52,279
26,53,279
26,54,279
26,57,279
26,108,266
26,109,266
26,110,266
26,124,266
26,125,266
26,126,266
26,130,266
26,145,192
26,146,192
26,154,192
26,155,192
26,156,192
26,161,192
26,162,192
26,165,192
26,166,192
27,42,279
27,43,279
27,50,279
27,51,279
27,52,279
27,53,279
27,54,279
27,99,266
27,108,266
27,109,266
27,110,266
27,113,266
27,125,266
27,126,266
27,147,192
27,148,192
27,155,192
27,156,192
27,157,192
27,165,192
27,166,192
27,167,192
27,168,192
28,41,279
28,42,279
28,43,279
28,45,279
28,50,279
28,51,279
28,52,279
28,53,279
28,54,279
28,55,279
28,56,279
28,104,266
28,105,266
28,107,266
28,108,266
28,109,266
28,110,266
28,111,266
28,113,266
28,124,266
28,143,192
28,144,192
28,147,192
28,148,192
28,166,192
28,167,192
28,168,192
28,169,576
29,41,279
29,42,279
29,43,279
29,44,279
29,45,279
29,52,279
29,53,279
29,54,279
29,55,279
29,56,279
29,57,279
29,58,279
29,60,279
29,107,266
29,108,266
29,109,266
29,110,266
29,112,266
29,113,266
29,115,266
29,117,266
29,146,192
29,166,192
29,167,192
29,168,576
29,169,576
30,41,279
30,42,279
30,43,279
30,44,279
30,45,279
30,56,279
30,57,279
30,58,279
30,59,279
30,60,279
30,109,266
30,110,266
30,112,266
30,113,266
30,151,192
30,153,192
30,159,192
30,160,192
30,166,192
30,167,192
30,168,576
30,169,576
30,170,576
31,42,279
31,43,279
31,44,279
31,50,279
31,51,279
31,52,279
31,53,279
31,56,279
31,59,279
31,108,266
31,110,266
31,111,266
31,112,266
31,113,266
31,123,266
31,124,266
31,142,192
31,154,192
31,156,192
31,158,192
31,159,192
31,160,192
31,161,192
31,162,192
31,163,192
31,164,192
31,165,192
31,166,192
31,167,576
31,168,576
31,169,576
31,170,576
31,171,576
32,42,279
32,43,279
32,44,279
32,45,279
32,47,279
32,48,279
32,49,279
32,50,279
32,51,279
32,52,279
32,53,279
32,54,279
32,55,279
32,56,279
32,57,279
32,60,279
32,61,279
32,111,266
32,116,266
32,155,192
32,156,192
32,157,192
32,158,192
32,160,192
32,162,192
32,163,192
32,164,192
32,165,192
32,166,576
32,167,576
32,169,576
32,170,576
32,171,576
32,172,576
33,43,279
33,44,279
33,45,279
33,46,279
33,47,279
33,48,279
33,49,279
33,50,279
33,51,279
33,52,279
33,53,279
33,54,279
33,55,279
33,56,279
33,57,279
33,113,266
33,115,266
33,116,266
33,119,266
33,136,192
33,142,192
33,155,192
33,156,192
33,159,192
33,164,192
33,165,576
33,166,576
33,169,576
33,170,576
33,171,576
33,172,576
33,173,576
33,174,576
34,44,279
34,45,279
34,46,279
34,47,279
34,48,279
34,49,279
34,50,279
34,51,279
34,52,279
34,53,279
34,54,279
34,55,279
34,56,279
34,57,279
34,58,279
34,59,279
34,113,266
34,116,266
34,117,266
34,135,192
34,137,192
34,149,192
34,159,192
34,160,192
34,168,576
34,169,576
34,170,576
34,171,576
34,172,576
34,173,576
34,174,576
34,175,576
35,44,279
35,45,279
35,48,279
35,49,279
35,50,279
35,51,279
35,52,279
35,53,279
35,54,279
35,55,279
35,56,279
35,57,279
35,58,279
35,113,266
35,114,266
35,116,266
35,117,266
