"y","x","cluster_id"
1,181,288
1,473,212
1,481,212
1,491,212
1,494,212
1,495,212
2,70,288
2,74,288
2,75,288
2,169,288
2,358,396
2,467,212
2,469,212
2,494,212
2,495,212
3,70,288
3,71,288
3,72,288
3,73,288
3,74,288
3,75,288
3,472,212
3,473,212
3,489,212
3,493,212
3,494,212
3,495,212
4,70,288
4,71,288
4,72,288
4,73,288
4,74,288
4,365,396
4,471,212
4,472,212
4,489,212
4,494,212
5,69,288
5,70,288
5,71,288
5,72,288
5,73,288
5,74,288
5,75,288
5,364,396
5,487,212
5,488,212
5,494,212
6,70,288
6,72,288
6,73,288
6,74,288
6,89,288
6,363,396
6,475,212
6,493,212
6,494,212
7,70,288
7,72,288
7,73,288
7,74,288
7,362,396
7,363,396
7,371,396
7,484,212
7,493,212
8,70,288
8,71,288
8,72,288
8,73,288
8,74,288
8,82,288
8,362,396
8,363,396
8,366,396
8,442,212
9,70,288
9,72,288
9,87,288
9,98,288
9,99,288
9,356,396
9,360,396
9,361,396
9,362,396
9,363,396
10,86,288
10,87,288
10,355,396
10,361,396
10,468,212
11,358,396
11,424,212
13,86,288
13,360,396
13,478,212
13,484,212
14,189,288
14,337,396
14,339,396
14,359,396
14,360,396
14,492,212
15,359,396
15,361,396
15,401,396
15,475,212
16,83,288
16,359,396
16,360,396
16,400,396
16,472,212
16,492,212
16,495,212
17,359,396
17,360,396
17,361,396
17,386,396
17,475,212
17,486,212
17,487,212
17,492,212
17,496,212
18,191,288
18,192,288
18,360,396
18,385,396
18,386,396
18,396,396
19,87,288
19,192,288
19,360,396
19,361,396
19,364,396
19,384,396
19,484,212
20,190,288
20,364,396
20,386,396
21,363,396
21,365,396
21,489,212
21,493,212
21,495,212
22,360,396
22,363,396
22,364,396
22,365,396
22,492,212
22,493,212
22,496,212
22,497,212
22,498,212
23,362,396
23,363,396
23,394,396
23,493,212
23,494,212
23,495,212
23,496,212
23,498,212
24,192,288
24,359,396
24,360,396
24,363,396
24,364,396
24,494,212
24,495,212
24,496,212
24,497,212
24,498,212
25,86,288
