"y","x","cluster_id"
16,236,161
19,252,161
20,215,161
21,214,161
21,257,161
25,234,161
26,252,161
27,261,161
28,241,161
30,265,161
31,202,161
31,266,161
32,228,161
32,257,161
32,266,161
32,267,161
33,210,161
34,211,161
34,241,161
35,194,161
35,228,161
36,192,161
36,194,161
36,221,161
36,230,161
37,177,161
37,178,161
37,192,161
37,193,161
37,221,161
37,222,161
37,223,161
37,229,161
37,230,161
38,159,161
38,170,161
38,179,161
38,192,161
38,222,161
38,234,161
39,156,1001
39,176,161
39,190,161
39,215,161
39,233,161
39,257,161
40,160,161
40,162,161
40,167,161
40,180,161
40,194,161
40,255,161
40,338,561
41,144,657
41,148,657
41,153,1001
41,164,161
41,171,161
41,172,161
41,186,161
41,209,161
41,296,561
41,439,1488
42,151,1001
42,152,1001
42,153,1001
42,154,1001
42,157,1001
42,171,161
42,178,161
42,179,161
42,180,161
42,186,161
42,187,161
42,203,161
42,253,161
42,334,561
43,131,657
43,132,657
43,143,657
43,151,1001
43,189,161
43,219,161
43,220,161
43,248,161
44,143,657
44,145,657
44,177,161
44,237,161
44,442,1488
45,137,657
45,153,1001
45,170,161
45,177,161
45,229,161
45,230,161
45,302,561
45,448,1488
46,131,657
46,170,161
46,214,161
46,216,161
46,219,161
46,250,161
47,126,657
47,205,161
47,214,161
47,268,161
47,294,561
47,323,561
47,405,1488
48,199,161
48,200,161
48,221,161
48,232,161
48,295,561
48,345,561
48,352,561
48,409,1488
49,120,657
49,121,657
49,191,161
49,382,561
49,454,1488
50,117,657
50,119,657
50,120,657
50,121,657
50,123,657
50,126,657
50,146,657
50,204,161
50,238,161
50,245,161
50,362,561
50,402,1488
51,118,657
51,120,657
51,121,657
51,125,657
51,126,657
51,147,657
51,186,161
51,193,161
51,239,161
51,240,161
51,252,161
51,307,561
51,374,561
51,392,1488
51,456,1488
52,111,657
52,112,657
52,119,657
52,145,657
52,235,161
52,308,561
52,310,561
52,364,561
52,368,561
53,218,161
53,223,161
53,234,161
53,238,161
53,376,561
53,427,1488
54,124,657
54,226,161
54,227,161
54,234,161
54,362,561
54,376,561
55,166,1001
55,214,161
55,236,161
55,294,561
55,335,561
55,336,561
56,113,657
56,122,657
56,159,1001
56,168,1001
56,285,561
56,287,561
56,317,561
56,320,561
56,333,561
56,334,561
56,335,561
56,336,561
56,360,561
56,374,561
56,412,1488
56,430,1488
57,112,657
57,166,1001
57,218,161
57,240,161
57,283,561
57,295,561
57,317,561
57,318,561
57,330,561
57,332,561
57,333,561
57,334,561
57,335,561
57,348,561
57,361,561
58,109,657
58,115,657
58,287,561
58,313,561
58,317,561
58,318,561
58,327,561
58,334,561
58,348,561
58,358,561
58,376,561
59,112,657
59,113,657
59,131,657
59,213,161
59,217,161
59,224,161
59,226,161
59,241,161
59,265,161
59,317,561
59,318,561
59,375,561
60,116,657
60,121,657
60,160,1001
60,211,161
60,214,161
60,218,161
60,227,161
60,229,161
60,242,161
60,245,161
60,297,561
60,317,561
60,318,561
60,321,561
61,228,161
61,229,161
61,239,161
61,245,161
61,246,161
61,284,561
61,300,561
61,318,561
61,321,561
61,341,561
61,342,561
61,349,561
61,353,561
61,357,561
61,358,561
61,360,561
62,214,161
62,223,161
62,242,161
62,334,561
63,221,161
63,222,161
63,225,161
63,231,161
63,232,161
63,237,161
63,290,561
63,332,561
63,334,561
63,350,561
63,357,561
63,360,561
63,448,1488
64,122,657
64,202,161
64,217,161
64,240,161
64,241,161
64,254,161
64,324,561
64,329,561
64,330,561
64,333,561
