"y","x","cluster_id"
26,449,110
29,447,110
32,449,110
33,449,110
34,449,110
35,414,110
35,446,110
35,447,110
35,448,110
36,417,110
36,447,110
36,448,110
37,447,110
37,448,110
37,449,110
38,447,110
38,448,110
38,449,110
38,451,110
38,452,110
39,428,110
39,441,110
39,447,110
39,448,110
39,451,110
40,444,110
40,445,110
40,446,110
40,447,110
41,419,110
41,443,110
41,444,110
41,445,110
41,446,110
41,447,110
41,451,110
42,423,110
42,443,110
42,444,110
42,445,110
42,446,110
42,447,110
42,448,110
42,449,110
42,450,110
42,451,110
42,452,110
43,442,110
43,443,110
43,445,110
43,446,110
43,447,110
43,448,110
43,449,110
43,450,110
43,451,110
43,452,110
43,453,110
44,445,110
44,446,110
44,447,110
44,448,110
44,449,110
44,450,110
44,451,110
44,452,110
44,453,110
44,454,110
45,446,110
45,447,110
45,448,110
45,449,110
45,450,110
45,451,110
45,452,110
45,453,110
45,454,110
45,455,110
46,435,110
46,446,110
46,447,110
46,452,110
46,453,110
46,454,110
46,455,110
47,432,110
47,433,110
47,434,110
47,442,110
47,449,110
47,452,110
47,453,110
47,454,110
47,455,110
47,456,110
48,427,110
48,430,110
48,431,110
48,432,110
48,444,110
49,425,110
49,426,110
49,444,110
49,446,110
49,457,110
49,458,110
50,188,537
50,189,537
50,425,110
50,443,110
50,445,110
50,446,110
50,453,110
50,456,110
50,457,110
50,458,110
51,186,537
51,362,586
51,425,110
51,445,110
51,449,110
51,457,110
51,458,110
51,459,110
52,183,537
52,188,537
52,189,537
52,416,110
52,440,110
52,464,110
53,182,537
53,453,110
53,457,110
53,458,110
53,462,110
54,427,110
54,453,110
54,454,110
54,456,110
54,457,110
54,461,110
54,462,110
54,463,110
54,464,110
55,256,537
55,424,110
55,429,110
55,440,110
55,451,110
55,456,110
55,457,110
55,462,110
55,463,110
55,464,110
56,182,537
56,204,537
56,205,537
56,259,537
56,362,586
56,434,110
56,443,110
56,444,110
56,445,110
56,453,110
56,455,110
57,175,537
57,177,537
57,179,537
57,181,537
57,189,537
57,259,537
57,362,586
57,431,110
57,433,110
57,439,110
57,440,110
57,441,110
57,450,110
58,180,537
58,187,537
58,188,537
58,199,537
58,205,537
58,247,537
58,259,537
58,428,110
58,431,110
58,440,110
59,172,537
59,180,537
59,185,537
59,187,537
59,189,537
59,195,537
59,198,537
59,201,537
59,205,537
59,206,537
59,208,537
59,247,537
59,259,537
59,359,586
59,438,110
59,439,110
59,445,110
59,446,110
59,447,110
60,171,537
60,185,537
60,198,537
60,222,537
60,259,537
60,357,586
60,408,110
60,409,110
60,411,110
60,434,110
60,439,110
60,440,110
60,441,110
60,443,110
60,444,110
60,445,110
60,446,110
60,447,110
61,170,537
61,185,537
61,187,537
61,206,537
61,208,537
61,245,537
61,404,586
61,406,586
61,407,586
61,408,110
61,439,110
61,440,110
61,441,110
61,442,110
61,443,110
61,445,110
62,187,537
62,191,537
62,203,537
62,212,537
62,254,537
62,404,586
62,405,586
62,406,586
62,407,586
62,408,586
62,414,110
62,415,110
62,417,110
62,420,110
62,439,110
62,440,110
62,441,110
62,442,110
62,443,110
62,444,110
62,449,110
62,450,110
63,166,537
63,167,537
63,170,537
63,199,537
63,204,537
63,207,537
63,210,537
63,233,537
63,234,537
63,404,586
63,405,586
63,406,586
63,407,586
63,408,586
63,444,110
63,448,110
63,451,110
64,166,537
64,167,537
64,168,537
64,169,537
64,170,537
64,200,537
64,219,537
64,234,537
64,247,537
64,359,586
64,414,110
65,166,537
65,167,537
65,168,537
65,200,537
65,213,537
65,220,537
65,449,110
66,168,537
66,169,537
66,171,537
66,172,537
66,187,537
66,205,537
66,208,537
66,210,537
66,409,586
66,410,586
67,166,537
67,170,537
67,173,537
67,202,537
67,208,537
67,209,537
67,210,537
67,257,537
67,409,586
67,410,586
67,413,110
68,167,537
68,169,537
68,171,537
68,174,537
68,176,537
68,208,537
68,209,537
68,210,537
68,211,537
68,212,537
69,137,1054
69,168,537
69,171,537
69,210,537
69,212,537
69,254,537
69,410,586
69,427,110
70,138,1054
70,153,537
70,169,537
70,170,537
70,171,537
70,174,537
70,210,537
70,418,110
70,427,110
71,172,537
71,173,537
71,174,537
71,175,537
71,212,537
71,248,537
71,249,537
72,134,1054
72,153,537
72,172,537
72,173,537
72,178,537
72,210,537
72,213,537
72,419,110
72,420,110
72,429,110
72,525,1443
73,196,537
73,210,537
73,211,537
73,213,537
73,248,537
73,306,586
73,426,110
74,176,537
74,177,537
74,181,537
74,183,537
74,195,537
74,196,537
74,197,537
74,209,537
74,211,537
74,212,537
74,255,537
74,419,110
75,181,537
75,195,537
75,196,537
75,197,537
75,209,537
75,211,537
75,212,537
75,236,537
75,430,110
76,195,537
76,196,537
76,197,537
76,198,537
76,211,537
76,238,537
76,419,110
76,459,110
77,177,537
77,187,537
77,188,537
77,192,537
77,195,537
77,196,537
77,198,537
77,212,537
77,213,537
77,308,586
77,345,586
77,419,110
78,185,537
78,186,537
78,187,537
78,188,537
78,189,537
78,193,537
78,194,537
78,195,537
78,196,537
78,210,537
78,413,586
79,186,537
79,188,537
79,192,537
79,195,537
79,196,537
79,198,537
79,210,537
79,213,537
79,396,586
79,397,586
79,414,586
79,415,586
80,190,537
80,191,537
80,193,537
80,194,537
80,196,537
80,197,537
80,213,537
80,396,586
80,444,110
81,192,537
81,194,537
81,197,537
