"y","x","cluster_id"
21,232,147
26,236,147
26,237,147
27,235,147
27,236,147
27,237,147
28,231,147
28,232,147
28,233,147
28,235,147
28,236,147
28,237,147
29,228,147
29,230,147
29,233,147
29,236,147
29,237,147
29,239,147
30,232,147
31,233,147
31,234,147
31,236,147
32,231,147
33,127,335
34,237,147
39,276,147
40,276,147
41,200,147
41,202,147
41,203,147
41,217,147
41,220,147
41,277,147
41,278,147
42,202,147
42,203,147
42,204,147
42,216,147
42,217,147
42,218,147
43,216,147
43,217,147
44,215,147
44,216,147
44,293,147
44,324,147
44,325,147
45,214,147
45,243,147
45,294,147
45,322,147
45,325,147
46,212,147
46,213,147
46,214,147
46,240,147
46,242,147
46,244,147
47,213,147
47,239,147
47,240,147
47,242,147
48,211,147
48,240,147
48,242,147
49,207,147
49,213,147
49,236,147
49,239,147
49,240,147
49,242,147
50,231,147
50,240,147
50,242,147
50,243,147
50,260,147
51,196,147
51,198,147
51,207,147
51,210,147
51,223,147
51,230,147
51,241,147
51,242,147
51,243,147
52,129,335
52,236,147
52,240,147
52,241,147
52,242,147
52,243,147
52,244,147
52,260,147
53,116,335
53,232,147
53,236,147
53,239,147
53,240,147
53,241,147
53,242,147
53,243,147
53,244,147
53,245,147
54,116,335
54,230,147
54,231,147
54,240,147
54,241,147
54,242,147
54,243,147
54,244,147
54,245,147
55,116,335
55,196,147
55,239,147
55,240,147
55,241,147
55,242,147
55,243,147
55,244,147
55,245,147
56,223,147
56,242,147
56,243,147
56,244,147
56,245,147
56,249,147
57,195,147
57,221,147
57,227,147
57,228,147
57,241,147
57,242,147
57,243,147
57,244,147
57,245,147
58,195,147
58,225,147
58,241,147
58,242,147
58,243,147
58,244,147
58,245,147
58,257,147
58,258,147
59,194,147
59,241,147
59,242,147
59,243,147
59,244,147
59,245,147
59,258,147
59,259,147
61,190,147
61,191,147
61,260,147
62,186,147
62,228,147
63,49,335
63,125,335
63,337,147
65,127,335
65,257,147
66,257,147
66,259,147
67,258,147
67,259,147
67,260,147
68,260,147
69,253,147
69,254,147
69,255,147
70,218,147
70,255,147
70,259,147
72,238,147
72,242,147
72,257,147
72,259,147
73,234,147
73,239,147
73,243,147
74,239,147
74,244,147
75,101,335
75,102,335
75,275,147
76,102,335
76,103,335
76,108,335
76,238,147
