"y","x","cluster_id"
12,198,241
12,204,241
13,199,241
13,202,241
13,203,241
13,205,241
14,199,241
14,203,241
14,204,241
16,183,241
16,201,241
16,205,241
17,203,241
17,218,241
17,220,241
17,221,241
18,178,241
18,219,241
18,220,241
18,221,241
18,222,241
18,223,241
19,199,241
19,218,241
19,219,241
19,220,241
19,222,241
20,198,241
20,220,241
21,199,241
23,205,241
23,226,241
23,232,241
23,233,241
24,197,241
24,198,241
24,206,241
24,227,241
25,197,241
25,198,241
25,228,241
26,199,241
26,204,241
26,208,241
26,212,241
27,144,295
27,146,295
27,200,241
27,206,241
28,133,295
28,138,295
28,145,295
28,217,241
28,219,241
28,232,241
29,141,295
29,145,295
29,146,295
29,197,241
29,216,241
29,217,241
29,218,241
29,234,241
30,142,295
30,146,295
30,205,241
30,214,241
30,233,241
31,141,295
31,142,295
31,210,241
31,224,241
31,228,241
31,229,241
31,230,241
31,331,906
32,208,241
32,209,241
32,214,241
32,224,241
32,254,762
33,134,295
33,141,295
33,142,295
33,209,241
33,212,241
33,214,241
33,222,241
33,232,241
33,233,241
33,256,762
33,269,762
33,282,762
33,283,762
33,296,906
34,133,295
34,134,295
34,139,295
34,140,295
34,141,295
34,211,241
34,233,241
34,255,762
34,280,762
34,294,762
34,299,906
34,331,906
35,131,295
35,132,295
35,133,295
35,134,295
35,141,295
35,224,241
35,225,241
35,228,241
35,255,762
35,259,762
35,264,762
35,265,762
35,266,762
35,267,762
35,299,906
35,324,906
35,341,906
36,117,295
36,131,295
36,141,295
36,225,241
36,259,762
36,260,762
36,261,762
36,263,762
36,264,762
36,265,762
36,266,762
36,267,762
36,268,762
36,295,906
36,299,906
36,324,906
36,325,906
36,326,906
36,328,906
37,122,295
37,125,295
37,126,295
37,131,295
37,138,295
37,140,295
37,223,241
37,225,241
37,251,762
37,252,762
37,253,762
37,259,762
37,260,762
37,263,762
37,264,762
37,265,762
37,266,762
37,267,762
37,268,762
37,269,762
37,302,906
37,324,906
37,327,906
38,119,295
38,127,295
38,141,295
38,221,241
38,222,241
38,253,762
38,254,762
38,259,762
38,260,762
38,264,762
38,265,762
38,266,762
38,267,762
38,268,762
38,269,762
38,293,762
38,294,906
38,295,906
38,323,906
38,331,906
39,120,295
39,121,295
39,123,295
39,127,295
39,128,295
39,129,295
39,132,295
39,140,295
39,141,295
39,150,295
39,153,295
39,225,241
39,226,241
39,251,762
39,252,762
39,254,762
39,258,762
39,259,762
39,264,762
39,265,762
39,266,762
39,267,762
39,268,762
39,269,762
39,293,762
39,324,906
39,327,906
39,331,906
39,343,906
39,344,906
40,122,295
40,129,295
40,131,295
40,134,295
40,147,295
40,156,295
40,224,241
40,225,241
40,229,241
40,252,762
40,258,762
40,259,762
40,260,762
40,267,762
40,268,762
40,323,906
40,325,906
40,326,906
40,328,906
41,123,295
41,131,295
41,219,241
41,220,241
41,221,241
41,222,241
41,228,241
41,232,241
41,233,241
41,242,241
41,243,241
41,259,762
41,280,762
41,281,762
41,282,762
41,283,762
41,284,762
41,285,762
41,286,762
41,309,906
42,123,295
42,128,295
42,135,295
42,150,295
42,151,295
42,154,295
42,204,241
42,221,241
42,222,241
42,231,241
42,232,241
42,233,241
42,243,241
42,244,241
42,253,762
42,276,762
42,279,762
42,280,762
42,281,762
42,282,762
42,283,762
42,284,762
42,289,762
42,292,762
42,294,906
42,295,906
42,299,906
42,307,906
42,313,906
42,314,906
42,315,906
42,317,906
42,321,906
42,328,906
43,124,295
43,125,295
43,129,295
43,130,295
43,133,295
43,134,295
43,139,295
43,140,295
43,144,295
43,149,295
43,150,295
43,151,295
43,152,295
43,153,295
43,218,241
43,219,241
43,220,241
43,222,241
43,223,241
43,226,241
43,230,241
43,231,241
43,232,241
43,233,241
43,242,241
43,244,241
43,254,762
43,255,762
43,276,762
43,277,762
43,279,762
43,280,762
43,281,762
43,282,762
43,283,762
43,284,762
43,285,762
43,293,762
43,295,906
43,303,906
43,305,906
43,315,906
43,316,906
44,129,295
44,130,295
44,131,295
44,132,295
44,133,295
44,136,295
44,139,295
44,151,295
44,154,295
44,218,241
44,220,241
44,221,241
44,222,241
44,223,241
44,224,241
44,228,241
44,230,241
44,232,241
44,233,241
44,242,241
44,243,241
44,255,762
44,256,762
44,276,762
44,280,762
44,281,762
44,282,762
44,283,762
44,291,762
44,292,762
44,295,906
44,306,906
44,312,906
44,314,906
44,317,906
44,328,906
44,329,906
44,331,906
44,335,906
44,336,906
45,130,295
45,132,295
45,141,295
45,151,295
45,155,295
45,211,241
45,215,241
45,220,241
45,221,241
45,222,241
45,224,241
45,227,241
45,233,241
45,234,241
45,242,241
45,253,762
45,288,762
45,290,762
45,297,906
45,303,906
45,314,906
45,331,906
45,346,906
46,140,295
46,141,295
46,185,241
46,192,241
46,201,241
46,210,241
46,212,241
46,213,241
46,214,241
46,218,241
46,221,241
46,223,241
46,224,241
46,225,241
46,226,241
46,228,241
46,232,241
46,233,241
46,234,241
46,255,762
46,286,762
46,288,762
46,297,906
46,298,906
46,314,906
46,315,906
47,187,241
47,211,241
47,212,241
47,213,241
47,223,241
47,224,241
47,225,241
47,226,241
47,227,241
47,229,241
47,232,241
47,233,241
47,234,241
47,255,762
47,283,762
47,289,762
47,314,906
47,326,906
47,328,906
47,347,906
47,350,906
48,116,295
48,138,295
48,187,241
48,207,241
48,223,241
48,225,241
48,226,241
48,227,241
48,228,241
48,229,241
48,232,241
48,233,241
48,234,241
48,235,241
48,236,241
48,239,241
48,258,762
48,259,762
48,278,762
48,279,762
48,284,762
48,285,762
48,287,762
48,288,762
48,289,762
48,311,906
48,312,906
48,314,906
48,315,906
48,316,906
48,318,906
48,319,906
48,321,906
48,324,906
48,325,906
48,326,906
48,327,906
48,328,906
48,331,906
48,333,906
49,87,1695
49,116,295
49,138,295
49,225,241
49,226,241
49,227,241
49,229,241
49,234,241
49,235,241
49,236,241
49,237,241
49,240,1415
49,258,762
49,259,762
49,268,762
49,277,762
49,278,762
49,285,762
49,286,762
49,287,762
49,288,762
49,289,762
49,298,906
49,299,906
49,304,906
49,307,906
49,308,906
49,309,906
49,310,906
49,314,906
49,315,906
49,316,906
49,317,906
49,318,906
49,319,906
49,320,906
49,321,906
49,322,906
49,323,906
49,324,906
49,325,906
49,329,906
49,342,906
50,86,1695
50,116,295
50,135,295
50,225,241
50,226,241
50,233,241
50,235,241
50,236,241
50,237,241
50,238,241
50,258,762
50,259,762
50,267,762
50,269,762
50,277,762
50,279,762
50,284,762
50,285,762
50,286,762
50,287,762
50,288,762
50,289,762
50,298,906
50,300,906
50,302,906
50,305,906
50,307,906
50,308,906
50,309,906
50,310,906
50,311,906
50,312,906
50,313,906
50,314,906
50,315,906
50,316,906
50,317,906
50,318,906
50,319,906
50,320,906
50,321,906
50,322,906
50,323,906
50,325,906
50,333,906
50,345,906
51,84,1695
51,85,1695
51,86,1695
51,136,295
51,191,241
51,225,241
51,234,241
51,235,241
51,236,241
51,237,241
51,238,1415
51,240,1415
51,248,1415
51,250,1415
51,252,1415
51,258,762
51,265,762
51,267,762
51,271,762
51,272,762
51,280,762
51,283,762
51,284,762
51,287,762
51,289,762
51,290,762
51,291,762
51,294,906
51,296,906
51,297,906
51,301,906
51,302,906
51,304,906
51,307,906
51,308,906
51,309,906
51,310,906
51,311,906
51,312,906
51,313,906
51,314,906
51,315,906
51,316,906
51,317,906
51,318,906
51,319,906
51,320,906
51,321,906
51,322,906
51,323,906
