"y","x","cluster_id"
2,222,239
2,226,239
3,205,239
3,220,239
4,207,239
8,274,539
10,287,539
11,290,539
11,297,554
12,168,239
12,183,239
12,291,539
13,179,239
13,182,239
14,182,239
14,303,554
14,304,554
14,305,554
15,303,554
19,162,239
23,319,554
24,144,239
24,145,239
25,144,239
25,321,554
26,140,239
26,173,239
26,174,239
26,321,554
27,140,239
27,179,239
27,180,239
27,299,554
27,323,554
28,180,239
28,181,239
29,137,239
29,138,239
31,136,239
31,186,239
32,130,239
32,133,239
32,134,239
32,162,239
32,190,239
33,129,239
33,130,239
33,150,239
33,188,239
33,191,239
33,194,239
34,128,239
34,130,239
34,163,239
34,165,239
34,179,239
34,180,239
34,189,239
34,194,239
34,195,239
34,206,239
35,126,239
35,180,239
35,205,239
35,206,239
35,207,239
35,208,239
36,122,239
36,124,239
36,125,239
36,126,239
36,155,239
36,159,239
36,160,239
36,190,239
36,197,239
36,206,239
36,207,239
36,210,239
36,239,539
37,123,239
37,126,239
37,155,239
37,161,239
37,162,239
37,174,239
37,197,239
37,239,539
37,355,554
37,361,554
37,362,554
37,375,554
37,376,554
38,119,239
38,157,239
38,158,239
38,174,239
38,177,239
38,178,239
38,237,539
38,238,539
38,240,539
38,358,554
38,374,554
38,375,554
39,115,239
39,119,239
39,141,239
39,149,239
39,173,239
39,174,239
39,176,239
39,177,239
39,189,239
40,109,239
40,113,239
40,118,239
40,149,239
40,170,239
40,174,239
40,176,239
40,208,239
40,217,539
40,235,539
40,355,554
40,356,554
41,107,239
41,169,239
41,170,239
41,175,239
41,213,239
41,258,539
41,355,554
42,104,239
42,105,239
42,170,239
42,178,239
42,216,539
42,263,539
42,356,554
42,382,554
43,102,239
43,176,239
43,357,554
44,94,239
44,95,239
44,97,239
44,170,239
44,173,239
44,174,239
44,175,239
44,357,554
44,358,554
45,165,239
45,170,239
45,358,554
46,97,239
46,135,239
46,170,239
46,171,239
46,302,554
47,136,239
47,212,239
47,216,539
47,234,539
48,111,239
48,264,539
49,264,539
49,265,539
49,270,539
49,271,539
49,285,539
49,286,539
50,86,239
50,144,239
50,247,539
50,248,539
50,271,539
51,249,539
51,294,554
51,296,554
51,359,554
52,215,539
52,310,554
54,242,539
54,274,539
54,324,554
55,242,539
55,324,554
55,325,554
56,263,539
56,264,539
56,265,539
57,123,239
57,124,239
57,197,239
57,223,539
57,229,539
57,263,539
57,285,539
