"y","x","cluster_id"
1,197,211
1,198,211
1,199,211
1,228,211
2,198,211
2,200,211
3,127,211
3,132,211
3,145,211
3,198,211
3,648,264
3,685,264
4,121,211
4,148,211
4,611,264
4,677,264
5,147,211
5,177,211
5,612,264
6,101,211
6,131,211
6,143,211
6,682,264
7,553,790
8,562,264
8,650,264
9,105,211
9,649,264
9,651,264
9,652,264
10,138,211
10,644,264
10,650,264
10,651,264
10,689,264
11,138,211
11,142,211
11,648,264
11,650,264
11,651,264
11,652,264
12,142,211
12,199,211
12,573,264
12,649,264
12,651,264
12,652,264
12,653,264
13,226,211
13,650,264
14,162,211
14,180,211
14,593,264
14,599,264
14,651,264
15,141,211
15,142,211
15,143,211
15,161,211
15,220,211
15,599,264
16,141,211
16,160,211
16,161,211
16,162,211
17,159,211
17,160,211
17,161,211
17,162,211
18,160,211
18,161,211
18,162,211
18,163,211
18,164,211
18,630,264
19,160,211
19,161,211
19,163,211
19,590,264
19,690,264
20,160,211
20,557,790
20,590,264
20,594,264
20,595,264
21,108,211
21,189,211
21,192,211
21,556,790
21,593,264
21,594,264
22,168,211
22,192,211
23,107,211
23,110,211
23,178,211
23,180,211
23,190,211
24,109,211
24,114,211
24,190,211
24,642,264
25,82,552
25,86,552
25,187,211
25,191,211
25,679,264
26,134,211
26,588,264
26,610,264
26,611,264
26,612,264
26,613,264
26,614,264
26,679,264
26,681,264
26,683,264
27,611,264
27,612,264
27,613,264
27,614,264
28,186,211
28,188,211
28,606,264
28,612,264
28,613,264
28,614,264
29,88,552
29,152,211
29,153,211
29,166,211
29,612,264
30,151,211
30,153,211
30,166,211
30,186,211
30,557,790
30,612,264
30,646,264
31,166,211
31,167,211
31,169,211
31,186,211
31,187,211
31,612,264
32,116,211
32,167,211
32,187,211
32,188,211
32,210,211
32,695,264
33,68,552
33,73,552
33,169,211
33,171,211
33,186,211
33,187,211
34,7,552
34,66,552
34,74,552
34,117,211
34,459,873
34,467,873
34,579,264
34,605,264
34,628,264
34,643,264
34,691,264
35,75,552
35,89,552
