"y","x","cluster_id"
13,256,56
18,221,56
19,218,56
19,221,56
22,251,56
24,245,56
26,246,56
27,215,56
31,222,56
31,266,56
32,222,56
32,223,56
32,248,56
33,222,56
33,223,56
33,224,56
33,247,56
33,267,56
34,223,56
34,247,56
35,223,56
35,262,56
35,267,56
36,213,56
36,263,56
36,266,56
36,269,56
36,272,56
36,273,56
37,240,56
37,263,56
37,264,56
37,272,56
38,261,56
38,265,56
38,269,56
38,296,56
39,203,56
39,223,56
42,217,56
42,224,56
42,229,56
42,244,56
43,184,56
43,223,56
43,227,56
43,243,56
44,183,56
44,222,56
44,223,56
44,244,56
44,246,56
45,220,56
45,253,56
46,228,56
46,248,56
47,271,56
48,219,56
48,279,56
49,223,56
49,265,56
49,271,56
49,274,56
51,209,56
52,263,56
52,269,56
52,270,56
56,240,56
56,262,56
57,266,56
58,170,145
58,285,56
60,244,56
61,217,56
62,302,56
63,228,56
63,231,56
64,220,56
64,299,56
66,193,145
66,213,145
66,220,56
69,241,56
69,245,56
70,244,56
73,186,145
75,211,145
75,256,56
76,212,145
76,240,56
76,256,56
77,195,145
78,158,145
78,207,145
78,219,145
78,227,145
80,197,145
80,233,145
80,239,56
83,275,56
84,196,145
87,157,145
87,169,145
87,247,145
87,248,145
91,318,262
92,164,145
92,165,145
92,166,145
92,178,145
92,179,145
93,178,145
93,179,145
93,188,145
94,179,145
94,227,145
95,181,145
96,177,145
96,236,145
96,244,145
97,163,145
98,246,145
99,214,145
99,227,145
100,178,145
100,236,145
100,237,145
100,280,56
100,324,262
101,180,145
101,238,145
101,250,145
101,270,145
101,280,56
102,212,145
102,219,145
102,224,145
102,252,145
102,280,56
102,296,56
103,212,145
103,230,145
103,280,56
104,174,145
104,212,145
104,291,56
106,228,145
106,236,145
106,292,56
107,232,145
108,244,145
108,266,145
109,174,145
110,180,145
111,253,145
112,225,145
112,243,145
113,256,145
114,236,145
115,168,145
115,184,145
115,187,145
115,236,145
115,237,145
115,243,145
115,244,145
115,282,145
116,171,145
116,237,145
117,237,145
117,243,145
118,174,145
118,243,145
118,250,145
119,159,145
119,242,145
119,243,145
121,342,262
122,160,145
122,174,145
122,175,145
122,187,145
122,195,145
122,196,145
123,169,145
124,188,145
124,261,145
125,164,145
125,255,145
125,264,145
125,339,262
125,341,262
126,360,262
127,254,145
127,270,145
127,397,262
128,254,145
128,270,145
128,372,262
129,173,145
129,271,145
129,372,262
129,373,262
130,260,145
131,314,262
131,345,262
132,187,145
132,269,145
132,372,262
132,373,262
133,191,145
134,89,385
134,191,145
135,191,145
135,192,145
135,271,145
135,297,262
135,353,262
136,271,145
137,366,262
137,367,262
138,366,262
138,367,262
139,361,262
140,171,145
140,360,262
140,364,262
141,358,262
141,359,262
141,364,262
142,356,262
142,357,262
142,358,262
142,360,262
142,364,262
143,120,385
143,171,145
143,172,145
143,175,145
143,325,262
143,357,262
143,358,262
143,387,262
144,358,262
144,359,262
145,309,262
145,359,262
146,301,262
146,359,262
147,340,262
147,359,262
148,355,262
148,359,262
150,307,262
152,370,262
153,183,145
153,293,262
153,370,262
153,371,262
157,295,262
157,306,262
158,350,262
160,231,382
162,359,262
165,336,262
165,347,262
167,220,382
169,251,382
169,255,382
171,176,385
171,177,385
171,178,385
171,188,385
171,189,385
172,226,382
172,244,382
172,260,382
172,386,262
174,186,385
175,108,385
175,178,385
176,163,385
176,173,385
176,194,385
176,257,382
177,226,382
178,263,382
179,139,385
179,187,385
179,204,385
179,256,382
179,257,382
179,258,382
180,189,385
180,190,385
180,192,385
180,257,382
180,258,382
180,259,382
181,143,385
181,190,385
181,257,382
182,143,385
182,144,385
182,148,385
182,152,385
183,137,385
183,191,385
183,236,382
184,136,385
184,196,385
184,262,382
184,313,262
185,142,385
185,236,382
186,229,382
186,272,382
187,142,385
187,150,385
187,240,382
187,269,382
188,181,385
188,264,382
188,270,382
189,184,385
189,263,382
190,263,382
191,261,382
191,269,382
192,275,382
193,179,385
193,260,382
193,346,262
193,347,262
193,349,262
193,350,262
193,358,262
194,157,385
194,179,385
194,272,382
194,273,382
194,349,262
194,358,262
195,125,385
195,182,385
195,345,262
195,346,262
195,349,262
195,358,262
195,359,262
196,125,385
196,256,382
196,349,262
196,358,262
196,359,262
196,360,262
197,124,385
197,235,382
197,358,262
197,359,262
197,360,262
198,123,385
198,124,385
198,246,382
199,48,385
199,186,385
200,48,385
200,162,385
201,185,385
201,333,262
202,329,262
203,166,385
203,257,382
204,201,385
204,263,382
204,369,262
205,160,385
205,210,382
205,211,382
206,163,385
206,230,382
206,258,382
207,84,385
207,85,385
207,157,385
207,174,385
208,108,385
208,204,385
208,208,382
208,265,382
209,263,382
209,267,382
210,142,385
212,212,382
213,161,385
214,161,385
214,162,385
214,232,382
215,181,385
215,188,385
215,235,382
216,235,382
217,157,385
217,158,385
217,231,382
217,235,382
217,236,382
218,158,385
218,227,382
218,228,382
218,278,382
219,201,385
219,331,457
222,313,457
223,152,385
223,231,382
223,233,382
223,313,457
224,245,382
224,315,457
225,151,385
225,156,385
226,156,385
226,257,382
226,311,457
227,156,385
227,311,457
228,156,385
229,263,382
230,262,382
230,319,457
232,318,457
232,336,457
235,227,382
235,253,382
235,263,382
236,250,382
237,243,382
238,100,385
242,247,382
242,330,457
243,259,382
244,115,385
244,262,382
245,242,382
246,261,382
246,329,457
247,333,457
248,309,457
252,153,385
252,232,382
255,268,382
255,280,457
256,241,382
256,338,457
257,176,385
257,327,457
258,355,457
260,162,385
261,92,385
261,329,457
261,340,457
263,300,457
266,71,385
267,71,385
267,283,457
267,310,457
267,355,457
268,56,385
268,181,385
269,48,385
270,304,457
270,305,457
271,221,382
273,287,457
276,290,457
277,367,457
278,307,457
279,258,457
281,326,457
281,363,457
282,326,457
284,376,457
285,120,385
289,226,382
290,301,457
295,257,457
296,245,457
297,16,385
297,309,457
301,173,385
308,84,385
314,121,385
