"y","x","cluster_id"
12,278,233
12,279,233
12,280,233
12,281,233
12,283,233
13,275,233
13,276,233
13,277,233
13,279,233
13,283,233
13,284,233
13,285,233
14,270,233
14,271,233
14,273,233
14,275,233
14,278,233
14,281,233
14,285,233
15,267,233
15,269,233
15,271,233
15,274,233
15,276,233
15,277,233
15,280,233
15,282,233
15,284,233
16,262,233
16,263,233
16,266,233
16,267,233
16,270,233
16,271,233
16,278,233
16,279,233
16,280,233
16,283,233
17,265,233
17,266,233
17,268,233
17,271,233
17,274,233
17,276,233
17,282,233
18,263,233
18,264,233
18,265,233
18,267,233
18,268,233
18,269,233
18,273,233
18,274,233
18,278,233
19,259,233
19,265,233
19,267,233
19,268,233
19,281,233
19,283,233
19,285,233
19,287,233
20,257,233
20,264,233
20,265,233
20,266,233
20,267,233
20,268,233
20,269,233
20,272,233
20,274,233
20,275,233
20,287,233
21,256,233
21,258,233
21,271,233
21,274,233
21,275,233
21,285,233
21,286,233
22,255,233
22,258,233
22,265,233
22,266,233
22,267,233
22,268,233
22,269,233
22,270,233
22,271,233
22,273,233
22,274,233
22,275,233
22,281,233
22,285,233
22,288,233
23,251,233
23,255,233
23,256,233
23,265,233
23,266,233
23,267,233
23,268,233
23,269,233
23,270,233
23,272,233
23,273,233
23,274,233
23,275,233
23,283,233
23,284,233
24,251,233
24,252,233
24,253,233
24,255,233
24,262,233
24,266,233
24,267,233
24,268,233
24,269,233
24,282,233
24,283,233
25,250,233
25,251,233
25,253,233
25,254,233
25,267,233
25,268,233
25,269,233
25,276,233
25,277,233
25,280,233
25,285,233
25,286,233
26,252,233
26,267,233
26,268,233
26,269,233
26,270,233
26,274,233
26,279,233
26,281,233
26,282,233
26,286,233
27,268,233
27,275,233
27,279,233
27,280,233
27,281,233
27,290,233
27,292,233
27,293,233
28,252,233
28,271,233
28,275,233
28,282,233
28,286,233
28,290,233
28,292,233
28,295,233
29,271,233
29,272,233
29,274,233
29,276,233
29,277,233
29,281,233
29,287,233
29,291,233
29,292,233
29,293,233
30,244,767
30,254,233
30,255,233
30,277,233
30,279,233
30,280,233
30,285,233
30,293,233
31,253,233
31,254,233
31,279,233
31,280,233
31,285,233
32,252,233
32,253,233
32,254,233
32,255,233
32,280,233
32,284,233
33,253,233
33,254,233
33,298,233
33,299,233
34,244,767
34,245,767
34,254,233
34,256,233
34,277,233
34,286,233
34,298,233
34,299,233
35,242,767
35,275,233
35,277,233
35,279,233
35,280,233
35,286,233
35,287,233
35,289,233
35,297,233
35,299,233
35,300,233
36,242,767
36,243,767
36,244,767
36,272,233
36,273,233
36,274,233
36,275,233
36,276,233
36,277,233
36,297,233
36,298,233
36,299,233
36,300,233
37,241,767
37,258,233
37,273,233
37,274,233
37,275,233
37,276,233
37,277,233
37,279,233
37,280,233
37,288,233
37,298,233
37,299,233
37,300,233
37,301,233
37,302,233
38,240,767
38,246,767
38,256,233
38,257,233
38,267,233
38,268,233
38,274,233
38,275,233
38,276,233
38,277,233
38,278,233
38,279,233
38,281,233
38,299,233
38,300,233
38,301,233
39,238,767
39,239,767
39,242,767
39,243,767
39,258,233
39,265,233
39,268,233
39,269,233
39,270,233
39,271,233
39,272,233
39,273,233
39,274,233
39,275,233
39,277,233
39,278,233
39,279,233
39,291,233
39,297,233
39,299,233
39,300,233
39,301,233
39,302,233
40,237,767
40,241,767
40,242,767
40,243,767
40,245,767
40,270,233
40,271,233
40,274,233
40,275,233
40,276,233
40,277,233
40,278,233
40,279,233
40,280,233
40,281,233
40,287,233
40,289,233
40,291,233
40,292,233
40,294,233
40,296,233
40,297,233
40,299,233
40,300,233
40,301,233
40,302,233
40,303,233
40,304,233
41,233,767
41,234,767
41,235,767
41,268,233
41,275,233
41,276,233
41,277,233
41,278,233
41,279,233
41,280,233
41,282,233
41,283,233
41,289,233
41,299,233
41,300,233
41,301,233
41,302,233
41,303,233
41,304,233
41,305,233
42,231,767
42,232,767
42,233,767
42,234,767
42,235,767
42,236,767
42,237,767
42,261,233
42,265,233
42,273,233
42,275,233
42,276,233
42,281,233
42,282,233
42,283,233
42,284,233
42,285,233
42,286,233
42,287,233
42,288,233
42,289,233
42,300,233
42,301,233
42,302,233
42,303,233
42,304,233
42,305,233
43,231,767
43,232,767
43,242,767
43,263,233
43,266,233
43,283,233
43,284,233
43,285,233
43,286,233
43,287,233
43,288,233
43,289,233
43,290,233
43,291,233
43,292,233
43,293,233
43,294,233
43,297,233
43,302,233
43,303,233
44,231,767
44,233,767
44,234,767
44,239,767
44,261,233
44,262,233
44,272,233
44,274,233
44,279,233
44,281,233
44,284,233
44,285,233
44,286,233
44,287,233
44,288,233
44,289,233
44,291,233
44,292,233
44,293,233
44,294,233
44,295,233
44,297,233
44,302,233
44,303,233
45,243,767
45,261,233
45,262,233
45,263,233
45,264,233
45,266,233
45,273,233
45,279,233
45,280,233
45,281,233
45,282,233
45,283,233
45,285,233
45,286,233
45,287,233
45,288,233
45,291,233
45,292,233
45,293,233
45,294,233
45,295,233
45,296,233
45,297,233
46,237,767
46,260,233
46,261,233
46,262,233
46,264,233
46,278,233
46,283,233
46,285,233
46,286,233
46,287,233
46,288,233
46,292,233
46,293,233
46,294,233
46,295,233
46,298,233
46,300,233
47,233,767
47,235,767
47,245,767
47,262,233
47,264,233
47,265,233
47,273,233
47,278,233
47,283,233
47,284,233
47,285,233
47,286,233
47,287,233
47,288,233
47,292,233
47,293,233
47,294,233
47,297,233
47,299,233
47,301,233
48,235,767
48,245,767
48,252,767
48,260,233
48,263,233
48,264,233
48,265,233
48,273,233
48,284,233
48,285,233
48,286,233
48,287,233
48,288,233
48,289,233
48,292,233
48,293,233
48,298,233
48,299,233
48,305,233
49,230,767
49,231,767
49,245,767
49,251,767
