"y","x","cluster_id"
25,258,522
25,259,522
26,258,522
27,254,522
28,270,522
40,271,522
42,265,522
42,284,522
42,285,522
42,298,522
43,266,522
43,272,522
43,285,522
43,286,522
44,271,522
45,271,522
46,276,522
46,319,522
47,318,522
47,319,522
48,319,522
49,320,522
49,321,522
51,338,1540
52,238,1319
52,239,1319
52,252,522
52,253,522
52,281,522
52,288,522
52,289,522
52,318,522
52,319,522
53,115,3104
53,252,522
53,253,522
53,281,522
53,282,522
53,283,522
53,284,522
53,288,522
53,289,522
53,318,522
53,319,522
55,351,1540
56,121,3104
58,121,3104
58,238,1319
58,239,1319
58,248,522
58,249,522
58,298,522
58,299,522
58,312,522
58,313,522
59,121,3104
59,128,3104
59,129,3104
59,238,1319
59,239,1319
59,298,522
60,212,1319
61,322,1540
62,210,1319
62,212,1319
62,228,1319
62,321,1540
62,322,1540
62,344,1540
62,345,1540
62,346,1540
62,347,1540
62,384,1308
63,208,1319
63,209,1319
63,210,1319
63,212,1319
63,213,1319
63,214,1319
63,228,1319
63,346,1540
63,384,1308
63,385,1308
64,208,1319
64,209,1319
64,210,1319
64,213,1319
64,382,1308
64,384,1308
65,209,1319
65,342,1540
66,209,1319
66,248,522
66,249,522
67,208,1319
67,209,1319
67,244,522
67,245,522
67,247,522
67,248,522
67,249,522
67,285,522
67,286,522
67,287,522
67,288,522
67,289,522
67,309,522
67,342,1540
67,343,1540
68,132,3104
68,209,1319
68,233,1319
68,234,1319
68,241,1319
68,242,1319
68,243,1319
68,244,522
68,245,522
68,246,522
68,247,522
68,248,522
68,249,522
68,281,522
68,282,522
68,283,522
68,284,522
68,285,522
68,286,522
68,287,522
68,288,522
68,289,522
68,304,522
68,306,522
68,307,522
68,308,522
68,309,522
68,343,1540
68,378,1308
68,379,1308
68,393,1308
69,233,1319
69,241,1319
69,242,1319
69,243,1319
69,244,522
69,245,522
69,246,522
69,247,522
69,248,522
69,249,522
69,281,522
69,282,522
69,283,522
69,285,522
69,286,522
69,287,522
69,288,522
69,289,522
69,303,522
69,304,522
69,306,522
69,307,522
70,281,522
70,282,522
70,286,522
70,287,522
70,288,522
70,289,522
71,238,1319
71,268,522
71,269,522
71,270,522
71,279,522
71,280,522
71,282,522
71,283,522
71,284,522
71,285,522
71,286,522
71,287,522
71,288,522
71,292,522
71,293,522
72,198,1319
72,238,1319
72,239,1319
72,268,522
72,269,522
72,270,522
72,271,522
72,272,522
72,273,522
72,274,522
72,275,522
72,276,522
72,277,522
72,278,522
72,279,522
72,280,522
72,281,522
72,282,522
72,283,522
72,284,522
72,285,522
72,286,522
72,287,522
72,288,522
72,289,522
72,292,522
72,293,522
73,197,1319
73,198,1319
73,199,1319
73,237,1319
73,238,1319
73,239,1319
73,267,522
73,268,522
73,269,522
73,270,522
73,271,522
73,272,522
73,273,522
73,274,522
73,275,522
73,276,522
73,277,522
73,278,522
73,279,522
73,280,522
73,281,522
73,282,522
73,283,522
73,284,522
73,285,522
73,286,522
73,287,522
73,288,522
73,289,522
73,290,522
73,292,522
73,293,522
73,395,1308
74,237,1319
74,238,1319
74,266,522
74,267,522
74,268,522
74,269,522
74,270,522
74,277,522
74,278,522
74,279,522
74,280,522
74,281,522
74,282,522
74,283,522
74,284,522
74,285,522
74,286,522
74,287,522
74,288,522
74,289,522
74,290,522
74,292,522
74,293,522
74,386,1308
74,387,1308
74,396,1308
75,238,1319
75,257,522
75,268,522
75,269,522
75,278,522
75,279,522
75,280,522
75,281,522
75,282,522
75,283,522
75,284,522
75,285,522
75,286,522
75,287,522
75,288,522
75,289,522
75,290,522
75,292,522
75,293,522
75,344,1540
75,386,1308
75,387,1308
76,269,522
76,278,522
76,279,522
76,280,522
76,281,522
76,282,522
76,283,522
76,284,522
76,285,522
76,286,522
76,287,522
76,288,522
76,289,522
76,290,522
76,292,522
76,293,522
76,386,1308
76,387,1308
76,388,1308
77,278,522
77,279,522
77,280,522
77,281,522
77,282,522
77,283,522
77,284,522
77,285,522
77,286,522
77,287,522
77,288,522
77,289,522
77,290,522
77,292,522
77,293,522
77,385,1308
77,386,1308
77,387,1308
77,388,1308
77,389,1308
77,390,1308
78,108,3104
78,224,1319
78,225,1319
78,226,1319
78,227,1319
78,228,1319
78,229,1319
78,230,1319
78,232,1319
78,269,522
78,278,522
78,279,522
78,280,522
78,281,522
78,282,522
78,283,522
78,284,522
78,285,522
78,286,522
78,287,522
78,288,522
78,289,522
78,290,522
78,292,522
78,293,522
78,294,522
78,378,1308
78,379,1308
78,380,1308
78,381,1308
78,382,1308
78,383,1308
78,384,1308
78,385,1308
78,386,1308
78,387,1308
78,388,1308
78,390,1308
78,392,1308
78,401,1308
79,224,1319
79,225,1319
79,226,1319
79,227,1319
79,228,1319
79,229,1319
79,232,1319
79,233,1319
79,235,1319
79,237,1319
79,279,522
79,280,522
79,281,522
79,282,522
79,283,522
79,284,522
79,285,522
79,286,522
79,287,522
79,288,522
79,289,522
79,290,522
79,292,522
79,293,522
79,294,522
79,295,522
79,296,522
79,324,1540
79,325,1540
79,326,1540
79,342,1540
79,378,1308
79,379,1308
79,380,1308
79,381,1308
79,382,1308
79,383,1308
79,384,1308
79,385,1308
79,386,1308
79,387,1308
79,389,1308
79,390,1308
79,392,1308
79,395,1308
79,401,1308
80,224,1319
80,225,1319
80,226,1319
80,227,1319
80,228,1319
80,229,1319
80,261,522
80,280,522
80,281,522
80,282,522
80,283,522
80,284,522
80,285,522
80,286,522
80,287,522
80,288,522
80,289,522
80,290,522
80,294,522
80,325,1540
80,326,1540
80,391,1308
80,395,1308
81,221,1319
81,222,1319
81,223,1319
81,224,1319
81,249,522
81,272,522
81,281,522
81,282,522
81,283,522
81,284,522
81,285,522
81,286,522
81,287,522
81,288,522
81,289,522
81,318,1540
81,319,1540
81,327,1540
81,391,1308
81,395,1308
82,217,1319
82,218,1319
82,223,1319
82,224,1319
82,225,1319
82,226,1319
