"y","x","cluster_id"
23,427,94
24,423,94
26,414,94
26,423,94
26,424,94
26,427,94
27,424,94
27,425,94
27,443,94
27,447,94
28,426,94
28,427,94
28,428,94
28,429,94
28,442,94
28,443,94
28,444,94
29,425,94
29,426,94
29,427,94
29,429,94
29,430,94
29,431,94
30,427,94
30,428,94
30,430,94
30,443,94
32,446,94
32,450,94
33,441,94
37,446,94
38,438,94
39,438,94
39,443,94
39,444,94
39,445,94
39,446,94
40,444,94
40,445,94
40,446,94
40,447,94
40,448,94
40,456,94
41,444,94
41,445,94
41,446,94
41,447,94
41,448,94
41,456,94
41,457,94
42,444,94
42,446,94
42,447,94
42,448,94
42,457,94
43,445,94
43,446,94
43,447,94
43,455,94
43,456,94
43,457,94
43,458,94
43,459,94
44,446,94
44,447,94
44,448,94
44,454,94
44,455,94
44,456,94
44,457,94
44,458,94
44,459,94
45,427,94
45,446,94
45,455,94
45,456,94
45,457,94
45,458,94
45,459,94
46,440,94
46,453,94
46,454,94
46,455,94
46,456,94
46,459,94
46,460,94
46,461,94
47,426,94
47,458,94
47,459,94
47,460,94
47,461,94
48,448,94
48,452,94
48,457,94
48,458,94
48,459,94
48,460,94
48,461,94
48,462,94
48,463,94
49,435,94
49,456,94
49,457,94
49,458,94
49,459,94
49,461,94
49,462,94
49,463,94
49,464,94
50,456,94
50,457,94
50,458,94
50,459,94
50,460,94
50,461,94
50,463,94
50,464,94
51,456,94
51,457,94
51,458,94
51,459,94
51,460,94
51,461,94
51,469,94
52,437,94
52,456,94
52,460,94
52,461,94
52,469,94
53,453,94
53,455,94
54,453,94
54,455,94
54,464,94
54,465,94
54,471,94
55,456,94
55,470,94
57,464,94
58,461,94
58,462,94
58,474,94
59,429,94
60,457,94
61,424,94
62,441,94
63,436,94
63,440,94
63,466,94
65,446,94
66,442,94
66,466,94
66,477,94
67,465,94
70,469,94
70,470,94
71,469,94
72,442,94
72,470,94
73,447,94
73,469,94
73,470,94
73,471,94
74,448,94
74,470,94
74,471,94
74,472,94
75,442,94
76,444,94
77,424,94
77,470,94
77,481,94
78,414,94
78,440,94
78,470,94
81,464,94
83,455,94
83,473,94
84,483,94
85,439,94
85,440,94
85,443,94
85,454,94
86,439,94
86,442,94
88,106,499
88,198,1516
88,202,1516
88,444,94
88,476,94
89,415,651
90,424,651
91,137,499
91,194,1516
92,196,1516
92,459,94
93,420,651
94,202,1516
95,187,1516
95,440,984
95,447,984
95,448,984
96,453,984
96,463,984
98,479,984
99,127,499
99,416,651
99,421,651
100,71,499
100,72,499
100,75,499
100,76,499
100,77,499
100,78,499
100,79,499
100,132,499
100,177,1516
100,178,1516
100,418,651
100,419,651
100,450,984
101,76,499
101,77,499
101,128,499
101,422,651
102,76,499
102,77,499
102,78,499
102,125,499
102,126,499
102,127,499
102,434,984
102,439,984
102,440,984
102,477,984
102,478,984
102,479,984
103,78,499
103,79,499
103,86,499
103,125,499
103,126,499
103,127,499
103,131,499
103,395,651
103,437,984
103,477,984
103,478,984
103,479,984
103,480,984
104,57,499
104,76,499
104,78,499
104,124,499
104,125,499
104,126,499
104,127,499
104,128,499
104,477,984
104,478,984
104,479,984
104,480,984
104,481,984
104,485,984
105,76,499
105,89,499
105,102,499
105,124,499
105,125,499
105,126,499
105,127,499
105,128,499
105,129,499
105,377,651
105,397,651
105,437,984
105,477,984
105,478,984
105,479,984
105,480,984
105,481,984
105,482,984
105,484,984
106,89,499
106,123,499
106,124,499
106,125,499
106,126,499
106,127,499
106,128,499
106,374,651
106,375,651
106,398,651
106,403,651
106,450,984
106,477,984
106,478,984
106,479,984
106,480,984
106,481,984
107,76,499
107,87,499
107,95,499
107,102,499
107,125,499
107,391,651
107,433,984
107,435,984
107,478,984
107,479,984
107,480,984
107,481,984
108,74,499
108,75,499
108,83,499
108,87,499
108,88,499
108,95,499
108,101,499
108,377,651
108,378,651
108,393,651
108,401,651
108,432,984
108,433,984
108,438,984
108,479,984
108,480,984
108,481,984
108,482,984
108,484,984
109,96,499
109,374,651
109,376,651
109,377,651
109,393,651
109,397,651
109,430,984
109,479,984
109,480,984
109,481,984
109,482,984
109,484,984
110,74,499
110,83,499
110,99,499
110,361,1135
110,381,651
110,382,651
110,427,651
110,428,984
110,430,984
110,433,984
110,481,984
110,482,984
111,74,499
111,356,1135
111,358,1135
111,380,651
111,381,651
111,428,984
111,481,984
112,75,499
112,117,499
112,381,651
112,382,651
112,428,984
112,429,984
112,431,984
112,435,984
112,480,984
113,70,499
113,73,499
113,83,499
113,89,499
113,254,1516
113,382,651
113,384,651
113,426,651
113,427,651
113,429,984
113,431,984
113,488,984
114,71,499
114,72,499
114,256,1516
114,257,1516
114,363,1135
114,382,651
114,383,651
114,417,651
114,429,984
114,430,984
115,66,499
115,78,499
115,81,499
115,82,499
115,104,499
115,114,499
115,228,1516
115,255,1516
115,258,1516
115,383,651
115,386,651
115,417,651
115,420,651
115,421,651
115,429,984
115,452,984
115,453,984
116,65,499
116,72,499
116,81,499
116,198,1516
116,381,651
116,383,651
116,388,651
116,391,651
116,417,651
116,418,651
116,419,651
116,420,651
116,421,651
116,422,651
116,423,651
116,453,984
117,67,499
117,74,499
117,102,499
117,106,499
117,108,499
117,252,1516
117,386,651
117,391,651
117,393,651
117,421,651
117,422,651
117,423,651
117,424,651
117,425,651
118,67,499
118,74,499
118,77,499
118,79,499
118,101,499
118,102,499
118,105,499
118,251,1516
118,252,1516
118,253,1516
118,254,1516
118,256,1516
118,391,651
118,392,651
118,417,651
118,418,651
118,421,651
118,423,651
118,424,651
118,425,651
118,443,984
119,79,499
119,101,499
119,104,499
119,109,499
119,252,1516
119,253,1516
119,387,651
119,388,651
119,391,651
119,392,651
119,395,651
119,397,651
119,421,651
119,422,651
119,423,651
119,424,651
119,454,984
120,72,499
120,79,499
120,90,499
120,103,499
120,104,499
120,120,499
120,200,1516
120,252,1516
120,253,1516
120,391,651
120,393,651
120,395,651
120,396,651
120,397,651
120,399,651
120,422,651
120,424,651
120,505,984
121,70,499
121,81,499
121,103,499
121,346,1135
121,386,651
121,387,651
121,388,651
121,389,651
121,390,651
121,391,651
121,393,651
121,396,651
121,397,651
121,398,651
121,399,651
121,420,651
121,424,651
121,460,984
122,80,499
122,111,499
122,255,1516
122,346,1135
122,347,1135
122,348,1135
122,367,1135
122,386,651
122,387,651
122,389,651
122,390,651
122,392,651
122,395,651
122,396,651
122,397,651
122,398,651
122,399,651
122,420,651
122,422,651
122,423,651
122,426,984
123,70,499
123,80,499
123,255,1516
123,256,1516
123,346,1135
123,347,1135
123,348,1135
123,349,1135
123,368,1135
123,378,651
123,384,651
123,386,651
123,389,651
123,390,651
123,396,651
123,397,651
123,398,651
123,399,651
123,400,651
123,402,651
123,423,651
123,426,984
123,427,984
124,70,499
124,80,499
124,97,499
124,104,499
124,123,499
124,346,1135
124,347,1135
124,348,1135
124,368,1135
124,380,651
124,384,651
124,386,651
124,388,651
124,389,651
124,390,651
124,391,651
124,394,651
124,396,651
124,397,651
124,398,651
124,399,651
124,400,651
124,401,651
124,402,651
124,417,651
124,418,651
124,422,651
124,423,651
124,425,984
124,426,984
125,64,499
125,347,1135
125,348,1135
125,349,1135
125,368,1135
125,381,651
125,384,651
125,387,651
125,388,651
125,392,651
125,393,651
125,394,651
125,395,651
125,396,651
125,397,651
125,398,651
125,399,651
125,400,651
125,401,651
125,402,651
125,422,651
125,423,651
125,457,984
125,495,984
126,381,651
126,383,651
126,384,651
126,389,651
126,392,651
126,393,651
126,394,651
126,395,651
126,396,651
126,397,651
126,398,651
126,399,651
126,400,651
126,401,651
126,402,651
126,420,651
126,421,651
126,423,651
126,427,984
126,428,984
126,459,984
127,352,1135
127,364,1135
127,365,1135
127,367,1135
127,368,1135
127,369,1135
127,383,651
127,384,651
127,388,651
127,389,651
127,390,651
127,392,651
127,393,651
127,396,651
127,397,651
127,398,651
127,400,651
127,401,651
127,402,651
127,416,651
127,420,651
127,421,651
127,422,651
127,423,651
127,425,984
127,428,984
127,429,984
128,341,1135
128,348,1135
128,349,1135
128,363,1135
128,364,1135
128,365,1135
128,366,1135
128,367,1135
128,368,1135
128,369,1135
128,382,651
128,383,651
128,384,651
128,385,651
128,388,651
128,390,651
128,392,651
128,393,651
128,394,651
128,395,651
128,396,651
128,397,651
128,398,651
128,399,651
128,400,651
128,401,651
128,402,651
128,420,651
128,421,651
128,422,651
128,423,651
128,428,984
128,429,984
128,442,984
128,445,984
129,64,499
129,347,1135
129,348,1135
129,349,1135
129,351,1135
129,352,1135
