"y","x","cluster_id"
9,353,1208
11,358,1208
11,628,1221
11,629,1221
11,635,1221
11,636,1221
11,637,1221
12,357,1208
12,359,1208
12,634,1221
12,635,1221
12,637,1221
12,638,1221
13,635,1221
13,636,1221
13,637,1221
13,638,1221
15,74,1416
16,78,1416
16,81,1416
16,349,1208
16,366,1208
17,81,1416
17,350,1208
18,80,1416
18,82,1416
18,628,1221
18,645,1221
19,80,1416
19,350,1208
19,390,1388
20,81,1416
20,338,1208
20,384,1388
20,389,1388
20,390,1388
20,394,1388
20,431,1388
20,607,1221
20,621,1221
21,68,1416
21,81,1416
21,328,1208
21,343,1208
21,352,1208
21,384,1388
21,385,1388
21,389,1388
21,606,1221
21,607,1221
21,611,1221
21,673,1277
22,72,1416
22,347,1208
22,352,1208
22,387,1388
22,606,1221
22,607,1221
22,661,1277
22,662,1277
22,668,1277
22,670,1277
22,671,1277
22,675,1277
23,71,1416
23,72,1416
23,326,1208
23,329,1208
23,335,1208
23,336,1208
23,337,1208
23,341,1208
23,371,1208
23,384,1388
23,385,1388
23,420,1388
23,603,1221
23,607,1221
23,610,1221
23,611,1221
23,616,1221
23,664,1277
23,696,1277
23,697,1277
23,698,1277
24,61,1416
24,329,1208
24,336,1208
24,347,1208
24,368,1208
24,380,1208
24,381,1388
24,382,1388
24,386,1388
24,399,1388
24,612,1221
24,666,1277
25,326,1208
25,368,1208
25,370,1208
25,373,1208
25,374,1208
25,382,1388
25,384,1388
25,386,1388
25,424,1388
25,602,1221
25,603,1221
25,650,1277
25,651,1277
25,655,1277
25,657,1277
25,658,1277
25,660,1277
25,666,1277
25,667,1277
25,680,1277
25,695,1277
26,61,1416
26,69,1416
26,99,1458
26,110,1458
26,374,1208
26,385,1388
26,386,1388
26,422,1388
26,606,1221
26,650,1277
26,651,1277
26,655,1277
26,663,1277
26,702,1277
27,105,1458
27,324,1208
27,325,1208
27,328,1208
27,334,1208
27,335,1208
27,340,1208
27,381,1388
27,384,1388
27,603,1221
27,604,1221
27,606,1221
27,609,1221
27,614,1221
27,618,1221
27,647,1277
27,661,1277
27,662,1277
27,663,1277
28,51,1416
28,59,1416
28,62,1416
28,107,1458
28,120,1458
28,323,1208
28,324,1208
28,325,1208
28,326,1208
28,327,1208
28,331,1208
28,350,1208
