"y","x","cluster_id"
23,99,327
24,98,327
25,389,378
28,111,327
29,110,327
29,111,327
29,112,327
29,391,378
30,110,327
30,111,327
30,112,327
30,113,327
31,110,327
31,111,327
31,112,327
31,113,327
31,114,327
31,115,327
31,399,378
31,400,378
31,401,378
32,110,327
32,111,327
32,112,327
32,113,327
32,114,327
32,399,378
32,400,378
32,401,378
32,402,378
33,109,327
33,110,327
33,112,327
33,113,327
33,115,327
33,116,327
33,117,327
33,399,378
33,401,378
33,403,378
33,404,378
34,105,327
34,108,327
34,109,327
34,111,327
34,113,327
34,115,327
34,116,327
34,117,327
34,118,327
34,396,378
34,398,378
34,399,378
34,400,378
34,401,378
34,402,378
34,403,378
34,405,378
34,407,378
35,86,327
35,101,327
35,106,327
35,107,327
35,115,327
35,116,327
35,117,327
35,118,327
35,119,327
35,120,327
35,123,327
35,398,378
35,399,378
35,401,378
35,402,378
35,403,378
35,405,378
35,406,378
35,407,378
35,408,378
35,409,378
35,410,378
36,114,327
36,116,327
36,117,327
36,118,327
36,119,327
36,120,327
36,121,327
36,122,327
36,397,378
36,402,378
36,404,378
36,406,378
36,408,378
36,411,378
37,121,327
37,122,327
37,123,327
37,127,327
37,392,378
37,402,378
37,403,378
37,404,378
37,405,378
37,406,378
37,408,378
37,409,378
37,410,378
37,413,378
38,121,327
38,122,327
38,123,327
38,124,327
38,410,378
39,100,327
39,123,327
39,124,327
39,126,327
39,410,378
39,411,378
39,412,378
39,413,378
39,416,378
40,101,327
40,105,327
40,123,327
40,124,327
40,125,327
40,405,378
40,409,378
40,410,378
40,411,378
40,412,378
40,413,378
40,416,378
41,42,789
41,43,789
41,100,327
41,107,327
41,122,327
41,123,327
41,124,327
41,126,327
41,127,327
41,131,327
41,411,378
41,412,378
41,413,378
41,414,378
41,415,378
41,416,378
41,419,378
42,43,789
42,44,789
42,100,327
42,122,327
42,123,327
42,124,327
42,125,327
42,126,327
42,127,327
42,128,327
42,389,378
42,391,378
42,401,378
42,412,378
42,414,378
42,415,378
42,416,378
42,418,378
43,42,789
43,43,789
43,45,789
43,48,789
43,102,327
43,103,327
43,105,327
43,124,327
43,125,327
43,127,327
43,128,327
43,338,799
43,394,378
43,412,378
43,413,378
43,414,378
43,415,378
43,416,378
44,38,789
44,42,789
44,48,789
44,103,327
44,104,327
44,105,327
44,116,327
44,124,327
44,125,327
44,128,327
44,129,327
44,131,327
44,135,327
44,328,799
44,329,799
44,341,799
44,390,378
44,391,378
44,415,378
44,417,378
45,37,789
45,38,789
45,51,789
45,103,327
45,105,327
45,106,327
45,127,327
45,128,327
45,326,799
45,327,799
45,328,799
45,339,799
45,341,799
45,342,799
45,390,378
45,394,378
45,405,378
45,413,378
46,35,789
46,38,789
46,40,789
46,51,789
46,52,789
46,97,327
46,103,327
46,104,327
46,122,327
46,127,327
46,128,327
46,135,327
46,341,799
46,342,799
46,343,799
46,393,378
46,395,378
46,396,378
46,405,378
46,412,378
46,424,378
47,39,789
47,40,789
47,43,789
47,49,789
47,51,789
47,52,789
47,53,789
47,104,327
47,111,327
47,121,327
47,129,327
47,136,327
47,328,799
47,342,799
47,343,799
47,344,799
47,390,378
47,395,378
47,417,378
47,424,378
48,44,789
48,50,789
48,84,327
48,103,327
48,107,327
48,110,327
48,111,327
48,113,327
48,135,327
48,334,799
48,335,799
48,343,799
48,394,378
48,417,378
48,425,378
49,44,789
49,45,789
49,51,789
49,55,789
49,88,327
49,108,327
49,110,327
49,112,327
49,338,799
49,344,799
49,346,799
49,375,378
49,393,378
49,397,378
49,402,378
49,424,378
49,425,378
49,427,378
50,55,789
50,86,327
50,87,327
50,109,327
50,128,327
50,130,327
50,331,799
50,332,799
50,337,799
50,339,799
50,398,378
50,399,378
50,400,378
50,401,378
50,402,378
50,417,378
50,422,378
50,425,378
50,445,378
51,46,789
51,47,789
51,108,327
51,109,327
51,113,327
51,114,327
51,115,327
51,118,327
51,119,327
51,120,327
51,121,327
51,124,327
51,127,327
51,128,327
51,160,327
51,162,327
51,163,327
51,329,799
51,330,799
51,331,799
51,375,378
51,376,378
51,377,378
51,398,378
51,400,378
51,401,378
51,414,378
51,416,378
51,427,378
51,452,1319
52,27,789
52,28,789
52,36,789
52,40,789
52,41,789
52,47,789
52,57,789
52,90,327
52,98,327
52,107,327
52,108,327
52,112,327
52,113,327
52,120,327
52,121,327
52,124,327
52,125,327
52,128,327
52,135,327
52,136,327
52,140,327
52,143,327
52,144,327
52,338,799
52,376,378
52,396,378
52,398,378
52,400,378
52,404,378
52,412,378
52,421,378
53,26,789
53,27,789
53,28,789
53,29,789
53,54,789
53,56,789
53,59,789
53,85,327
53,86,327
53,88,327
53,97,327
53,112,327
53,119,327
53,120,327
53,121,327
53,126,327
53,140,327
53,141,327
53,142,327
53,143,327
53,317,799
53,318,799
53,338,799
53,346,799
53,348,799
53,349,799
53,396,378
53,397,378
53,401,378
53,403,378
53,404,378
53,410,378
53,411,378
53,425,378
53,431,378
53,432,378
53,459,1319
54,26,789
54,30,789
54,49,789
54,55,789
54,56,789
54,57,789
54,58,789
54,59,789
54,87,327
54,94,327
54,95,327
54,97,327
54,104,327
54,120,327
54,123,327
54,137,327
54,140,327
54,141,327
54,142,327
54,143,327
54,146,327
54,149,327
54,167,1414
54,346,799
54,350,799
54,382,378
54,402,378
54,403,378
54,424,378
54,425,378
54,429,378
54,430,378
54,431,378
54,432,378
54,433,378
54,444,378
54,458,1319
54,463,1319
54,467,1319
54,471,1319
55,44,789
55,49,789
55,57,789
55,58,789
55,60,789
55,87,327
55,88,327
55,128,327
55,136,327
55,137,327
55,139,327
55,140,327
55,143,327
55,144,327
55,145,327
55,167,1414
55,169,1414
55,313,799
55,336,799
55,349,799
55,376,378
55,378,378
55,386,378
55,409,378
55,417,378
55,423,378
55,425,378
55,428,378
55,429,378
55,432,378
55,433,378
55,434,378
55,435,378
55,437,378
55,439,378
55,458,1319
56,23,789
56,54,789
56,58,789
56,117,327
56,143,327
56,144,327
56,177,1414
56,318,799
56,334,799
56,343,799
56,344,799
56,345,799
56,348,799
56,349,799
56,377,378
56,381,378
56,385,378
56,412,378
56,424,378
56,426,378
56,427,378
56,428,378
56,434,378
56,435,378
57,17,789
57,24,789
57,40,789
57,41,789
57,51,789
57,55,789
57,56,789
57,123,327
57,133,327
57,145,327
57,146,327
57,147,327
57,149,327
57,150,327
57,182,1414
57,310,799
57,311,799
57,314,799
57,332,799
57,334,799
57,335,799
57,345,799
57,346,799
57,348,799
57,434,378
57,435,378
57,436,378
57,457,1319
57,459,1319
57,462,1319
58,17,789
58,18,789
58,28,789
58,41,789
58,43,789
58,49,789
58,55,789
58,56,789
58,57,789
58,93,327
58,120,327
58,146,327
58,185,1414
58,312,799
58,313,799
58,318,799
58,320,799
58,332,799
58,337,799
58,338,799
58,339,799
58,340,799
58,345,799
58,348,799
58,349,799
58,350,799
58,394,378
58,424,378
58,462,1319
59,15,789
59,23,789
59,50,789
59,57,789
59,58,789
59,59,789
59,62,789
59,87,327
59,92,327
59,122,327
59,128,327
59,149,327
59,179,1414
59,312,799
59,314,799
59,320,799
59,330,799
59,332,799
59,335,799
59,337,799
59,338,799
59,342,799
59,346,799
59,350,799
59,352,799
59,373,378
59,407,378
59,413,378
59,438,378
59,483,1691
60,15,789
60,16,789
60,44,789
60,51,789
60,55,789
60,59,789
60,84,327
60,89,327
60,90,327
60,172,1414
60,177,1414
60,321,799
60,337,799
60,338,799
60,341,799
60,387,378
60,438,378
60,439,1319
60,440,1319
61,37,789
61,40,789
61,41,789
61,89,327
61,96,327
61,103,327
61,104,327
61,154,327
61,167,1414
61,196,1414
61,322,799
61,327,799
61,328,799
61,330,799
61,337,799
61,369,799
61,374,378
61,375,378
61,394,378
61,435,378
61,469,1319
61,486,1691
62,39,789
62,56,789
62,57,789
62,85,327
62,153,327
62,322,799
62,327,799
62,328,799
62,329,799
62,339,799
62,347,799
62,356,799
62,375,378
62,436,378
62,440,1319
62,441,1319
63,23,789
63,33,789
63,37,789
63,108,327
63,154,327
63,178,1414
63,196,1414
63,322,799
63,339,799
63,371,378
63,442,1319
63,489,1691
64,15,789
64,29,789
64,31,789
64,32,789
64,33,789
64,109,327
64,153,327
64,154,327
64,177,1414
64,322,799
64,323,799
64,386,378
64,416,378
64,443,1319
65,31,789
65,75,789
65,88,327
65,120,327
65,150,327
65,151,327
65,155,1414
65,320,799
65,321,799
65,399,378
65,440,1319
65,444,1319
65,457,1319
65,463,1319
66,15,789
66,30,789
66,32,789
66,42,789
66,75,789
66,76,789
66,78,789
66,106,327
66,107,327
66,120,327
66,121,327
66,306,799
66,321,799
66,366,799
66,440,1319
67,32,789
67,41,789
67,42,789
67,79,789
67,80,789
67,150,327
67,174,1414
67,205,1414
67,323,799
67,366,799
67,413,378
67,414,378
67,460,1319
68,40,789
68,41,789
68,77,789
68,82,789
68,83,789
68,158,1414
68,163,1414
68,331,799
68,367,799
68,411,378
68,448,1319
69,33,789
69,81,789
69,82,789
69,85,789
69,122,327
69,149,327
69,163,1414
69,324,799
69,331,799
69,332,799
69,367,799
69,494,1691
70,82,789
70,111,327
70,121,327
70,163,1414
70,372,799
70,373,378
70,375,378
70,425,378
70,450,1319
71,98,327
71,156,1414
71,162,1414
71,163,1414
71,205,1414
71,452,1319
71,453,1319
71,454,1319
72,22,789
72,86,789
72,97,327
72,100,327
72,203,1414
72,204,1414
72,446,1319
73,130,327
73,131,327
73,167,1414
73,188,1414
73,320,799
73,445,1319
73,454,1319
73,479,1691
74,46,789
74,47,789
74,50,789
74,77,789
74,97,327
74,116,327
74,155,1414
74,159,1414
74,160,1414
74,189,1414
74,200,1414
74,336,799
74,337,799
74,450,1319
74,451,1319
74,455,1319
74,456,1319
75,41,789
75,46,789
75,54,789
75,88,789
75,159,1414
75,160,1414
75,166,1414
75,203,1414
75,335,799
75,336,799
75,337,799
75,338,799
75,347,799
75,348,799
75,387,378
75,421,378
75,449,1319
75,450,1319
75,451,1319
75,456,1319
75,458,1319
75,472,1691
76,35,789
76,46,789
76,47,789
76,54,789
76,146,1414
76,161,1414
76,162,1414
76,166,1414
76,204,1414
76,328,799
76,329,799
76,343,799
76,450,1319
76,493,1691
77,39,789
77,55,789
77,96,327
