"y","x","cluster_id"
17,102,200
22,94,200
22,95,200
22,97,200
22,98,200
22,99,200
23,92,200
23,94,200
23,95,200
23,96,200
23,97,200
23,98,200
24,98,200
25,94,200
25,97,200
26,85,200
26,86,200
26,87,200
27,85,200
27,100,200
28,85,200
28,91,200
29,92,200
29,98,200
29,108,200
30,99,200
30,100,200
30,101,200
30,106,200
30,107,200
30,511,373
31,95,200
31,99,200
31,105,200
31,106,200
31,109,200
32,87,200
32,100,200
32,104,200
32,105,200
33,101,200
33,102,200
33,103,200
34,97,200
34,100,200
34,101,200
34,102,200
34,104,200
34,507,373
34,508,373
34,509,373
35,98,200
35,100,200
35,507,373
35,508,373
35,509,373
35,510,373
35,511,373
35,512,373
36,103,200
36,506,373
36,509,373
36,510,373
36,512,373
37,508,373
37,511,373
38,500,373
39,101,200
40,505,373
40,507,373
40,510,373
40,514,373
41,96,200
41,97,200
41,98,200
41,505,373
41,508,373
42,96,200
42,97,200
42,98,200
42,107,200
42,108,200
42,520,373
42,521,373
43,97,200
43,105,200
43,106,200
43,107,200
43,108,200
43,508,373
43,511,373
43,519,373
43,520,373
44,104,200
44,105,200
44,106,200
44,107,200
44,108,200
44,514,373
44,515,373
44,517,373
44,518,373
45,104,200
45,105,200
45,106,200
45,107,200
45,515,373
45,517,373
45,518,373
46,104,200
46,105,200
46,106,200
46,107,200
46,513,373
46,514,373
46,515,373
46,517,373
46,518,373
47,104,200
47,105,200
47,106,200
47,515,373
47,516,373
47,517,373
47,519,373
48,102,200
48,516,373
49,100,200
50,98,200
50,100,200
50,128,200
50,541,373
52,77,200
52,129,200
53,75,200
53,77,200
53,98,200
53,507,373
53,511,373
54,71,200
54,72,200
54,121,200
54,507,373
54,509,373
54,520,373
55,70,200
55,72,200
55,519,373
55,520,373
55,521,373
55,522,373
56,71,200
56,73,200
56,74,200
56,518,373
56,519,373
56,520,373
56,521,373
57,71,200
57,74,200
57,518,373
57,519,373
57,520,373
57,521,373
58,68,200
58,75,200
58,133,200
58,518,373
58,519,373
58,520,373
59,70,200
59,74,200
59,518,373
59,519,373
60,503,373
61,68,200
61,107,200
61,488,373
61,501,373
61,502,373
61,513,373
62,72,200
62,104,200
62,106,200
62,108,200
62,123,200
62,157,200
62,548,373
63,104,200
63,107,200
63,113,200
63,116,200
63,117,200
63,132,200
63,156,200
63,491,373
63,541,373
63,550,373
64,55,200
64,103,200
64,104,200
64,105,200
64,107,200
64,132,200
64,135,200
64,156,200
64,487,373
64,490,373
64,548,373
65,104,200
65,105,200
65,107,200
65,108,200
65,109,200
65,112,200
65,485,373
65,486,373
65,487,373
65,488,373
65,541,373
66,68,200
66,95,200
66,103,200
66,104,200
66,105,200
66,108,200
66,139,200
66,484,373
66,485,373
67,54,200
67,67,200
67,100,200
67,102,200
67,104,200
67,112,200
67,484,373
67,485,373
67,488,373
67,491,373
67,537,373
