"y","x","cluster_id"
14,241,273
14,243,273
14,244,273
15,228,273
15,237,273
15,249,273
15,250,273
15,263,273
15,266,273
16,224,273
16,226,273
16,227,273
16,231,273
16,232,273
16,233,273
16,234,273
16,235,273
16,236,273
16,237,273
16,238,273
16,241,273
17,223,273
17,224,273
17,225,273
17,226,273
17,227,273
17,228,273
17,229,273
17,232,273
17,233,273
17,234,273
17,235,273
18,215,273
18,223,273
18,225,273
18,226,273
18,227,273
18,228,273
18,229,273
18,230,273
18,237,273
18,259,273
19,209,273
19,221,273
19,222,273
19,223,273
19,224,273
19,225,273
19,226,273
19,227,273
19,228,273
19,229,273
19,230,273
19,300,1062
20,193,273
20,196,273
20,198,273
20,199,273
20,210,273
20,211,273
20,212,273
20,216,273
20,217,273
20,220,273
20,221,273
20,222,273
20,224,273
20,225,273
20,226,273
20,256,273
20,266,273
20,293,1062
20,297,1062
21,189,273
21,190,273
21,191,273
21,192,273
21,193,273
21,195,273
21,196,273
21,198,273
21,199,273
21,201,273
21,204,273
21,206,273
21,207,273
21,210,273
21,211,273
21,212,273
21,213,273
21,214,273
21,215,273
21,216,273
21,218,273
21,220,273
21,226,273
21,247,273
21,296,1062
22,187,273
22,190,273
22,192,273
22,193,273
22,195,273
22,196,273
22,197,273
22,198,273
22,199,273
22,202,273
22,203,273
22,204,273
22,207,273
22,208,273
22,209,273
22,211,273
22,212,273
22,213,273
22,214,273
22,215,273
22,234,273
22,252,273
22,262,273
23,189,273
23,191,273
23,197,273
23,198,273
23,199,273
23,200,273
23,201,273
23,206,273
23,207,273
23,208,273
23,210,273
23,211,273
23,212,273
23,213,273
23,214,273
23,216,273
23,262,273
24,186,273
24,188,273
24,189,273
24,200,273
24,201,273
24,203,273
24,206,273
24,207,273
24,208,273
24,210,273
24,211,273
24,212,273
24,213,273
24,214,273
24,215,273
24,216,273
24,222,273
24,239,273
24,241,273
24,261,273
24,263,273
24,294,1062
24,296,1062
25,181,273
25,185,273
25,186,273
25,189,273
25,202,273
25,206,273
25,207,273
25,208,273
25,209,273
25,210,273
25,211,273
25,212,273
25,213,273
25,214,273
25,216,273
25,238,273
25,278,1062
25,294,1062
25,308,1062
25,310,1062
26,181,273
26,188,273
26,189,273
26,209,273
26,210,273
26,211,273
26,212,273
26,279,1062
26,301,1062
26,321,1062
27,183,273
27,185,273
27,264,273
27,276,1062
27,354,487
28,175,273
28,176,273
28,177,273
28,178,273
28,182,273
28,183,273
28,217,273
28,261,273
28,270,273
28,321,1062
28,354,487
28,355,487
29,177,273
29,178,273
29,179,273
29,180,273
29,181,273
29,184,273
29,195,273
29,261,273
29,262,273
29,303,1062
29,316,1062
29,323,1062
29,332,1062
29,356,487
29,359,487
30,221,273
30,228,273
30,295,1062
30,320,1062
30,335,487
30,347,487
30,358,487
30,359,487
31,172,273
31,230,273
31,320,1062
31,358,487
31,359,487
31,360,487
31,361,487
32,192,273
32,212,273
32,222,273
32,283,1062
32,323,1062
32,360,487
32,361,487
32,362,487
32,363,487
32,364,487
