"y","x","cluster_id"
10,97,801
16,163,641
17,126,801
17,140,801
17,141,801
17,157,641
17,159,641
17,164,641
17,165,641
17,166,641
17,169,641
18,143,801
18,153,641
18,156,641
18,157,641
18,158,641
18,159,641
18,177,641
18,178,641
18,179,641
18,181,641
18,182,641
18,185,641
19,135,801
19,136,801
19,143,801
19,151,641
19,154,641
19,155,641
19,156,641
19,162,641
19,163,641
19,164,641
19,165,641
19,167,641
19,172,641
19,173,641
19,174,641
19,176,641
19,178,641
19,179,641
19,181,641
19,182,641
19,184,641
19,185,641
19,188,641
20,120,801
20,126,801
20,127,801
20,133,801
20,136,801
20,137,801
20,141,801
20,149,801
20,151,641
20,153,641
20,155,641
20,162,641
20,167,641
20,171,641
20,172,641
20,175,641
20,177,641
20,182,641
20,183,641
20,184,641
20,186,641
20,187,641
20,198,641
21,75,720
21,114,801
21,126,801
21,127,801
21,131,801
21,136,801
21,142,801
21,150,801
21,153,641
21,161,641
21,166,641
21,168,641
21,169,641
21,171,641
21,172,641
21,174,641
21,176,641
21,177,641
21,178,641
21,183,641
21,185,641
21,186,641
21,198,641
21,199,641
22,121,801
22,123,801
22,126,801
22,127,801
22,128,801
22,129,801
22,145,801
22,149,801
22,151,641
22,169,641
22,172,641
22,173,641
22,174,641
22,175,641
22,176,641
22,177,641
22,178,641
22,201,641
23,71,720
23,100,801
23,101,801
23,122,801
23,123,801
23,128,801
23,130,801
23,135,801
23,138,801
23,140,801
23,141,801
23,151,641
23,169,641
23,171,641
23,172,641
23,174,641
23,177,641
23,182,641
23,205,641
24,36,720
24,37,720
24,76,720
24,79,720
24,100,801
24,119,801
24,121,801
24,123,801
24,135,801
24,159,641
24,160,641
24,169,641
24,170,641
24,171,641
24,172,641
24,175,641
24,178,641
24,179,641
25,35,720
25,36,720
25,37,720
25,59,720
25,68,720
25,79,720
25,80,720
25,104,801
25,107,801
25,121,801
25,140,801
25,151,641
25,153,641
25,160,641
25,172,641
25,174,641
25,175,641
25,187,641
25,194,641
25,233,595
25,239,595
26,36,720
26,38,720
26,54,720
26,62,720
26,75,720
26,107,801
26,122,801
26,123,801
26,139,801
26,160,641
26,176,641
26,179,641
26,197,641
26,198,641
26,201,641
26,202,641
26,203,641
26,204,641
26,217,595
26,228,595
26,231,595
26,236,595
26,238,595
26,239,595
26,240,595
27,38,720
27,63,720
27,67,720
27,105,801
27,106,801
27,123,801
27,129,801
27,130,801
27,154,641
27,167,641
27,195,641
27,197,641
27,198,641
27,202,641
27,208,641
27,229,595
27,231,595
27,236,595
27,238,595
28,36,720
28,37,720
28,38,720
28,55,720
28,67,720
28,90,801
28,96,801
28,154,641
28,156,641
28,162,641
28,178,641
28,198,641
28,200,641
28,201,641
28,203,641
28,205,641
28,209,641
28,228,595
28,229,595
28,235,595
28,249,595
28,250,595
28,260,595
