"y","x","cluster_id"
16,108,416
16,113,416
17,107,416
17,108,416
17,110,416
17,113,416
17,115,416
17,116,416
18,107,416
18,108,416
18,116,416
19,106,416
19,114,416
19,117,416
19,119,416
20,119,416
21,111,416
21,115,416
22,118,416
23,86,558
23,112,416
23,113,416
23,122,416
24,113,416
24,119,416
24,120,416
24,121,416
25,102,416
25,117,416
25,118,416
25,119,416
25,120,416
26,101,416
26,102,416
26,118,416
26,119,416
26,120,416
26,121,416
26,122,416
26,124,416
27,99,416
27,100,416
27,123,416
28,88,558
28,105,416
29,88,558
29,124,416
30,122,416
30,125,416
31,48,335
31,49,335
31,113,416
31,121,416
31,125,416
32,47,335
32,113,416
32,121,416
32,125,416
32,126,416
33,24,335
33,25,335
33,26,335
33,27,335
33,28,335
33,34,335
33,61,558
33,124,416
33,125,416
33,126,416
34,23,335
34,24,335
34,25,335
34,26,335
34,27,335
34,28,335
34,29,335
34,47,335
34,58,558
34,82,558
34,86,558
34,90,558
34,125,416
35,21,335
35,22,335
35,23,335
35,25,335
35,27,335
35,28,335
35,29,335
35,30,335
35,31,335
35,59,558
35,60,558
35,69,558
35,90,558
35,93,558
35,125,416
35,126,416
36,19,335
36,20,335
36,21,335
36,22,335
36,24,335
36,25,335
36,28,335
36,29,335
36,31,335
36,51,335
36,56,335
36,59,558
36,62,558
36,85,558
36,126,416
37,17,335
37,19,335
37,20,335
37,21,335
37,22,335
37,27,335
37,31,335
37,32,335
37,34,335
37,40,335
37,52,335
37,56,335
37,60,558
37,61,558
37,62,558
37,86,558
38,20,335
38,21,335
38,22,335
38,30,335
38,31,335
38,32,335
38,33,335
38,34,335
38,60,558
38,61,558
38,62,558
38,83,558
38,126,416
39,16,335
39,20,335
39,21,335
39,22,335
39,31,335
39,32,335
39,33,335
39,34,335
39,44,335
39,46,335
39,63,558
39,64,558
39,65,558
39,82,558
39,90,558
40,21,335
40,22,335
40,31,335
40,32,335
40,33,335
40,34,335
40,35,335
40,37,335
40,38,335
40,44,335
40,65,558
40,81,558
40,82,558
40,83,558
40,90,558
41,19,335
41,20,335
41,21,335
41,22,335
41,23,335
41,33,335
41,34,335
41,36,335
41,38,335
41,45,335
41,64,558
41,66,558
41,81,558
41,82,558
41,84,558
41,87,558
41,88,558
41,126,416
42,14,335
42,15,335
42,18,335
42,19,335
42,20,335
42,21,335
42,22,335
42,23,335
42,24,335
42,25,335
42,34,335
42,35,335
42,39,335
42,46,335
42,48,335
42,57,558
42,82,558
42,83,558
42,84,558
42,85,558
42,86,558
42,87,558
42,335,1673
42,342,1673
43,13,335
43,14,335
43,15,335
43,16,335
43,17,335
43,18,335
43,19,335
43,20,335
43,21,335
43,23,335
43,25,335
43,34,335
43,35,335
43,36,335
43,73,558
43,84,558
43,85,558
43,87,558
43,125,416
44,13,335
44,14,335
44,15,335
44,16,335
44,18,335
44,20,335
44,26,335
44,31,335
44,32,335
44,33,335
44,34,335
44,35,335
44,36,335
44,38,335
44,48,335
44,49,335
44,73,558
44,85,558
44,86,558
44,87,558
44,109,416
45,13,335
45,14,335
45,15,335
45,18,335
45,19,335
45,26,335
45,30,335
45,31,335
45,32,335
45,33,335
45,34,335
45,35,335
45,36,335
45,37,335
45,39,335
45,48,335
45,49,335
45,112,416
45,125,416
46,11,335
46,12,335
46,13,335
46,14,335
46,16,335
46,28,335
46,29,335
46,30,335
46,31,335
46,32,335
46,33,335
46,34,335
46,35,335
46,36,335
46,37,335
46,38,335
46,39,335
46,125,416
46,126,416
47,13,335
47,14,335
47,15,335
47,27,335
47,28,335
47,29,335
47,30,335
47,31,335
47,32,335
47,33,335
47,34,335
47,35,335
47,36,335
47,37,335
47,38,335
47,39,335
47,40,335
47,103,416
47,104,416
47,345,1673
48,12,335
48,13,335
48,14,335
48,31,335
48,32,335
48,33,335
48,34,335
48,35,335
