"y","x","cluster_id"
14,405,328
31,398,328
33,436,328
33,437,328
34,427,328
34,437,328
34,438,328
35,428,328
35,436,328
35,437,328
35,455,328
35,456,328
36,439,328
36,453,328
36,454,328
36,455,328
36,456,328
36,457,328
37,454,328
37,455,328
37,456,328
37,457,328
37,458,328
39,456,328
40,436,328
40,439,328
40,459,328
40,460,328
40,461,328
40,462,328
41,434,328
41,438,328
41,439,328
41,461,328
41,462,328
42,458,328
42,459,328
42,460,328
42,461,328
42,462,328
42,463,328
43,439,328
43,458,328
43,459,328
43,460,328
43,461,328
43,462,328
44,437,328
44,458,328
44,459,328
44,460,328
44,461,328
44,462,328
45,388,328
45,436,328
45,451,328
45,458,328
45,459,328
45,461,328
45,462,328
45,463,328
46,431,328
46,459,328
46,460,328
46,462,328
46,463,328
47,428,328
47,429,328
47,464,328
47,465,328
48,425,328
48,427,328
48,428,328
48,429,328
48,430,328
48,437,328
48,461,328
48,462,328
48,465,328
48,466,328
48,467,328
49,427,328
49,428,328
49,429,328
49,463,328
49,466,328
50,426,328
50,427,328
50,429,328
50,463,328
50,464,328
50,466,328
50,467,328
51,425,328
51,426,328
51,427,328
51,428,328
51,429,328
51,454,328
51,467,328
52,424,328
52,427,328
52,448,328
53,375,933
53,432,328
53,466,328
54,466,328
55,447,328
56,436,328
56,437,328
56,453,328
57,380,933
57,436,328
57,437,328
57,438,328
58,379,933
58,436,328
58,437,328
58,439,328
59,427,328
59,428,328
59,436,328
59,438,328
60,353,933
61,352,933
61,353,933
62,352,933
62,353,933
62,380,933
63,350,933
63,352,933
63,353,933
63,406,328
64,353,933
64,424,328
65,353,933
65,356,933
65,357,933
65,358,933
65,372,933
65,379,933
65,380,933
65,382,933
65,420,328
66,352,933
66,353,933
66,356,933
66,358,933
66,364,933
66,368,933
66,379,933
66,380,933
66,424,328
66,425,328
66,426,328
67,358,933
67,367,933
67,368,933
67,379,933
67,422,328
67,425,328
68,359,933
68,365,933
68,369,933
68,422,328
68,423,328
69,362,933
69,364,933
69,369,933
69,420,328
69,421,328
69,422,328
69,423,328
70,361,933
70,366,933
70,367,933
70,420,328
71,356,933
71,357,933
71,361,933
72,355,933
72,356,933
72,357,933
72,411,328
73,336,933
73,358,933
73,364,933
73,382,933
73,383,933
74,365,933
74,382,933
74,383,933
74,468,328
75,360,933
75,412,328
75,465,328
75,466,328
75,467,328
75,468,328
75,469,328
76,385,933
76,390,933
76,463,328
76,464,328
76,465,328
76,466,328
76,467,328
76,468,328
76,469,328
77,383,933
77,384,933
77,390,933
77,463,328
77,464,328
77,465,328
77,466,328
77,467,328
77,468,328
77,469,328
77,471,328
78,383,933
78,384,933
78,385,933
78,392,933
78,393,933
78,458,328
78,464,328
78,465,328
78,466,328
78,467,328
79,362,933
79,363,933
79,364,933
79,376,933
79,380,933
79,381,933
79,382,933
79,383,933
79,384,933
79,385,933
79,388,933
79,389,933
79,391,933
79,392,933
79,393,933
79,459,328
79,460,328
79,626,1963
80,362,933
80,364,933
80,365,933
80,380,933
80,382,933
80,383,933
80,384,933
80,385,933
80,387,933
80,388,933
80,389,933
80,390,933
80,391,933
80,392,933
80,393,933
80,460,328
81,363,933
81,380,933
81,381,933
81,382,933
81,383,933
81,384,933
81,387,933
81,388,933
81,389,933
81,390,933
81,392,933
81,393,933
81,394,933
81,409,328
81,454,328
82,370,933
82,378,933
82,383,933
82,387,933
82,388,933
82,389,933
82,390,933
