"y","x","cluster_id"
28,125,157
28,130,157
28,151,157
29,151,157
30,56,227
30,58,227
30,127,157
30,151,157
30,172,157
31,50,227
31,105,227
31,139,157
31,210,235
32,117,157
32,121,157
32,137,157
32,138,157
32,139,157
32,140,157
32,141,157
32,151,157
32,152,157
32,155,157
32,159,157
32,160,157
32,162,157
32,180,157
32,186,157
32,189,157
32,220,235
32,221,235
32,223,235
32,234,235
32,236,235
32,237,235
33,45,227
33,90,227
33,153,157
33,155,157
33,156,157
33,159,157
33,160,157
33,189,157
33,190,157
33,198,235
33,233,235
33,234,235
33,240,235
34,44,227
34,67,227
34,84,227
34,119,157
34,120,157
34,121,157
34,122,157
34,123,157
34,124,157
34,150,157
34,151,157
34,152,157
34,185,157
34,188,157
34,189,157
34,190,157
34,191,157
34,192,157
34,193,235
34,200,235
34,201,235
34,250,235
35,46,227
35,120,157
35,121,157
35,122,157
35,123,157
35,124,157
35,154,157
35,156,157
35,188,157
35,189,157
35,190,157
35,191,157
35,192,157
35,193,235
35,200,235
35,201,235
35,209,235
35,210,235
35,211,235
35,214,235
35,217,235
35,223,235
35,232,235
35,233,235
36,120,157
36,121,157
36,122,157
36,123,157
36,124,157
36,125,157
36,126,157
36,127,157
36,128,157
36,154,157
36,155,157
36,156,157
36,182,157
36,183,157
36,190,157
36,191,157
36,209,235
36,210,235
36,232,235
36,253,235
36,254,235
37,85,227
37,121,157
37,122,157
37,123,157
37,124,157
37,125,157
37,126,157
37,167,157
37,174,157
37,222,235
37,223,235
37,229,235
37,232,235
37,254,235
38,122,157
38,123,157
38,124,157
38,126,157
38,127,157
38,143,157
38,222,235
38,223,235
38,224,235
38,227,235
38,228,235
38,229,235
38,230,235
38,231,235
38,232,235
38,233,235
38,252,235
39,165,157
39,166,157
39,167,157
39,223,235
39,224,235
39,232,235
39,233,235
39,234,235
40,140,157
40,150,157
40,151,157
40,156,157
40,166,157
40,167,157
40,168,157
40,232,235
40,234,235
40,238,235
40,242,235
40,245,235
40,258,235
41,43,227
41,140,157
41,166,157
41,167,157
41,168,157
41,204,235
41,230,235
41,239,235
41,240,235
41,242,235
41,245,235
41,246,235
41,247,235
41,255,235
41,256,235
41,257,235
41,258,235
42,40,227
42,143,157
42,229,235
42,230,235
42,245,235
42,255,235
42,256,235
42,257,235
42,262,235
42,313,429
43,132,157
43,191,157
43,224,235
43,226,235
43,260,235
43,261,235
43,332,429
44,75,227
44,76,227
44,142,157
44,191,157
44,194,235
44,222,235
44,226,235
44,227,235
44,229,235
44,236,235
44,284,429
45,153,157
45,196,235
45,222,235
45,225,235
45,233,235
45,235,235
45,239,235
45,304,429
46,129,157
46,219,235
46,220,235
46,224,235
46,235,235
46,301,429
47,73,227
47,74,227
47,75,227
47,151,157
47,187,157
47,197,235
47,227,235
47,228,235
47,232,235
47,233,235
47,238,235
47,239,235
47,240,235
47,264,235
47,282,429
48,41,227
48,80,227
48,185,157
48,228,235
48,229,235
48,230,235
48,231,235
48,232,235
48,237,235
48,238,235
48,239,235
48,240,235
48,267,235
48,282,429
48,283,429
48,284,429
48,285,429
49,179,157
49,185,157
49,189,157
49,229,235
49,231,235
49,232,235
49,234,235
49,235,235
49,237,235
49,238,235
49,239,235
49,240,235
49,265,235
49,294,429
49,295,429
49,347,429
50,157,157
50,158,157
50,159,157
50,232,235
50,233,235
50,234,235
50,235,235
50,236,235
50,237,235
50,238,235
50,239,235
50,284,429
50,302,429
51,37,227
51,75,227
51,155,157
51,159,157
51,224,235
51,229,235
51,233,235
51,234,235
51,235,235
51,236,235
51,237,235
51,238,235
51,269,235
51,286,429
52,75,227
52,76,227
52,77,227
52,157,157
52,158,157
52,189,157
52,229,235
52,231,235
52,232,235
52,233,235
52,234,235
52,235,235
52,236,235
52,237,235
52,238,235
52,287,429
53,74,227
53,75,227
53,76,227
53,219,235
53,220,235
53,228,235
53,229,235
53,233,235
53,239,235
53,249,235
53,287,429
54,78,227
54,178,157
54,228,235
54,229,235
54,230,235
54,240,235
54,242,235
55,166,157
55,246,235
56,166,157
56,241,235
57,240,235
58,164,157
58,166,157
58,229,235
59,306,429
60,172,157
60,218,235
60,236,235
61,69,227
61,233,235
61,244,235
61,245,235
61,246,235
61,260,235
62,230,235
62,246,235
62,252,235
62,315,429
62,319,429
62,320,429
63,229,235
63,230,235
63,231,235
63,319,429
63,320,429
64,40,227
64,230,235
64,231,235
64,232,235
64,233,235
64,320,429
64,331,429
64,332,429
65,216,235
65,231,235
65,302,429
65,306,429
65,314,429
65,329,429
65,330,429
66,215,235
66,301,429
66,302,429
66,307,429
66,314,429
66,329,429
66,332,429
66,333,429
67,306,429
67,307,429
67,308,429
67,329,429
67,333,429
67,334,429
68,166,157
68,329,429
68,331,429
68,332,429
68,333,429
69,110,227
69,167,157
69,286,429
69,314,429
69,328,429
69,329,429
69,332,429
69,333,429
70,329,429
70,330,429
70,331,429
70,332,429
71,235,235
71,287,429
71,328,429
71,329,429
71,330,429
71,331,429
72,204,235
72,321,429
72,322,429
72,328,429
72,329,429
73,328,429
73,329,429
73,330,429
74,109,227
74,168,157
74,170,157
74,315,429
74,318,429
74,328,429
74,329,429
74,330,429
74,331,429
75,168,157
75,328,429
75,329,429
75,330,429
75,331,429
76,301,429
