"y","x","cluster_id"
13,161,530
13,162,530
13,163,530
13,164,530
14,86,568
14,87,568
14,160,530
14,161,530
14,162,530
14,163,530
14,167,530
14,170,530
14,171,530
14,172,530
14,173,530
15,85,568
15,86,568
15,87,568
15,96,568
15,163,530
15,164,530
15,165,530
15,166,530
15,167,530
15,168,530
15,171,530
15,172,530
15,173,530
15,174,530
15,175,530
16,82,568
16,84,568
16,86,568
16,87,568
16,88,568
16,92,568
16,93,568
16,94,568
16,95,568
16,158,530
16,161,530
16,163,530
16,167,530
16,168,530
16,169,530
16,172,530
16,173,530
16,174,530
16,175,530
16,176,530
16,177,530
16,178,530
16,179,530
16,180,530
16,181,530
16,186,530
16,188,530
16,189,530
16,193,530
16,194,530
17,84,568
17,85,568
17,87,568
17,88,568
17,89,568
17,93,568
17,94,568
17,95,568
17,96,568
17,99,568
17,150,530
17,153,530
17,157,530
17,158,530
17,159,530
17,160,530
17,166,530
17,167,530
17,168,530
17,169,530
17,170,530
17,171,530
17,172,530
17,173,530
17,174,530
17,175,530
17,177,530
17,178,530
17,179,530
17,180,530
17,181,530
17,182,530
17,183,530
17,187,530
17,188,530
17,189,530
17,192,530
17,193,530
17,194,530
17,195,530
18,86,568
18,87,568
18,88,568
18,92,568
18,93,568
18,94,568
18,95,568
18,96,568
18,97,568
18,153,530
18,154,530
18,156,530
18,157,530
18,158,530
18,159,530
18,167,530
18,168,530
18,169,530
18,170,530
18,171,530
18,172,530
18,173,530
18,174,530
18,175,530
18,176,530
18,177,530
18,178,530
18,179,530
18,180,530
18,181,530
18,182,530
18,183,530
18,184,530
18,185,530
18,186,530
18,187,530
18,188,530
18,189,530
18,194,530
18,195,530
19,81,568
19,85,568
19,88,568
19,92,568
19,93,568
19,94,568
19,95,568
19,96,568
19,97,568
19,98,568
19,154,530
19,155,530
19,156,530
19,158,530
19,159,530
19,163,530
19,164,530
19,166,530
19,167,530
19,168,530
19,169,530
19,170,530
19,171,530
19,172,530
19,173,530
19,174,530
19,175,530
19,176,530
19,177,530
19,178,530
19,179,530
19,180,530
19,181,530
19,182,530
19,185,530
19,186,530
19,187,530
19,188,530
19,191,530
19,192,530
19,193,530
19,194,530
19,195,530
20,88,568
20,89,568
20,91,568
20,94,568
20,95,568
20,96,568
20,98,568
20,100,568
20,155,530
20,156,530
20,157,530
20,158,530
20,159,530
20,165,530
20,166,530
20,167,530
20,168,530
20,169,530
20,170,530
20,171,530
20,172,530
20,173,530
20,174,530
20,175,530
20,176,530
20,177,530
20,178,530
20,186,530
20,187,530
20,188,530
20,189,530
20,191,530
20,192,530
20,193,530
20,194,530
21,71,568
21,72,568
21,75,568
21,79,568
21,80,568
21,88,568
21,89,568
21,93,568
21,94,568
21,95,568
21,96,568
21,97,568
21,98,568
21,100,568
21,156,530
21,158,530
21,163,530
21,165,530
21,166,530
21,167,530
21,168,530
21,169,530
21,170,530
21,171,530
21,172,530
21,174,530
21,175,530
21,177,530
21,178,530
21,179,530
21,186,530
21,187,530
21,188,530
21,189,530
21,190,530
21,191,530
21,192,530
21,193,530
21,194,530
21,204,969
22,72,568
22,73,568
22,80,568
22,81,568
22,84,568
22,85,568
22,86,568
22,87,568
22,89,568
22,91,568
22,94,568
22,99,568
22,158,530
22,159,530
22,162,530
22,164,530
22,165,530
22,166,530
22,167,530
22,168,530
22,169,530
22,170,530
22,171,530
22,172,530
22,173,530
22,175,530
22,178,530
22,184,530
22,187,530
22,188,530
22,189,530
22,190,530
22,191,530
22,192,530
22,193,530
22,194,530
23,71,568
23,72,568
23,81,568
23,84,568
23,85,568
23,87,568
23,95,568
23,96,568
23,97,568
23,100,568
23,158,530
23,159,530
23,160,530
23,161,530
23,162,530
23,163,530
23,164,530
23,165,530
23,166,530
23,167,530
23,168,530
23,169,530
23,170,530
23,171,530
23,172,530
23,174,530
23,175,530
23,176,530
23,179,530
23,182,530
23,184,530
23,185,530
23,186,530
23,187,530
23,188,530
23,189,530
23,190,530
23,191,530
23,192,530
23,193,530
23,194,530
23,195,969
23,196,969
24,81,568
24,82,568
24,85,568
24,99,568
24,100,568
24,101,568
24,102,568
24,158,530
24,159,530
24,160,530
24,161,530
24,162,530
24,163,530
24,164,530
24,165,530
24,166,530
24,167,530
24,168,530
24,169,530
24,170,530
24,171,530
24,172,530
24,173,530
24,174,530
24,175,530
24,176,530
24,182,530
24,183,530
24,184,530
24,185,530
24,186,530
24,187,530
24,188,530
24,189,530
24,190,530
24,191,530
24,192,530
24,195,969
24,210,969
24,211,969
24,212,969
24,213,969
25,85,568
25,95,568
25,102,568
25,158,530
25,159,530
25,160,530
25,161,530
25,162,530
25,163,530
25,164,530
25,165,530
25,166,530
25,167,530
25,168,530
25,169,530
25,170,530
25,171,530
25,172,530
25,173,530
25,174,530
25,175,530
25,181,530
25,182,530
25,183,530
25,184,530
25,185,530
25,186,530
25,187,530
25,188,530
25,190,530
25,191,530
25,192,530
25,205,969
25,207,969
25,208,969
25,209,969
25,210,969
25,211,969
25,212,969
25,213,969
25,214,969
26,72,568
26,73,568
26,79,568
26,84,568
26,87,568
26,88,568
26,101,568
26,102,568
26,158,530
26,159,530
26,160,530
26,161,530
26,162,530
26,163,530
26,164,530
26,165,530
26,166,530
26,168,530
26,169,530
26,170,530
26,173,530
26,174,530
26,175,530
26,181,530
26,182,530
26,183,530
26,184,530
26,185,530
26,186,530
26,187,530
26,189,530
26,190,530
26,191,530
26,192,530
26,193,530
26,198,969
26,207,969
26,208,969
26,209,969
26,210,969
26,211,969
26,212,969
26,213,969
26,214,969
26,215,969
26,216,969
27,84,568
27,86,568
27,88,568
27,96,568
27,100,568
27,158,530
27,159,530
27,160,530
27,161,530
27,162,530
27,163,530
27,164,530
27,165,530
27,169,530
27,171,530
27,173,530
27,174,530
27,175,530
27,176,530
27,180,530
27,182,530
27,183,530
27,184,530
27,185,530
27,186,530
27,188,530
27,189,530
27,190,530
27,191,530
27,192,530
27,193,530
27,194,969
27,195,969
27,196,969
27,197,969
27,198,969
27,199,969
27,208,969
27,209,969
27,210,969
27,211,969
27,212,969
27,213,969
27,214,969
27,215,969
27,216,969
27,217,969
28,73,568
28,78,568
28,86,568
28,94,568
28,96,568
28,98,568
28,99,568
28,158,530
28,159,530
28,160,530
28,161,530
28,162,530
28,163,530
28,164,530
28,173,530
28,174,530
28,175,530
28,176,530
28,177,530
28,182,530
28,183,530
28,184,530
28,185,530
28,186,530
28,187,530
28,188,530
28,189,530
28,190,530
28,191,530
28,192,530
28,193,530
28,194,969
28,195,969
28,196,969
28,197,969
28,198,969
28,205,969
28,208,969
28,210,969
