"y","x","cluster_id"
8,698,542
8,702,542
9,671,542
9,701,542
10,672,542
10,769,542
12,724,542
12,816,1301
12,817,1301
13,658,542
13,709,542
13,797,1301
13,820,1301
14,703,542
14,704,542
14,705,542
14,709,542
14,817,1301
14,849,1301
15,702,542
15,703,542
15,704,542
15,705,542
15,709,542
15,800,1301
15,811,1301
15,845,1301
15,846,1301
16,702,542
16,703,542
16,704,542
16,705,542
16,706,542
16,708,542
16,709,542
16,798,1301
16,799,1301
16,810,1301
17,671,542
17,702,542
17,703,542
17,704,542
17,705,542
17,799,1301
17,811,1301
17,812,1301
17,888,1301
17,890,1811
17,891,1811
17,895,1811
18,683,542
18,701,542
18,702,542
18,703,542
18,704,542
18,705,542
18,810,1301
18,811,1301
18,887,1301
18,898,1811
18,912,1811
18,913,1811
18,915,1811
19,684,542
19,690,542
19,701,542
19,702,542
19,703,542
19,704,542
19,886,1301
19,887,1301
19,890,1811
19,899,1811
19,905,1811
19,916,1811
20,671,542
20,690,542
20,701,542
20,702,542
20,703,542
20,737,542
20,738,542
20,922,1811
20,948,1811
21,801,1301
21,866,1301
21,879,1301
21,918,1811
21,925,1811
21,937,1811
21,947,1811
21,948,1811
21,949,1811
22,665,542
22,666,542
22,667,542
22,740,542
22,803,1301
22,893,1811
22,894,1811
22,916,1811
22,928,1811
22,947,1811
22,948,1811
22,949,1811
22,952,1811
23,927,1811
24,691,542
24,704,542
24,711,542
24,787,1301
24,803,1301
25,705,542
25,732,542
25,733,542
25,892,1811
26,737,542
26,738,542
26,852,1301
26,948,1811
26,950,1811
26,955,1811
26,956,1811
27,847,1301
27,910,1811
27,929,1811
27,949,1811
27,955,1811
27,956,1811
28,671,542
28,735,542
28,807,1301
29,661,542
29,798,1301
29,879,1301
29,880,1301
29,891,1811
29,947,1811
30,662,542
30,663,542
30,743,542
30,744,542
30,879,1301
30,880,1301
30,881,1301
31,663,542
31,669,542
31,694,542
31,711,542
31,712,542
31,713,542
31,741,542
31,742,542
31,744,542
31,807,1301
31,877,1301
31,880,1301
31,884,1301
31,936,1811
32,699,542
32,700,542
32,714,542
32,728,542
32,742,542
32,753,542
32,778,1301
