"y","x","cluster_id"
2,34,85
4,35,85
4,36,85
5,36,85
5,37,85
5,39,85
6,39,85
6,40,85
7,39,85
7,40,85
7,41,85
8,26,85
8,27,85
8,29,85
8,30,85
8,31,85
8,36,85
8,40,85
8,41,85
8,42,85
9,26,85
9,28,85
9,29,85
9,30,85
9,31,85
9,41,85
9,42,85
10,30,85
10,31,85
10,32,85
10,33,85
10,41,85
10,42,85
11,33,85
11,34,85
11,37,85
11,41,85
11,42,85
11,43,85
12,27,85
12,28,85
12,29,85
12,30,85
12,31,85
12,33,85
12,34,85
12,41,85
12,43,85
13,28,85
13,29,85
13,30,85
13,31,85
13,34,85
13,35,85
13,38,85
13,39,85
13,41,85
13,43,85
14,33,85
14,38,85
14,39,85
14,41,85
14,42,85
14,43,85
15,26,85
15,27,85
15,28,85
15,29,85
15,37,85
15,38,85
15,39,85
15,41,85
15,42,85
15,43,85
16,23,85
16,24,85
16,25,85
16,27,85
16,28,85
16,29,85
16,30,85
16,31,85
16,32,85
16,33,85
16,35,85
16,36,85
16,37,85
16,38,85
16,40,85
16,41,85
16,42,85
16,43,85
17,24,85
17,25,85
17,28,85
17,36,85
17,37,85
17,38,85
17,39,85
17,40,85
17,41,85
17,42,85
18,25,85
18,28,85
18,29,85
18,30,85
18,31,85
18,33,85
18,35,85
18,36,85
18,37,85
18,38,85
18,39,85
18,40,85
18,41,85
18,42,85
18,43,85
19,27,85
19,28,85
19,29,85
19,30,85
19,31,85
19,33,85
19,34,85
19,35,85
19,36,85
19,37,85
19,38,85
19,39,85
19,40,85
19,41,85
19,42,85
20,29,85
20,30,85
20,31,85
20,33,85
20,34,85
20,35,85
20,36,85
20,37,85
20,38,85
20,39,85
20,40,85
20,41,85
20,42,85
21,31,85
21,32,85
21,33,85
21,34,85
21,35,85
21,36,85
21,37,85
21,38,85
21,39,85
21,40,85
21,41,85
21,42,85
22,29,85
22,31,85
22,32,85
22,36,85
22,37,85
22,38,85
22,39,85
22,40,85
22,41,85
22,42,85
23,26,334
23,29,334
23,30,85
23,31,85
23,32,85
23,34,85
23,35,334
23,36,334
23,37,85
23,38,334
23,39,334
23,40,334
23,41,85
23,42,85
23,43,85
24,24,334
24,29,334
24,31,334
24,34,334
24,35,334
24,36,334
24,37,334
24,38,334
24,39,334
24,40,334
24,41,334
24,42,334
24,43,334
25,21,334
25,25,334
25,26,334
25,27,334
25,28,334
25,29,334
25,31,334
25,32,334
25,34,334
25,35,334
25,36,334
25,37,334
25,38,334
25,39,334
25,40,334
25,41,334
25,42,334
25,43,334
25,44,334
25,45,334
26,14,557
26,18,557
26,26,334
26,27,334
26,29,334
26,30,334
26,31,334
26,32,334
26,33,334
26,34,334
26,35,334
26,36,334
26,37,334
26,38,334
26,39,334
26,40,334
26,41,334
26,42,334
26,43,334
26,44,334
26,45,334
26,57,519
26,58,519
26,59,519
26,60,519
27,24,334
27,25,334
27,26,334
27,27,334
27,28,334
27,30,334
27,31,334
27,32,334
27,33,334
27,34,334
27,35,334
27,36,334
27,37,334
27,38,334
27,39,334
27,40,334
27,41,334
27,43,334
27,44,334
27,45,334
27,53,519
27,54,519
27,57,519
27,60,519
27,61,519
27,62,519
28,12,557
28,13,557
28,24,334
28,25,334
28,26,334
28,27,334
28,28,334
28,29,334
28,30,334
28,32,334
28,33,334
28,34,334
28,35,334
28,36,334
28,37,334
28,38,334
28,39,334
28,40,334
28,42,334
28,43,334
28,44,334
28,45,334
28,53,519
28,61,519
29,11,557
29,12,557
29,13,557
29,17,557
29,24,334
29,25,334
29,26,334
29,28,334
29,29,334
29,30,334
29,31,334
29,32,334
29,33,334
29,34,334
29,35,334
29,36,334
29,37,334
29,38,334
29,39,334
29,40,334
29,41,334
29,42,334
29,43,334
29,44,334
29,46,334
29,52,519
29,53,519
29,58,519
29,62,519
30,11,557
30,12,557
30,21,557
30,22,557
30,23,334
30,24,334
30,25,334
30,26,334
30,27,334
30,28,334
30,29,334
30,30,334
30,33,334
30,34,334
30,35,334
30,36,334
30,38,334
30,39,334
30,40,334
30,41,334
30,42,334
30,43,334
30,44,334
30,52,519
30,53,519
30,66,519
31,14,557
31,15,557
31,21,557
31,22,557
31,23,557
31,24,334
31,25,334
31,26,334
31,27,334
31,28,334
31,30,334
31,31,334
31,33,334
31,34,334
31,35,334
31,36,334
31,37,334
31,38,334
31,39,334
31,40,334
31,42,334
31,43,334
31,44,334
31,45,334
31,47,519
31,54,519
31,55,519
31,56,519
31,57,519
31,64,519
32,8,557
32,9,557
32,11,557
32,15,557
32,16,557
32,17,557
32,20,557
32,21,557
32,25,334
32,27,334
32,28,334
32,29,334
32,34,334
32,35,334
32,36,334
32,37,334
32,40,334
32,41,334
32,42,334
32,43,334
32,45,334
32,47,519
32,54,519
32,55,519
32,56,519
32,57,519
32,65,519
32,67,519
32,68,519
33,6,557
33,7,557
33,8,557
33,12,557
33,16,557
33,17,557
33,18,557
33,21,557
33,22,557
33,24,334
33,26,334
33,28,334
33,37,334
33,40,334
33,42,334
33,43,334
33,47,519
33,53,519
33,54,519
33,55,519
33,56,519
33,57,519
33,65,519
33,66,519
33,68,519
33,69,519
33,70,519
34,6,557
34,7,557
34,8,557
34,17,557
34,18,557
34,19,557
34,20,557
34,21,557
34,22,557
34,24,557
34,27,334
34,36,334
34,37,334
34,39,334
34,40,334
34,51,519
34,52,519
34,53,519
34,54,519
34,55,519
34,56,519
34,57,519
34,58,519
34,66,519
34,72,519
35,8,557
35,12,557
35,13,557
35,14,557
35,20,557
35,21,557
35,23,557
35,25,334
35,26,334
35,30,334
35,33,334
35,36,334
35,41,334
35,42,334
35,51,519
35,52,519
35,53,519
35,54,519
35,55,519
35,56,519
35,57,519
35,73,519
35,74,519
35,75,519
36,7,557
36,8,557
